from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
6076,Fubine Monferrato,ALAA81802N,SOFIA DI BRICHERASIO- FUBINE,VIA SAN GIOVANNI BOSCO 15,44.967369984355,8.42092998718,5615,44.993653,8.45754,village,Lu e Cuccaro Monferrato,6193,5348.06,407025
6141,Quargnento,ALAA81805R,QUARGNENTO,PIAZZA I MAGGIO,44.945280631773,8.487150546013,5615,44.993653,8.45754,village,Lu e Cuccaro Monferrato,6193,7163.592,515307
6115,Occimiano,ALAA82206D,MARIA AUSILIATRICE OCCIMIANO,VIA ROMA 1,45.058330020429,8.505960036305,5615,44.993653,8.45754,village,Lu e Cuccaro Monferrato,6193,13256.567,910710
6061,Conzano,ALAA82208G,E. GALLEANI VIDUA CONZANO,VIA UGO GAROGLIO 42,45.048390005272,8.459279960235,5615,44.993653,8.45754,village,Lu e Cuccaro Monferrato,6193,10833.291,788790
6154,San Salvatore Monferrato,ALAA83801T,U.OLLEARO - S. SALVATORE M.TO,VIA CAVALLI 17,44.99506002059,8.569239968699,5615,44.993653,8.45754,village,Lu e Cuccaro Monferrato,6193,11773.027,852167
6094,Mirabello Monferrato,ALAA82207E,MIRABELLO MONFERRATO,VIA MARIA AUSILIATRICE 7,45.034509992709,8.52445998626,5615,44.993653,8.45754,village,Lu e Cuccaro Monferrato,6193,9863.917,727389
6179,Vignale Monferrato,ALAA82311G,CALLORI - SOLERIO VIGNALE M.,VIA PORRO 4,45.010925444277,8.396041300908,5615,44.993653,8.45754,village,Lu e Cuccaro Monferrato,6193,6742.31,504919
6193,Lu e Cuccaro Monferrato,AL1A019002,Giovanni Colli,Via Colli 26,45.001439990011,8.482860014067,5615,44.993653,8.45754,village,Lu e Cuccaro Monferrato,6193,4389.2,331102
6076,Fubine Monferrato,ALAA81802N,SOFIA DI BRICHERASIO- FUBINE,VIA SAN GIOVANNI BOSCO 15,44.967369984355,8.42092998718,5616,45.001453,8.4836959,village,Lu e Cuccaro Monferrato,6193,9720.867,736183
6141,Quargnento,ALAA81805R,QUARGNENTO,PIAZZA I MAGGIO,44.945280631773,8.487150546013,5616,45.001453,8.4836959,village,Lu e Cuccaro Monferrato,6193,7504.882,553541
6115,Occimiano,ALAA82206D,MARIA AUSILIATRICE OCCIMIANO,VIA ROMA 1,45.058330020429,8.505960036305,5616,45.001453,8.4836959,village,Lu e Cuccaro Monferrato,6193,9206.641,643952
6061,Conzano,ALAA82208G,E. GALLEANI VIDUA CONZANO,VIA UGO GAROGLIO 42,45.048390005272,8.459279960235,5616,45.001453,8.4836959,village,Lu e Cuccaro Monferrato,6193,7788.62,575270
