from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
42030,Monte San Vito,ANAA82304T,"MONTE SAN VITO ""F.LLI GRIMM""",VIA B. GIGLI,43.600511931118,13.268422722492,14919,43.7149517,13.2179488,town,Senigallia,42045,18979.488,1329225
42030,Monte San Vito,ANAA82303R,"MONTE SAN VITO ""COLLODI""",PIAZZA UGO FOSCOLO 23,43.593759994765,13.297499964618,14919,43.7149517,13.2179488,town,Senigallia,42045,19214.098,1354710
42050,Trecastelli,ANAA835044,IL GIRASOLE,VIA MATTEI N.32,43.671802529331,13.103983512213,14919,43.7149517,13.2179488,town,Senigallia,42045,13055.418,1102286
42050,Trecastelli,ANAA835033,PETER PAN,VIA PIO IX N.12,43.660207998261,13.153569137591,14919,43.7149517,13.2179488,town,Senigallia,42045,8959.596,637891
42027,Montemarciano,ANAA82302Q,"MARINA ""MONTESSORI""",VIA DELLE QUERCE,43.647172880952,13.337220376585,14919,43.7149517,13.2179488,town,Senigallia,42045,13285.398,835312
42027,Montemarciano,ANAA82301P,MONTEMARCIANO - CAPOLUOGO,VIALE EUROPA 7,43.636939997616,13.309729999541,14919,43.7149517,13.2179488,town,Senigallia,42045,13405.777,898082
42035,Ostra,ANAA81002N,"OSTRA-CASINE ""PETER PAN""",VIA ROSSINI N.9,43.631379987873,13.144229991894,14919,43.7149517,13.2179488,town,Senigallia,42045,12309.451,765325
42035,Ostra,ANAA81001L,"OSTRA ""BIANCANEVE""",VIA CARDUCCI N.2,43.6130200157,13.15912002379,14919,43.7149517,13.2179488,town,Senigallia,42045,15033.424,926090
42005,Belvedere Ostrense,ANAA805037,"B.OSTRENSE""IL GIARDINO FIORITO""",VIA CASTAGNA N. 3,43.579100004201,13.165279968253,14919,43.7149517,13.2179488,town,Senigallia,42045,19656.057,1219542
42045,Senigallia,ANAA83303B,SENIGALLIA ARCOBALENO,VIA DELLE ROSE2,43.70945891155,13.226304431418,14919,43.7149517,13.2179488,town,Senigallia,42045,1639.494,119681
42045,Senigallia,ANAA848046,SENIGALLIA SCAPEZZANO,VIA A. DA BRESCIA,43.720294401706,13.167903226362,14919,43.7149517,13.2179488,town,Senigallia,42045,5336.751,426881
42045,Senigallia,ANAA848024,"SENIGALLIA ""AQUILONE""",VIA BOCCHERINI,43.719225324507,13.209375386095,14919,43.7149517,13.2179488,town,Senigallia,42045,1619.217,162584
42045,Senigallia,ANAA848035,SENIGALLIA CESANO,VIA STRADA VI 28,43.742356744949,13.183339092781,14919,43.7149517,13.2179488,town,Senigallia,42045,4533.195,385058
42045,Senigallia,ANAA848057,"SENIGALLIA ""GIROTONDO""",P.LE MICHELANGELO,43.729447242814,13.19839272504,14919,43.7149517,13.2179488,town,Senigallia,42045,2501.027,187428
42045,Senigallia,ANAA84705B,SENIGALLIA S.GIOVANNI,VIA SAN GIOVANNI,43.720801977446,13.212013008012,14919,43.7149517,13.2179488,town,Senigallia,42045,1138.392,104885
42045,Senigallia,ANAA847028,SENIGALLIA P.ZA SAFFI,PIAZZA SAFFI 7,43.713459526239,13.21960166562,14919,43.7149517,13.2179488,town,Senigallia,42045,1094.571,83334
42045,Senigallia,ANAA83302A,SENIGALLIA S.ANGELO,VIA B.GO MARZI60,43.675678927122,13.218942694064,14919,43.7149517,13.2179488,town,Senigallia,42045,5852.166,415550
