from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
44007,Ascoli Piceno,APAA832014,DON LUIGI GIUSSANI,VIA DEI NARCISI 2,42.85121000039,13.623860009771,14960,42.8693507,13.7133753,village,Castel di Lama,44011,9131.26,629745
44007,Ascoli Piceno,APAA832036,POGGIO DI BRETTA,VIA EMIDIO LUZI,42.855408222773,13.646350614402,14960,42.8693507,13.7133753,village,Castel di Lama,44011,7606.578,503138
44007,Ascoli Piceno,APAA831029,VENAGRANDE,VIA DEL TORIIONE,42.892566134673,13.541950661001,14960,42.8693507,13.7133753,village,Castel di Lama,44011,20036.838,1444813
44007,Ascoli Piceno,APAA82101N,VILLA S. ANTONIO,VIA MONTE CATRIA N. 34,42.860660009487,13.715510002205,14960,42.8693507,13.7133753,village,Castel di Lama,44011,1662.584,151272
44007,Ascoli Piceno,APAA832025,MARINO DEL TRONTO,ZONA SERVIZI COLLETTIVI,42.85398,13.58441,14960,42.8693507,13.7133753,village,Castel di Lama,44011,12246.847,935770
44007,Ascoli Piceno,APAA831018,"CAP. ""C. COLLODI""",VIA ROSSINI,42.858372448969,13.565762793906,14960,42.8693507,13.7133753,village,Castel di Lama,44011,14588.592,1038239
44007,Ascoli Piceno,APAA83103A,"MOZZANO ""A. LATINI""",MOZZANO,42.83035,13.51098,14960,42.8693507,13.7133753,village,Castel di Lama,44011,22466.68,1168636
44007,Ascoli Piceno,APAA829029,VIA SASSARI 1,VIA SASSARI 1,42.848597655599,13.598913750746,14960,42.8693507,13.7133753,village,Castel di Lama,44011,11371.716,820638
44007,Ascoli Piceno,APAA83004G,CAP. S. AGOSTINO,CORSO MAZZINI,42.855112355671,13.576698617609,14960,42.8693507,13.7133753,village,Castel di Lama,44011,13066.678,1007415
44007,Ascoli Piceno,APAA83002D,CAP. S.DOMENICO,L.GO GIARDINO D'INFANZIA,42.851990194155,13.575805884658,14960,42.8693507,13.7133753,village,Castel di Lama,44011,17499.502,921167
44007,Ascoli Piceno,APAA83003E,SAN GAETANO,FRAZ. SAN GAETANO,42.87473641427,13.578725107878,14960,42.8693507,13.7133753,village,Castel di Lama,44011,15208.224,1187147
44007,Ascoli Piceno,APAA83001C,CAP. MALASPINA,VIA DEI MALASPINA 2,42.856479996283,13.579919977849,14960,42.8693507,13.7133753,village,Castel di Lama,44011,14138.421,1001505
44007,Ascoli Piceno,APAA829018,CAP. S.MARCELLO,VIA SARDEGNA,42.851074871702,13.599436199268,14960,42.8693507,13.7133753,village,Castel di Lama,44011,11250.752,860502
44007,Ascoli Piceno,AP1A02600A,"SCUOLA MATERNA NON STATALE ""MATER AMABILIS""",VIA LUCANIA 8,42.852819996352,13.60092997253,14960,42.8693507,13.7133753,village,Castel di Lama,44011,11027.962,841942
44007,Ascoli Piceno,AP1A02900T,"SCUOLA MATERNA NON STATALE ""PREZIOSISSIMO SANGUE""",VIA NAPOLI 56,42.850799999596,13.591379967328,14960,42.8693507,13.7133753,village,Castel di Lama,44011,12177.718,879172
44007,Ascoli Piceno,AP1A00200T,"SCUOLA MATERNA NON STATALE ""F.A.MARCUCCI""",VIA KENNEDY N. 13,42.85275000746,13.593969975409,14960,42.8693507,13.7133753,village,Castel di Lama,44011,11588.954,881040
44007,Ascoli Piceno,AP1A001002,"SCUOLA MATERNA NON STATALE ""CONCEZIONISTE""",VIA SAN GIACOMO3,42.856859989863,13.570450019823,14960,42.8693507,13.7133753,village,Castel di Lama,44011,18181.836,1009111
44007,Ascoli Piceno,AP1A019007,"SCUOLA MATERNA NON STATALE ""MARIO DE BERARDINIS""",VIALE VELLEI N. 16,42.85089,13.616837173,14960,42.8693507,13.7133753,village,Castel di Lama,44011,9961.857,718372
44054,Offida,APAA82104R,SCUOLA INFANZIA CAPOLUOGO,PIAZZA BARONCELLI,42.933674842924,13.688269909422,14960,42.8693507,13.7133753,village,Castel di Lama,44011,9653.044,706134
44013,Castorano,APAA82105T,SC. INFANZIA CASTORANO,VIA P.C. ORAZI,42.899458291689,13.731415986902,14960,42.8693507,13.7133753,village,Castel di Lama,44011,6983.69,565330
44005,Appignano del Tronto,APAA82102P,"APPIGNANO ""DON G. DI BENEDETTO""",VIA ROMA 142,42.899800018826,13.664339992061,14960,42.8693507,13.7133753,village,Castel di Lama,44011,7912.143,610075
44011,Castel di Lama,APAA82002V,FRAZ. VILLA SANT'ANTONIO,VIA GARIBALDI N.12,42.862799993187,13.716629992107,14960,42.8693507,13.7133753,village,Castel di Lama,44011,1256.598,124648
44011,Castel di Lama,APAA82001T,CAPOLUOGO,VIA CARRAFO,42.869372435638,13.713471562235,14960,42.8693507,13.7133753,village,Castel di Lama,44011,4.508,541
44016,Cossignano,APAA804054,COSSIGNANO,VIA G. PASSALI 30,42.983260011758,13.687059978809,15000,43.032052,13.684987,village,Carassai,44010,9983.943,743466
44032,Montalto delle Marche,APAA809046,SCUOLA INFANZIA MONTALTO MARCHE,VIA DEI TIGLI,42.990377249803,13.610350626579,15000,43.032052,13.684987,village,Carassai,44010,10817.722,798141
44063,Ripatransone,APAA80401X,RIPATRANSONE CAPOLUOGO,PIAZZALE SAN FILIPPO NERI,43.001189718242,13.764106535824,15000,43.032052,13.684987,village,Carassai,44010,12719.192,1171060
44063,Ripatransone,APAA804032,VALTESINO,VIA DEL TRICOLORE,42.977815416849,13.779445210083,15000,43.032052,13.684987,village,Carassai,44010,18820.671,1419667
44036,Montefiore dell'Aso,APAA804043,MONTEFIORE DELL'ASO,VIA TRIESTE 34,43.05344998513,13.757750016524,15000,43.032052,13.684987,village,Carassai,44010,8397.817,599615
44010,Carassai,APAA809035,CARASSAI,Non Disponibile,43.03312,13.68928,15000,43.032052,13.684987,village,Carassai,44010,406.318,34423
44011,Castel di Lama,APAA82002V,FRAZ. VILLA SANT'ANTONIO,VIA GARIBALDI N.12,42.862799993187,13.716629992107,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,16920.29,903897
44011,Castel di Lama,APAA82001T,CAPOLUOGO,VIA CARRAFO,42.869372435638,13.713471562235,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,16922.276,1059329
44020,Folignano,APAA817012,PLESSO INFANZIA VILLA PIGNA-01,VIA BARBARANA,42.834546032052,13.631477835438,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,8762.68,660589
44020,Folignano,APAA817034,PLESSO INFANZIA PIANE MORRO-03,VIALE VENEZIA,42.823182284067,13.652652632177,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,11761.348,877373
44020,Folignano,APAA817023,PLESSO INFANZIA FOLIGNANO-02,VIA VIE VECCHIE ALA EST,42.817841628354,13.631951434058,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,10476.358,937155
44073,Venarotta,APAA811035,VENAROTTA AA,VIA VALERIO VALENTINI 48,42.882030006909,13.496360030722,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,10502.488,705200
44027,Maltignano,APAA817045,PLESSO INFANZIA CASELLE MALT-04,V.LE LOMBARDIA,42.842813340633,13.671509115124,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,10941.622,669459
44012,Castignano,APAA809024,RIPABERARDA,Non Disponibile,42.93865,13.62296,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,19752.178,2065003
44012,Castignano,APAA809013,CASTIGNANO,VIA ZACCHIROLI 1,42.93934998705,13.624320008617,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,20156.398,2100650
44014,Colli del Tronto,APAA82103Q,COLLI DEL TR/VILLA S. GIUSEPPE,VIA DEL PARTIGIANO N.2,42.872699984756,13.748539981315,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,19430.796,1083552
44013,Castorano,APAA82105T,SC. INFANZIA CASTORANO,VIA P.C. ORAZI,42.899458291689,13.731415986902,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,22245.02,1301546
44005,Appignano del Tronto,APAA82102P,"APPIGNANO ""DON G. DI BENEDETTO""",VIA ROMA 142,42.899800018826,13.664339992061,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,15755.446,1610082
44064,Roccafluvione,APAA811013,CAPOLUOGO AA,VIA GIACOMO LEOPARDI 5,42.859360018214,13.476329964342,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,13301.193,850437
44001,Acquasanta Terme,APAA811046,SCUOLA INFANZIA ACQUASANTA,FRAZ. CENTRALE,42.791844947616,13.427420723665,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,17038.651,1138023
44065,Rotella,APAA809057,ROTELLA,VIA PIANE,42.952826863953,13.559004730858,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,20294.838,1953222
44007,Ascoli Piceno,APAA832014,DON LUIGI GIUSSANI,VIA DEI NARCISI 2,42.85121000039,13.623860009771,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,6868.326,638091
44007,Ascoli Piceno,APAA832036,POGGIO DI BRETTA,VIA EMIDIO LUZI,42.855408222773,13.646350614402,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,9710.886,867553
44007,Ascoli Piceno,APAA831029,VENAGRANDE,VIA DEL TORIIONE,42.892566134673,13.541950661001,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,8323.411,708678
44007,Ascoli Piceno,APAA82101N,VILLA S. ANTONIO,VIA MONTE CATRIA N. 34,42.860660009487,13.715510002205,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,16086.398,998096
44007,Ascoli Piceno,APAA832025,MARINO DEL TRONTO,ZONA SERVIZI COLLETTIVI,42.85398,13.58441,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,2804.227,367189
44007,Ascoli Piceno,APAA831018,"CAP. ""C. COLLODI""",VIA ROSSINI,42.858372448969,13.565762793906,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,2323.709,219527
44007,Ascoli Piceno,APAA83103A,"MOZZANO ""A. LATINI""",MOZZANO,42.83035,13.51098,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,6769.575,581227
44007,Ascoli Piceno,APAA829029,VIA SASSARI 1,VIA SASSARI 1,42.848597655599,13.598913750746,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,4516.031,473964
44007,Ascoli Piceno,APAA83004G,CAP. S. AGOSTINO,CORSO MAZZINI,42.855112355671,13.576698617609,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,3520.02,392965
44007,Ascoli Piceno,APAA83002D,CAP. S.DOMENICO,L.GO GIARDINO D'INFANZIA,42.851990194155,13.575805884658,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,481.273,63721
44007,Ascoli Piceno,APAA83003E,SAN GAETANO,FRAZ. SAN GAETANO,42.87473641427,13.578725107878,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,5047.519,603145
44007,Ascoli Piceno,APAA83001C,CAP. MALASPINA,VIA DEI MALASPINA 2,42.856479996283,13.579919977849,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,2279.061,306415
44007,Ascoli Piceno,APAA829018,CAP. S.MARCELLO,VIA SARDEGNA,42.851074871702,13.599436199268,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,4671.779,483745
44007,Ascoli Piceno,AP1A02600A,"SCUOLA MATERNA NON STATALE ""MATER AMABILIS""",VIA LUCANIA 8,42.852819996352,13.60092997253,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,4227.695,505574
44007,Ascoli Piceno,AP1A02900T,"SCUOLA MATERNA NON STATALE ""PREZIOSISSIMO SANGUE""",VIA NAPOLI 56,42.850799999596,13.591379967328,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,3497.006,370222
44007,Ascoli Piceno,AP1A00200T,"SCUOLA MATERNA NON STATALE ""F.A.MARCUCCI""",VIA KENNEDY N. 13,42.85275000746,13.593969975409,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,3956.683,412125
44007,Ascoli Piceno,AP1A001002,"SCUOLA MATERNA NON STATALE ""CONCEZIONISTE""",VIA SAN GIACOMO3,42.856859989863,13.570450019823,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,1092.32,124704
44007,Ascoli Piceno,AP1A019007,"SCUOLA MATERNA NON STATALE ""MARIO DE BERARDINIS""",VIALE VELLEI N. 16,42.85089,13.616837173,14874,42.8546185,13.5755038,city,Ascoli Piceno,44007,6263.4,597340
44011,Castel di Lama,APAA82002V,FRAZ. VILLA SANT'ANTONIO,VIA GARIBALDI N.12,42.862799993187,13.716629992107,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,22954.195,1090708
44011,Castel di Lama,APAA82001T,CAPOLUOGO,VIA CARRAFO,42.869372435638,13.713471562235,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,22956.181,1246140
44020,Folignano,APAA817012,PLESSO INFANZIA VILLA PIGNA-01,VIA BARBARANA,42.834546032052,13.631477835438,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,14796.585,847400
44020,Folignano,APAA817034,PLESSO INFANZIA PIANE MORRO-03,VIALE VENEZIA,42.823182284067,13.652652632177,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,17795.253,1064184
44020,Folignano,APAA817023,PLESSO INFANZIA FOLIGNANO-02,VIA VIE VECCHIE ALA EST,42.817841628354,13.631951434058,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,17537.385,1077732
44073,Venarotta,APAA811035,VENAROTTA AA,VIA VALERIO VALENTINI 48,42.882030006909,13.496360030722,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,11638.557,772868
44027,Maltignano,APAA817045,PLESSO INFANZIA CASELLE MALT-04,V.LE LOMBARDIA,42.842813340633,13.671509115124,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,16975.527,856270
44012,Castignano,APAA809024,RIPABERARDA,Non Disponibile,42.93865,13.62296,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,25201.285,2439439
44012,Castignano,APAA809013,CASTIGNANO,VIA ZACCHIROLI 1,42.93934998705,13.624320008617,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,25605.505,2475086
44014,Colli del Tronto,APAA82103Q,COLLI DEL TR/VILLA S. GIUSEPPE,VIA DEL PARTIGIANO N.2,42.872699984756,13.748539981315,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,25464.701,1270363
44013,Castorano,APAA82105T,SC. INFANZIA CASTORANO,VIA P.C. ORAZI,42.899458291689,13.731415986902,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,28278.924,1488357
44005,Appignano del Tronto,APAA82102P,"APPIGNANO ""DON G. DI BENEDETTO""",VIA ROMA 142,42.899800018826,13.664339992061,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,26413.932,1484031
44064,Roccafluvione,APAA811013,CAPOLUOGO AA,VIA GIACOMO LEOPARDI 5,42.859360018214,13.476329964342,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,6787.455,425345
44001,Acquasanta Terme,APAA811046,SCUOLA INFANZIA ACQUASANTA,FRAZ. CENTRALE,42.791844947616,13.427420723665,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,10524.913,712931
44065,Rotella,APAA809057,ROTELLA,VIA PIANE,42.952826863953,13.559004730858,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,25743.945,2327658
44007,Ascoli Piceno,APAA832014,DON LUIGI GIUSSANI,VIA DEI NARCISI 2,42.85121000039,13.623860009771,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,12791.961,920431
44007,Ascoli Piceno,APAA832036,POGGIO DI BRETTA,VIA EMIDIO LUZI,42.855408222773,13.646350614402,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,16705.957,994773
44007,Ascoli Piceno,APAA831029,VENAGRANDE,VIA DEL TORIIONE,42.892566134673,13.541950661001,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,13772.518,1083114
44007,Ascoli Piceno,APAA82101N,VILLA S. ANTONIO,VIA MONTE CATRIA N. 34,42.860660009487,13.715510002205,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,22120.303,1184907
44007,Ascoli Piceno,APAA832025,MARINO DEL TRONTO,ZONA SERVIZI COLLETTIVI,42.85398,13.58441,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,9741.796,625873
44007,Ascoli Piceno,APAA831018,"CAP. ""C. COLLODI""",VIA ROSSINI,42.858372448969,13.565762793906,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,7039.56,573407
44007,Ascoli Piceno,APAA83103A,"MOZZANO ""A. LATINI""",MOZZANO,42.83035,13.51098,14875,42.830614,13.5108277,village,Ascoli Piceno,44007,628.076,66511
