from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
72001,Acquaviva delle Fonti,BAAA89404E,VIA COCCIOLI,VIA COCCIOLI,40.901059715103,16.840259297438,12336,40.796728,16.92359,town,Gioia del Colle,72021,14269.365,968933
72001,Acquaviva delle Fonti,BAAA89504A,VIA DE GASPERI,VIA DE GASPERI,40.894968130638,16.846998254003,12336,40.796728,16.92359,town,Gioia del Colle,72021,13245.741,870294
72001,Acquaviva delle Fonti,BAAA89402C,PIAZZA GARIBALDI,PIAZZA GARIBALDI,40.896635898176,16.846399567141,12336,40.796728,16.92359,town,Gioia del Colle,72021,13438.537,893429
72001,Acquaviva delle Fonti,BAAA89401B,VIA TRENTO,VIA TRENTO,40.89427978191,16.840668246499,12336,40.796728,16.92359,town,Gioia del Colle,72021,14225.494,916236
72001,Acquaviva delle Fonti,BAAA895028,VIA CORIOLANO,VIA CORIOLANO 3,40.893459981723,16.848949974798,12336,40.796728,16.92359,town,Gioia del Colle,72021,13077.988,853420
72001,Acquaviva delle Fonti,BAAA895017,"""NICOLA CAPOZZO""",VIALE DELLA REPUBBLICA,40.903828721557,16.84644795347,12336,40.796728,16.92359,town,Gioia del Colle,72021,14674.068,1000859
72001,Acquaviva delle Fonti,BAAA895039,PLESSO VIA MASTROROCCO,VIA MASTROROCCO N. 48,40.900050001638,16.845409961811,12336,40.796728,16.92359,town,Gioia del Colle,72021,14141.433,958151
72001,Acquaviva delle Fonti,BA1A05900N,BIANCANEVE E I 7 NANI,VIA SANNICANDRO 68,40.90223998339,16.841970028748,12336,40.796728,16.92359,town,Gioia del Colle,72021,14604.296,1009125
72001,Acquaviva delle Fonti,BA1A17500C,S.GIUSEPPE,PZZA S.FRANCESCO 16,40.891330014398,16.843099993115,12336,40.796728,16.92359,town,Gioia del Colle,72021,13368.987,885084
72031,Noci,BAAA837028,"""SCOTELLARO""",VIA ROCCO SCOTELLARO,40.788039778781,17.122567243238,12336,40.796728,16.92359,town,Gioia del Colle,72021,18818.001,1151857
72031,Noci,BAAA838046,"""DOTT. UBALDO SEVESO""",VIA CINGRANELLA,40.799556882689,17.123398457194,12336,40.796728,16.92359,town,Gioia del Colle,72021,17711.851,1088997
72031,Noci,BAAA838013,"""PROF. VITTORIO TINELLI""",VIA PARAVENTO,40.794469854683,17.119341659528,12336,40.796728,16.92359,town,Gioia del Colle,72021,17778.494,1081357
72031,Noci,BAAA838035,"""DOTT. GIUSEPPE GUARELLA""",VIA GIOIA N.C.,40.795325997018,17.124191621161,12336,40.796728,16.92359,town,Gioia del Colle,72021,17807.355,1106145
72031,Noci,BAAA838024,C.DA LAMADACQUA,C.DA LAMADACQUA,40.728148144973,17.012736369295,12336,40.796728,16.92359,town,Gioia del Colle,72021,15452.589,1051670
72031,Noci,BAAA837017,"""GALLO""",VIA MONS. LUIGI GALLO,40.790800003237,17.128274970282,12336,40.796728,16.92359,town,Gioia del Colle,72021,18440.574,1148091
72041,Santeramo in Colle,BAAA16302P,VIA QUASIMODO,VIA ANNA FRANK,40.789550439082,16.755139699912,12336,40.796728,16.92359,town,Gioia del Colle,72021,15537.167,935709
72041,Santeramo in Colle,BAAA16301N,VIA MONTEFREDDO,VIA NOBEL,40.79621718229,16.749324795199,12336,40.796728,16.92359,town,Gioia del Colle,72021,16103.85,970179
72041,Santeramo in Colle,BAAA16202V,"""HERO PARADISO""",PIAZZA SAN GASPARE DEL BUFALO 4,40.793400006738,16.760489967074,12336,40.796728,16.92359,town,Gioia del Colle,72021,14781.829,885294
72041,Santeramo in Colle,BAAA16201T,BRUNO MUNARI,VIA DELLA REPUBBLICA 13,40.797750004939,16.760219985973,12336,40.796728,16.92359,town,Gioia del Colle,72021,14938.45,912845
72041,Santeramo in Colle,BA1A15300G,MONSIGNOR RAGO,CSO ITALIA 154,40.794450007749,16.751749988995,12336,40.796728,16.92359,town,Gioia del Colle,72021,15773.643,931627
72041,Santeramo in Colle,BA1A6T500Q,1 2 3 STELLA,VIA EUCLIDE 17,40.800015592984,16.762147546668,12336,40.796728,16.92359,town,Gioia del Colle,72021,15255.191,950856
72041,Santeramo in Colle,BA1A218005,BABY STAR,VIA COLLODI 25,40.788959986898,16.758849963899,12336,40.796728,16.92359,town,Gioia del Colle,72021,15373.448,918912
72047,Turi,BAAA833021,DON TONINO BELLO,VIA GIOIA CANALE,40.911846111508,17.018849978698,12336,40.796728,16.92359,town,Gioia del Colle,72021,16184.126,979740
72047,Turi,BAAA833032,SAN GIOVANNI BOSCO,VIA CHIARAPPA 1,40.919580003675,17.022729961678,12336,40.796728,16.92359,town,Gioia del Colle,72021,17469.264,1085301
72047,Turi,BAAA83301X,MADRE TERESA DI CALCUTTA,LARGO POZZI,40.916444983294,17.016325014185,12336,40.796728,16.92359,town,Gioia del Colle,72021,17068.236,1046999
72039,Sammichele di Bari,BAAA80502R,"SCUOLA INFANZIA ""VIA DE CURTIS""",VIA ANTONIO DE CURTIS 14,40.882029999458,16.950599996816,12336,40.796728,16.92359,town,Gioia del Colle,72021,10788.151,636506
72039,Sammichele di Bari,BAAA80501Q,"SCUOLA INFANZIA""VIA REPUBBLICA""",VIALE DELLA REPUBBLICA 62,40.889760000114,16.952270007204,12336,40.796728,16.92359,town,Gioia del Colle,72021,11599.404,686668
72036,Putignano,BAAA858018,CHIARA LUBICH,VIA SPINE ROSSINE,40.823507412703,17.137045149324,12336,40.796728,16.92359,town,Gioia del Colle,72021,21753.293,1557798
72036,Putignano,BAAA858029,PERRONE-KARUSIO,VIA R. VINELLA,40.851921516704,17.124381810828,12336,40.796728,16.92359,town,Gioia del Colle,72021,20443.128,1266174
