from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
25048,Santa Giustina,BLAA81902A,MEANO,VIA RAMENTERA 31,46.100510003092,12.066699961231,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,11894.838,707015
25048,Santa Giustina,BLAA819019,FRAZ. CERGNAI,VIA CAMPEL 10,46.096296722562,12.006294792619,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,17787.173,1162594
25048,Santa Giustina,BL1A03500R,"SCUOLA DELL'INFANZIA ""SANTA GIUSTINA""",VIA FELTRE 29,46.082060009279,12.039460033197,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,14244.659,866915
25011,Cesiomaggiore,BLAA81903B,GUIDO ROSSA,VIA TASIN 8,46.058319986825,11.988999970252,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,11848.387,865951
25011,Cesiomaggiore,BL1A01300X,"SCUOLA DELL'INFANZIA ""MATILDE MUFFONI""",PIAZZA FERRARI 7,46.07405,11.98467,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,14536.332,1037209
25021,Feltre,BLAA83301G,VIGNUI,VIA VIGNUI 1,46.056905276821,11.912760271948,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,19544.226,1354821
25021,Feltre,BLAA83302L,ANZU',VIA ANZU' 1,46.006469994786,11.935589980304,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,15572.549,1131677
25021,Feltre,BLAA83306R,VELLAI,VIA PAOLINA CELI 7,46.035660014504,11.937740022288,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,13520.394,898016
25021,Feltre,BLAA83307T,E. AGRIZZI,VIA DON A. SCOPEL 9,46.058770011207,11.934090038731,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,17137.808,1153920
25021,Feltre,BLAA83305Q,TOMO,VIA CROSERE 12,46.00462908049,11.896693546667,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,18543.29,1230375
25021,Feltre,BLAA83304P,PASQUER,VIA CISMON 3,46.025701351626,11.923536392443,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,14313.261,961936
25021,Feltre,BLAA83303N,MUGNAI,VIA SCUOLE 53,46.016169994146,11.868109960048,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,19008.558,1341290
25021,Feltre,BL1A01600B,"SCUOLA DELL'INFANZIA ""MADONNA DI LOURDES""",VIA DEGLI ALPINI 5,46.03924000917,11.90902001779,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,17563.478,1201933
25021,Feltre,BL1A018003,"SCUOLA DELL'INFANZIA ""DON BOSCO""",VIALE PEDAVENA 3,46.025400020194,11.89556999686,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,16657.338,1127741
25053,Sedico,BLAA83203T,SCUOLA DELL'INFANZIA - SEDICO,VIA CAL DE MESSA 24,46.108179989321,12.094299975827,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,10719.011,661604
25053,Sedico,BLAA83204V,SCUOLA DELL'INFANZIA - ROE,VIA SOMMARIVA 4,46.129150002324,12.110950039751,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,13456.22,860501
25053,Sedico,BLAA83201Q,SCUOLA DELL'INFANZIA - BOLAGO,VIA BOLAGO 30,46.151800000179,12.155019991172,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,18469.513,1285402
25053,Sedico,BL1A03600L,"SCUOLA DELL'INFANZIA ""DON MODESTO SORIO""",PIAZZA SAN NICOLO 1,46.095700006045,12.081459989809,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,10483.361,629530
25070,Quero Vas,BLAA81301A,"""MADONNA DEL PIAVE"" - VAS",VIA PIAVE N. 3,45.921580007263,11.932999972223,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,24920.166,1452600
25070,Quero Vas,BL1A032009,"SCUOLA DELL'INFANZIA ""MARIA VERGERIO CASAMATTA""",VIA GIOVANNI XXIII 1,45.922899989375,11.932450035555,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,24727.83,1442417
25029,Limana,BLAA81602V,NAVASA,VIA NAVASA 1,46.104120004971,12.19709999496,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,11092.977,698690
25029,Limana,BL1A02400A,"SCUOLA DELL'INFANZIA ""SANTA MARIA ASSUNTA""",VIA ROMA 211,46.098689998546,12.177370000713,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,8989.761,566236
25074,Borgo Valbelluna,BLAA80901P,"""GIOVANNI XXIII""-VILLA DI VILLA",VIA XXII MARZO,46.043039981017,12.062934304791,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,4180.178,275640
25074,Borgo Valbelluna,BLAA80902Q,"""MARIA IMMACOLATA"" - CARVE",VIA CARVE,46.045204133373,12.093521595758,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,4011.56,286283
25074,Borgo Valbelluna,BLAA81601T,FRAZ. S. ANTONIO DI TORTAL,VIA MARTIRI DELLA LIBERTA 30,46.039279990848,12.161510014982,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,9769.272,642080
25074,Borgo Valbelluna,BLAA81603X,TRICHIANA,VIA BARP 2,46.073534674606,12.132751342726,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,4721.584,316612
25074,Borgo Valbelluna,BL1A04500B,"SCUOLA DELL'INFANZIA ""NAZARET""",VIA T. VECELLIO 11,46.044139985947,12.027899963794,7836,46.0623126,12.0794317,village,Borgo Valbelluna,25074,5338.291,392774
25048,Santa Giustina,BLAA81902A,MEANO,VIA RAMENTERA 31,46.100510003092,12.066699961231,7837,46.0447958,12.0213413,village,Borgo Valbelluna,25074,13015.148,904960
25048,Santa Giustina,BLAA819019,FRAZ. CERGNAI,VIA CAMPEL 10,46.096296722562,12.006294792619,7837,46.0447958,12.0213413,village,Borgo Valbelluna,25074,12251.391,885204
25048,Santa Giustina,BL1A03500R,"SCUOLA DELL'INFANZIA ""SANTA GIUSTINA""",VIA FELTRE 29,46.082060009279,12.039460033197,7837,46.0447958,12.0213413,village,Borgo Valbelluna,25074,9966.356,697689
25011,Cesiomaggiore,BLAA81903B,GUIDO ROSSA,VIA TASIN 8,46.058319986825,11.988999970252,7837,46.0447958,12.0213413,village,Borgo Valbelluna,25074,5836.395,490161
25011,Cesiomaggiore,BL1A01300X,"SCUOLA DELL'INFANZIA ""MATILDE MUFFONI""",PIAZZA FERRARI 7,46.07405,11.98467,7837,46.0447958,12.0213413,village,Borgo Valbelluna,25074,8524.34,661419
