from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
16082,Corna Imagna,BGAA87201G,CORNA IMAGNA,VIA FINILMASCHER,45.831249267872,9.54508653044,3141,45.8116872,9.5359629,village,Sant'Omobono Terme,16252,5290.98,426650
16023,Berbenno,BGAA87203N,BERBENNO PONTE GIURINO,VIA DEGLI EMIGRANTI 8,45.798390002827,9.55837998053,3141,45.8116872,9.5359629,village,Sant'Omobono Terme,16252,3047.703,254117
16023,Berbenno,BGAA87204P,BERBENNO SCUOLA INFANZIA,VIA PAPA GIOVANNI XXIII? N. 15,45.809409984299,9.578109974776,3141,45.8116872,9.5359629,village,Sant'Omobono Terme,16252,10761.787,729807
16186,Rota d'Imagna,BG1A16600P,"SCUOLA MATERNA ""SOTTOTENENTE ATTILIO ZANETTI",VIA VITTORIO EMANUELEN.10,45.831110019158,9.512259983231,3141,45.8116872,9.5359629,village,Sant'Omobono Terme,16252,4542.578,374990
16253,Val Brembilla,BG1A05500B,"""SS.INNOCENTI""",VIA STEFANO SCAGLIA 4,45.828342479,9.5966,3141,45.8116872,9.5359629,village,Sant'Omobono Terme,16252,15018.429,1414405
16185,Roncola,BG1A16500V,"SCUOLA MATERNA ""BORTOLO ROTA """,VIA ROMAN.13,45.76909001254,9.560479982551,3141,45.8116872,9.5359629,village,Sant'Omobono Terme,16252,15663.49,1171114
16252,Sant'Omobono Terme,BG1A177005,"SCUOLA MATERNA ""GIOVANNI XXIII""",VIA VERDI N.6,45.81422999772,9.533480028405,3141,45.8116872,9.5359629,village,Sant'Omobono Terme,16252,502.363,50228
16252,Sant'Omobono Terme,BG1A17500D,"SCUOLA MATERNA""SANT'OMOBONO """,PIAZZA MAZZOLENI 1,45.816050395774,9.519831627273,3141,45.8116872,9.5359629,village,Sant'Omobono Terme,16252,2748.832,237641
16082,Corna Imagna,BGAA87201G,CORNA IMAGNA,VIA FINILMASCHER,45.831249267872,9.54508653044,3142,45.827283,9.495347,village,Sant'Omobono Terme,16252,9078.734,692787
16023,Berbenno,BGAA87203N,BERBENNO PONTE GIURINO,VIA DEGLI EMIGRANTI 8,45.798390002827,9.55837998053,3142,45.827283,9.495347,village,Sant'Omobono Terme,16252,7724.291,591362
16023,Berbenno,BGAA87204P,BERBENNO SCUOLA INFANZIA,VIA PAPA GIOVANNI XXIII? N. 15,45.809409984299,9.578109974776,3142,45.827283,9.495347,village,Sant'Omobono Terme,16252,15438.376,1067052
16186,Rota d'Imagna,BG1A16600P,"SCUOLA MATERNA ""SOTTOTENENTE ATTILIO ZANETTI",VIA VITTORIO EMANUELEN.10,45.831110019158,9.512259983231,3142,45.827283,9.495347,village,Sant'Omobono Terme,16252,3541.71,462812
16253,Val Brembilla,BG1A05500B,"""SS.INNOCENTI""",VIA STEFANO SCAGLIA 4,45.828342479,9.5966,3142,45.827283,9.495347,village,Sant'Omobono Terme,16252,19695.018,1751650
16185,Roncola,BG1A16500V,"SCUOLA MATERNA ""BORTOLO ROTA """,VIA ROMAN.13,45.76909001254,9.560479982551,3142,45.827283,9.495347,village,Sant'Omobono Terme,16252,13068.135,940905
