from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
96043,Piatto,BIAA81702R,PIATTO INFANZIA,VIA CHIESA 2,45.590479995865,8.134639965433,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,4363.525,629803
96020,Cossato,BIAA816021,"COSSATO ""SPOLINA""",VIA SPOLINA N. 39,45.550961663142,8.175614421002,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,3971.694,363614
96020,Cossato,BIAA81601X,COSSATO MASSERIA,VIA MILANO N. 22,45.564749983868,8.190209971829,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,3711.367,347536
96020,Cossato,BIAA816032,COSSATO CENTRO,PIAZZA PEROTTI N. 6,45.570248771028,8.180365813065,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,2633.852,225647
96077,Vigliano Biellese,BIAA81801G,VIGLIANO BIELLESE,LARGO STAZIONE 2,45.564756837927,8.106545767698,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,6394.624,528941
96077,Vigliano Biellese,BIAA815047,BIELLA PIAZZO,VIA AVOGADRO,45.569399837299,8.105820139825,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,6900.909,561249
96077,Vigliano Biellese,BI1A02300L,Asilo Infantile Silvia Rivetti Mazzucchetti,VIA DETOMATI 38,45.563670017553,8.110439986042,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,6275.64,549388
96077,Vigliano Biellese,BI1A02400C,ISTITUTO VILLAGGIO RIVETTI,VIA LIBERTA' 13,45.562249997427,8.090660035652,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,7801.175,649521
96074,Valle San Nicolao,BIAA81905G,VALLE SAN NICOLAO,FRAZ. CHIESA 3,45.609339990471,8.142119975827,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,5592.503,443137
96071,Valdengo,BI1A026004,Scuola Materna Albertina e Cav. del Lavoro Rivetti,Via San Giovanni Bosco 12,45.571340003783,8.134580034825,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,4546.44,379318
96087,Quaregna Cerreto,BIAA81703T,QUAREGNA INFANZIA,VIA AVOGADRO 13,45.578280010064,8.165329968634,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,925.959,100639
96087,Quaregna Cerreto,BIAA81701Q,CERRETO CASTELLO INFANZIA,VIA ROMA 16,45.565749986826,8.154099978578,5978,45.5750175,8.1614002,village,Quaregna Cerreto,96087,2537.976,220186
96049,Pralungo,BIAA80005E,PRALUNGO SAN EUROSIA,VIA R0BELLO53,45.611475442,8.021890001,6038,45.5930492,8.0516761,village,Tollegno,96068,5096.312,421039
