from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
17028,Breno,BSAA819028,INFANZIA PESCARZO,VIA ASILO,45.951916222885,10.310977746329,3596,45.9308588,10.3103078,village,Bienno,17018,5127.598,688829
17028,Breno,BSAA819017,INFANZIA MEZZARRO,VIA MEZZARRO,45.950329998019,10.289569981531,3596,45.9308588,10.3103078,village,Bienno,17018,4468.896,346608
17028,Breno,BS1A076001,ING. E. VALVERTI,VIA MADRE COCCHETTI 6,45.957429993878,10.306870020138,3596,45.9308588,10.3103078,village,Bienno,17018,6649.781,453683
17055,Cividate Camuno,BSAA807011,SC.MATERNA DI CIVIDATE CAMUNO,VIA CORTIGLIONE N. 25,45.942219982828,10.275890003087,3596,45.9308588,10.3103078,village,Bienno,17018,4648.137,558294
17017,Berzo Inferiore,BSAA83701R,SCUOLA MATERNA STATALE BERZO I.,VIA S. TOMMASO 3,45.933441219275,10.281128951918,3596,45.9308588,10.3103078,village,Bienno,17018,2734.776,291043
17010,Bagolino,BS1A054004,ANGELI CUSTODI,VIA PARROCCHIA 18,45.822380015544,10.465229987383,3596,45.9308588,10.3103078,village,Bienno,17018,38275.873,2447635
17024,Bovegno,BS1A07200N,S. DOROTEA,VIA IV NOVEMBRE 41,45.792523310777,10.270916623185,3596,45.9308588,10.3103078,village,Bienno,17018,65049.857,4258642
17058,Collio,BS1A074009,ASILO INFANTILE DI COLLIO,VIA SAN ROCCO - 15/A,45.810769989998,10.331550031123,3596,45.9308588,10.3103078,village,Bienno,17018,58787.069,3880540
17018,Bienno,BSAA83702T,SCUOLA MATERNA STATALE BIENNO,VIA COLTURE N. 20,45.937849598938,10.29361383864,3596,45.9308588,10.3103078,village,Bienno,17018,2576.936,196387
17018,Bienno,BS1A167003,MARIA BAMBINA,VIA SAN MARCO 14,45.930348443697,10.31100082933,3596,45.9308588,10.3103078,village,Bienno,17018,107.824,11459
17018,Bienno,BS1A28300T,Santa Geltrude Comensoli,VIA F. BELLICINI 2,45.938259994582,10.293499962563,3596,45.9308588,10.3103078,village,Bienno,17018,2636.852,203577
17028,Breno,BSAA819028,INFANZIA PESCARZO,VIA ASILO,45.951916222885,10.310977746329,3597,45.935562,10.2947906,village,Bienno,17018,5094.565,382063
17028,Breno,BSAA819017,INFANZIA MEZZARRO,VIA MEZZARRO,45.950329998019,10.289569981531,3597,45.935562,10.2947906,village,Bienno,17018,2228.069,182081
