from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
74014,San Michele Salentino,BRAA80001P,COSIMO CARLUCCI,VIA DE AMICIS,40.629084887289,17.630718440545,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,13276.123,1072750
74020,Villa Castelli,BRAA808019,G. DELEDDA,VIA DELEDDA,40.586570134573,17.475038121896,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,12540.397,771443
74020,Villa Castelli,BRAA80803B,G. RODARI,VIA MAZZINI,40.577875461734,17.478713449493,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,12142.537,748957
74020,Villa Castelli,BRAA80802A,C. COLLODI,VIA MATTEOTTI,40.583298052139,17.474129981116,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,12235.588,734865
74011,Oria,BRAA82602X,VIA VIRGILIO,VIA VIRGILIO,40.505969156308,17.650513478403,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,7982.845,620778
74011,Oria,BRAA825013,PLESSO PARCO MONTALBANO,VIA BASTIA,40.50028345235,17.642608043631,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,7174.581,544693
74011,Oria,BRAA82601V,GIOVANNI PAOLO II,VIA CAMILLO CAVOUR1,40.497439992846,17.639330000449,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,6919.01,524698
74011,Oria,BRAA825024,PLESSO GUALBERTO DE MARZO,VIA G. DE MARZO,40.494509993817,17.646300013944,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,8253.505,630121
74011,Oria,BR1A03800P,GIARDINO D'INFANZIA,VICO LATIANO S.N.C.,40.501350003994,17.644549998289,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,7342.48,552449
74009,Latiano,BRAA83002G,VIA TRENTO,VIA SCAZZERI,40.554973562441,17.720610548369,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,13556.855,772859
74009,Latiano,BRAA83001E,VIA DALMAZIA,VIA DALMAZIA,40.548739983106,17.717079307979,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,12959.99,740819
74009,Latiano,BRAA83004N,VIA TRIESTE,VIA TRIESTE,40.551390489321,17.722729267113,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,13382.753,750856
74009,Latiano,BRAA83003L,VIA BARACCA,VIA BARACCA,40.551773291517,17.713083114713,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,12633.175,707192
74009,Latiano,BR1A03400B,LA GIRANDOLA,VIA BELLINI 68,40.550970011647,17.711289980314,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,12385.662,689210
74003,Ceglie Messapica,BRAA82802G,"""G. RODARI""",VIA SALERNO,40.646047861949,17.509295002467,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,15383.599,979986
74003,Ceglie Messapica,BRAA82801E,"""F.LLI GRIMM""",VIA GENOVA,40.649161383339,17.510067139648,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,15795.655,985694
74003,Ceglie Messapica,BRAA82803L,"""M. MONTESSORI""",VIA MATERA,40.646116850663,17.509556147478,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,15376.735,979162
74003,Ceglie Messapica,BRAA82902B,COLLODI,VIA FRANCAVILLA,40.644243133296,17.521481056166,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,14289.395,878717
74003,Ceglie Messapica,BRAA82903C,PIAZZA REPUBBLICA,PIAZZA REPUBBLICA,40.643805900826,17.51838807489,12419,40.5301622,17.5826774,town,Francavilla Fontana,74008,14427.468,892910
