from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
85012,Mussomeli,CLAA81801A,VIA MADONNA DI FATIMA,VIA MADONNA DI FATIMA SNC,37.580294114535,13.754867037092,10514,37.6541424,13.8434233,village,Villalba,85022,13333.396,1393229
85012,Mussomeli,CLAA81805E,"""MADRE TERESA DI CALCUTTA"" MUSS",VIA LEONARDO DA VINCI SNC,37.574733853815,13.75207473182,10514,37.6541424,13.8434233,village,Villalba,85022,15407.743,1278119
85012,Mussomeli,CL1A004002,"""AVV. G. LA RIZZA""",VIA V. E. ORLANDO 3,37.580079993969,13.756700015514,10514,37.6541424,13.8434233,village,Villalba,85022,13293.381,1388426
85012,Mussomeli,CL1A00700D,"""SORELLE SOLA - S. ENRICO""",VIA VANELLE 34,37.576419994038,13.756229958383,10514,37.6541424,13.8434233,village,Villalba,85022,14986.188,1264062
85021,Vallelunga Pratameno,CLAA80401C,GIOVANNI XXIII,VIA NICOLO' AUDINO SNC,37.69427479583,13.809808869705,10514,37.6541424,13.8434233,village,Villalba,85022,7125.201,708327
85021,Vallelunga Pratameno,CL1A00200A,"""SS. ANGELI CUSTODI""",VIA GARIBALDI 5,37.684609996008,13.832859999422,10514,37.6541424,13.8434233,village,Villalba,85022,4252.982,504064
85008,Marianopoli,CLAA80403E,MARIANOPOLI-VIALE DELLA REGIONE,VIA PIAZZA ARMERINA,37.599525637969,13.91285129353,10514,37.6541424,13.8434233,village,Villalba,85022,12359.657,1187030
85022,Villalba,CLAA80402D,VILLALBA - DON MILANI,VIA ADUA SNC,37.65346297945,13.845023415425,10514,37.6541424,13.8434233,village,Villalba,85022,173.402,20808
85022,Villalba,CLAA80402D,VILLALBA - DON MILANI,VIA ADUA SNC,37.65346297945,13.845023415425,10518,37.682047,13.83156,village,Vallelunga Pratameno,85021,4191.359,470314
85021,Vallelunga Pratameno,CLAA80401C,GIOVANNI XXIII,VIA NICOLO' AUDINO SNC,37.69427479583,13.809808869705,10518,37.682047,13.83156,village,Vallelunga Pratameno,85021,3279.989,253194
85021,Vallelunga Pratameno,CL1A00200A,"""SS. ANGELI CUSTODI""",VIA GARIBALDI 5,37.684609996008,13.832859999422,10518,37.682047,13.83156,village,Vallelunga Pratameno,85021,306.144,36737
85007,Gela,CLAA81103N,"""G. VERGA"" - VIA SALONICCO N. 2",VIA SALONICCO N. 2,37.076260013076,14.220750003225,10508,37.1861617,14.1860155,village,Butera,85003,18052.198,1162533
85007,Gela,CLAA827026,"""S. M. DI GESU'""",VIA VENTURA N. 122,37.068430016315,14.24767996848,10508,37.1861617,14.1860155,village,Butera,85003,18936.727,1203982
85007,Gela,CLAA81002R,"""GIOVANNI XXIII""",VIA SETTEFARINI SNC,37.098619968742,14.258290059639,10508,37.1861617,14.1860155,village,Butera,85003,18034.799,1221022
85007,Gela,CLAA014025,"""BENEDETTO CROCE""",LARGO BORCA DI CADORE,37.075998592031,14.231754145376,10508,37.1861617,14.1860155,village,Butera,85003,17279.903,1081395
85007,Gela,CLAA81101G,VIA CAVIAGA E VIA PANDINO,VIA CAVIAGA 6 - VIA PANDINO 4,37.07879000673,14.210790039138,10508,37.1861617,14.1860155,village,Butera,85003,18833.553,1183402
85007,Gela,CLAA01102N,GAETANO ORTISI,VIA ACHILLE GRANDI,37.073177357271,14.234949155067,10508,37.1861617,14.1860155,village,Butera,85003,17962.63,1122086
85007,Gela,CLAA82403Q,MADRE TERESA DI CALCUTTA,VIA PABLO PICASSO,37.080091059001,14.237752920566,10508,37.1861617,14.1860155,village,Butera,85003,17416.163,1076910
85007,Gela,CLAA82302V,"""SAN SEBASTIANO""GELA",VIA FUENTES,37.080780017227,14.252715019627,10508,37.1861617,14.1860155,village,Butera,85003,18997.777,1258503
85007,Gela,CLAA83202N,"""CAPPUCCINI""",VIA FEACE 130,37.067910003042,14.242500036136,10508,37.1861617,14.1860155,village,Butera,85003,18831.92,1219970
85007,Gela,CLAA82301T,VIA GIULIO SIRAGUSA,VIA GIULIO SIRAGUSA,37.071993547986,14.255006144089,10508,37.1861617,14.1860155,village,Butera,85003,19155.358,1180340
85007,Gela,CLAA83201L,"""FEACE""",VIA FEACE 128,37.067940010255,14.242419988961,10508,37.1861617,14.1860155,village,Butera,85003,18824.088,1219030
85007,Gela,CLAA83203P,"""EMANUELA LOI""",VIA CAPPUCCINI SNC,37.067650837611,14.243873405568,10508,37.1861617,14.1860155,village,Butera,85003,19031.866,1243964
85007,Gela,CLAA81104P,"""LEONARDO SCIASCIA""",VIA GENOVA 9,37.072459993452,14.235889983473,10508,37.1861617,14.1860155,village,Butera,85003,17958.757,1120668
85007,Gela,CLAA83102T,"""NICHOLAS GREEN""",VIA BORROMINI,37.075261376534,14.249880222057,10508,37.1861617,14.1860155,village,Butera,85003,18658.543,1157831
85007,Gela,CLAA83101R,"""COSTA ZAMPOGNA""",VIA RECANATI,37.073061138437,14.244966970123,10508,37.1861617,14.1860155,village,Butera,85003,18322.554,1126921
85007,Gela,CLAA014047,VIA EUROPA,VIA EUROPA 119,37.070509985588,14.229889965723,10508,37.1861617,14.1860155,village,Butera,85003,17986.3,1166164
85007,Gela,CLAA014014,LUIGI CAPUANA,VIA PALAZZI 48,37.073140017257,14.233800039736,10508,37.1861617,14.1860155,village,Butera,85003,17713.387,1115065
85007,Gela,CLAA82404R,ANNA FRANK,VIA BUTERA S.N.,37.077313395242,14.233009883953,10508,37.1861617,14.1860155,village,Butera,85003,17089.479,1052466
85007,Gela,CLAA83103V,DON LORENZO MILANI,VIA VENEZIA SNC,37.074846704347,14.245271343941,10508,37.1861617,14.1860155,village,Butera,85003,18077.421,1100837
85007,Gela,CLAA827037,"""CARLO COLLODI""",VIA GIARDINELLI-,37.066722495873,14.252311328663,10508,37.1861617,14.1860155,village,Butera,85003,19515.452,1206499
85007,Gela,CLAA01106T,ENRICO SOLITO -S.MARIA DI GESU',VIA VENTURA,37.067819579055,14.249004080774,10508,37.1861617,14.1860155,village,Butera,85003,19072.172,1220236
85007,Gela,CLAA01108X,RITA LEVI MONTALCINI,VIA PAOLO ORSI 29,37.069611462797,14.233615300892,10508,37.1861617,14.1860155,village,Butera,85003,18265.182,1170960
85007,Gela,CLAA011091,GIOBERTI,VIA PALAZZI 95,37.07250001704,14.234660023001,10508,37.1861617,14.1860155,village,Butera,85003,17818.084,1122603
85007,Gela,CLAA827015,"""P. E. GIUDICI""",Non Disponibile,37.087110001,14.279579453,10508,37.1861617,14.1860155,village,Butera,85003,22288.189,1588671
85007,Gela,CLAA83104X,PIAZZA ALEMANNA,VIA A. NOBEL,37.073155801095,14.247053044262,10508,37.1861617,14.1860155,village,Butera,85003,18380.178,1122482
85007,Gela,CLAA81001Q,VIA SALONICCO,VIA SALONICCO SNC,37.077278264678,14.221432101584,10508,37.1861617,14.1860155,village,Butera,85003,17925.127,1147285
85007,Gela,CLAA82303X,"""FALCONE-BORSELLINO"" GELA",VIA PELLEGRINI SNC,37.07429729901,14.260265591929,10508,37.1861617,14.1860155,village,Butera,85003,20265.36,1288233
85007,Gela,CL1AHQ500S,"scuola dell'infanzia ""Istituto Ancelle missionarie di Cristo Re""",via E. Morselli 63,37.071040015235,14.231320002224,10508,37.1861617,14.1860155,village,Butera,85003,17992.021,1166851
85007,Gela,CL1A02100Q,"""PADRE GIOVANNI MINOZZI""",VIA EUROPA 54,37.070220013647,14.229610010157,10508,37.1861617,14.1860155,village,Butera,85003,18028.361,1171211
85007,Gela,CL1A02000X,"""SUOR TERESA VALSE'""",VIALE CORTEMAGGIORE 132,37.079399999734,14.209620009274,10508,37.1861617,14.1860155,village,Butera,85003,19054.277,1197701
85015,Riesi,CLAA81702G,"""BIAGIO PISTONE""",VIA FELICE CAVALLOTTI,37.285613841583,14.080005592948,10508,37.1861617,14.1860155,village,Butera,85003,18503.891,1136010
85015,Riesi,CLAA81703L,"""GIUSEPPE PATERNA""",VIALE UMBRIA,37.280315348138,14.083276574798,10508,37.1861617,14.1860155,village,Butera,85003,17449.572,1105732
85015,Riesi,CLAA81705P,C.DA GIARRATANA DD,VIA VESPRI,37.297545,14.090688605,10508,37.1861617,14.1860155,village,Butera,85003,19724.843,1282524
85015,Riesi,CLAA81701E,C.DA GIARRATANA IST. COMPR.,VIA VESPRI SNC,37.297545,14.090688605,10508,37.1861617,14.1860155,village,Butera,85003,19724.843,1282524
85015,Riesi,CLAA81704N,"""ANGELO GALLO""",VIA NAPOLI,37.280878912383,14.088285671611,10508,37.1861617,14.1860155,village,Butera,85003,17017.995,1053943
85015,Riesi,CL1A02300B,"""DON S. RIGGIO""",VIA CARLO ALBERTO 60,37.283090011814,14.083029969634,10508,37.1861617,14.1860155,village,Butera,85003,17696.889,1135410
85015,Riesi,CL1A01500C,"""MONTE DEGLI ULIVI""",VIA MONTE DEGLI ULIVI 6,37.278890007771,14.089429971804,10508,37.1861617,14.1860155,village,Butera,85003,16904.269,1040296
85009,Mazzarino,CLAA816071,MADUNNUZZA,VIA DELLA PACE,37.300097335486,14.210186597973,10508,37.1861617,14.1860155,village,Butera,85003,16383.716,1132635
85009,Mazzarino,CLAA816082,SAN DOMENICO,CORSO VITTORIO EMANUELE 291,37.305337986835,14.218513588391,10508,37.1861617,14.1860155,village,Butera,85003,17395.341,1224714
85003,Butera,CLAA82402P,SAN ROCCO,VIA SAN ROCCO 1,37.186160007113,14.186970011418,10508,37.1861617,14.1860155,village,Butera,85003,81.468,9776
85003,Butera,CLAA82401N,PIAZZALE ITALIA,PIAZZALE ITALIA 1,37.193230016713,14.181880016896,10508,37.1861617,14.1860155,village,Butera,85003,1175.292,101290
85012,Mussomeli,CLAA81801A,VIA MADONNA DI FATIMA,VIA MADONNA DI FATIMA SNC,37.580294114535,13.754867037092,18454,37.4738288,13.7807446,village,Bompensiere,85002,15912.421,1107088
85012,Mussomeli,CLAA81805E,"""MADRE TERESA DI CALCUTTA"" MUSS",VIA LEONARDO DA VINCI SNC,37.574733853815,13.75207473182,18454,37.4738288,13.7807446,village,Bompensiere,85002,15500.927,1034324
85012,Mussomeli,CL1A004002,"""AVV. G. LA RIZZA""",VIA V. E. ORLANDO 3,37.580079993969,13.756700015514,18454,37.4738288,13.7807446,village,Bompensiere,85002,15866.643,1112234
85012,Mussomeli,CL1A00700D,"""SORELLE SOLA - S. ENRICO""",VIA VANELLE 34,37.576419994038,13.756229958383,18454,37.4738288,13.7807446,village,Bompensiere,85002,15079.371,1020267
85020,Sutera,CLAA81806G,SUTERA - VIA ORTI,VIA ORTISNC,37.495530001,13.733689148,18454,37.4738288,13.7807446,village,Bompensiere,85002,18491.258,1923149
85010,Milena,CLAA82003C,"""GIANNI RODARI"" - MILENA",VIA GIACOMO MATTEOTTI SNC,37.469081600189,13.732520128041,18454,37.4738288,13.7807446,village,Bompensiere,85002,6090.898,405754
85011,Montedoro,CLAA82005E,MONTEDORO - ANNA FRANK,VIA DELLE ZOLFARE 7,37.454021044686,13.823865923149,18454,37.4738288,13.7807446,village,Bompensiere,85002,7068.269,486976
85011,Montedoro,CL1AGB500P,MARIA SS DEL ROSARIO E SAN GIUSEPPE,VIA GIACOMO LEOPARDI 3,37.455167874044,13.818643708422,18454,37.4738288,13.7807446,village,Bompensiere,85002,6219.324,395168
85002,Bompensiere,CLAA82004D,"""CARLO COLLODI"" - BOMPENSIERE",VIALE LUIGI PIRANDELLO SNC,37.472865594727,13.779018003767,18454,37.4738288,13.7807446,village,Bompensiere,85002,334.718,37554
85016,San Cataldo,CLAA024105,VIA CARDUCCI,VIA CARDUCCI,37.485537561746,13.992090007247,10370,37.4899412,14.0631618,city,Caltanissetta,85004,7733.348,538651
85016,San Cataldo,CLAA02502G,BALSAMO,VIA MONS. CAMMARATA,37.481522074469,13.983659992918,10370,37.4899412,14.0631618,city,Caltanissetta,85004,8779.224,609750
85016,San Cataldo,CLAA02501E,SAN FILIPPO NERI,VIA SAN FILIPPO NERI,37.482501306335,13.985727526099,10370,37.4899412,14.0631618,city,Caltanissetta,85004,8492.175,575305
85016,San Cataldo,CLAA02405V,RIONE BELVEDERE,VIA ENRICO FERMI,37.489845245283,13.995044130398,10370,37.4899412,14.0631618,city,Caltanissetta,85004,7474.983,527043
85016,San Cataldo,CLAA02406X,VIA CATTANEO,VIA CATTANEO,37.491731793901,13.987434159151,10370,37.4899412,14.0631618,city,Caltanissetta,85004,8437.095,613850
85016,San Cataldo,CLAA02401P,VIA R. LAMBRUSCHINI,VIA R. LAMBRUSCHINI,37.491792811627,13.989701469116,10370,37.4899412,14.0631618,city,Caltanissetta,85004,8255.779,619659
85016,San Cataldo,CLAA024093,CORSO UNITA' D'ITALIA,CORSO UNITA' D'ITALIA,37.492446240097,13.994229999266,10370,37.4899412,14.0631618,city,Caltanissetta,85004,7522.042,541683
85016,San Cataldo,CL1A02900A,KINDERS' SCHOOL SOC. COOP. SOCIALE,VIA BABBAURRA - SN,37.487551337971,13.997810290107,10370,37.4899412,14.0631618,city,Caltanissetta,85004,6973.545,482382
85017,Santa Caterina Villarmosa,CLAA807021,S.ANNA,VIA XX SETTEMBRE 225,37.589209982003,14.026959982713,10370,37.4899412,14.0631618,city,Caltanissetta,85004,15895.274,1361890
85017,Santa Caterina Villarmosa,CLAA80701X,"""MADRE TERESA DI CALCUTTA""",VIA TRIESTE SNC,37.58887407953,14.037207207711,10370,37.4899412,14.0631618,city,Caltanissetta,85004,15056.048,1276010
85017,Santa Caterina Villarmosa,CL1A00600N,"""COLLEGIO DI MARIA""",VIA P. E. GIUDICI 25,37.589139993111,14.035380023548,10370,37.4899412,14.0631618,city,Caltanissetta,85004,15021.985,1267529
85018,Serradifalco,CLAA82002B,FRANCESCA MORVILLO,VIA KENNEDY,37.454219185585,13.878055012687,10370,37.4899412,14.0631618,city,Caltanissetta,85004,19706.983,1321762
85018,Serradifalco,CLAA82001A,GIOVANNI FALCONE,VIA CAVALIERI DI VITTORIO VENETO,37.454848710936,13.88171871333,10370,37.4899412,14.0631618,city,Caltanissetta,85004,19193.895,1257359
85012,Mussomeli,CLAA81801A,VIA MADONNA DI FATIMA,VIA MADONNA DI FATIMA SNC,37.580294114535,13.754867037092,10370,37.4899412,14.0631618,city,Caltanissetta,85004,41250.482,2613323
85012,Mussomeli,CLAA81805E,"""MADRE TERESA DI CALCUTTA"" MUSS",VIA LEONARDO DA VINCI SNC,37.574733853815,13.75207473182,10370,37.4899412,14.0631618,city,Caltanissetta,85004,40838.988,2540559
85012,Mussomeli,CL1A004002,"""AVV. G. LA RIZZA""",VIA V. E. ORLANDO 3,37.580079993969,13.756700015514,10370,37.4899412,14.0631618,city,Caltanissetta,85004,41204.704,2618469
85012,Mussomeli,CL1A00700D,"""SORELLE SOLA - S. ENRICO""",VIA VANELLE 34,37.576419994038,13.756229958383,10370,37.4899412,14.0631618,city,Caltanissetta,85004,40417.433,2526502
85019,Sommatino,CLAA81501V,"""ARCOBALENO""",VIA B. CELLINI,37.332780551375,13.991721107746,10370,37.4899412,14.0631618,city,Caltanissetta,85004,26147.876,1652088
85019,Sommatino,CLAA81502X,"""MARIA HELENA PRESTI""",VIA CARDUCCI 5,37.336164998047,13.991970021274,10370,37.4899412,14.0631618,city,Caltanissetta,85004,25738.09,1615033
85008,Marianopoli,CLAA80403E,MARIANOPOLI-VIALE DELLA REGIONE,VIA PIAZZA ARMERINA,37.599525637969,13.91285129353,10370,37.4899412,14.0631618,city,Caltanissetta,85004,27030.128,1667544
