from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
70043,Montefalcone nel Sannio,CBAA85307V,RICCIARDI,Non Disponibile,41.856115001,14.653342768,11878,41.8290511,14.7102914,village,Castelmauro,70015,7375.912,1035092
70060,Roccavivara,CBAA851033,"ROCCAVIVARA ""CAPOLUOGO""",VIALE VITTORIO VENETO,41.835918968455,14.600213691954,11878,41.8290511,14.7102914,village,Castelmauro,70015,12909.198,1575404
70027,Guardialfiera,CBAA85303P,GUARDIALFIERA CAPOLUOGO,VIA G. PEPE,41.803226901311,14.792204613498,11878,41.8290511,14.7102914,village,Castelmauro,70015,12314.602,1157969
70001,Acquaviva Collecroce,CBAA85305R,ACQUAVIVA COLLECROCE CAPOLUOGO,VIA INDIPENDENZA,41.858569491774,14.737667481144,11878,41.8290511,14.7102914,village,Castelmauro,70015,6527.459,396883
70081,Trivento,CBAA851044,"TRIVENTO ""CONTRADA MONTAGNA""",LARGO CALVARIOSNC (SEDE PROVVISORIA),41.776385,14.569779479,11878,41.8290511,14.7102914,village,Castelmauro,70015,19507.95,1443292
70081,Trivento,CBAA851022,TRIVENTO CAPOLUOGO,VIA ACQUASANTIANNI,41.768838985493,14.545541780873,11878,41.8290511,14.7102914,village,Castelmauro,70015,24065.737,1627377
70015,Castelmauro,CBAA85302N,CASTELMAURO CAPOLUOGO,VIA PASUBIO,41.825759854935,14.712110044808,11878,41.8290511,14.7102914,village,Castelmauro,70015,472.409,48501
70058,Ripabottoni,CBAA81705N,RIPABOTTONI CAPOLUOGO,PIAZZA ALPINI 2,41.689509987687,14.80792000648,11918,41.704533,14.933334,village,Bonefro,70004,13943.404,992732
70074,Sant'Elia a Pianisi,CBAA81602P,S.ELIA A PIANISI CAP.,VIA MARTIRI D'UNGHERIA,41.65081,14.893759888,11918,41.704533,14.933334,village,Bonefro,70004,10519.274,2077290
70072,Santa Croce di Magliano,CBAA80901E,S.CROCE DI MAGLIANO CAP.,VIA CADUTI DI NASSIRIYA,41.711671736844,14.997729361722,11918,41.704533,14.933334,village,Bonefro,70004,8153.152,570069
