from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
61058,Pietramelara,CEAA8AB016,PIETRAMELARA - CAPOLUOGO -D.D.-,VIALE EUROPA,41.269148309989,14.184523461265,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,8249.899,635546
61058,Pietramelara,CE1A199008,LA SIRENETTA,VIA CROCI 170,41.271959990855,14.193979964682,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,9104.173,692759
61010,Calvi Risorta,CEAA82202T,"INFANZIA ""R. L. MONTALCINI""",VIA ROMA,41.215519667099,14.128532573927,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,7125.564,599852
61010,Calvi Risorta,CEAA82201R,"INFANZIA ""MARIA MONTESSORI""",PIAZZA PAPA GIOVANNI,41.205721342981,14.123432263782,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,8824.891,718333
61010,Calvi Risorta,CE1AI15009,L'AQUILONE,VIA CARDUCCI I TRAV. A SX 9/11,41.214239984385,14.136929965642,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,6441.884,553654
61068,Riardo,CEAA8AB027,RIARDO-V.GIOVANNI XXIII-PIETRAM,VIA GIOVANNI XXIII,41.263325971291,14.149572008643,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,5951.586,576139
61091,Teano,CEAA8A105E,TEANO - CASALE,VIA CARBONARA,41.282280030078,14.058661866773,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,13587.719,1576990
61091,Teano,CEAA8A104D,TEANO-PUGLIANO,VIA CHIESA,41.25322647055,14.048446571414,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,14332.334,1246073
61091,Teano,CEAA8A101A,TEANO CENTRO -D.D.1-,VIA G.B. MORRONE,41.247216588619,14.069093448804,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,11471.838,938558
61091,Teano,CEAA8A103C,TEANO-SCALO,VIALE FERROVIA,41.235224822729,14.072996584204,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,11382.066,994686
61091,Teano,CEAA8A102B,TEANO CENTRO - GARIBALDI -D.D.1,VIA NICOLA GIGLI,41.250627172031,14.067939378956,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,11778.16,961469
61091,Teano,CE1A30400B,LE COCCOLE,C.SO VITTORIO EMANUELE SNC,41.251169331569,14.066926222582,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,12176.451,997348
61040,Giano Vetusto,CEAA82203V,INFANZIA GIANO VETUSTO,VIA MUNICIPIO,41.20326749619,14.193195537538,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,5666.005,416915
61035,Formicola,CEAA8A8015,FORMICOLA - CAPOLUOGO -D.D.-,VIA CAMPO VECCHIO,41.2112985955,14.235503772657,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,9065.345,777017
61072,Rocchetta e Croce,CEAA8A806A,INFANZIA VAL D'ASSANO,VIA ANTONIO IZZO,41.235141858851,14.115955297615,12923,41.2379861,14.1564945,village,Rocchetta e Croce,61072,4586.494,473268
61017,Carinola,CEAA88703N,CARINOLA CENTRO - MATERNA,CORSO UMBERTO I 45,41.187050012493,13.980179994358,12941,41.2510841,14.0671513,town,Teano,61091,14362.275,986590
61017,Carinola,CEAA88701G,CARINOLA NOCELLETO -D.D.-,Non Disponibile,41.167229771,13.971545001,12941,41.2510841,14.0671513,town,Teano,61091,24300.225,1875606
61017,Carinola,CE1A26700N,MARIA SANTISSIMA DELLE GRAZIE,VIA PER CASCANO 19/A,41.219598287355,13.991689325501,12941,41.2510841,14.0671513,town,Teano,61091,13644.016,848102
61017,Carinola,CE1A271009,MARIA SS. DEGLI ANGELI,VIA NAZIONALE 47,41.197089981845,13.963270007616,12941,41.2510841,14.0671513,town,Teano,61091,16997.032,1176292
61010,Calvi Risorta,CEAA82202T,"INFANZIA ""R. L. MONTALCINI""",VIA ROMA,41.215519667099,14.128532573927,12941,41.2510841,14.0671513,town,Teano,61091,9438.916,614421
61010,Calvi Risorta,CEAA82201R,"INFANZIA ""MARIA MONTESSORI""",PIAZZA PAPA GIOVANNI,41.205721342981,14.123432263782,12941,41.2510841,14.0671513,town,Teano,61091,9039.64,573201
61010,Calvi Risorta,CE1AI15009,L'AQUILONE,VIA CARDUCCI I TRAV. A SX 9/11,41.214239984385,14.136929965642,12941,41.2510841,14.0671513,town,Teano,61091,10271.608,684275
61088,Sessa Aurunca,CEAA8AY059,INFANZIA RONGOLISI,VIA PROV.LE SESSA LAURO,41.263335854915,13.890994860146,12941,41.2510841,14.0671513,town,Teano,61091,26398.189,1711500
61088,Sessa Aurunca,CEAA8AY015,INFANZIA SAN LEO,VIA SAN LEO SNC,41.238444954084,13.934384387225,12941,41.2510841,14.0671513,town,Teano,61091,19567.195,1249561
61088,Sessa Aurunca,CEAA8AY06A,INFANZIA SAN CARLO,VIA SAN ROCCO,41.311528262226,13.91623722861,12941,41.2510841,14.0671513,town,Teano,61091,23091.448,2000122
61088,Sessa Aurunca,CEAA8AY07B,INFANZIA SAN CASTRESE,VIA CHIESA,41.236841024347,13.973609914483,12941,41.2510841,14.0671513,town,Teano,61091,11839.512,1069311
61088,Sessa Aurunca,CEAA8AY037,INFANZIA CORIGLIANO,VIA MACERA,41.283794642378,13.917848892264,12941,41.2510841,14.0671513,town,Teano,61091,19428.292,1740660
