from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
79018,Cardinale,CZAA871011,CARDINALE-V. ROMA-IC CHIARAV.N2,VIA ANCINALE,38.641264542129,16.384462329476,11258,38.653382,16.372803,village,Torre di Ruggiero,79148,2345.838,184886
79018,Cardinale,CZAA871022,CARDINALE -NOVALBA-IC CHIAR.N.2,VIALE DE LUCA,38.651401882924,16.383176721997,11258,38.653382,16.372803,village,Torre di Ruggiero,79148,2259.759,204688
79029,Chiaravalle Centrale,CZAA871077,PIRIVOGLIA-IC CHIARAVALLE N. 2,CONTRADA PIRIVOGLIA,38.691529006878,16.399862658995,11258,38.653382,16.372803,village,Torre di Ruggiero,79148,7067.035,426127
79029,Chiaravalle Centrale,CZAA871044,VIA MARTELLI-IC CHIARAVALLE N.2,VIA MARTELLI,38.680847018679,16.412464038137,11258,38.653382,16.372803,village,Torre di Ruggiero,79148,6570.727,435128
79029,Chiaravalle Centrale,CZAA871055,FORESTA-IC CHIARAVALLE N. 2,QUARTIERE FORESTA,38.681439984907,16.409147232276,11258,38.653382,16.372803,village,Torre di Ruggiero,79148,6404.227,428139
79029,Chiaravalle Centrale,CZ1A01700T,MARIA IMMACOLATA,VIA SUOR BRIGIDA PASTORINO 23,38.680878558234,16.408965633088,11258,38.653382,16.372803,village,Torre di Ruggiero,79148,6403.73,428544
79029,Chiaravalle Centrale,CZ1A10500F,LA FORESTA INCANTATA,Via Luca,38.677980019095,16.40695148355,11258,38.653382,16.372803,village,Torre di Ruggiero,79148,5902.064,395109
79148,Torre di Ruggiero,CZAA871033,TORRE RUGGIERO-IC CHIARAV. N.2,VIA DEL SANTUARIO,38.676825480663,16.370836872792,11258,38.653382,16.372803,village,Torre di Ruggiero,79148,3311.89,198713
79116,San Sostene,CZAA821054,SCUOLA INFANZIA SAN SOSTENE M.,VIA GIOVANNI GENTILE 7,38.650970006665,16.545519966886,11194,38.622582,16.528307,village,Sant'Andrea Apostolo dello Ionio,79118,6121.039,468416
79063,Isca sullo Ionio,CZAA821032,SCUOLA INFANZIA ISCA MARINA,VIA CIRCONVALLAZIONE,38.60189726519,16.553590176917,11194,38.622582,16.528307,village,Sant'Andrea Apostolo dello Ionio,79118,5884.79,417778
79118,Sant'Andrea Apostolo dello Ionio,CZAA821043,SCUOLA INFANZIA S.ANDREA MARINA,VIA GUIDO ROSSA,38.621786318608,16.551148356186,11194,38.622582,16.528307,village,Sant'Andrea Apostolo dello Ionio,79118,3786.342,286122
79011,Borgia,CZAA839015,ROCCELLETTA I.C.BORGIA SABATINI,VIA BACHELET,38.813168241815,16.593468908674,18494,38.8233552,16.4263838,town,Girifalco,79059,16967.716,1235987
79011,Borgia,CZAA839037,"BORGIA IC BORGIA ""SABATINI""",VIALE SABATINI 6/8,38.825490286167,16.505421275848,18494,38.8233552,16.4263838,town,Girifalco,79059,8057.913,497891
79142,Squillace,CZAA87203V,CAPOLUOGO-IC SQUILLACE,VIA D.ASSANTI15,38.783090006925,16.519800013173,18494,38.8233552,16.4263838,town,Girifalco,79059,12654.478,782244
79142,Squillace,CZAA87204X,"""LA CATENA"" IC SQUILLACE",CONTRADA PRINCIPE,38.779275,16.525838182,18494,38.8233552,16.4263838,town,Girifalco,79059,13028.224,821760
79034,Cortale,CZAA840019,CORTALE - I.C. GIRIFALCO,VIA DOTT. FRANCESCO MUNGO,38.836453764417,16.408927130577,18494,38.8233552,16.4263838,town,Girifalco,79059,6508.687,481665
79003,Amaroni,CZAA87201R,AMARONI-IC SQUILLACE,VIA INDIPENDENZA 71,38.793770018403,16.448739998252,18494,38.8233552,16.4263838,town,Girifalco,79059,6128.997,500333
79059,Girifalco,CZAA84003B,PL.BUFALELLO- I.C. GIRIFALCO,LOCALITA' BUFALELLO,38.831946055326,16.433321428537,18494,38.8233552,16.4263838,town,Girifalco,79059,1450.642,118715
79059,Girifalco,CZAA84002A,PL. VIALE CIPRESSI-IC GIRIFALCO,VIALE DEI CIPRESSI,38.827196431438,16.420481852993,18494,38.8233552,16.4263838,town,Girifalco,79059,834.53,92168
79027,Cerva,CZAA83604R,CERVA -CORNOCCHIA- IC PETRONA',VIA MARTIRI MELISSA 121,39.026379985281,16.747619973844,11229,39.043692,16.755907,village,Petronà,79095,3256.129,211786
79009,Belcastro,CZAA842033,BELCASTRO IC BOTRICELLO,VIA LUCIO D'ORSO,39.018990017483,16.789575003455,11229,39.043692,16.755907,village,Petronà,79095,7959.293,615621
79071,Marcedusa,CZAA842011,MARCEDUSA -C.C.- BOTRICELLO I.C,VIA MARCONI,39.029702650534,16.836717743296,11229,39.043692,16.755907,village,Petronà,79095,15167.769,1384561
79157,Zagarise,CZAA835052,P.ZZA C.BATTISTI-I.C. SERSALE,PIAZZA CESARE BATTISTI,39.000444946957,16.663574907437,11229,39.043692,16.755907,village,Petronà,79095,19027.902,1155500
79130,Sersale,CZAA83503X,SERSALE SILA,VIA SILA 6,39.005610060264,16.741326558283,11229,39.043692,16.755907,village,Petronà,79095,9208.707,586554
79130,Sersale,CZAA835041,"SERSALE ""COLLA""",VIA SCALISE,39.014908486543,16.725903268029,11229,39.043692,16.755907,village,Petronà,79095,9312.444,608805
79095,Petronà,CZAA83601N,PETRONA' (I.C.)-VIA ACQUAVONA-,VIA ACQUAVONA 13,39.042080002391,16.756470006312,11229,39.043692,16.755907,village,Petronà,79095,178.459,21415
79027,Cerva,CZAA83604R,CERVA -CORNOCCHIA- IC PETRONA',VIA MARTIRI MELISSA 121,39.026379985281,16.747619973844,11163,39.017992,16.786408,village,Belcastro,79009,10021.332,770418
79005,Andali,CZAA83603Q,ANDALI IC PETRONA',VIA PIANO INDARANO,39.012210090773,16.768289639303,11163,39.017992,16.786408,village,Belcastro,79009,12885.898,985654
79095,Petronà,CZAA83601N,PETRONA' (I.C.)-VIA ACQUAVONA-,VIA ACQUAVONA 13,39.042080002391,16.756470006312,11163,39.017992,16.786408,village,Belcastro,79009,7895.732,609425
79012,Botricello,CZAA842022,BOTRICELLO -LOCALITA' BOTRO-I.C,VIA A. MORO,38.933536179217,16.84539687571,11163,39.017992,16.786408,village,Belcastro,79009,15601.368,1132746
79071,Marcedusa,CZAA842011,MARCEDUSA -C.C.- BOTRICELLO I.C,VIA MARCONI,39.029702650534,16.836717743296,11163,39.017992,16.786408,village,Belcastro,79009,8980.235,889894
79009,Belcastro,CZAA842033,BELCASTRO IC BOTRICELLO,VIA LUCIO D'ORSO,39.018990017483,16.789575003455,11163,39.017992,16.786408,village,Belcastro,79009,304.85,35151
79027,Cerva,CZAA83604R,CERVA -CORNOCCHIA- IC PETRONA',VIA MARTIRI MELISSA 121,39.026379985281,16.747619973844,11164,38.9407116,16.8784098,village,Belcastro,79009,22075.475,1602375
79005,Andali,CZAA83603Q,ANDALI IC PETRONA',VIA PIANO INDARANO,39.012210090773,16.768289639303,11164,38.9407116,16.8784098,village,Belcastro,79009,18972.575,1364115
79095,Petronà,CZAA83601N,PETRONA' (I.C.)-VIA ACQUAVONA-,VIA ACQUAVONA 13,39.042080002391,16.756470006312,11164,38.9407116,16.8784098,village,Belcastro,79009,24866.935,1784290
79012,Botricello,CZAA842022,BOTRICELLO -LOCALITA' BOTRO-I.C,VIA A. MORO,38.933536179217,16.84539687571,11164,38.9407116,16.8784098,village,Belcastro,79009,3081.2,180376
79071,Marcedusa,CZAA842011,MARCEDUSA -C.C.- BOTRICELLO I.C,VIA MARCONI,39.029702650534,16.836717743296,11164,38.9407116,16.8784098,village,Belcastro,79009,13850.684,1498369
79009,Belcastro,CZAA842033,BELCASTRO IC BOTRICELLO,VIA LUCIO D'ORSO,39.018990017483,16.789575003455,11164,38.9407116,16.8784098,village,Belcastro,79009,18302.569,1266713
79005,Andali,CZAA83603Q,ANDALI IC PETRONA',VIA PIANO INDARANO,39.012210090773,16.768289639303,11207,39.018824,16.7427491,village,Cerva,79027,4152.875,301529
