from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
69058,Ortona,CHAA841031,VILLA CALDARI - ORTONA A MARE,C.DA CALDARI,42.301477379026,14.361380506251,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,20406.015,1026071
69058,Ortona,CHAA841053,ORTONA A MARE - FONTEGRANDE,C.DA FONTEGRANDE,42.345736715696,14.390178843264,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,12634.356,983814
69058,Ortona,CHAA84201P,VIA GRAN SASSO ORTONA,VIA GRAN SASSO,42.357344780763,14.40114119043,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,12656.219,1053115
69058,Ortona,CHAA84202Q,ORTONA A MARE - GIARDINI,CORSO GARIBALDI,42.353520575971,14.403713622916,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,13143.49,1110027
69058,Ortona,CHAA84203R,SAN LEONARDO - ORTONA A MARE,Non Disponibile,42.329951605,14.375695,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,16451.124,766723
69058,Ortona,CHAA84102X,VIA COSTANTINOPOLI - ORTONA,VIA COSTANTINIPOLI,42.350106128468,14.405404460567,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,13603.355,1152920
69058,Ortona,CHAA84101V,RIONE S.GIUSEPPE-ORTONA A MARE,VIA PAPA GIOVANNI XXIII,42.348488437233,14.400881054575,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,13927.311,1133064
69058,Ortona,CH1A02400P,SAN TOMMASO,VIA DELLE SPERANZE 4,42.352760011495,14.401600041614,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,13001.254,1112401
69022,Chieti,CHAA83604E,"SCUOLA IN OSPEDALE ""POL.SS.ANNUNZIATA""",VIA DEI VESTINI,42.362764235104,14.159342933523,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,16273.964,1280026
69022,Chieti,CHAA83601B,VIA PESCARA SUD - CHIETI,VIA PESCARA 217,42.360325399613,14.144260834103,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,20423.642,1077001
69022,Chieti,CHAA83602C,VIA LANCIANO - CHIETI,VIA LANCIANO 3,42.348900019354,14.165110007937,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,17050.261,1163058
69022,Chieti,CHAA838046,BRIGATA MAIELLA - CHIETI,COMPLESSO THEATE CENTER,42.36821,14.172660739,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,13975.558,1144678
69022,Chieti,CHAA838024,VIA PAOLUCCI,VIA PAOLUCCI N.16,42.343881005089,14.163756944984,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,18450.963,1224192
69022,Chieti,CHAA83501G,VIA P.B. VALERA,VIA ARNIENSE. 2,42.35207998769,14.171909994526,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,16248.455,1089549
69022,Chieti,CHAA83502L,VIA F. MASCI,VIA MUZII,42.360184956244,14.195118136129,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,13211.684,896138
69022,Chieti,CHAA837017,VILLAGGIO CELDIT - CHIETI,VIA G. BOSIO,42.368870023874,14.14367003072,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,19413.215,1012728
69022,Chieti,CHAA837039,SELVAIEZZI - CHIETI,VIA SALVO D'ACQUISTO,42.380422328158,14.151497579565,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,17885.651,902568
69022,Chieti,CHAA838079,VIA DELLA LEGIONE - CHIETI,VIA ROBINIE 5,42.350189994252,14.161639983841,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,18498.165,1220688
69022,Chieti,CHAA838068,S.BARBARA - CHIETI,VIA PACHETTI 21,42.346150000741,14.174290035932,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,17380.104,1145050
69022,Chieti,CHAA83808A,SAN ANDREA - CHIETI,VIA BRIGATA MAIELLA 37,42.34083998126,14.168060018759,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,17785.292,1164876
69022,Chieti,CHAA838057,BRECCIAROLA CASONE,VIA SALINE 9,42.324229982833,14.09191998378,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,27296.577,1434236
69022,Chieti,CHAA838013,NOLLI (EX L.GO DE LAURENTIIS),VIA CERRITELLI,42.34495069386,14.168601759069,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,17046.344,1139352
69022,Chieti,CHAA83504P,VIA ARENAZZE,VIA GRAN SASSO,42.353915265933,14.164085799766,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,16814.968,1094325
69022,Chieti,CHAA83503N,TRICALLE,VIA DEI FRENTANI,42.404998193091,14.219612405596,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,7624.101,634310
69022,Chieti,CHAA83603D,ZONA STADIO - CHIETI,VIA AMITERNO 129,42.350401281327,14.140268084367,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,21707.927,1210597
69022,Chieti,CHAA837028,MADONNA DELLE PIANE - CHIETI,VIA PESCARA,42.36457513459,14.14305899546,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,19808.529,1032713
69022,Chieti,CH1A056006,VIA MASCI,VIA FILIPPO MASCI 135,42.361419984308,14.20079998402,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,12816.95,859499
69094,Torrevecchia Teatina,CHAA810017,"TORREVECCHIA TEAT.""G.ROCCHETTI""",VIA ROMA34,42.379610013394,14.2066900312,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,10630.618,948771
69072,Ripa Teatina,CHAA810028,"RIPA TEATINA ""S.M.VITTORIE""",PIAZZA G.MARCONI 17,42.360515525013,14.235763174454,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,10712.066,838535
69081,San Giovanni Teatino,CHAA811013,S. GIOVANNI T. - LARGO WOJTYLA,LARGO WOJTYLA,42.404757997497,14.219913270076,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,7745.362,646620
69081,San Giovanni Teatino,CHAA811046,S.GIOVANNI T. - VIA V.EMANUELE,VIA VITTORIO EMANUELE,42.413037715518,14.176272559006,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,12365.383,897556
69081,San Giovanni Teatino,CHAA811024,S.GIOVANNI TEAT. -VIA DRAGONARA,VIA DRAGONARA,42.39511593456,14.175667497107,15311,42.4168011,14.2914819,town,Francavilla al Mare,69035,16629.054,844906
