from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
13075,Como,COAA81302G,COMO BRECCIA,VIA RISORGIMENTO27,45.793439986088,9.061439991492,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,2921.992,228663
13075,Como,COAA84302B,COMO/VIA VARESINA,VIA VARESINA N. 34/A,45.791519985437,9.081439966839,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,4153.716,331261
13075,Como,COAA81202Q,COMO TRECALLO,VIA MIRABELLO,45.782716142236,9.10975950316,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,7168.19,610470
13075,Como,COAA80901V,COMO VIA BRAMBILLA,VIA BRAMBILLA,45.813968251086,9.087463497332,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,5017.657,517961
13075,Como,COAA81301E,COMO/PRESTINO,PIAZZALE GIOTTO,45.800360123587,9.058566809886,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,1632.497,102369
13075,Como,COAA808024,COMO/SALITA CAPPUCCINI,SALITA CAPPUCCINI,45.797439209458,9.09723246028,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,6608.78,646511
13075,Como,COAA808013,COMO LORA,VIA MAJOCCHI,45.797815004269,9.107839986266,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,7397.444,549939
13075,Como,COAA852037,COMO VIA ZEZIO,VIA ZEZIO,45.809324631197,9.094166160683,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,5652.503,556497
13075,Como,COAA81201P,COMO ALBATE,VIA ACQUANERA,45.7768092891,9.081513023973,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,5654.753,502487
13075,Como,COAA852026,COMO VIA BRIANTEA,VIA BRIANTEA,45.805959431879,9.096780428914,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,5915.937,550420
13075,Como,COAA852048,SANT'ELIA,VIA ALCIATO,45.798170920142,9.088718604416,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,6012.897,481460
13075,Como,COAA84803G,COMO SAGNINO,VIA SEGANTINI,45.838765026646,9.042574790978,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,4838.924,541512
13075,Como,COAA84802E,COMO MONTE OLIMPINO,VIA AMORETTI,45.825562447144,9.049186751226,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,3076.392,342068
13075,Como,COAA84801D,COMO PONTE CHIASSO,VIA DON LUIGI MONZA,45.831414709209,9.037000175237,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,4285.287,406529
13075,Como,COAA845034,COMO VIA VOLTA,VIA VOLTA,45.808308754362,9.081082205937,3839,45.8084245,9.048551,village,San Fermo della Battaglia,13206,5091.364,511332
