from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
78040,Cetraro,CSAA872022,CETRARO-MARINA-INFANZIA,VIA MARINELLA SNC,39.513969895614,15.941514815273,11306,39.599698,16.053285,village,Malvito,78073,36674.878,2301554
78040,Cetraro,CSAA872055,CETRARO - SANTA LUCIA,LOC SANTA LUCIA,39.528118823847,15.934000031992,11306,39.599698,16.053285,village,Malvito,78073,39265.836,2500074
78040,Cetraro,CSAA872088,CETRARO IC - OSPEDALIERA,LOC. TESTA,39.530286055333,15.916373214913,11306,39.599698,16.053285,village,Malvito,78073,39949.443,2513810
78040,Cetraro,CSAA872033,CETRARO - CENTRO,VIA C. PANCARO - N. 45,39.515729993356,15.940540011945,11306,39.599698,16.053285,village,Malvito,78073,37614.63,2435594
78040,Cetraro,CSAA872077,CETRARO - SAN GIACOMO,LOC. SAN GIACOMO,39.523277062655,15.9327438335,11306,39.599698,16.053285,village,Malvito,78073,38122.549,2391228
78040,Cetraro,CSAA872066,CETRARO - VONELLA,LOC. VONELLA,39.536192746549,15.992016979319,11306,39.599698,16.053285,village,Malvito,78073,24116.712,2631461
78040,Cetraro,CSAA872011,CETRARO-SAN FILIPPO-INFANZIA,LOC. SAN FILIPPO,39.506507316555,15.969628267462,11306,39.599698,16.053285,village,Malvito,78073,27355.758,3269072
78040,Cetraro,CSAA872044,CETRARO - SAN PIETRO ALTO,LOC. SAN PIETRO,39.544249746948,15.986640711702,11306,39.599698,16.053285,village,Malvito,78073,32586.949,3647890
78128,San Sosti,CSAA814022,S. SOSTI - MOTTAFOLLONE CENTRO,Non Disponibile,39.646469878638,16.107585015049,11306,39.599698,16.053285,village,Malvito,78073,12598.826,967789
78128,San Sosti,CSAA814011,SAN SOSTI - CENTRO,VIA REGINA MARGHERITA,39.660226893306,16.028683869361,11306,39.599698,16.053285,village,Malvito,78073,12220.402,922098
78104,Roggiano Gravina,CSAA87501C,SCUOLA DELL'INFANZIA,PIAZZA DELLA REPUBBLICA,39.615068460675,16.158248745339,11306,39.599698,16.053285,village,Malvito,78073,14136.237,1162755
78104,Roggiano Gravina,CS1A12500T,"S.M.NON S. ROGGIANO GRAVINA ""PADRE MINOZZI""",VIA VITTORIO EMANUELE,39.627890017594,16.143456151996,11306,39.599698,16.053285,village,Malvito,78073,11614.307,919922
78104,Roggiano Gravina,CS1A01802X,"SCUOLA DELL'INFANZIA. ""SACRO CUORE""",VIA VINCENZO IULIA,39.616065267678,16.164251067207,11306,39.599698,16.053285,village,Malvito,78073,14718.262,1209933
78051,Fagnano Castello,CSAA81501R,FAGNANO CASTELLO - CENTRO,VIA MONTESSORI,39.561758067348,16.055512909412,11306,39.599698,16.053285,village,Malvito,78073,8566.783,725153
78129,Santa Caterina Albanese,CSAA81504X,FAGNANO - S. CATERINA ALBANESE,VIALE TRIESTE,39.586301494509,16.06992300712,11306,39.599698,16.053285,village,Malvito,78073,4576.077,475779
78131,Sant'Agata di Esaro,CSAA863016,SANT'AGATA ESARO C.,PIAZZA CARDUCCI,39.6206407501,15.983343295814,11306,39.599698,16.053285,village,Malvito,78073,13125.65,1040949
78073,Malvito,CSAA863038,MALVITO - PAUCIURI,CONTRADA PAUCIURI,39.627159999044,16.123019995225,11306,39.599698,16.053285,village,Malvito,78073,9359.766,734577
78073,Malvito,CSAA863027,MALVITO - CENTRO,VIA SERRONE,39.601042647332,16.052694871644,11306,39.599698,16.053285,village,Malvito,78073,732.923,81138
