from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
19077,Pozzaglio ed Uniti,CRAA803046,INFANZIA FUMAGALLI,VIA DE GASPERI 17,45.200577245653,10.050294767157,4081,45.2200295,10.0966845,village,Corte de' Frati,19033,6245.209,428157
19050,Grontardo,CRAA809023,GRONTARDO,VIA CATTANEO 4,45.201769990475,10.151180024329,4081,45.2200295,10.0966845,village,Corte de' Frati,19033,5875.848,446926
19085,Robecco d'Oglio,CRAA810038,ROBECCO D'OGLIO CAP.,VIA MANZONI 1,45.261939985334,10.077079976945,4081,45.2200295,10.0966845,village,Corte de' Frati,19033,5892.069,449554
19068,Persico Dosimo,CRAA823018,"""ARCHIMEDE"" PERSICHELLO",LARGO OSTIANO 78,45.167649986766,10.076719974203,4081,45.2200295,10.0966845,village,Corte de' Frati,19033,8194.515,612779
19033,Corte de' Frati,CRAA803035,FERRANTE APORTI CORTE DE' FRATI,VIA DE GASPERI 3,45.219529986018,10.098449974367,4081,45.2200295,10.0966845,village,Corte de' Frati,19033,364.225,41191
19026,Castelverde,CRAA803013,COSTA S. ABRAMO,VIA DON AZZALI 3,45.174279988359,9.968369961702,3986,45.2003707,10.0503375,village,Pozzaglio ed Uniti,19077,13490.955,825495
19026,Castelverde,CRAA803024,SAN MARTINO IN BELISETO,VIA PONCHIELLI 8,45.214890015877,9.985259999514,3986,45.2003707,10.0503375,village,Pozzaglio ed Uniti,19077,10002.043,641110
19026,Castelverde,CR1A021006,"SCUOLA DELL'INFANZIA ""MONS. GARDINALI""",VIA GARDINALI 21,45.187899994286,9.997520041651,3986,45.2003707,10.0503375,village,Pozzaglio ed Uniti,19077,7500.95,513196
19085,Robecco d'Oglio,CRAA810038,ROBECCO D'OGLIO CAP.,VIA MANZONI 1,45.261939985334,10.077079976945,3986,45.2003707,10.0503375,village,Pozzaglio ed Uniti,19077,7846.387,481863
19033,Corte de' Frati,CRAA803035,FERRANTE APORTI CORTE DE' FRATI,VIA DE GASPERI 3,45.219529986018,10.098449974367,3986,45.2003707,10.0503375,village,Pozzaglio ed Uniti,19077,6134.071,401469
19016,Casalbuttano ed Uniti,CRAA810027,CASALBUTTANO CAP.,VIA PODESTA' 33,45.248859983519,9.964970010316,3986,45.2003707,10.0503375,village,Pozzaglio ed Uniti,19077,11049.835,825601
19068,Persico Dosimo,CRAA823018,"""ARCHIMEDE"" PERSICHELLO",LARGO OSTIANO 78,45.167649986766,10.076719974203,3986,45.2003707,10.0503375,village,Pozzaglio ed Uniti,19077,5971.646,423562
19077,Pozzaglio ed Uniti,CRAA803046,INFANZIA FUMAGALLI,VIA DE GASPERI 17,45.200577245653,10.050294767157,3986,45.2003707,10.0503375,village,Pozzaglio ed Uniti,19077,8.888,1067
19026,Castelverde,CRAA803013,COSTA S. ABRAMO,VIA DON AZZALI 3,45.174279988359,9.968369961702,4226,45.235873,10.02227,village,Olmeneta,19063,14158.299,977343
19026,Castelverde,CRAA803024,SAN MARTINO IN BELISETO,VIA PONCHIELLI 8,45.214890015877,9.985259999514,4226,45.235873,10.02227,village,Olmeneta,19063,6474.019,360921
19026,Castelverde,CR1A021006,"SCUOLA DELL'INFANZIA ""MONS. GARDINALI""",VIA GARDINALI 21,45.187899994286,9.997520041651,4226,45.235873,10.02227,village,Olmeneta,19063,9680.887,518151
19077,Pozzaglio ed Uniti,CRAA803046,INFANZIA FUMAGALLI,VIA DE GASPERI 17,45.200577245653,10.050294767157,4226,45.235873,10.02227,village,Olmeneta,19063,5820.651,430393
19085,Robecco d'Oglio,CRAA810038,ROBECCO D'OGLIO CAP.,VIA MANZONI 1,45.261939985334,10.077079976945,4226,45.235873,10.02227,village,Olmeneta,19063,8650.642,584195
19032,Corte de' Cortesi con Cignone,CRAA810016,CORTE DE' CORTESI,PIAZZA V. VENETO 1,45.272865579369,10.007394785551,4226,45.235873,10.02227,village,Olmeneta,19063,5953.439,583955
19016,Casalbuttano ed Uniti,CRAA810027,CASALBUTTANO CAP.,VIA PODESTA' 33,45.248859983519,9.964970010316,4226,45.235873,10.02227,village,Olmeneta,19063,5424.517,418648
