from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
71012,Carpino,FGAA80601X,SCUOLA MATERNA,VIA PADRE PIO,41.84318147881,15.859851709486,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,12545.761,785140
71049,San Nicandro Garganico,FGAA87901N,PIAZZA IV NOVEMBRE,PIAZZA IV NOVEMBRE,41.83825,15.56334,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,22802.638,1356061
71049,San Nicandro Garganico,FGAA87902P,VIALE VITTORIO VENETO,VIALE VITTORIO VENETO,41.831946019259,15.57241303107,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,22175.174,1313382
71049,San Nicandro Garganico,FG1A08300V,MARIO ZACCAGNINO,CORSO GARIBALDI 47,41.836549985146,15.563740020415,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,22783.109,1357236
71049,San Nicandro Garganico,FG1A08400P,DONATO DEL CASTELLO,LARGO G.VICO 14,41.833527845093,15.569807468999,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,22114.68,1288164
71025,Ischitella,FGAA80701Q,PIETRO GIANNONE,CORSO C. BATTISTI,41.90399000277,15.902354994743,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,19834.169,1212880
71025,Ischitella,FGAA80702R,ISOLA VARANO,AGRO ISOLA VARANO,41.915258560488,15.778315615654,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,20847.352,1613704
71033,Monte Sant'Angelo,FGAA82405N,VIA CROCE,VIA DELLE SCUOLE,41.679111039074,15.991347560629,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,47181.007,3809361
71033,Monte Sant'Angelo,FGAA83105R,RIONE BELVEDERE,VIA DANTE ALIGHIERI,41.706630313807,15.952219879189,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,35636.544,2982144
71033,Monte Sant'Angelo,FGAA830051,ZONA C STRADA 24,ZONA C STRADA 24,41.734105,15.912662831,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,24670.995,2790892
71033,Monte Sant'Angelo,FGAA83004X,VIA G.T.GIORDANI,VIA G.T.GIORDANI,41.706395015463,15.962310121823,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,35954.587,3037134
71033,Monte Sant'Angelo,FGAA830062,VIA GIGLIO,VIA GIGLIO,41.706539031203,15.961272709552,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,35836.688,3022985
71033,Monte Sant'Angelo,FGAA83102N,VIA MONTESSORI,VIA MONTESSORI,41.703780236698,15.958878536997,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,36500.017,3055516
71033,Monte Sant'Angelo,FGAA83104Q,MACCHIA,VIA MADONNA DELLA LIBERA,41.676395012381,15.995729982851,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,47583.291,3797913
71033,Monte Sant'Angelo,FGAA83101L,VIA CULTO EVANGELICO,VIA CULTO EVANGELICO,41.703589389318,15.958542492058,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,36598.953,3067388
71033,Monte Sant'Angelo,FGAA83103P,VIA MONTE SACRO,VIA MONTE SACRO,41.707647501015,15.960127653848,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,35716.422,3008554
71047,San Marco in Lamis,FGAA856022,VILLAGGIO AMENDOLA,VILLAGGIO AMENDOLA,41.547962881099,15.689016258812,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,56076.389,3087131
71047,San Marco in Lamis,FGAA847016,CARLO COLLODI,VIA GRAVINA,41.726877392,15.67207,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,33837.505,2227031
71047,San Marco in Lamis,FGAA848023,WALT DISNEY,VIA DANTE ALIGHIERI 21,41.711790008336,15.633190039374,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,40151.065,2136987
71047,San Marco in Lamis,FGAA847038,NICOLAS GREEN,VIA NENNI,41.711995144612,15.642275225543,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,40005.838,2101811
71047,San Marco in Lamis,FG1A087006,MADRE ISABELLA DE ROSIS,VIA PICCIRELLI 20,41.711189989797,15.639830015432,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,40341.441,2115198
71047,San Marco in Lamis,FG1A199009,EMANUELE SERRILLI,VIA SANTA MARIA DE MATTIAS,41.711180015333,15.63541006176,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,40216.964,2136540
71008,Cagnano Varano,FGAA821034,VIA TARANTO,VIA TARANTO,41.829000400615,15.771186750218,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,962.664,115519
71008,Cagnano Varano,FGAA821023,PIAZZA MARCONI,PIAZZA MARCONI,41.827095859453,15.776690229347,12468,41.8235505,15.7790862,village,Cagnano Varano,71008,536.553,64386
71025,Ischitella,FGAA80701Q,PIETRO GIANNONE,CORSO C. BATTISTI,41.90399000277,15.902354994743,12482,41.928745,15.881052,village,Rodi Garganico,71043,8748.15,704325
71025,Ischitella,FGAA80702R,ISOLA VARANO,AGRO ISOLA VARANO,41.915258560488,15.778315615654,12482,41.928745,15.881052,village,Rodi Garganico,71043,9359.929,912746
71059,Vico del Gargano,FGAA841028,FILIPPO FIORENTINO,VIA PAPA GIOVANNI XXIII 2,41.893448436555,15.961800316229,12482,41.928745,15.881052,village,Rodi Garganico,71043,12081.363,786909
71059,Vico del Gargano,FG1A15000C,SAN FRANCESCO D'ASSISI,VIA SAN PIETRO 19,41.896064997137,15.959919977914,12482,41.928745,15.881052,village,Rodi Garganico,71043,11735.587,766162
71043,Rodi Garganico,FGAA80703T,CORSO MADONNA DELLA LIBERA,CORSO MADONNA DELLA LIBERA,41.927307444819,15.879750723082,12482,41.928745,15.881052,village,Rodi Garganico,71043,409.611,37090
71025,Ischitella,FGAA80701Q,PIETRO GIANNONE,CORSO C. BATTISTI,41.90399000277,15.902354994743,12483,41.9195119,15.8256143,village,Rodi Garganico,71043,8589.624,674999
71025,Ischitella,FGAA80702R,ISOLA VARANO,AGRO ISOLA VARANO,41.915258560488,15.778315615654,12483,41.9195119,15.8256143,village,Rodi Garganico,71043,4383.297,333697
71059,Vico del Gargano,FGAA841028,FILIPPO FIORENTINO,VIA PAPA GIOVANNI XXIII 2,41.893448436555,15.961800316229,12483,41.9195119,15.8256143,village,Rodi Garganico,71043,16134.297,947111
71059,Vico del Gargano,FG1A15000C,SAN FRANCESCO D'ASSISI,VIA SAN PIETRO 19,41.896064997137,15.959919977914,12483,41.9195119,15.8256143,village,Rodi Garganico,71043,15788.521,926364
71043,Rodi Garganico,FGAA80703T,CORSO MADONNA DELLA LIBERA,CORSO MADONNA DELLA LIBERA,41.927307444819,15.879750723082,12483,41.9195119,15.8256143,village,Rodi Garganico,71043,5312.763,631100
71051,San Severo,FGAA10603X,VIA DE PALMA II,VIA DE PALMA II,41.691978164163,15.366761038563,12444,41.6770126,15.5875171,village,Rignano Garganico,71041,31802.832,2026537
71051,San Severo,FGAA11001D,CARLO COLLODI,VIA SAN ROCCO C.N.,41.676283600594,15.374313320909,12444,41.6770126,15.5875171,village,Rignano Garganico,71041,31500.113,2021287
71051,San Severo,FGAA85103X,VIA MAZZINI,VIA MAZZINI,41.682203279587,15.381593825566,12444,41.6770126,15.5875171,village,Rignano Garganico,71041,30475.069,1950831
71051,San Severo,FGAA85101T,VIA ERGIZIO,VIA ERGIZIO,41.685096521065,15.385184593636,12444,41.6770126,15.5875171,village,Rignano Garganico,71041,29877.082,1897897
71051,San Severo,FGAA10601T,SAN FRANCESCO,VIA CALABRIA 195,41.686960003193,15.373950011737,12444,41.6770126,15.5875171,village,Rignano Garganico,71041,31320.468,1983855
71051,San Severo,FGAA85102V,VIA D'ANNUNZIO,VIA D'ANNUNZIO,41.679796640965,15.384962574374,12444,41.6770126,15.5875171,village,Rignano Garganico,71041,30752.783,1963929
71051,San Severo,FGAA869013,"SCUOLA MATERNA ""S.G.BOSCO""",VIA DON MINZONI 83,41.685970016609,15.388139987079,12444,41.6770126,15.5875171,village,Rignano Garganico,71041,29798.181,1892214
71051,San Severo,FGAA11003G,ANDREA PAZIENZA,VIA LUCERA,41.67521926563,15.37674673297,12444,41.6770126,15.5875171,village,Rignano Garganico,71041,31510.559,2014163
71051,San Severo,FGAA112015,"CIRCOLO"" DE AMICIS""SAN SEVERO",PIAZZA CAVALLOTTI16,41.691529984442,15.381119975532,12444,41.6770126,15.5875171,village,Rignano Garganico,71041,30269.567,1917856
71051,San Severo,FGAA11002E,SAN BENEDETTO,CORSO GARIBALDI N. 3,41.687389994826,15.380220010588,12444,41.6770126,15.5875171,village,Rignano Garganico,71041,30187.309,1927529
