from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
40036,Rocca San Casciano,FOAA80803G,ROCCA S.C. - LO SCOIATTOLO,VIA MARCONI 6,44.058149994378,11.840650007055,1608,44.16177065,11.795804257174721,village,Modigliana,40022,20435.853,1225183
40036,Rocca San Casciano,FO1A00500G,"SCUOLA DELL'INFANZIA PARITARIA ""SACRA FAMIGLIA""",VIA CAVOUR14,44.060000006137,11.84384996623,1608,44.16177065,11.795804257174721,village,Modigliana,40022,20374.456,1240701
40049,Tredozio,FOAA81402T,TREDOZIO GIULIO MARCHI,VIA FABRONI 18,44.076283835438,11.741402745725,1608,44.16177065,11.795804257174721,village,Modigliana,40022,11212.085,694192
40005,Castrocaro Terme e Terra del Sole,FOAA80801D,TERRA DEL SOLE GIANNI RODARI,VIA DEL LAVORO,44.180016430577,11.951983836474,1608,44.16177065,11.795804257174721,village,Modigliana,40022,24473.472,1511424
40005,Castrocaro Terme e Terra del Sole,FO1A02600L,"SCUOLA DELL'INFANZIA PARITARIA ""F.LLI PAGANELLI""",PRATO GIORDANO BRUNO 1,44.185449981217,11.960039991867,1608,44.16177065,11.795804257174721,village,Modigliana,40022,25182.883,1541222
40005,Castrocaro Terme e Terra del Sole,FO1A01300E,"SCUOLA DELL'INFANZIA PARITARIA ""MARIA BAMBINA""",VIA NAZIONALE 169,44.149009992438,11.924880003522,1608,44.16177065,11.795804257174721,village,Modigliana,40022,20112.672,1215778
40011,Dovadola,FOAA80802E,DOVADOLA - I GIRASOLI,PIAZZA DELLA VITTORIA 3,44.121906857063,11.887428067572,1608,44.16177065,11.795804257174721,village,Modigliana,40022,15650.758,962460
40022,Modigliana,FOAA81401R,MODIGLIANA GIACOMO PUNTAROLI,VIA MARCONI 18,44.154999993814,11.789870006866,1608,44.16177065,11.795804257174721,village,Modigliana,40022,1057.991,64973
40022,Modigliana,FOAA81403V,MODIGLIANA ALDO MORO,PIAZZALE ALDO MORO 3,44.158350010011,11.792240031898,1608,44.16177065,11.795804257174721,village,Modigliana,40022,811.757,58961
40036,Rocca San Casciano,FOAA80803G,ROCCA S.C. - LO SCOIATTOLO,VIA MARCONI 6,44.058149994378,11.840650007055,1609,44.161163,11.793528,village,Modigliana,40022,20322.987,1224294
40036,Rocca San Casciano,FO1A00500G,"SCUOLA DELL'INFANZIA PARITARIA ""SACRA FAMIGLIA""",VIA CAVOUR14,44.060000006137,11.84384996623,1609,44.161163,11.793528,village,Modigliana,40022,20261.59,1239812
40049,Tredozio,FOAA81402T,TREDOZIO GIULIO MARCHI,VIA FABRONI 18,44.076283835438,11.741402745725,1609,44.161163,11.793528,village,Modigliana,40022,11099.22,693303
40005,Castrocaro Terme e Terra del Sole,FOAA80801D,TERRA DEL SOLE GIANNI RODARI,VIA DEL LAVORO,44.180016430577,11.951983836474,1609,44.161163,11.793528,village,Modigliana,40022,24360.606,1510535
40005,Castrocaro Terme e Terra del Sole,FO1A02600L,"SCUOLA DELL'INFANZIA PARITARIA ""F.LLI PAGANELLI""",PRATO GIORDANO BRUNO 1,44.185449981217,11.960039991867,1609,44.161163,11.793528,village,Modigliana,40022,25070.018,1540333
40005,Castrocaro Terme e Terra del Sole,FO1A01300E,"SCUOLA DELL'INFANZIA PARITARIA ""MARIA BAMBINA""",VIA NAZIONALE 169,44.149009992438,11.924880003522,1609,44.161163,11.793528,village,Modigliana,40022,19999.806,1214889
40011,Dovadola,FOAA80802E,DOVADOLA - I GIRASOLI,PIAZZA DELLA VITTORIA 3,44.121906857063,11.887428067572,1609,44.161163,11.793528,village,Modigliana,40022,15537.892,961571
40022,Modigliana,FOAA81401R,MODIGLIANA GIACOMO PUNTAROLI,VIA MARCONI 18,44.154999993814,11.789870006866,1609,44.161163,11.793528,village,Modigliana,40022,945.125,64084
40022,Modigliana,FOAA81403V,MODIGLIANA ALDO MORO,PIAZZALE ALDO MORO 3,44.158350010011,11.792240031898,1609,44.161163,11.793528,village,Modigliana,40022,698.891,58072
40009,Civitella di Romagna,FOAA809019,CIVITELLA CUSERCOLI,VIA ANDREA COSTA 18,44.044609993717,12.006640020761,14135,43.9966629,11.9120062,village,Galeata,40014,10005.298,582202
40009,Civitella di Romagna,FO1A00300X,"SCUOLA DELL'INFANZIA PARITARIA ""SACRO CUORE""",VIA ANDREA COSTA N.47,44.045829979724,12.010599967097,14135,43.9966629,11.9120062,village,Galeata,40014,10351.634,601383
40009,Civitella di Romagna,FO1A00400Q,"SCUOLA DELL'INFANZIA PARITARIA ""GIOVANNI XXIII""",VIALE MARTIRI PARTIGIANI N.1,44.006449996497,11.938799997763,14135,43.9966629,11.9120062,village,Galeata,40014,2836.846,191542
40036,Rocca San Casciano,FOAA80803G,ROCCA S.C. - LO SCOIATTOLO,VIA MARCONI 6,44.058149994378,11.840650007055,14135,43.9966629,11.9120062,village,Galeata,40014,17208.32,1071705
40036,Rocca San Casciano,FO1A00500G,"SCUOLA DELL'INFANZIA PARITARIA ""SACRA FAMIGLIA""",VIA CAVOUR14,44.060000006137,11.84384996623,14135,43.9966629,11.9120062,village,Galeata,40014,16922.863,1050516
40032,Predappio,FOAA813011,PREDAPPIO PETER PAN,VIA BEKER,44.088684367,11.950040001,14135,43.9966629,11.9120062,village,Galeata,40014,18763.687,1812452
40032,Predappio,FOAA813022,PREDAPPIO FIUMANA IL PETTIROSSO,PIAZZA DELLA LIBERTA' 2,44.14132001537,11.988910032431,14135,43.9966629,11.9120062,village,Galeata,40014,26253.265,1643420
40043,Santa Sofia,FOAA812026,SANTA SOFIA CAPOLUOGO,VIA DELLA REPUBBLICA,43.945637406034,11.909292603888,14135,43.9966629,11.9120062,village,Galeata,40014,6422.07,382807
40033,Premilcuore,FOAA813033,PREMILCUORE BAMBI,VIA G. MARCONI 10,43.976119827246,11.776080722073,14135,43.9966629,11.9120062,village,Galeata,40014,17699.84,1087657
40014,Galeata,FOAA80902A,GALEATA SALVO D'ACQUISTO,VIA TOGLIATTI N.14,43.998320011421,11.910549966577,14135,43.9966629,11.9120062,village,Galeata,40014,308.51,33819
40007,Cesena,FOAA01806A,CESENA 2 INF. S.MARIANI,VIA SAN VITTORE 1374,44.107779997451,12.198129963222,14088,44.1999283,12.3969692,town,Cesenatico,40008,22341.724,1560193
40007,Cesena,FOAA021077,CESENA 5 ARCOBALENO CALABRINA,VIA TARGHINI 4045,44.180370003069,12.297189977158,14088,44.1999283,12.3969692,town,Cesenatico,40008,11534.156,894274
40007,Cesena,FOAA021033,CESENA 5 IL GIARDINO S.EGIDIO,VIA ANNA FRANK 75,44.153680011702,12.264640029643,14088,44.1999283,12.3969692,town,Cesenatico,40008,15432.503,1185097
40007,Cesena,FOAA019055,CESENA 3 PONTE ABBADESSE,PIAZZALE BRIGHI PAOLA 6,44.122890012396,12.243519980574,14088,44.1999283,12.3969692,town,Cesenatico,40008,17813.08,1302099
40007,Cesena,FOAA02303P,CESENA 7 INFANZIA MARTORANO,VIA RAVENNATE 2439,44.169279990797,12.242429997885,14088,44.1999283,12.3969692,town,Cesenatico,40008,16951.119,1281581
40007,Cesena,FOAA018059,CESENA 2 INF. MARINO MORETTI,VIA CERTALDO 365,44.130729983622,12.220360027729,14088,44.1999283,12.3969692,town,Cesenatico,40008,19216.81,1388895
40007,Cesena,FOAA02301L,CESENA 7 INFANZIATORRE DEL MORO,VIA SAN REMO 98,44.145487037003,12.221259875439,14088,44.1999283,12.3969692,town,Cesenatico,40008,18477.804,1327522
40007,Cesena,FOAA020037,CESENA 4 PONTE PIETRA GIRASOLI,P.LE DANILO DOLCI 50,44.141149988464,12.287279969215,14088,44.1999283,12.3969692,town,Cesenatico,40008,12444.4,893808
40007,Cesena,FOAA020048,CESENA 4 CALISESE - COLIBRI',VIA CAPRANICA 283,44.102770008195,12.303629961006,14088,44.1999283,12.3969692,town,Cesenatico,40008,16725.264,1335874
40007,Cesena,FOAA019033,CESENA 3 GIOSUE' CARDUCCI,VIA ZARA 2,44.139229987813,12.248869981733,14088,44.1999283,12.3969692,town,Cesenatico,40008,16078.144,1112419
40007,Cesena,FOAA020059,CESENA 4 BULGARIA,VIA RUFFIO 360,44.11263999255,12.320050025508,14088,44.1999283,12.3969692,town,Cesenatico,40008,15097.402,1108342
40007,Cesena,FOAA019077,CESENA 3 PORTA S.MARIA,PIAZZALE V. DA MONTEFELTRO 20,44.132939998122,12.244620021547,14088,44.1999283,12.3969692,town,Cesenatico,40008,16670.496,1183539
40007,Cesena,FOAA019066,CESENA 3 PORTA FIUME,VIA SAFFI 53,44.134640015724,12.235879959648,14088,44.1999283,12.3969692,town,Cesenatico,40008,17661.644,1263032
40007,Cesena,FOAA02302N,CESENA 7 INFANZIA RONTA,VIA RAVENNATE 5366,44.19391000373,12.24262001563,14088,44.1999283,12.3969692,town,Cesenatico,40008,16208.278,1294563
