from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
60025,Ceprano,FRAA83104R,CEPRANO COLLETASSETANO,VIA MAURIZIO POLISENA,41.54735,13.49532678,15751,41.5652745,13.4155324,village,Pofi,60055,9683.072,591721
60025,Ceprano,FRAA83102P,CEPRANO FORNACI,VIA MUTO,41.554802901973,13.512412883818,15751,41.5652745,13.4155324,village,Pofi,60055,10854.216,644249
60025,Ceprano,FRAA83105T,"CEPRANO ""IRMA LOMBARDI""",VIA CORNETE,41.533732215701,13.513188602546,15751,41.5652745,13.4155324,village,Pofi,60055,12421.033,828380
60025,Ceprano,FRAA83101N,"CEPRANO ""VINCENZO FRASCHETTI""",LOCALITA' CHIUSAGRANDE,41.534875785146,13.508533100909,15751,41.5652745,13.4155324,village,Pofi,60055,12216.315,830474
60009,Arnara,FRAA842069,ARNARA CAPOLUOGO,VIA GORNJA BISTRA,41.563968498268,13.380530998138,15751,41.5652745,13.4155324,village,Pofi,60055,4181.73,376785
60024,Ceccano,FRAA842025,CECCANO CASAMARCIANO,Non Disponibile,41.566065,13.330848514,15751,41.5652745,13.4155324,village,Pofi,60055,8613.203,722373
60024,Ceccano,FRAA842047,CECCANO VIA MATTEOTTI,Non Disponibile,41.566065,13.330848514,15751,41.5652745,13.4155324,village,Pofi,60055,8613.203,722373
60024,Ceccano,FRAA842014,CECCANO BADIA-MAIURA,Non Disponibile,41.566065,13.330848514,15751,41.5652745,13.4155324,village,Pofi,60055,8613.203,722373
60024,Ceccano,FRAA85802P,CECCANO BORGO BERARDI,B.GO BERARDI,41.572347837331,13.346044288336,15751,41.5652745,13.4155324,village,Pofi,60055,8337.483,711069
60024,Ceccano,FRAA85803Q,VICEBRIGADIERE MARIO CARCASOLE,VIA SAN FRANCESCO,41.56212081781,13.355780984754,15751,41.5652745,13.4155324,village,Pofi,60055,5961.027,483753
60024,Ceccano,FRAA85801N,CECCANO PASSO DEL CARDINALE,VIA DEL CARDINALE,41.596667438469,13.309058795077,15751,41.5652745,13.4155324,village,Pofi,60055,12175.23,1040845
60024,Ceccano,FRAA842036,CECCANO PESCARA,Non Disponibile,41.566065,13.330848514,15751,41.5652745,13.4155324,village,Pofi,60055,8613.203,722373
60024,Ceccano,FRAA84207A,CECCANO VIA GAETA,VIA GAETA,41.557490742588,13.345401179297,15751,41.5652745,13.4155324,village,Pofi,60055,8792.079,707498
60058,Ripi,FRAA81102D,RIPI S.GIOVANNI,VIA VARROCCIA,41.595405133695,13.448263004636,15751,41.5652745,13.4155324,village,Pofi,60055,6833.844,501189
60058,Ripi,FRAA81101C,CASA DEL MEDICO,VIA CASA DEL MEDICO,41.61565202464,13.435132040694,15751,41.5652745,13.4155324,village,Pofi,60055,7284.693,578402
60023,Castro dei Volsci,FRAA81401X,SC. MAT. CASTRO DEI VOLSCI,VIA ANTONINO CARNEVALE,41.515750312044,13.401869332637,15751,41.5652745,13.4155324,village,Pofi,60055,6994.407,566405
60055,Pofi,FRAA814043,POFI CAPOLUOGO,VIA S. GIORGIO,41.570729995878,13.414764881608,15751,41.5652745,13.4155324,village,Pofi,60055,1306.963,142536
60068,Sant'Elia Fiumerapido,FRAA857085,S.ELIA VALLELUCE,VIA VALLELUCE,41.566405386301,13.857146383897,15716,41.4925576,13.8305297,town,Cassino,60019,12380.871,1123187
60068,Sant'Elia Fiumerapido,FRAA85702V,S.ELIA PORTELLA,VIA COLLE IANNUCCI,41.52364594538,13.87995696241,15716,41.4925576,13.8305297,town,Cassino,60019,6598.054,743268
60068,Sant'Elia Fiumerapido,FRAA857041,S.ELIA OLIVELLA,CONTRADA OLIVELLA,41.552517840096,13.840295824697,15716,41.4925576,13.8305297,town,Cassino,60019,7817.143,684713
60068,Sant'Elia Fiumerapido,FRAA857052,S.ELIA GUADO OLIVETO,VIA GUADO OLIVETO,41.551457291288,13.838463474256,15716,41.4925576,13.8305297,town,Cassino,60019,7340.056,730909
60068,Sant'Elia Fiumerapido,FRAA85701T,S.ELIA CAPOLUOGO,VILLA COMUNALE,41.557709752,13.86758,15716,41.4925576,13.8305297,town,Cassino,60019,10577.657,892832
60026,Cervaro,FRAA843032,CERVARO FORESTA INFANZIA,VIA FORESTA,41.468107058516,13.855620978312,15716,41.4925576,13.8305297,town,Cassino,60019,4823.114,320289
60026,Cervaro,FRAA84301X,CERVARO CAPOLUOGO INFANZIA,LARGO VERDI,41.4820548321,13.905525409813,15716,41.4925576,13.8305297,town,Cassino,60019,7985.089,572527
60026,Cervaro,FRAA843054,CERVARO PASTENELLE INFANZIA,VIA PASTENELLE,41.483629562418,13.877175503314,15716,41.4925576,13.8305297,town,Cassino,60019,4518.4,339637
60026,Cervaro,FRAA843076,S.VITTORE S.CESAREO INFANZIA,VIA S.CESARIO,41.436458417403,13.891758175292,15716,41.4925576,13.8305297,town,Cassino,60019,10284.31,654406
60026,Cervaro,FRAA843021,CERVARO COLLETORNESE INFANZIA,VIA S.LUCIA,41.456893754391,13.866595118329,15716,41.4925576,13.8305297,town,Cassino,60019,8151.019,506801
60026,Cervaro,FRAA843043,CERVARO PORCHIO INFANZIA,VIA SPINA,41.474985,13.890862985,15716,41.4925576,13.8305297,town,Cassino,60019,6177.573,455603
60054,Pignataro Interamna,FRAA826027,PIGNATARO CAPOLUOGO,VIA S.MARIA,41.440710513633,13.783490608688,15716,41.4925576,13.8305297,town,Cassino,60019,8329.902,573524
60067,Sant'Apollinare,FRAA826049,SANT'APOLLINARE CAPOLUOGO,CORSO MAZZINI,41.403810460258,13.828564509612,15716,41.4925576,13.8305297,town,Cassino,60019,12260.435,917063
60070,San Vittore del Lazio,FRAA843065,SAN VITTORE CAPOLUOGO INFANZIA,VIA BAGNO,41.44871194275,13.920573458361,15716,41.4925576,13.8305297,town,Cassino,60019,9877.955,594405
60070,San Vittore del Lazio,FRAA857074,VALLEROTONDA CAPOLUOGO,PIAZZA MUNICIPIO,41.461129741712,13.931314177733,15716,41.4925576,13.8305297,town,Cassino,60019,12199.855,770236
60089,Villa Santa Lucia,FRAA82304T,CASTROCIELO CAPOLUOGO,PIAZZA SAN ROCCO,41.511405095067,13.766915404372,15716,41.4925576,13.8305297,town,Cassino,60019,9605.475,904767
60089,Villa Santa Lucia,FRAA82503C,VILLA S.LUCIA-CAPOLUOGO,VIA ROMA 18,41.512710001093,13.772810033417,15716,41.4925576,13.8305297,town,Cassino,60019,9109.183,846284
60089,Villa Santa Lucia,FRAA82505E,VILLA S.LUCIA-PIUMAROLA,VIA DELLA SORGENTE,41.469361999284,13.768314204686,15716,41.4925576,13.8305297,town,Cassino,60019,7177.781,723630
60019,Cassino,FRAA856012,CASSINO VIA ARNO,VIA ARNO SNC,41.48780333086,13.837706650469,15716,41.4925576,13.8305297,town,Cassino,60019,1006.692,86128
60019,Cassino,FRAA85401A,CASSINO VIA ZAMOSCH,VIA ZAMOSCH,41.492143378186,13.837515511812,15716,41.4925576,13.8305297,town,Cassino,60019,772.32,65290
60019,Cassino,FRAA855038,CASSINO COLOSSEO,VIA MONTECIFALCO,41.479774357206,13.821047003198,15716,41.4925576,13.8305297,town,Cassino,60019,2061.337,187512
60019,Cassino,FRAA85506B,CASSINO VIA DONIZETTI,VIA DONIZETTI SNC,41.488331547832,13.836930000147,15716,41.4925576,13.8305297,town,Cassino,60019,863.257,68916
60019,Cassino,FRAA855027,SAN SILVESTRO - MONTECIFALCO,VIA MONTECIFALCO,41.479774357206,13.821047003198,15716,41.4925576,13.8305297,town,Cassino,60019,2061.337,187512
60019,Cassino,FRAA85505A,CASSINO S. ANGELO IN THEODICE,CORSO TRIESTE 53,41.444070009256,13.832799984996,15716,41.4925576,13.8305297,town,Cassino,60019,7023.823,547144
60019,Cassino,FRAA85507C,Non Disponibile,Non Disponibile,41.480265001,13.82608565,15716,41.4925576,13.8305297,town,Cassino,60019,2281.32,207759
60019,Cassino,FRAA85402B,"""MARIA GUALZETTI SARAGOSA""",CORSO SAN BASILIO,41.52758714802,13.816006135138,15716,41.4925576,13.8305297,town,Cassino,60019,4857.445,343312
60019,Cassino,FRAA855049,VIA ARIGNI,VIA ARIGNI SNC,41.488444678574,13.828191126903,15716,41.4925576,13.8305297,town,Cassino,60019,1264.323,139252
60019,Cassino,FR1A03600A,"SCUOLA DELL'INFANZIA PARITARIA ""SAN BENEDETTO""",VIA SAN BERTARIO 1,41.493886124075,13.830193008041,15716,41.4925576,13.8305297,town,Cassino,60019,715.705,73337
60019,Cassino,FR1A03900T,SCUOLA PRIMAVERA DEI BIMBI SOC. COOP. MATERNA,VIA RAPIDO 11,41.485002692747,13.83313573772,15716,41.4925576,13.8305297,town,Cassino,60019,1058.659,111920
60019,Cassino,FR1A029007,"SCUOLA DELL'INFANZIA PARITARIA""A.MARIA LAPINI""",CORSO DELLA REPUBBLICA82,41.491350020045,13.829270030292,15716,41.4925576,13.8305297,town,Cassino,60019,479.873,34072
60068,Sant'Elia Fiumerapido,FRAA857085,S.ELIA VALLELUCE,VIA VALLELUCE,41.566405386301,13.857146383897,15717,41.4472394,13.8259417,village,Cassino,60019,18337.104,1499386
60068,Sant'Elia Fiumerapido,FRAA85702V,S.ELIA PORTELLA,VIA COLLE IANNUCCI,41.52364594538,13.87995696241,15717,41.4472394,13.8259417,village,Cassino,60019,13880.898,1057243
60068,Sant'Elia Fiumerapido,FRAA857041,S.ELIA OLIVELLA,CONTRADA OLIVELLA,41.552517840096,13.840295824697,15717,41.4472394,13.8259417,village,Cassino,60019,15337.434,1055716
60068,Sant'Elia Fiumerapido,FRAA857052,S.ELIA GUADO OLIVETO,VIA GUADO OLIVETO,41.551457291288,13.838463474256,15717,41.4472394,13.8259417,village,Cassino,60019,14860.347,1101912
60068,Sant'Elia Fiumerapido,FRAA85701T,S.ELIA CAPOLUOGO,VILLA COMUNALE,41.557709752,13.86758,15717,41.4472394,13.8259417,village,Cassino,60019,16533.889,1269031
60026,Cervaro,FRAA843032,CERVARO FORESTA INFANZIA,VIA FORESTA,41.468107058516,13.855620978312,15717,41.4472394,13.8259417,village,Cassino,60019,4839.372,483240
60026,Cervaro,FRAA84301X,CERVARO CAPOLUOGO INFANZIA,LARGO VERDI,41.4820548321,13.905525409813,15717,41.4472394,13.8259417,village,Cassino,60019,13022.72,960694
60026,Cervaro,FRAA843054,CERVARO PASTENELLE INFANZIA,VIA PASTENELLE,41.483629562418,13.877175503314,15717,41.4472394,13.8259417,village,Cassino,60019,9556.031,727804
60026,Cervaro,FRAA843076,S.VITTORE S.CESAREO INFANZIA,VIA S.CESARIO,41.436458417403,13.891758175292,15717,41.4472394,13.8259417,village,Cassino,60019,7451.928,769746
60026,Cervaro,FRAA843021,CERVARO COLLETORNESE INFANZIA,VIA S.LUCIA,41.456893754391,13.866595118329,15717,41.4472394,13.8259417,village,Cassino,60019,5318.637,622141
60026,Cervaro,FRAA843043,CERVARO PORCHIO INFANZIA,VIA SPINA,41.474985,13.890862985,15717,41.4472394,13.8259417,village,Cassino,60019,8600.525,1015969
60054,Pignataro Interamna,FRAA826027,PIGNATARO CAPOLUOGO,VIA S.MARIA,41.440710513633,13.783490608688,15717,41.4472394,13.8259417,village,Cassino,60019,5983.206,631052
60067,Sant'Apollinare,FRAA826049,SANT'APOLLINARE CAPOLUOGO,CORSO MAZZINI,41.403810460258,13.828564509612,15717,41.4472394,13.8259417,village,Cassino,60019,6306.558,482215
60070,San Vittore del Lazio,FRAA843065,SAN VITTORE CAPOLUOGO INFANZIA,VIA BAGNO,41.44871194275,13.920573458361,15717,41.4472394,13.8259417,village,Cassino,60019,10252.694,981334
60070,San Vittore del Lazio,FRAA857074,VALLEROTONDA CAPOLUOGO,PIAZZA MUNICIPIO,41.461129741712,13.931314177733,15717,41.4472394,13.8259417,village,Cassino,60019,12574.593,1157165
60089,Villa Santa Lucia,FRAA82304T,CASTROCIELO CAPOLUOGO,PIAZZA SAN ROCCO,41.511405095067,13.766915404372,15717,41.4472394,13.8259417,village,Cassino,60019,13092.32,1148989
60089,Villa Santa Lucia,FRAA82503C,VILLA S.LUCIA-CAPOLUOGO,VIA ROMA 18,41.512710001093,13.772810033417,15717,41.4472394,13.8259417,village,Cassino,60019,12596.028,1090506
60089,Villa Santa Lucia,FRAA82505E,VILLA S.LUCIA-PIUMAROLA,VIA DELLA SORGENTE,41.469361999284,13.768314204686,15717,41.4472394,13.8259417,village,Cassino,60019,8070.578,927810
60019,Cassino,FRAA856012,CASSINO VIA ARNO,VIA ARNO SNC,41.48780333086,13.837706650469,15717,41.4472394,13.8259417,village,Cassino,60019,6060.002,496343
60019,Cassino,FRAA85401A,CASSINO VIA ZAMOSCH,VIA ZAMOSCH,41.492143378186,13.837515511812,15717,41.4472394,13.8259417,village,Cassino,60019,6511.344,549848
60019,Cassino,FRAA855038,CASSINO COLOSSEO,VIA MONTECIFALCO,41.479774357206,13.821047003198,15717,41.4472394,13.8259417,village,Cassino,60019,5319.036,415900
60019,Cassino,FRAA85506B,CASSINO VIA DONIZETTI,VIA DONIZETTI SNC,41.488331547832,13.836930000147,15717,41.4472394,13.8259417,village,Cassino,60019,6070.44,497595
60019,Cassino,FRAA855027,SAN SILVESTRO - MONTECIFALCO,VIA MONTECIFALCO,41.479774357206,13.821047003198,15717,41.4472394,13.8259417,village,Cassino,60019,5319.036,415900
60019,Cassino,FRAA85505A,CASSINO S. ANGELO IN THEODICE,CORSO TRIESTE 53,41.444070009256,13.832799984996,15717,41.4472394,13.8259417,village,Cassino,60019,1069.947,112296
60019,Cassino,FRAA85507C,Non Disponibile,Non Disponibile,41.480265001,13.82608565,15717,41.4472394,13.8259417,village,Cassino,60019,4529.347,383653
60019,Cassino,FRAA85402B,"""MARIA GUALZETTI SARAGOSA""",CORSO SAN BASILIO,41.52758714802,13.816006135138,15717,41.4472394,13.8259417,village,Cassino,60019,10589.188,857642
60019,Cassino,FRAA855049,VIA ARIGNI,VIA ARIGNI SNC,41.488444678574,13.828191126903,15717,41.4472394,13.8259417,village,Cassino,60019,5505.511,478665
