from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
10054,Santa Margherita Ligure,GEAA80601D,S.MAT. DI CORTE,VIA MADONNETTA,44.327600007507,9.210344978858,18164,44.3036653,9.2093446,village,Portofino,10044,4650.592,309252
10054,Santa Margherita Ligure,GEAA80603G,SCUOLA INFANZIA S. LORENZO DELLA COSTA,VIA TORRE S. GIOACCHINO 11,44.340030003497,9.18990003373,18164,44.3036653,9.2093446,village,Portofino,10044,9048.424,566671
10054,Santa Margherita Ligure,GEAA80602E,S.MAT. DI S.SIRO,VIA ROMANA 13,44.336381819463,9.204043257311,18164,44.3036653,9.2093446,village,Portofino,10044,5826.043,397589
10007,Camogli,GEAA85806B,S. INFANZIA DI RUTA DI CAMOGLI,VIA XXV APRILE,44.349091194215,9.169434745967,18164,44.3036653,9.2093446,village,Portofino,10044,12158.818,809334
10007,Camogli,GE1A01700D,UMBERTO I,SALITA DON ANSALDO 17,44.34996000228,9.154929979311,18164,44.3036653,9.2093446,village,Portofino,10044,14854.701,988892
10004,Bogliasco,GEAA85603L,S.MAT. DI VIA G.MAZZINI,VIA G.MAZZINI 245,44.377400006343,9.074439988041,10007,44.3762485,9.0861613,village,Pieve Ligure,10043,2344.633,235174
10004,Bogliasco,GE1A035003,SANTA MARIA BAMBINA,VIA DE MARCHI 15,44.379420003099,9.067119988178,10007,44.3762485,9.0861613,village,Pieve Ligure,10043,3247.783,358476
10060,Sori,GEAA85601E,S.MAT. DI SORI,VIA MAZZINI 4,44.37436001579,9.105369965129,10007,44.3762485,9.0861613,village,Pieve Ligure,10043,2264.284,261786
10043,Pieve Ligure,GEAA85602G,S.MAT. DI PIEVE LIGURE,VIA ALLA CHIESA 39,44.375729995955,9.089609975503,10007,44.3762485,9.0861613,village,Pieve Ligure,10043,1707.427,204956
10053,San Colombano Certenoli,GEAA84302D,S.MAT.DI S.COLOMBANO CERTENOLI,VIA D.NORERO 44,44.364560020326,9.322559996193,18388,44.407053,9.2747224,village,Orero,10042,8604.574,601679
10048,Rezzoaglio,GEAA80502P,"SC.INFANZIA ""REZZOAGLIO""",VIA ALLE SCUOLE N 1,44.518785,9.405198824,18388,44.407053,9.2747224,village,Orero,10042,38023.992,2402870
10016,Cicagna,GE1A03700P,SUORE DELLA PRESENTAZIONE,VIA ITALIA 27,44.408199980114,9.236139976064,18388,44.407053,9.2747224,village,Orero,10042,4621.836,333361
10031,Lumarzo,GEAA84301C,S.MAT. DI LUMARZO,VIA CHIAPPATO 287,44.431330009564,9.135060007281,10004,44.4546639,9.1905114,village,Neirone,10041,8606.02,587147
