from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
31012,Monfalcone,GOAA80302G,VIA TARTINI,VIA TARTINI 12,45.803929979822,13.54852002745,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,8622.608,587737
31012,Monfalcone,GOAA80402B,VIA PRIMO MAGGIO,VIA PRIMO MAGGIO 78,45.81373999166,13.514109967982,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,5743.553,389335
31012,Monfalcone,GOAA80401A,CARLO COLLODI,LARGO ISONZO 27,45.805109984151,13.519889960773,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,6848.375,516722
31012,Monfalcone,GOAA80404D,SCUOLA DELL'INFANZIA VIA ROMA,VIA ROMA 7,45.807500000022,13.528419972178,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,6724.951,468759
31012,Monfalcone,GOAA80405E,VIA DELLE MANDRIE,VIA DELLE MANDRIE,45.802552772421,13.551801364825,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,8710.611,590890
31012,Monfalcone,GOAA80403C,VIA DELLA POMA,VIA DELLA POMA,45.8117931564,13.513295499275,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,6155.422,439475
31012,Monfalcone,GOAA80304N,VIA CELLOTTINI,VIA CELLOTTINI 46,45.802410145285,13.528820469905,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,7268.521,525644
31012,Monfalcone,GOAA80301E,VIA GRAMSCI,VIA GRAMSCI,45.799978661073,13.523500503459,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,7602.836,608011
31016,Ronchi dei Legionari,GOAA805027,VIA CAPITELLO,VIA CAPITELLO,45.826294878445,13.511873401873,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,4207.551,296569
31016,Ronchi dei Legionari,GOAA805016,VIA DEI CAMPI,VIA DEI CAMPI,45.824295219005,13.50516817421,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,5210.903,371178
31016,Ronchi dei Legionari,GOAA81104L,VIA CAPITELLO IN LINGUA SLOVENA,VIA CAPITELLO 6,45.834330011082,13.510829961631,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,4445.026,327065
31022,Savogna d'Isonzo,GOAA81103G,VIA JAKIL LINGUA SLOVENA,VIA JAKIL 22,45.88648398885,13.582531981761,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,6735.865,393282
31022,Savogna d'Isonzo,GOAA81102E,VIA STRADALTA - LINGUA SLOVENA,VIA STRADALTA 1,45.899632580532,13.584678300463,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,8816.687,573733
31006,Fogliano Redipuglia,GOAA806012,VIA GEN. PAOLINI,VIA GEN. PAOLINI,45.845230453095,13.486616329215,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,7610.973,618033
31017,Sagrado,GOAA806023,BOZZI,VIA DEL CASTELLO 35,45.87654,13.48274,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,6938.433,694965
31017,Sagrado,GO1A00600G,SCUOLA INFANZIA PARITARIA WALDORF SILVANA CORAZZA,LARGO CASTELVECCHIO 4,45.872620011621,13.488980016433,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,6173.176,632852
31003,Doberdò del Lago,GOAA81101D,VIA MARTIRI - LINGUA SLOVENA,VIA MARTIRI DELLA LIBERTA' 10,45.845440014194,13.538680008398,9219,45.8446301,13.5401419,village,Doberdò del Lago,31003,221.447,21637
31012,Monfalcone,GOAA80302G,VIA TARTINI,VIA TARTINI 12,45.803929979822,13.54852002745,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,5812.77,472128
31012,Monfalcone,GOAA80402B,VIA PRIMO MAGGIO,VIA PRIMO MAGGIO 78,45.81373999166,13.514109967982,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,8644.973,643573
31012,Monfalcone,GOAA80401A,CARLO COLLODI,LARGO ISONZO 27,45.805109984151,13.519889960773,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,8264.302,653482
31012,Monfalcone,GOAA80404D,SCUOLA DELL'INFANZIA VIA ROMA,VIA ROMA 7,45.807500000022,13.528419972178,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,7372.307,553693
31012,Monfalcone,GOAA80405E,VIA DELLE MANDRIE,VIA DELLE MANDRIE,45.802552772421,13.551801364825,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,5410.476,437307
31012,Monfalcone,GOAA80403C,VIA DELLA POMA,VIA DELLA POMA,45.8117931564,13.513295499275,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,8796.952,668083
31012,Monfalcone,GOAA80304N,VIA CELLOTTINI,VIA CELLOTTINI 46,45.802410145285,13.528820469905,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,7393.748,566899
31012,Monfalcone,GOAA80301E,VIA GRAMSCI,VIA GRAMSCI,45.799978661073,13.523500503459,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,8293.793,692836
31016,Ronchi dei Legionari,GOAA805027,VIA CAPITELLO,VIA CAPITELLO,45.826294878445,13.511873401873,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,8499.403,695590
31016,Ronchi dei Legionari,GOAA805016,VIA DEI CAMPI,VIA DEI CAMPI,45.824295219005,13.50516817421,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,9502.755,770199
31016,Ronchi dei Legionari,GOAA81104L,VIA CAPITELLO IN LINGUA SLOVENA,VIA CAPITELLO 6,45.834330011082,13.510829961631,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,8736.878,726086
31022,Savogna d'Isonzo,GOAA81103G,VIA JAKIL LINGUA SLOVENA,VIA JAKIL 22,45.88648398885,13.582531981761,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,9061.628,558560
31022,Savogna d'Isonzo,GOAA81102E,VIA STRADALTA - LINGUA SLOVENA,VIA STRADALTA 1,45.899632580532,13.584678300463,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,11142.449,739011
31006,Fogliano Redipuglia,GOAA806012,VIA GEN. PAOLINI,VIA GEN. PAOLINI,45.845230453095,13.486616329215,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,14150.713,810400
31017,Sagrado,GOAA806023,BOZZI,VIA DEL CASTELLO 35,45.87654,13.48274,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,11625.722,1136920
31017,Sagrado,GO1A00600G,SCUOLA INFANZIA PARITARIA WALDORF SILVANA CORAZZA,LARGO CASTELVECCHIO 4,45.872620011621,13.488980016433,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,10860.466,1074807
31003,Doberdò del Lago,GOAA81101D,VIA MARTIRI - LINGUA SLOVENA,VIA MARTIRI DELLA LIBERTA' 10,45.845440014194,13.538680008398,9220,45.8210168,13.5820639,village,Doberdò del Lago,31003,5000.331,462185
31015,Romans d'Isonzo,GOAA80102X,ROMANS D'ISONZO,VIA DELLE SCUOLE N.2,45.893820765049,13.438654451264,18484,45.8594798,13.4372045,village,Villesse,31025,4659.664,361045
31008,Gradisca d'Isonzo,GOAA80202Q,VIA CIVIDALE,VIA CIVIDALE,45.898469010367,13.496089435811,18484,45.8594798,13.4372045,village,Villesse,31025,7838.455,630959
31008,Gradisca d'Isonzo,GOAA80201P,VIA ZUCCHELLI,VIA ZUCCHELLI,45.883714990171,13.486549976974,18484,45.8594798,13.4372045,village,Villesse,31025,5561.857,441129
31006,Fogliano Redipuglia,GOAA806012,VIA GEN. PAOLINI,VIA GEN. PAOLINI,45.845230453095,13.486616329215,18484,45.8594798,13.4372045,village,Villesse,31025,10381.721,675071
31021,San Pier d'Isonzo,GOAA806034,VIA MATTEOTTI,VIA MATTEOTTI 48,45.848829991114,13.456829969518,18484,45.8594798,13.4372045,village,Villesse,31025,10807.35,822241
31025,Villesse,GOAA801031,VILLESSE,VIA DIAZ N. 14,45.862209981243,13.440449970514,18484,45.8594798,13.4372045,village,Villesse,31025,462.439,33298
31018,San Canzian d'Isonzo,GOAA80801N,INFANZIA DI SAN CANZIAN D'IS.,VIA GORIZIA 4,45.7996899941,13.463519985538,9230,45.8199807,13.4466863,village,Turriaco,31024,3948.19,401683
31018,San Canzian d'Isonzo,GOAA80803Q,SCUOLA DELL'INFANZIA DI PIERIS,VIA DE LA BRAIDA 1,45.811049987474,13.445999963882,9230,45.8199807,13.4466863,village,Turriaco,31024,1599.61,191953
31021,San Pier d'Isonzo,GOAA806034,VIA MATTEOTTI,VIA MATTEOTTI 48,45.848829991114,13.456829969518,9230,45.8199807,13.4466863,village,Turriaco,31024,4000.431,403090
31024,Turriaco,GOAA801042,MEDEA,VIA DIAZ N. 19,45.818280007606,13.434790006576,9230,45.8199807,13.4466863,village,Turriaco,31024,1285.624,160112
31024,Turriaco,GOAA80802P,INFANZIA DI TURRIACO,VIA ROMA16,45.821489983155,13.442800004707,9230,45.8199807,13.4466863,village,Turriaco,31024,339.635,40756
31016,Ronchi dei Legionari,GOAA805027,VIA CAPITELLO,VIA CAPITELLO,45.826294878445,13.511873401873,9224,45.8049454,13.5330592,town,Monfalcone,31012,3229.737,238870
31016,Ronchi dei Legionari,GOAA805016,VIA DEI CAMPI,VIA DEI CAMPI,45.824295219005,13.50516817421,9224,45.8049454,13.5330592,town,Monfalcone,31012,3316.688,261244
31016,Ronchi dei Legionari,GOAA81104L,VIA CAPITELLO IN LINGUA SLOVENA,VIA CAPITELLO 6,45.834330011082,13.510829961631,9224,45.8049454,13.5330592,town,Monfalcone,31012,4238.637,335720
31003,Doberdò del Lago,GOAA81101D,VIA MARTIRI - LINGUA SLOVENA,VIA MARTIRI DELLA LIBERTA' 10,45.845440014194,13.538680008398,9224,45.8049454,13.5330592,town,Monfalcone,31012,7233.661,511625
31023,Staranzano,GOAA80701T,"""GIANNI RODARI""",P.ZZALE UNICEF 3,45.803549986241,13.504319988892,9224,45.8049454,13.5330592,town,Monfalcone,31012,3137.428,260360
31012,Monfalcone,GOAA80302G,VIA TARTINI,VIA TARTINI 12,45.803929979822,13.54852002745,9224,45.8049454,13.5330592,town,Monfalcone,31012,1516.056,102589
31012,Monfalcone,GOAA80402B,VIA PRIMO MAGGIO,VIA PRIMO MAGGIO 78,45.81373999166,13.514109967982,9224,45.8049454,13.5330592,town,Monfalcone,31012,1827.309,125347
31012,Monfalcone,GOAA80401A,CARLO COLLODI,LARGO ISONZO 27,45.805109984151,13.519889960773,9224,45.8049454,13.5330592,town,Monfalcone,31012,1446.639,135256
31012,Monfalcone,GOAA80404D,SCUOLA DELL'INFANZIA VIA ROMA,VIA ROMA 7,45.807500000022,13.528419972178,9224,45.8049454,13.5330592,town,Monfalcone,31012,554.644,35467
31012,Monfalcone,GOAA80405E,VIA DELLE MANDRIE,VIA DELLE MANDRIE,45.802552772421,13.551801364825,9224,45.8049454,13.5330592,town,Monfalcone,31012,1604.06,105742
31012,Monfalcone,GOAA80403C,VIA DELLA POMA,VIA DELLA POMA,45.8117931564,13.513295499275,9224,45.8049454,13.5330592,town,Monfalcone,31012,1979.288,149857
31012,Monfalcone,GOAA80304N,VIA CELLOTTINI,VIA CELLOTTINI 46,45.802410145285,13.528820469905,9224,45.8049454,13.5330592,town,Monfalcone,31012,656.898,53148
