from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
53002,Campagnatico,GRAA81703N,CAMPAGNATICO,VIA PROVINCIALE,42.860515,11.23048,2254,42.8715131,11.5387645,village,Arcidosso,53001,43184.143,2732249
53007,Cinigiano,GRAA81704P,SASSO D'OMBRONE,VIA TRAVERSA 23,42.887563646134,11.478830098897,2254,42.8715131,11.5387645,village,Arcidosso,53001,10154.415,627542
53007,Cinigiano,GRAA81702L,CINIGIANO CAPOLUOGO,PIAZZALE BRUCHI N.7,42.89081998304,11.393740005509,2254,42.8715131,11.5387645,village,Arcidosso,53001,19134.875,1156594
53007,Cinigiano,GRAA81705Q,MONTICELLO AMIATA INFANZIA,VIA EMPOLI N. 9,42.88653539673,11.48006910144,2254,42.8715131,11.5387645,village,Arcidosso,53001,9906.703,600428
53022,Santa Fiora,GRAA822035,SANTA FIORA CAPOLUOGO,VIA ROMA N.3,42.833179981836,11.588160009863,2254,42.8715131,11.5387645,village,Arcidosso,53001,7364.061,452220
53020,Roccalbegna,GRAA822013,VALLERONA,VIA MARGHERITA N. 35,42.792389994856,11.470340039334,2254,42.8715131,11.5387645,village,Arcidosso,53001,24950.738,1449668
53004,Castel del Piano,GRAA81102N,MONTENERO D'ORCIA,VIA DELL'AIA 9,42.942666616751,11.47181115902,2254,42.8715131,11.5387645,village,Arcidosso,53001,15100.867,1005979
53004,Castel del Piano,GRAA81101L,CASTELDELPIANO CAPOLUOGO,VIA SANTUCCI 12,42.892580015069,11.540679964954,2254,42.8715131,11.5387645,village,Arcidosso,53001,3241.215,210068
53001,Arcidosso,GRAA81103P,ARCIDOSSO CAPOLUOGO,VIA OVIDIO GRAGNOLI 15,42.87039001606,11.536939959757,2254,42.8715131,11.5387645,village,Arcidosso,53001,865.625,61903
53002,Campagnatico,GRAA81703N,CAMPAGNATICO,VIA PROVINCIALE,42.860515,11.23048,2255,42.8491865,11.4608078,village,Arcidosso,53001,40441.475,2706019
53007,Cinigiano,GRAA81704P,SASSO D'OMBRONE,VIA TRAVERSA 23,42.887563646134,11.478830098897,2255,42.8491865,11.4608078,village,Arcidosso,53001,8813.424,616073
