from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
94012,Castel San Vincenzo,ISAA815099,CASTEL SAN VINCENZO,PIAZZA SAN PIETRO,41.656399594963,14.062643463133,17926,41.6246263,14.0862606,village,Rocchetta a Volturno,94042,5961.23,612986
94017,Colli a Volturno,ISAA81519R,SCUOLA INFANZIA DI COLLI A VOLTURNO,Non Disponibile,41.59937,14.10582,17926,41.6246263,14.0862606,village,Rocchetta a Volturno,94042,4269.355,421180
94017,Colli a Volturno,IS1A00100L,SANTA MARIA ASSUNTA,VIA RISORGIMENTO N. 10,41.59905999042,14.103479969363,17926,41.6246263,14.0862606,village,Rocchetta a Volturno,94042,4100.515,414549
94048,Scapoli,ISAA81512D,SCUOLA DELL'INFANZIA SCAPOLI,VIA TERTAGLIONE,41.613223318938,14.058736054511,17926,41.6246263,14.0862606,village,Rocchetta a Volturno,94042,4398.893,541042
94019,Filignano,ISAA82504P,FILIGNANO CAPOLUOGO,VIA MILANO,41.578135,14.017191848,17926,41.6246263,14.0862606,village,Rocchetta a Volturno,94042,17013.547,1644320
94014,Cerro al Volturno,ISAA815066,CERRO AL VOLTURNO,VIA ALDO MORO,41.651880968,14.11534,17926,41.6246263,14.0862606,village,Rocchetta a Volturno,94042,8553.198,736935
94042,Rocchetta a Volturno,ISAA815077,ROCCHETTA AL VOLTURNO,VIALE SANDRO PERTINI,41.625654951994,14.086944661194,17926,41.6246263,14.0862606,village,Rocchetta a Volturno,94042,181.068,18966
94050,Sesto Campano,ISAA83203R,SESTO CAMPANO TAVERNA,Non Disponibile,41.42443,14.058617419,12005,41.483425,14.045112,town,Venafro,94052,6373.179,456755
94038,Pozzilli,ISAA82505Q,FRANCESCO IOVINE,VIA DEL CARABINIERE SNC,41.51322,14.07991684,12005,41.483425,14.045112,town,Venafro,94052,5677.401,570241
94038,Pozzilli,IS1A00600Q,MARIA AUSILIATRICE,PIAZZA G. PEPE N. 2,41.512902304589,14.061527492317,12005,41.483425,14.045112,town,Venafro,94052,4278.906,427828
94052,Venafro,ISAA82501G,VENAFRO CEPPAGNA,STRADA PROVINCIALE NUNZIATA LUNGA,41.452145951499,14.012521665573,12005,41.483425,14.045112,town,Venafro,94052,5728.707,427340
94052,Venafro,ISAA83201P,DON GIULIO TESTA,VIA MACHIAVELLI,41.481069016211,14.050282580498,12005,41.483425,14.045112,town,Venafro,94052,583.411,66630
94052,Venafro,ISAA83202Q,"CAMPO SCUOLA""CAMELOT""",VIA MACHIAVELLI,41.481069016211,14.050282580498,12005,41.483425,14.045112,town,Venafro,94052,583.411,66630
94002,Agnone,ISAA82901V,SCUOLA DELL'INFANZIA P. MICCA,VIA PIETRO MICCA N. 4,41.806410002432,14.368750021965,11992,41.8789709,14.2933199,village,Pescopennataro,94033,14863.435,941023
94002,Agnone,ISAA829031,AGNONE PIAZZA DEL POPOLO,PIAZZA DEL POPOLO 31/A,41.80723000402,14.372939967724,11992,41.8789709,14.2933199,village,Pescopennataro,94033,14809.014,930328
94006,Capracotta,ISAA81204L,CAPRACOTTA,VIA NICOLA FALCONI,41.833850002035,14.265390032626,11992,41.8789709,14.2933199,village,Pescopennataro,94033,9067.912,752827
94002,Agnone,ISAA82901V,SCUOLA DELL'INFANZIA P. MICCA,VIA PIETRO MICCA N. 4,41.806410002432,14.368750021965,11980,41.7788339,14.4141996,village,Poggio Sannita,94037,9589.806,655706
94002,Agnone,ISAA829031,AGNONE PIAZZA DEL POPOLO,PIAZZA DEL POPOLO 31/A,41.80723000402,14.372939967724,11980,41.7788339,14.4141996,village,Poggio Sannita,94037,9535.385,645011
94016,Civitanova del Sannio,ISAA82601B,CIVITANOVA DEL SANNIO,VIA CARDARELLI,41.667770679152,14.403741022449,11980,41.7788339,14.4141996,village,Poggio Sannita,94037,22766.17,1437111
94037,Poggio Sannita,ISAA829064,POGGIO SANNITA CAPOLUOGO,VIA EDIFICI SCOLASTICI,41.771245,14.431289741,11980,41.7788339,14.4141996,village,Poggio Sannita,94037,7733.218,899961
94029,Montenero Val Cocchiara,ISAA81513E,IOVINE - MONTENERO V.,VIA NOSTRA SIGNORA DI LOURDES,41.712588199795,14.072576632443,18434,41.6669361,14.035567,village,Pizzone,94036,13476.93,1246579
94012,Castel San Vincenzo,ISAA815099,CASTEL SAN VINCENZO,PIAZZA SAN PIETRO,41.656399594963,14.062643463133,18434,41.6669361,14.035567,village,Pizzone,94036,4077.909,554824
94036,Pizzone,ISAA81511C,SCUOLA INFANZIA PIZZONE,PIAZZA MUNICIPIO 1,41.666820008153,14.035740026289,18434,41.6669361,14.035567,village,Pizzone,94036,1034.53,231859
