from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
66039,Collelongo,AQAA83102X,INFANZIA STATALE COLLELONGO,VIA MALPASSO,41.88479054353,13.582554538393,15441,41.9377176,13.684116,village,Lecce nei Marsi,66050,23683.389,1532825
66106,Villavallelonga,AQAA831031,INFANZIA VILLAVALLELONGA,VIA MARSICANA,41.875205424058,13.61483512015,15441,41.9377176,13.684116,village,Lecce nei Marsi,66050,27098.738,1725352
66046,Gioia dei Marsi,AQAA82501G,SCUOLA INFANZIA CASALI D'ASCHI,VIA GUALTRONE,41.964164557538,13.682395738488,15441,41.9377176,13.684116,village,Lecce nei Marsi,66050,3801.651,246069
66068,Pescasseroli,AQAA82001C,SCUOLA INFANZIA PESCASSEROLI,VIA ROVERETO,41.807990730729,13.788031979808,15441,41.9377176,13.684116,village,Lecce nei Marsi,66050,25705.292,1764161
66064,Ortucchio,AQAA82503N,SCUOLA INFANZIA ORTUCCHIO,VIA DEI BERSAGLIERI,41.958160000834,13.644900011665,15441,41.9377176,13.684116,village,Lecce nei Marsi,66050,4659.177,304524
66050,Lecce nei Marsi,AQAA82502L,SCUOLA INFANZIA LECCE NEI MARSI,VIA LEANDRO BARILE,41.927337778482,13.682161465154,15441,41.9377176,13.684116,village,Lecce nei Marsi,66050,1413.509,127085
66013,Cagnano Amiterno,AQAA815022,SCUOLA INFANZIA S.COSMA,VIA ESTERNA,42.449015,13.188465001,15221,42.3489203,13.3979672,city,L'Aquila,66049,28830.546,1942643
66053,Magliano de' Marsi,AQAA82404V,MAGLIANO DEI MARSI,VIA SAN PIETRO,42.092510464461,13.372157737632,15221,42.3489203,13.3979672,city,L'Aquila,66049,46869.031,1817567
66009,Barisciano,AQAA823065,BARISCIANO,VIA VETULASIO,42.351235,13.572297138,15221,42.3489203,13.3979672,city,L'Aquila,66049,22939.836,1882407
66021,Capitignano,AQAA815066,"SCUOLA INFANZIA ""CAPITIGNANO""",VIA ROMA,42.521192918612,13.299811167913,15221,42.3489203,13.3979672,city,L'Aquila,66049,33018.487,2022259
66082,Rocca di Mezzo,AQAA82706C,ROCCA DI MEZZO,VIALE PADRE MINOZZI,42.208478762967,13.517956872122,15221,42.3489203,13.3979672,city,L'Aquila,66049,26198.885,1625716
66044,Fossa,AQAA82705B,FOSSA,VIA MADONNA DELLE GRAZIE 1,42.296580012094,13.486899963341,15221,42.3489203,13.3979672,city,L'Aquila,66049,11184.772,723827
66095,Scoppito,AQAA829075,"SCUOLA DELL'INF. ""F.LLI GRIMM""",VIA ALDO MORO 6,42.355999045505,13.282217389709,15221,42.3489203,13.3979672,city,L'Aquila,66049,11881.117,691517
66008,Barete,AQAA815033,SCUOLA INFANZIA BARETE,VIA FEDERICI 4,42.433119999446,13.260360003105,15221,42.3489203,13.3979672,city,L'Aquila,66049,19324.121,1206178
66059,Ocre,AQAA82708E,"""IL VOLO DEL GABBIANO"" - OCRE",VIA DEL CONVENTO - S. PANFILO,42.28639975924,13.475113525414,15221,42.3489203,13.3979672,city,L'Aquila,66049,11296.097,801240
66072,Pizzoli,AQAA815011,"SC. INF. ""IL PICCOLO PRINCIPE""",VIA DELLE SCUOLE,42.432604994361,13.311854979634,15221,42.3489203,13.3979672,city,L'Aquila,66049,14882.039,939479
66072,Pizzoli,AQ1A955006,PAOLO DEL TOSTO,CORSO SALLUSTIO 109,42.435690016689,13.301280035312,15221,42.3489203,13.3979672,city,L'Aquila,66049,15268.375,982812
66101,Tornimparte,AQAA829042,"""WALT DISNEY""VILLAGRANDE",VIA IL CORSO,42.291600349229,13.300183348016,15221,42.3489203,13.3979672,city,L'Aquila,66049,19259.314,1155470
66101,Tornimparte,AQAA829031,"""H. C. ANDERSEN""",PIAZZA CAMILLO MARRONE,42.282925108,13.280925,15221,42.3489203,13.3979672,city,L'Aquila,66049,21841.627,1562145
66052,Lucoli,AQAA82901V,"""JOAN MIRO"" LUCOLI",VIA SPOGNETTA 1,42.237352147,13.375805001,15221,42.3489203,13.3979672,city,L'Aquila,66049,30008.315,1386639
