from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
59019,Priverno,LTAA84204V,MADONNA DEL CALLE,VIA MADONNA DEL CALLE,41.471713373148,13.184627282832,15868,41.4798719,13.2123626,village,Roccasecca dei Volsci,59023,7724.106,748820
59019,Priverno,LTAA83604G,BORGO S. ANTONIO,VIA SALVO D'ACQUISTO,41.473732967897,13.172978485591,15868,41.4798719,13.2123626,village,Roccasecca dei Volsci,59023,8504.945,771629
59019,Priverno,LTAA84203T,VIA G.MATTEOTTI,VIA G.MATTEOTTI N.24,41.472999980428,13.177510003176,15868,41.4798719,13.2123626,village,Roccasecca dei Volsci,59023,8247.399,796405
59029,Sonnino,LTAA80103G,SONNINO SCALO,VIA SCALO,41.433594242837,13.217493545408,15868,41.4798719,13.2123626,village,Roccasecca dei Volsci,59023,7268.588,852934
59029,Sonnino,LTAA80104L,LE MADONNELLE,VIA CAPOCROCE,41.40039614734,13.203753397847,15868,41.4798719,13.2123626,village,Roccasecca dei Volsci,59023,12226.456,945205
59020,Prossedi,LTAA80102E,SONNINO ( CAPOLUOGO ),VIA BORGO CIMERONE CAPOLUOGO,41.493126956671,13.266774317753,15868,41.4798719,13.2123626,village,Roccasecca dei Volsci,59023,15696.031,1729409
59020,Prossedi,LTAA83605L,PROSSEDI,PROSSEDI,41.531171767534,13.257164733765,15868,41.4798719,13.2123626,village,Roccasecca dei Volsci,59023,14386.326,1115626
59023,Roccasecca dei Volsci,LTAA80101D,ROCCASECCA,VIA LATINA,41.476025081823,13.211893565769,15868,41.4798719,13.2123626,village,Roccasecca dei Volsci,59023,707.02,103347
59007,Fondi,LTAA85702E,M.PIA DI SAVOIA (CAPOLUOGO),VIA EDIFICIO SCOLASTICO 1,41.359009994827,13.432230005708,15880,41.3904463,13.5303355,village,Campodimele,59003,15902.495,1166632
59007,Fondi,LTAA817013,VIA DEGLI OSCI,VIA DEGLI OSCI 5,41.358899982348,13.431280000802,15880,41.3904463,13.5303355,village,Campodimele,59003,16036.408,1180117
59007,Fondi,LTAA85201A,D.PURIFICATO,VIA MOLA DI SANTA MARIA S.N.C.,41.362599825177,13.419096309204,15880,41.3904463,13.5303355,village,Campodimele,59003,17059.973,1282102
59007,Fondi,LTAA85203C,LOC. TORRICELLA,Non Disponibile,41.337876904,13.397045,15880,41.3904463,13.5303355,village,Campodimele,59003,20226.748,1701826
59007,Fondi,LTAA853016,GIULIA GONZAGA,PIAZZA D. PURIFICATO SNC,41.348556831108,13.429321076608,15880,41.3904463,13.5303355,village,Campodimele,59003,17031.721,1269875
59007,Fondi,LTAA853027,VIA COVINO,VIA COVINO,41.308187886585,13.336096264317,15880,41.3904463,13.5303355,village,Campodimele,59003,29657.734,2076697
59007,Fondi,LTAA85204D,CUCURUZZO,Non Disponibile,41.337876904,13.397045,15880,41.3904463,13.5303355,village,Campodimele,59003,20226.748,1701826
59007,Fondi,LTAA85202B,SAN MAGNO,VIA RENE,41.365619667092,13.378564847222,15880,41.3904463,13.5303355,village,Campodimele,59003,21479.413,1643059
59007,Fondi,LTAA853038,GIANNI RODARI,VIA DELLA STAZIONE,41.345400767751,13.427513962966,15880,41.3904463,13.5303355,village,Campodimele,59003,17121.869,1261378
59007,Fondi,LT1A022004,SCUOLA MATERNA PARITARIA MATER DOMINI,VIA DEI LATINI N 49,41.361439992376,13.42539003744,15880,41.3904463,13.5303355,village,Campodimele,59003,16398.548,1210007
59007,Fondi,LT1AAA500R,La Casetta,via Ponsano 9,41.337876904,13.397045,15880,41.3904463,13.5303355,village,Campodimele,59003,20226.748,1701826
59012,Lenola,LTAA81904T,VIA DELLA MOLA,VIA DELLA MOLA,41.400439911667,13.461457005442,15880,41.3904463,13.5303355,village,Campodimele,59003,12470.092,944475
59010,Itri,LTAA83502N,VIA GIOVENCO,VIA 8 MARZO,41.293715343287,13.536132037168,15880,41.3904463,13.5303355,village,Campodimele,59003,18057.089,1117815
