from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
75035,Lecce,LEAA8AE037,LECCE - VIA ESTRAFALLACES,VIA ESTRAFALLACES,40.360784040481,18.151506162728,12639,40.4054719,18.0706204,town,Trepuzzi,75087,8796.322,533395
75035,Lecce,LEAA00405X,LECCE - FRIGOLE,VIA F. CLOVERIO 1,40.426677548982,18.242129150552,12639,40.4054719,18.0706204,town,Trepuzzi,75087,20392.093,1261168
75035,Lecce,LEAA00404V,LECCE - VIA VALZANI,VIA VALZANI,40.331095991217,18.16436000627,12639,40.4054719,18.0706204,town,Trepuzzi,75087,13377.669,800983
75035,Lecce,LEAA00502L,LECCE - VIA OFANTO,VIA OFANTO,40.365069987939,18.174084552742,12639,40.4054719,18.0706204,town,Trepuzzi,75087,11213.923,699932
75035,Lecce,LEAA005102,VIA VECCHIA FRIGOLE,VIA VECCHIA FRIGOLE,40.387814942551,18.272658254064,12639,40.4054719,18.0706204,town,Trepuzzi,75087,20940.249,1217347
75035,Lecce,LEAA882054,LECCE -LE VELE,VIA CARRARA,40.364714977012,18.19989032131,12639,40.4054719,18.0706204,town,Trepuzzi,75087,13678.893,847669
75035,Lecce,LEAA001018,LECCE - VIA TRINCHESE,VIA TRINCHESE,40.353548701215,18.175290520736,12639,40.4054719,18.0706204,town,Trepuzzi,75087,12262.214,759341
75035,Lecce,LEAA882021,LECCE - VIA ROMA,VIA ROMA,40.359765011985,18.202665014287,12639,40.4054719,18.0706204,town,Trepuzzi,75087,14288.967,920090
75035,Lecce,LEAA07102G,LECCE - VIA DANIELE,VIA A. DANIELE,40.364791026392,18.186991610733,12639,40.4054719,18.0706204,town,Trepuzzi,75087,12584.0,787477
75035,Lecce,LEAA89101P,LECCE - VIA ABRUZZI,VIA ABRUZZI,40.340929724776,18.174618702972,12639,40.4054719,18.0706204,town,Trepuzzi,75087,12343.247,781653
75035,Lecce,LEAA882043,LECCE -2 PLESSO VIALE ROMA,VIALE ROMA,40.358869752115,18.201711319375,12639,40.4054719,18.0706204,town,Trepuzzi,75087,14205.705,910098
75035,Lecce,LEAA8AE026,LECCE - VIA CASAVOLA,VIA CASAVOLA,40.344929720988,18.150569893697,12639,40.4054719,18.0706204,town,Trepuzzi,75087,11172.791,674816
75035,Lecce,LEAA00108G,LECCE - PIAZZA PARTIGIANI,PIAZZA PARTIGIANI,40.35604,18.18773,12639,40.4054719,18.0706204,town,Trepuzzi,75087,12539.167,782496
75035,Lecce,LEAA8AE048,VIA DELLE ANIME,VIA DELLE ANIME,40.355774064296,18.157856191718,12639,40.4054719,18.0706204,town,Trepuzzi,75087,9879.884,612672
75035,Lecce,LEAA004061,LECCE - VIA CANTOBELLI,VIA CANTOBELLI,40.339977821077,18.179609047034,12639,40.4054719,18.0706204,town,Trepuzzi,75087,12865.61,828326
75035,Lecce,LEAA8AE015,LECCE -VIA SOZY CARAFA,VIA SOZY CARAFA,40.354053636613,18.161447316884,12639,40.4054719,18.0706204,town,Trepuzzi,75087,10151.223,626572
75035,Lecce,LE1AAU5006,L'ALLEGRA OFFICINA,VIA DALMAZIO BIRAGO 73,40.352439982981,18.157669994122,12639,40.4054719,18.0706204,town,Trepuzzi,75087,10654.564,686973
75035,Lecce,LE1A07400E,SACRO CUORE,VIA MASSAGLIA 11,40.348340016952,18.156959963104,12639,40.4054719,18.0706204,town,Trepuzzi,75087,11101.261,650158
75035,Lecce,LE1A2U500D,IL GIARDINO DEI SAPERI,VIA TARANTO 177,40.358810019846,18.16207996484,12639,40.4054719,18.0706204,town,Trepuzzi,75087,9522.394,555427
75035,Lecce,LE1A070007,CENTRO INFANZIA,VLE DELLA REPUBBLICA 23,40.356940017248,18.153620026146,12639,40.4054719,18.0706204,town,Trepuzzi,75087,9558.445,557588
75035,Lecce,LE1A8A500A,TOPOLINO,VIA MARUGI S.N.C.,40.343337486589,18.187731196076,12639,40.4054719,18.0706204,town,Trepuzzi,75087,13922.292,888259
75035,Lecce,LE1A00100R,CUORE IMMACOLATO DI MARIA,VIA MARTIRI D'OTRANTO 27,40.349150002165,18.163770007977,12639,40.4054719,18.0706204,town,Trepuzzi,75087,10962.894,658160
75035,Lecce,LE1AR0500E,BUSY BEES ACADEMY,VIA LEQUILE 68,40.343520003531,18.159419967867,12639,40.4054719,18.0706204,town,Trepuzzi,75087,11792.975,707964
75035,Lecce,LE1A00300C,FILIPPO SMALDONE,VIA GIAMMATTEO 26,40.367300007663,18.176719964564,12639,40.4054719,18.0706204,town,Trepuzzi,75087,11713.991,716804
75035,Lecce,LE1A00200L,OXFORD,VIA ADRIATICA 10/12,40.363130010834,18.169810007405,12639,40.4054719,18.0706204,town,Trepuzzi,75087,10929.1,600990
75035,Lecce,LE1A00600X,MARCELLINE,VLE OTRANTO 67,40.348909986368,18.174040018662,12639,40.4054719,18.0706204,town,Trepuzzi,75087,12228.402,749898
75035,Lecce,LE1A004008,GESU' EUCARISTICO,VIA A. DE PACE 14,40.348900011903,18.188940025023,12639,40.4054719,18.0706204,town,Trepuzzi,75087,13262.678,872701
75035,Lecce,LE1A09300X,CENTRO MONTESSORI LECCE,VIALE ALDO MORO 30/4,40.355339995751,18.19781000642,12639,40.4054719,18.0706204,town,Trepuzzi,75087,13533.608,883390
75035,Lecce,LE1A08100N,APE MAYA,VIA RAVENNA23,40.355929997915,18.188650011173,12639,40.4054719,18.0706204,town,Trepuzzi,75087,12659.493,796936
75079,Squinzano,LEAA87002P,TAGLIAMENTO,VIA TAGLIAMENTO,40.431840232803,18.050794408874,12639,40.4054719,18.0706204,town,Trepuzzi,75087,3520.625,327401
75079,Squinzano,LEAA87003Q,G. RODARI,VIA TOBAGI,40.439529174888,18.026484576368,12639,40.4054719,18.0706204,town,Trepuzzi,75087,6336.305,530825
75079,Squinzano,LEAA87001N,MONTESSORI,VIA MONTESSORI,40.437814934074,18.036791192746,12639,40.4054719,18.0706204,town,Trepuzzi,75087,5067.007,416985
75079,Squinzano,LE1A04900T,MARIA DE SIMONE,VIA BRINDISI 28,40.434499988535,18.041139998492,12639,40.4054719,18.0706204,town,Trepuzzi,75087,4427.45,364656
75055,Novoli,LEAA84201D,VIA MONTALE,VIA MONTALE,40.376754794601,18.04420067638,12639,40.4054719,18.0706204,town,Trepuzzi,75087,5692.83,545089
75055,Novoli,LE1A03600Q,VITINA DONNO,VIA LECCE 4,40.375600019645,18.050360008166,12639,40.4054719,18.0706204,town,Trepuzzi,75087,5245.17,501520
