from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
97079,Taceno,LCAA813018,INFANZIA TACENO,VIA CHIARELLO N.11,46.024810018029,9.363069985697,4147,46.0429573,9.3040324,village,Bellano,97008,9404.069,637126
97030,Dervio,LCAA80502A,INFANZIA DERVIO,VIA SAN G. BOSCO4,46.077209988645,9.306719959391,4147,46.0429573,9.3040324,village,Bellano,97008,4525.781,326888
97093,Valvarrone,LCAA80503B,"SCUOLA MATERNA ""S. VINCENZO""",C/O CENTRO SCOLASTICO VALVARRONE,46.081,9.3408,4147,46.0429573,9.3040324,village,Bellano,97008,11094.457,794792
97015,Casargo,LC1A061007,SCUOLA DELL'INFANZIA CAV. BERNARDO ROVEDA,VIA CATAENO7,46.039459992219,9.38866001991,4147,46.0429573,9.3040324,village,Bellano,97008,13841.824,966291
97067,Perledo,LC1A07100T,SCUOLA DELL'INFANZIA MILENA E DONATO GREPPI,VIA ALLA GROTTA 6,46.012269651277,9.296267831973,4147,46.0429573,9.3040324,village,Bellano,97008,29829.911,1456444
97008,Bellano,LC1A09200V,SCUOLA DELL'INFANZIA TOMMASO GROSSI,VIA MARTIRI DELLA LIBERTA' 18,46.041310003978,9.300809963281,4147,46.0429573,9.3040324,village,Bellano,97008,577.244,51162
97093,Valvarrone,LCAA80503B,"SCUOLA MATERNA ""S. VINCENZO""",C/O CENTRO SCOLASTICO VALVARRONE,46.081,9.3408,4256,46.0860608,9.3323598,village,Sueglio,97077,3715.658,302299
97092,La Valletta Brianza,LCAA80901L,SCUOLA INFANZIA,VIA MONTEGRAPPA 1,45.733896597693,9.358210328599,4326,45.736579,9.330845,village,Sirtori,97076,2593.151,189048
97049,Missaglia,LC1A03500P,SCUOLA DELL'INFANZIA GESU' BAMBINO,PIAZZA CHIESA 14,45.687266985627,9.352722066697,4326,45.736579,9.330845,village,Sirtori,97076,7201.797,626569
97049,Missaglia,LC1A05700G,SCUOLA DELL'INFANZIA GIUSEPPE CIOJA,VIA IV NOVEMBRE 2,45.702015,9.344096486,4326,45.736579,9.330845,village,Sirtori,97076,5402.721,500784
97049,Missaglia,LC1A054004,SCUOLA DELL'INFANZIA DON GIOVANNI FERRI,VIA L. DA VINCI 3,45.702349988605,9.357889969534,4326,45.736579,9.330845,village,Sirtori,97076,6109.917,535745
97005,Barzago,LC1A020001,SCUOLA DELL'INFANZIA SAN GIUSEPPE,VIA SAN GIUSEPPE 1,45.756464169045,9.315470701953,4326,45.736579,9.330845,village,Sirtori,97076,3488.331,357815
97090,Viganò,LC1A09400E,SCUOLA DELL'INFANZIA ANTONIETTA SALA NOBILI,VIA DELLA VITTORIA 10,45.722890009975,9.327470031254,4326,45.736579,9.330845,village,Sirtori,97076,1939.266,167087
97019,Castello di Brianza,LC1A08100C,SCUOLA DELL'INFANZIA CONIUGI DRAGHI,VIA EUROPA 3,45.755815021418,9.348422039075,4326,45.736579,9.330845,village,Sirtori,97076,4377.259,469620
97006,Barzanò,LC1A08700B,SCUOLA PRIMAVERA,VIA L. DA VINCI 18,45.730620010631,9.315060036869,4326,45.736579,9.330845,village,Sirtori,97076,2192.552,191476
97076,Sirtori,LCAA80801R,"""T. PREVOSTI"" SIRTORI",VIA TERESA PREVOSTI 57,45.735225601466,9.331666017056,4326,45.736579,9.330845,village,Sirtori,97076,244.518,19948
97092,La Valletta Brianza,LCAA80901L,SCUOLA INFANZIA,VIA MONTEGRAPPA 1,45.733896597693,9.358210328599,4327,45.729253,9.3258717,village,Sirtori,97076,3441.834,247810
97049,Missaglia,LC1A03500P,SCUOLA DELL'INFANZIA GESU' BAMBINO,PIAZZA CHIESA 14,45.687266985627,9.352722066697,4327,45.729253,9.3258717,village,Sirtori,97076,6051.366,541394
97049,Missaglia,LC1A05700G,SCUOLA DELL'INFANZIA GIUSEPPE CIOJA,VIA IV NOVEMBRE 2,45.702015,9.344096486,4327,45.729253,9.3258717,village,Sirtori,97076,4252.291,415609
97049,Missaglia,LC1A054004,SCUOLA DELL'INFANZIA DON GIOVANNI FERRI,VIA L. DA VINCI 3,45.702349988605,9.357889969534,4327,45.729253,9.3258717,village,Sirtori,97076,4959.487,450570
97005,Barzago,LC1A020001,SCUOLA DELL'INFANZIA SAN GIUSEPPE,VIA SAN GIUSEPPE 1,45.756464169045,9.315470701953,4327,45.729253,9.3258717,village,Sirtori,97076,4541.128,431273
97090,Viganò,LC1A09400E,SCUOLA DELL'INFANZIA ANTONIETTA SALA NOBILI,VIA DELLA VITTORIA 10,45.722890009975,9.327470031254,4327,45.729253,9.3258717,village,Sirtori,97076,788.836,81912
97019,Castello di Brianza,LC1A08100C,SCUOLA DELL'INFANZIA CONIUGI DRAGHI,VIA EUROPA 3,45.755815021418,9.348422039075,4327,45.729253,9.3258717,village,Sirtori,97076,5430.056,543078
97006,Barzanò,LC1A08700B,SCUOLA PRIMAVERA,VIA L. DA VINCI 18,45.730620010631,9.315060036869,4327,45.729253,9.3258717,village,Sirtori,97076,2706.134,282106
97076,Sirtori,LCAA80801R,"""T. PREVOSTI"" SIRTORI",VIA TERESA PREVOSTI 57,45.735225601466,9.331666017056,4327,45.729253,9.3258717,village,Sirtori,97076,905.913,65226
