from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
49021,Rio,LIAA80502V,LOC.TA' RIO ELBA,VIA GARIBALDI,42.813746930028,10.400274095256,2421,42.7662978,10.3957529,village,Porto Azzurro,49013,9732.656,684641
49021,Rio,LIAA80503X,LOC.TA' CAVO,CIRCONV.NE FALERIA,42.864570653249,10.418053403759,2421,42.7662978,10.3957529,village,Porto Azzurro,49013,20102.839,1315906
49021,Rio,LIAA805063,LORENZO CLARIS APPIANI,VIA PRINCIPE AMEDEO 38,42.814560003027,10.423950036254,2421,42.7662978,10.3957529,village,Porto Azzurro,49013,11746.836,814764
49014,Portoferraio,LIAA811026,''S.GIUSEPPE'',VIA SGHINGETTA 34,42.807880003381,10.308169969501,2421,42.7662978,10.3957529,village,Porto Azzurro,49013,12254.363,875270
49014,Portoferraio,LIAA811048,M.MELANI,VIA CARPANI,42.804038941172,10.307095342303,2421,42.7662978,10.3957529,village,Porto Azzurro,49013,12302.53,895017
49014,Portoferraio,LIAA811037,LOC. S. GIOVANNI,VIA LEONE DAMIANI 9,42.800950013474,10.323310033569,2421,42.7662978,10.3957529,village,Porto Azzurro,49013,10504.379,746051
49014,Portoferraio,LI1A036003,G.TONIETTI,VIA V.HUGO7,42.816189989828,10.330519979042,2421,42.7662978,10.3957529,village,Porto Azzurro,49013,14616.323,1023493
49004,Capoliveri,LIAA805052,SCUOLA MATERNA CAPOLIVERI,VIA GIOTTO,42.744467295188,10.378530011689,2421,42.7662978,10.3957529,village,Porto Azzurro,49013,5123.671,628559
49013,Porto Azzurro,LIAA80501T,ALDO MORO,LOC. BARACONE,42.777025001,10.389901253,2421,42.7662978,10.3957529,village,Porto Azzurro,49013,1777.696,264109
49011,Marciana Marina,LIAA803027,LOC. LA FORNACE,VIA OLIVIERO MURZI 4,42.80615999494,10.196080035621,2400,42.7894222,10.1685346,village,Marciana,49010,5163.989,393112
49014,Portoferraio,LIAA811026,''S.GIUSEPPE'',VIA SGHINGETTA 34,42.807880003381,10.308169969501,2400,42.7894222,10.1685346,village,Marciana,49010,20721.74,1522672
49014,Portoferraio,LIAA811048,M.MELANI,VIA CARPANI,42.804038941172,10.307095342303,2400,42.7894222,10.1685346,village,Marciana,49010,20231.591,1501315
49014,Portoferraio,LIAA811037,LOC. S. GIOVANNI,VIA LEONE DAMIANI 9,42.800950013474,10.323310033569,2400,42.7894222,10.1685346,village,Marciana,49010,21700.452,1604429
49014,Portoferraio,LI1A036003,G.TONIETTI,VIA V.HUGO7,42.816189989828,10.330519979042,2400,42.7894222,10.1685346,village,Marciana,49010,23083.7,1670895
49003,Campo nell'Elba,LIAA803016,"""LIBIO GENTINI """,VIA DEL CANTONE 71,42.752220017254,10.209910008223,2400,42.7894222,10.1685346,village,Marciana,49010,13986.01,1004418
49003,Campo nell'Elba,LI1A023001,V.T.BATTAGLINI,VIA ROMA 299,42.745579999287,10.233909995404,2400,42.7894222,10.1685346,village,Marciana,49010,17455.214,1236190
49010,Marciana,LIAA803049,MARCIANA,VIA GIUSEPPA GENTILI,42.777445,10.152051244,2400,42.7894222,10.1685346,village,Marciana,49010,-1.0,-1
49010,Marciana,LIAA803038,FRAZ. PROCCHIO,VIA DI VALLE GRANDE,42.784327345613,10.247598998825,2400,42.7894222,10.1685346,village,Marciana,49010,12544.253,924032
49011,Marciana Marina,LIAA803027,LOC. LA FORNACE,VIA OLIVIERO MURZI 4,42.80615999494,10.196080035621,2401,42.7594195,10.1132378,village,Marciana,49010,18428.987,1185757
49014,Portoferraio,LIAA811026,''S.GIUSEPPE'',VIA SGHINGETTA 34,42.807880003381,10.308169969501,2401,42.7594195,10.1132378,village,Marciana,49010,28373.25,1865050
49014,Portoferraio,LIAA811048,M.MELANI,VIA CARPANI,42.804038941172,10.307095342303,2401,42.7594195,10.1132378,village,Marciana,49010,27883.102,1843693
49014,Portoferraio,LIAA811037,LOC. S. GIOVANNI,VIA LEONE DAMIANI 9,42.800950013474,10.323310033569,2401,42.7594195,10.1132378,village,Marciana,49010,29351.962,1946807
