from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
98019,Codogno,LOAA81706E,INFANZIA - NINO RAPELLI - CODOG,VIA VITTORIO EMANUELE 51,45.162099993398,9.70202995916,4409,45.1366292,9.6844794,village,Fombio,98026,4593.513,292933
98019,Codogno,LOAA817019,INFANZIA SAN BIAGIO - CODOGNO,VIALE DEI MILLE SNC,45.158045142502,9.694551751325,4409,45.1366292,9.6844794,village,Fombio,98026,3026.781,245675
98019,Codogno,LOAA81702A,INFANZIA G. GARIBALDI - CODOGNO,VIA CAVOUR 7,45.161429985967,9.703729976762,4409,45.1366292,9.6844794,village,Fombio,98026,4170.545,284037
98019,Codogno,LOAA81703B,INFANZIA RESISTENZA - CODOGNO,VIALE CAIRO,45.16831237395,9.702524360656,4409,45.1366292,9.6844794,village,Fombio,98026,5122.191,342414
98019,Codogno,LO1A024002,ISTITUTO TONDINI,VIA PIETRA SANTA 23,45.163169985247,9.704430033315,4409,45.1366292,9.6844794,village,Fombio,98026,4856.048,310476
98049,San Rocco al Porto,LOAA81002G,INFANZIA G. DELEDDA - SAN ROCCO,VIA MARTIRI DELLA LIBERTA',45.08319172474,9.695869022135,4409,45.1366292,9.6844794,village,Fombio,98026,6639.838,398735
98054,Somaglia,LOAA81001E,INFANZIA PADRE P.VIGNOLA-SOMAGL,VIA RAIMONDI6,45.148039979463,9.635540009307,4409,45.1366292,9.6844794,village,Fombio,98026,5122.948,315182
98054,Somaglia,LO1A01200Q,SCUOLA MATERNA NON STATALE SAN GIUSEPPE,VIA LIBERTA 11,45.163979627759,9.620996785485,4409,45.1366292,9.6844794,village,Fombio,98026,7221.754,440662
98051,Santo Stefano Lodigiano,LOAA81705D,INFANZIA - SAN FIORANO,VIA ADA NEGRI,45.11792501673,9.733195006723,4409,45.1366292,9.6844794,village,Fombio,98026,6923.18,613483
98051,Santo Stefano Lodigiano,LO1A01800P,ASSOCIAZIONE SCUOLE MATERNE SAN BASSIANO,PIAZZA ROMA 7,45.120080004036,9.736059983138,4409,45.1366292,9.6844794,village,Fombio,98026,7253.409,665242
98029,Guardamiglio,LO1A04000X,ASILO INFANTILE MEZZADRI,VIA ROMA 109,45.108659996236,9.682919974291,4409,45.1366292,9.6844794,village,Fombio,98026,3919.568,219112
98026,Fombio,LOAA81704C,INFANZIA FOMBIO,VIA AMERIGO VESPUCCI 5,45.143295692912,9.693406902853,4409,45.1366292,9.6844794,village,Fombio,98026,1422.156,94722
98026,Fombio,LO1A02100E,SCUOLA MATERNA NON STATALE DON MILANI,VIA AMERIGO VESPUCCI 2,45.143770234064,9.692440289964,4409,45.1366292,9.6844794,village,Fombio,98026,1250.639,78728
98019,Codogno,LOAA81706E,INFANZIA - NINO RAPELLI - CODOG,VIA VITTORIO EMANUELE 51,45.162099993398,9.70202995916,4410,45.1498695,9.6989176,village,Fombio,98026,2199.946,216065
98019,Codogno,LOAA817019,INFANZIA SAN BIAGIO - CODOGNO,VIALE DEI MILLE SNC,45.158045142502,9.694551751325,4410,45.1498695,9.6989176,village,Fombio,98026,1009.285,115591
98019,Codogno,LOAA81702A,INFANZIA G. GARIBALDI - CODOGNO,VIA CAVOUR 7,45.161429985967,9.703729976762,4410,45.1498695,9.6989176,village,Fombio,98026,2308.095,180294
98019,Codogno,LOAA81703B,INFANZIA RESISTENZA - CODOGNO,VIALE CAIRO,45.16831237395,9.702524360656,4410,45.1498695,9.6989176,village,Fombio,98026,2728.624,265546
98019,Codogno,LO1A024002,ISTITUTO TONDINI,VIA PIETRA SANTA 23,45.163169985247,9.704430033315,4410,45.1498695,9.6989176,village,Fombio,98026,2462.481,233608
98049,San Rocco al Porto,LOAA81002G,INFANZIA G. DELEDDA - SAN ROCCO,VIA MARTIRI DELLA LIBERTA',45.08319172474,9.695869022135,4410,45.1498695,9.6989176,village,Fombio,98026,8650.465,534368
98054,Somaglia,LOAA81001E,INFANZIA PADRE P.VIGNOLA-SOMAGL,VIA RAIMONDI6,45.148039979463,9.635540009307,4410,45.1498695,9.6989176,village,Fombio,98026,6731.478,427143
98054,Somaglia,LO1A01200Q,SCUOLA MATERNA NON STATALE SAN GIUSEPPE,VIA LIBERTA 11,45.163979627759,9.620996785485,4410,45.1498695,9.6989176,village,Fombio,98026,8830.284,552623
98051,Santo Stefano Lodigiano,LOAA81705D,INFANZIA - SAN FIORANO,VIA ADA NEGRI,45.11792501673,9.733195006723,4410,45.1498695,9.6989176,village,Fombio,98026,6951.061,500984
98051,Santo Stefano Lodigiano,LO1A01800P,ASSOCIAZIONE SCUOLE MATERNE SAN BASSIANO,PIAZZA ROMA 7,45.120080004036,9.736059983138,4410,45.1498695,9.6989176,village,Fombio,98026,7281.29,552743
98029,Guardamiglio,LO1A04000X,ASILO INFANTILE MEZZADRI,VIA ROMA 109,45.108659996236,9.682919974291,4410,45.1498695,9.6989176,village,Fombio,98026,5930.195,354745
98026,Fombio,LOAA81704C,INFANZIA FOMBIO,VIA AMERIGO VESPUCCI 5,45.143295692912,9.693406902853,4410,45.1498695,9.6989176,village,Fombio,98026,1255.828,99735
98026,Fombio,LO1A02100E,SCUOLA MATERNA NON STATALE DON MILANI,VIA AMERIGO VESPUCCI 2,45.143770234064,9.692440289964,4410,45.1498695,9.6989176,village,Fombio,98026,1084.31,83741
98024,Corte Palasio,LOAA813045,INFANZIA - CORTE PALASIO,VIA EUGENIO MONTALE 39,45.316960013153,9.56244000679,4422,45.356672,9.575158,village,Crespiatica,98025,7832.756,550462
98025,Crespiatica,LOAA813056,INFANZIA SORELLE MARAZZI-CRESP.,VIA DEI MARZI 16,45.355391340125,9.580191792501,4422,45.356672,9.575158,village,Crespiatica,98025,610.088,76125
98031,Lodi,LOAA813034,INFANZIA DON CARLO PATTI - LODI,VIA CAMPO MARTE 10,45.326250011719,9.514419999679,4381,45.33577,9.468656,village,Montanaso Lombardo,98040,5522.015,456318
98031,Lodi,LOAA813023,INFANZIA GIARDINO - LODI,VIA GORINI 19,45.311100015096,9.507160014243,4381,45.33577,9.468656,village,Montanaso Lombardo,98040,5190.024,436580
98031,Lodi,LOAA813012,INFANZIA JASMIN - LODI,VIA LAGO DI COMO 1,45.311300007306,9.511039997223,4381,45.33577,9.468656,village,Montanaso Lombardo,98040,5353.888,432646
98031,Lodi,LOAA81102B,INFANZIA COLOMBANI - S.GUALTERO,VIA DELLA CALCA,45.319379569429,9.478283493609,4381,45.33577,9.468656,village,Montanaso Lombardo,98040,3300.065,282929
98031,Lodi,LOAA812016,INFANZIA SPEZZAFERRI - LODI,VIA SPEZZAFERRI,45.300051808424,9.518143785648,4381,45.33577,9.468656,village,Montanaso Lombardo,98040,6543.587,525135
98031,Lodi,LOAA812027,INFANZIA VIALE PIEMONTE - LODI,VIALE PIEMONTE,45.299688715304,9.511266564875,4381,45.33577,9.468656,village,Montanaso Lombardo,98040,6348.511,506157
98031,Lodi,LOAA80102R,INFANZIA DON GNOCCHI - LODI,VIA MADRE CABRINI 22,45.314225299673,9.489359330994,4381,45.33577,9.468656,village,Montanaso Lombardo,98040,3519.976,294649
98031,Lodi,LOAA81401T,INFANZIA SERENA - LODI,VIA PIAZZA GOBETTI 8,45.304428705932,9.495241085997,4381,45.33577,9.468656,village,Montanaso Lombardo,98040,4925.64,408600
98031,Lodi,LOAA81402V,INFANZIA AKWABA - LODI,VIA DEL CHIOSINO N. 42,45.307100003263,9.480830025617,4381,45.33577,9.468656,village,Montanaso Lombardo,98040,5670.68,375020
98031,Lodi,LOAA81101A,INFANZIA S. F. CABRINI - LODI,C.SO ARCHINTI 39,45.317160005363,9.499689978314,4381,45.33577,9.468656,village,Montanaso Lombardo,98040,4242.902,428725
