from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
46030,Stazzema,LUAA850016,"""PETER PAN""",VIA COMUNALE 183,44.01772,10.30690512,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,59958.908,4201483
46030,Stazzema,LUAA83101R,CORSANICO,VIA DELL'ASILO 99,43.993239959926,10.311561867562,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,59683.895,4000142
46030,Stazzema,LUAA81502X,RUOSINA,VIA PER RETIGNANO,44.004406091669,10.273134095366,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,51496.625,3395306
46030,Stazzema,LUAA81501V,LE MULINA,VIA PROVINCIALE,44.01772,10.30690512,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,59958.908,4201483
46030,Stazzema,LUAA815031,LEVIGLIANI,VIA LAMBORA,44.021413271955,10.285239607963,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,47255.011,3096384
46004,Borgo a Mozzano,LUAA814035,INFANZIA GIOVIANO,LOC. ALLA SCUOLA,43.98014,10.5502,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,16446.751,1047198
46004,Borgo a Mozzano,LUAA814024,INFANZIA CORSAGNA,VIA LAMA1,43.97754731381,10.563819601026,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,19728.686,1498126
46004,Borgo a Mozzano,LUAA82303X,PESCAGLIA,VIA PEDOGNA 1,43.970432447492,10.488014287229,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,22570.597,1497155
46004,Borgo a Mozzano,LUAA814013,INFANZIA BORGO A MOZZANO,VIA S.FRANCESCO,43.978724682908,10.540977103437,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,17146.368,1147296
46004,Borgo a Mozzano,LUAA814046,INFANZIA DIECIMO,VIA DELLA STAZIONE,43.960374157942,10.506327582221,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,20843.578,1341519
46004,Borgo a Mozzano,LU1A02900A,SCUOLA MATERNA PARITARIA CADUTI IN GUERRA,PIAZZA GARIBALDI 19,43.979382593197,10.544712816931,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,16943.593,1122963
46015,Gallicano,LUAA813039,FILECCHIO,VIA COMUNALE,44.090250963973,10.450290349196,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,16662.562,1195835
46015,Gallicano,LUAA82401N,INFANZIA GINO STRADA,VIA DEL SERCHIO,44.061447056571,10.439752826279,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,13509.599,942626
46015,Gallicano,LU1A008009,SCUOLA MATERNA G. MONI,VIA SAN GIOVANNI,44.060820478312,10.43593366073,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,13871.271,988528
46022,Pescaglia,LUAA82301T,TORCIGLIANO,VIA PER TORCIGLIANO,43.927818600048,10.432188575744,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,23536.542,1874816
46020,Molazzana,LUAA82402P,MONTALTISSIMO,VIA PER MONTALTISSIMO,44.081884916251,10.412221943338,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,19975.57,1401092
46036,Fabbriche di Vergemoli,LUAA82403Q,FABBRICHE DI VALLICO,LOC. ISOLA,44.042925784,10.3797,2536,43.9971915,10.4281154,village,Fabbriche di Vergemoli,46036,25175.94,2014211
46030,Stazzema,LUAA850016,"""PETER PAN""",VIA COMUNALE 183,44.01772,10.30690512,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,55836.454,4051458
46030,Stazzema,LUAA83101R,CORSANICO,VIA DELL'ASILO 99,43.993239959926,10.311561867562,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,55561.441,3850117
46030,Stazzema,LUAA81502X,RUOSINA,VIA PER RETIGNANO,44.004406091669,10.273134095366,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,47374.171,3245281
46030,Stazzema,LUAA81501V,LE MULINA,VIA PROVINCIALE,44.01772,10.30690512,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,55836.454,4051458
46030,Stazzema,LUAA815031,LEVIGLIANI,VIA LAMBORA,44.021413271955,10.285239607963,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,43132.557,2946359
46004,Borgo a Mozzano,LUAA814035,INFANZIA GIOVIANO,LOC. ALLA SCUOLA,43.98014,10.5502,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,23916.982,1658407
46004,Borgo a Mozzano,LUAA814024,INFANZIA CORSAGNA,VIA LAMA1,43.97754731381,10.563819601026,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,27198.917,2109335
46004,Borgo a Mozzano,LUAA82303X,PESCAGLIA,VIA PEDOGNA 1,43.970432447492,10.488014287229,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,30040.829,2108364
46004,Borgo a Mozzano,LUAA814013,INFANZIA BORGO A MOZZANO,VIA S.FRANCESCO,43.978724682908,10.540977103437,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,24616.599,1758505
46004,Borgo a Mozzano,LUAA814046,INFANZIA DIECIMO,VIA DELLA STAZIONE,43.960374157942,10.506327582221,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,28313.81,1952728
46004,Borgo a Mozzano,LU1A02900A,SCUOLA MATERNA PARITARIA CADUTI IN GUERRA,PIAZZA GARIBALDI 19,43.979382593197,10.544712816931,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,24413.825,1734172
46015,Gallicano,LUAA813039,FILECCHIO,VIA COMUNALE,44.090250963973,10.450290349196,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,12540.108,1045810
46015,Gallicano,LUAA82401N,INFANZIA GINO STRADA,VIA DEL SERCHIO,44.061447056571,10.439752826279,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,9323.621,782195
46015,Gallicano,LU1A008009,SCUOLA MATERNA G. MONI,VIA SAN GIOVANNI,44.060820478312,10.43593366073,2537,44.0282338,10.3577024,village,Fabbriche di Vergemoli,46036,8768.65,726693
