from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
43023,Macerata,MCAA827061,DON BOSCO,VIA DE AMICIS 4,43.296800019823,13.454979999668,15051,43.34419,13.5675945,village,Montelupone,43030,13899.137,927904
43023,Macerata,MCAA82705X,ENRICO FERMI - VIA PACE,VIA PACE4,43.307839992134,13.459440010348,15051,43.34419,13.5675945,village,Montelupone,43030,11743.533,826082
43023,Macerata,MCAA82804P,G. RODARI,VIA PANFILO 42,43.305019984629,13.43693996474,15051,43.34419,13.5675945,village,Montelupone,43030,14783.591,1021101
43023,Macerata,MCAA82805Q,GOFFREDO MAMELI,VIA MAMELI 43,43.295959985487,13.445209969508,15051,43.34419,13.5675945,village,Montelupone,43030,13408.666,908047
43023,Macerata,MCAA82806R,LINO LIVIABELLA,VIA LIVIABELLA7,43.255660004567,13.416300031085,15051,43.34419,13.5675945,village,Montelupone,43030,20017.157,1368484
43023,Macerata,MCAA82803N,VIA CARDARELLI,VIA CARDARELLI 1,43.286580007191,13.432160016816,15051,43.34419,13.5675945,village,Montelupone,43030,15450.68,1084634
43023,Macerata,MCAA833013,VIA F.LLI CERVI,VIA F.LLI CERVI 40,43.300289992849,13.426359991276,15051,43.34419,13.5675945,village,Montelupone,43030,15554.236,1122205
43023,Macerata,MCAA82801G,MARIA MONTESSORI,PIAZZALE MARIA MONTESSORI 1,43.305505,13.462104904,15051,43.34419,13.5675945,village,Montelupone,43030,11496.804,764073
43023,Macerata,MCAA827072,HELVIA RECINA,VIA DELL'ACQUEDOTTO 18,43.322909983491,13.424649999209,15051,43.34419,13.5675945,village,Montelupone,43030,15169.233,1067563
43023,Macerata,MCAA82703T,PADRE MATTEO RICCI,VIA G. VERDI 10,43.294609996162,13.456580021166,15051,43.34419,13.5675945,village,Montelupone,43030,13427.487,897803
43023,Macerata,MCAA82704V,GIOVANNI CRISTIANO ANDERSEN,VIA ADIGE 5,43.290500013759,13.488199996524,15051,43.34419,13.5675945,village,Montelupone,43030,11488.582,990325
43023,Macerata,MCAA82702R,ROSA AGAZZI,VIA VENTURA 8,43.305505,13.462104904,15051,43.34419,13.5675945,village,Montelupone,43030,11496.804,764073
43023,Macerata,MCAA833024,VILLA SERRA,VIA GASPARRI 3/A,43.290620000703,13.43353003889,15051,43.34419,13.5675945,village,Montelupone,43030,15460.959,1042516
43023,Macerata,MC1A001005,"SCUOLA MATERNA ""SAN GIUSEPPE""",VIA ISONZO 2,43.298109985561,13.452800034291,15051,43.34419,13.5675945,village,Montelupone,43030,14051.236,947784
43023,Macerata,MC1A006008,"""FIGLIE ADDOLORATA""",VIA PACE139,43.305819995378,13.462399995635,15051,43.34419,13.5675945,village,Montelupone,43030,11446.3,758506
43033,Morrovalle,MCAA82202N,VIA ISONZO,VIA ISONZO,43.309645000228,13.584510767486,15051,43.34419,13.5675945,village,Montelupone,43030,8975.505,699075
43033,Morrovalle,MCAA82203P,P.ZZA GIOVANNI XXIII,TRODICA,43.273104772791,13.590954132132,15051,43.34419,13.5675945,village,Montelupone,43030,12443.23,915554
43033,Morrovalle,MCAA82201L,C.DA COLLI ASOLA,Non Disponibile,43.281195682105,13.587445107792,15051,43.34419,13.5675945,village,Montelupone,43030,11243.995,825145
43033,Morrovalle,MC1A023002,"SCUOLA INFANZIA ""LUIGI CANALE""",VIA VERDI128,43.320179997627,13.604709959405,15051,43.34419,13.5675945,village,Montelupone,43030,5658.328,435272
43044,Recanati,MCAA832039,VILLA TERESA,VIALE KENNEDY,43.399935258754,13.554526124693,15051,43.34419,13.5675945,village,Montelupone,43030,8452.447,647419
43044,Recanati,MCAA832017,MARIELE VENTRE,VIA VINCIGUERRA 47,43.401378568515,13.559402656902,15051,43.34419,13.5675945,village,Montelupone,43030,8911.884,662863
43044,Recanati,MCAA83103D,C.DA MONTEFIORE,C.DA MONTEFIORE 28,43.411448157163,13.452039425368,15051,43.34419,13.5675945,village,Montelupone,43030,15148.572,1073458
43044,Recanati,MCAA832028,VIA ALDO MORO,VIA ALDO MORO 12,43.398649992141,13.558849968742,15051,43.34419,13.5675945,village,Montelupone,43030,8548.385,642005
43044,Recanati,MCAA83105G,SAN VITO,VIA ROMA 15,43.401250016597,13.552260032646,15051,43.34419,13.5675945,village,Montelupone,43030,8624.639,660612
43044,Recanati,MCAA83102C,VIA CAMERANO,VIA CAMERANO 1,43.407000002175,13.548590016341,15051,43.34419,13.5675945,village,Montelupone,43030,9594.178,761070
43044,Recanati,MCAA83101B,VIA LE GRAZIE,VIA LE GRAZIE 1,43.407529989913,13.538359987335,15051,43.34419,13.5675945,village,Montelupone,43030,9986.972,735313
43044,Recanati,MC1ACD500E,"""IL MONDO DELLE FIABE""",VIA AMENDOLA 1,43.416209995475,13.557030006106,15051,43.34419,13.5675945,village,Montelupone,43030,11041.308,872798
43043,Potenza Picena,MCAA81401N,GIACOMO LEOPARDI,VIA DELLO SPORT 2,43.366920004304,13.630580033004,15051,43.34419,13.5675945,village,Montelupone,43030,7078.367,507970
43043,Potenza Picena,MCAA81301T,COLORAMONDO,VIALE PIEMONTE 16,43.355499996504,13.697129997284,15051,43.34419,13.5675945,village,Montelupone,43030,12411.995,766851
43043,Potenza Picena,MC1A01100Q,"""FIGLIE DELL'ADDOLORATA""",VIA REGINA MARGHERITA 11,43.360680012666,13.696779969007,15051,43.34419,13.5675945,village,Montelupone,43030,12817.178,774974
43028,Montecosaro,MCAA83002L,JOYCE LUSSU,CONTRADA CAVALLINO,43.3056645157,13.644677469869,15051,43.34419,13.5675945,village,Montelupone,43030,9892.126,727501
43028,Montecosaro,MC1A022006,"""SS.ANNUNZIATA""",VIA DON BOSCO1,43.286790015775,13.649860002869,15051,43.34419,13.5675945,village,Montelupone,43030,12253.045,882668
