from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
77016,Montalbano Jonico,MTAA82003E,VIALE DEI CADUTI-MONTALBANO,VIALE DEI CADUTI,40.29146407421,16.565053047067,11746,40.2502425,16.6909586,village,Scanzano Jonico,77031,12934.163,990374
77016,Montalbano Jonico,MTAA82002D,VIA SINNI-MONTALBANO,VIA SINNI,40.286107463873,16.569267706243,11746,40.2502425,16.6909586,village,Scanzano Jonico,77031,12173.39,901094
77020,Pisticci,MTAA810052,VIA SALERNO-PISTICCI,VIA SALERNO,40.365467872704,16.687005472315,11746,40.2502425,16.6909586,village,Scanzano Jonico,77031,17072.647,1040735
77020,Pisticci,MTAA810041,INFANZIA C. AGRICOLO-PISTICCI,VIA CARLO LEVI - CENTRO AGRICOLO -,40.360310003329,16.666470033427,11746,40.2502425,16.6909586,village,Scanzano Jonico,77031,17024.361,948272
77020,Pisticci,MTAA822025,SC. INFANZIA-MARCONIA,VIA TOGLIATTI,40.363169641591,16.692648507074,11746,40.2502425,16.6909586,village,Scanzano Jonico,77031,17306.454,1068793
77020,Pisticci,MTAA822036,SC. INFANZIA EX ASILO-MARCONIA,VIA TOGLIATTI SNC,40.363169641591,16.692648507074,11746,40.2502425,16.6909586,village,Scanzano Jonico,77031,17306.454,1068793
77020,Pisticci,MTAA81001T,SCUOLA INFANZIA PISTICCI,VIA NEGRELLI,40.389986948939,16.562819790439,11746,40.2502425,16.6909586,village,Scanzano Jonico,77031,28003.677,1616652
77020,Pisticci,MTAA81002V,SCUOLA INFANZIA PISTICCI SCALO,VIA VASTO,40.42215457635,16.547033210412,11746,40.2502425,16.6909586,village,Scanzano Jonico,77031,34026.007,2053106
77020,Pisticci,MT1A00700G,BIANCA FIORA,VIA ROMA 16,40.389730073847,16.558164220171,11746,40.2502425,16.6909586,village,Scanzano Jonico,77031,28505.775,1649275
77029,Tursi,MTAA814037,SANTI QUARANTA-TURSI,VIA SANTI QUARANTA,40.246669479948,16.478814816857,11746,40.2502425,16.6909586,village,Scanzano Jonico,77031,23750.556,1732137
77029,Tursi,MTAA814015,SANT' ANNA-TURSI,VIALE S. ANNA,40.245916989411,16.474460035783,11746,40.2502425,16.6909586,village,Scanzano Jonico,77031,24058.871,1738698
