from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
83084,Sant'Agata di Militello,MEAA885077,CAPITA,C/DA CAPITA,38.069731930709,14.647017879368,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,6375.526,484703
83084,Sant'Agata di Militello,MEAA885011,CANNAMELATA,VIA DUCA D'AOSTA,38.068882307751,14.629586179179,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,7857.624,600132
83084,Sant'Agata di Militello,MEAA885066,TELEGRAFO GAGLIO,C/DA TELEGRAFO,38.062594208189,14.632563561046,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,7755.794,593781
83084,Sant'Agata di Militello,MEAA87901N,MONACI,VIA MONACI,38.067928045573,14.638807707593,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,6899.855,532142
83084,Sant'Agata di Militello,ME1A13900N,NEW BRITISH COLLEGE S.C.S.,CONTRADA MONACI 1,38.065759985738,14.642159992197,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,6364.073,480089
83079,San Marco d'Alunzio,MEAA877045,SAN MARCO D'ALUNZIO,Non Disponibile,38.067123800803,14.707363034578,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,16393.93,1258575
83001,Alcara li Fusi,MEAA885099,ALCARA LI FUSI,VIA A. GRAMSCI,38.018795504683,14.704515712873,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,7951.219,574681
83017,Cesarò,MEAA83702L,ALI' CENTRO,SALITA SANTA CATERINA,37.842657438322,14.712990406773,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,51761.97,3487710
83017,Cesarò,MEAA813035,CESARO',LARGO POZZETTO,37.844550014867,14.717479983679,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,51840.45,3479979
83108,Torrenova,MEAA877034,SERROCONIGLIO,Non Disponibile,38.0876,14.67948,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,9280.331,708339
83108,Torrenova,MEAA877012,B. CAPUTO,VIA MELI,38.091096478641,14.680236951672,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,10317.275,778280
83078,San Fratello,MEAA826026,PORTA NUOVA,C/DA S.ANTONIO,38.017515828642,14.592047890871,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,18459.498,1444803
83078,San Fratello,MEAA826037,SCHIENA,C/DA SCHIENA,38.011990014004,14.597535033057,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,18266.366,1403336
83050,Militello Rosmarino,MEAA88510B,MILITELLO ROSMARINO,C/DA SAN PIERO,38.038497326838,14.662774561924,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,1997.921,155476
83050,Militello Rosmarino,ME1A01700X,BAMBINO GESU',VIA V. EMANUELE I^,38.045709787459,14.675416694913,10725,38.0459174,14.6760173,village,Militello Rosmarino,83050,56.627,6795
