from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
36033,Prignano sulla Secchia,MOAA81505B,BARALDI MERCEDE GROSSI,VIA SANTA GIULIA 617,44.41825000775,10.641810032838,14368,44.320957,10.6461,village,Palagano,36029,17105.38,1120847
36033,Prignano sulla Secchia,MOAA815017,"""LO SCARABOCCHIO""",VIA ALCIDE DE GASPERI 98,44.435540584459,10.68815619685,14368,44.320957,10.6461,village,Palagano,36029,26036.074,1606156
36018,Lama Mocogno,MOAA803011,"""COLLODI"" LAMA MOCOGNO",VIA MONTE SABOTINO 18,44.311279991787,10.737140016042,14368,44.320957,10.6461,village,Palagano,36029,14922.68,1057120
36032,Polinago,MOAA803022,ANNA FRANK - POLINAGO,VIA SORBELLI 2,44.344699980852,10.725810029882,14368,44.320957,10.6461,village,Palagano,36029,10047.914,846247
36035,Riolunato,MOAA80602D,RIOLUNATO,VIA PARIGINI 7,44.231369986307,10.65019998264,14368,44.320957,10.6461,village,Palagano,36029,22860.971,1792669
36016,Frassinoro,MOAA81101X,"""LA CHIOCCIOLA DEI BAMBINI""",VIA DON C. GNOCCHI,44.294914859554,10.573626177169,14368,44.320957,10.6461,village,Palagano,36029,10737.949,1450728
36025,Montefiorino,MOAA811021,"H.C. ANDERSEN"" MONTEFIORINO",VIA PROVINCIALE 22,44.351470002137,10.620320006563,14368,44.320957,10.6461,village,Palagano,36029,10781.344,868042
36029,Palagano,MOAA811032,"""SAN FRANCESCO "" - PALAGANO",VIA 18 MARZO 5,44.320929993093,10.645780037458,14368,44.320957,10.6461,village,Palagano,36029,186.454,22375
36029,Palagano,MOAA811043,"""18 MARZO 1944 ""- MONCHIO",VIA PANORAMICA 124,44.385429995314,10.648220009472,14368,44.320957,10.6461,village,Palagano,36029,11714.713,718936
36033,Prignano sulla Secchia,MOAA81505B,BARALDI MERCEDE GROSSI,VIA SANTA GIULIA 617,44.41825000775,10.641810032838,14369,44.2831072,10.6144877,village,Palagano,36029,24765.682,1629510
36033,Prignano sulla Secchia,MOAA815017,"""LO SCARABOCCHIO""",VIA ALCIDE DE GASPERI 98,44.435540584459,10.68815619685,14369,44.2831072,10.6144877,village,Palagano,36029,33696.377,2114819
36018,Lama Mocogno,MOAA803011,"""COLLODI"" LAMA MOCOGNO",VIA MONTE SABOTINO 18,44.311279991787,10.737140016042,14369,44.2831072,10.6144877,village,Palagano,36029,20360.351,1326664
36032,Polinago,MOAA803022,ANNA FRANK - POLINAGO,VIA SORBELLI 2,44.344699980852,10.725810029882,14369,44.2831072,10.6144877,village,Palagano,36029,15485.586,1115791
36035,Riolunato,MOAA80602D,RIOLUNATO,VIA PARIGINI 7,44.231369986307,10.65019998264,14369,44.2831072,10.6144877,village,Palagano,36029,15048.3,1249135
36016,Frassinoro,MOAA81101X,"""LA CHIOCCIOLA DEI BAMBINI""",VIA DON C. GNOCCHI,44.294914859554,10.573626177169,14369,44.2831072,10.6144877,village,Palagano,36029,12685.238,1247888
36025,Montefiorino,MOAA811021,"H.C. ANDERSEN"" MONTEFIORINO",VIA PROVINCIALE 22,44.351470002137,10.620320006563,14369,44.2831072,10.6144877,village,Palagano,36029,12702.573,1086135
36029,Palagano,MOAA811032,"""SAN FRANCESCO "" - PALAGANO",VIA 18 MARZO 5,44.320929993093,10.645780037458,14369,44.2831072,10.6144877,village,Palagano,36029,7933.49,558033
36029,Palagano,MOAA811043,"""18 MARZO 1944 ""- MONCHIO",VIA PANORAMICA 124,44.385429995314,10.648220009472,14369,44.2831072,10.6144877,village,Palagano,36029,19375.016,1227599
36033,Prignano sulla Secchia,MOAA81505B,BARALDI MERCEDE GROSSI,VIA SANTA GIULIA 617,44.41825000775,10.641810032838,14370,44.3789122,10.6721051,village,Palagano,36029,8309.684,625294
36033,Prignano sulla Secchia,MOAA815017,"""LO SCARABOCCHIO""",VIA ALCIDE DE GASPERI 98,44.435540584459,10.68815619685,14370,44.3789122,10.6721051,village,Palagano,36029,17240.378,1110603
36018,Lama Mocogno,MOAA803011,"""COLLODI"" LAMA MOCOGNO",VIA MONTE SABOTINO 18,44.311279991787,10.737140016042,14370,44.3789122,10.6721051,village,Palagano,36029,17348.541,1415823
36032,Polinago,MOAA803022,ANNA FRANK - POLINAGO,VIA SORBELLI 2,44.344699980852,10.725810029882,14370,44.3789122,10.6721051,village,Palagano,36029,9488.904,896155
36035,Riolunato,MOAA80602D,RIOLUNATO,VIA PARIGINI 7,44.231369986307,10.65019998264,14370,44.3789122,10.6721051,village,Palagano,36029,29946.009,2147097
36016,Frassinoro,MOAA81101X,"""LA CHIOCCIOLA DEI BAMBINI""",VIA DON C. GNOCCHI,44.294914859554,10.573626177169,14370,44.3789122,10.6721051,village,Palagano,36029,18626.473,1694839
36025,Montefiorino,MOAA811021,"H.C. ANDERSEN"" MONTEFIORINO",VIA PROVINCIALE 22,44.351470002137,10.620320006563,14370,44.3789122,10.6721051,village,Palagano,36029,8764.881,1088824
36029,Palagano,MOAA811032,"""SAN FRANCESCO "" - PALAGANO",VIA 18 MARZO 5,44.320929993093,10.645780037458,14370,44.3789122,10.6721051,village,Palagano,36029,8999.632,583349
36029,Palagano,MOAA811043,"""18 MARZO 1944 ""- MONCHIO",VIA PANORAMICA 124,44.385429995314,10.648220009472,14370,44.3789122,10.6721051,village,Palagano,36029,2919.017,223383
36033,Prignano sulla Secchia,MOAA81505B,BARALDI MERCEDE GROSSI,VIA SANTA GIULIA 617,44.41825000775,10.641810032838,14371,44.3467813,10.6534463,village,Palagano,36029,14161.473,935104
36033,Prignano sulla Secchia,MOAA815017,"""LO SCARABOCCHIO""",VIA ALCIDE DE GASPERI 98,44.435540584459,10.68815619685,14371,44.3467813,10.6534463,village,Palagano,36029,23092.167,1420413
36018,Lama Mocogno,MOAA803011,"""COLLODI"" LAMA MOCOGNO",VIA MONTE SABOTINO 18,44.311279991787,10.737140016042,14371,44.3467813,10.6534463,village,Palagano,36029,17883.649,1257238
36032,Polinago,MOAA803022,ANNA FRANK - POLINAGO,VIA SORBELLI 2,44.344699980852,10.725810029882,14371,44.3467813,10.6534463,village,Palagano,36029,10725.015,966378
36035,Riolunato,MOAA80602D,RIOLUNATO,VIA PARIGINI 7,44.231369986307,10.65019998264,14371,44.3467813,10.6534463,village,Palagano,36029,26594.931,2042144
36016,Frassinoro,MOAA81101X,"""LA CHIOCCIOLA DEI BAMBINI""",VIA DON C. GNOCCHI,44.294914859554,10.573626177169,14371,44.3467813,10.6534463,village,Palagano,36029,16861.962,1202355
36025,Montefiorino,MOAA811021,"H.C. ANDERSEN"" MONTEFIORINO",VIA PROVINCIALE 22,44.351470002137,10.620320006563,14371,44.3467813,10.6534463,village,Palagano,36029,7000.371,596340
