from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
108012,Brugherio,MBAA8AL01G,G.RODARI,VIA N.SAURO,45.551686962702,9.291793662321,141,45.584099550000005,9.276319758218609,suburb,Monza,108033,5478.953,459459
108012,Brugherio,MBAA8AL02L,F.LLI GRIMM,VIA MONTELLO,45.566215014815,9.301350009302,141,45.584099550000005,9.276319758218609,suburb,Monza,108033,4220.893,392049
108012,Brugherio,MBAA8AM01B,VIALE BRIANZA,VIALE BRIANZA N. 72,45.557119979317,9.309139982476,141,45.584099550000005,9.276319758218609,suburb,Monza,108033,6168.87,594728
108012,Brugherio,MBAA8AJ016,"SCUOLA ""COLLODI""",VIA DANTE 111,45.548363527248,9.294813852278,141,45.584099550000005,9.276319758218609,suburb,Monza,108033,5620.622,452803
108012,Brugherio,MB1A301005,"SCUOLA DELL'INFANZIA ""MARIA AUSILIATRICE"" - BRUGHERIO",VIALE SANTA CATERINA53,45.557185811009,9.307693992737,141,45.584099550000005,9.276319758218609,suburb,Monza,108033,5374.568,499413
108012,Brugherio,MB1A300009,"SCUOLA DELL'INFANZIA ""UMBERTO I E MARGHERITA""-BRUGHERIO",VIA DE GASPERI41,45.551400000952,9.296910031371,141,45.584099550000005,9.276319758218609,suburb,Monza,108033,5185.164,424206
108021,Concorezzo,MBAA8DM028,"""MARIO LODI - 1922 - 2014""",VIA VERDI,45.587762074593,9.334484808799,141,45.584099550000005,9.276319758218609,suburb,Monza,108033,5499.739,381246
108021,Concorezzo,MBAA8DM017,G. FALCONE E P. BORSELLINO,VIA DON MILANI17,45.595959161775,9.328847608779,141,45.584099550000005,9.276319758218609,suburb,Monza,108033,5182.674,373968
108021,Concorezzo,MB1A41500T,L'ASILETTO,PIAZZA FALCONE E BORSELLINO 18,45.58854,9.33393,141,45.584099550000005,9.276319758218609,suburb,Monza,108033,5736.697,409681
108021,Concorezzo,MB1AAB500H,SCUOLA DELL'INFANZIA PARITARIA COMUNALE DI VIA XXV APRILE,VIA XXV APRILE 15,45.593215834801,9.338389746296,141,45.584099550000005,9.276319758218609,suburb,Monza,108033,5887.222,420637
