from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
3114,Paruzzaro,NOAA819074,SCUOLA DELL'INFANZIA PARUZZARO,PIAZZA VICARI E ZANETTA 2,45.74088789947,8.508478989281,6420,45.6906946,8.5307821,village,Gattico-Veruno,3166,8763.514,597084
3021,Bogogno,NOAA820056,INFANZIA STATALE BOGOGNO,PIAZZA M.MONTESSORI 1,45.667429995103,8.534760004158,6420,45.6906946,8.5307821,village,Gattico-Veruno,3166,3095.647,216320
3082,Invorio,NOAA819096,SCUOLA DELL'INFANZIA CURIONI,VIA ITALIA 17,45.75361073285,8.487167055014,6420,45.6906946,8.5307821,village,Gattico-Veruno,3166,9837.673,632434
3024,Borgomanero,NOAA832018,"""FRAZIONE SANTA CROCE""",VIA NAZIONALE 17,45.711660019919,8.451269962104,6420,45.6906946,8.5307821,village,Gattico-Veruno,3166,9393.574,620194
3024,Borgomanero,NOAA833025,PASCOLI,VIA PASCOLI,45.695148940136,8.468161204058,6420,45.6906946,8.5307821,village,Gattico-Veruno,3166,7643.472,467470
3024,Borgomanero,NOAA833047,VIA SCUOLE,VIA SCUOLE 5,45.699220018321,8.459920002362,6420,45.6906946,8.5307821,village,Gattico-Veruno,3166,7761.261,519834
3024,Borgomanero,NOAA83204B,"""FRAZIONE SAN MARCO""",VIA PRINCIPE UMBERTO,45.717549543762,8.462632264373,6420,45.6906946,8.5307821,village,Gattico-Veruno,3166,8296.621,540929
3024,Borgomanero,NOAA83205C,"""FRAZIONE VERGANO""",VIA CASTELLO 25,45.704759995316,8.443440007252,6420,45.6906946,8.5307821,village,Gattico-Veruno,3166,9706.323,652051
3024,Borgomanero,NOAA833069,DON LUIGI LUCCHINI,VIA DON LUIGI GODIO 6,45.699249983625,8.446429999753,6420,45.6906946,8.5307821,village,Gattico-Veruno,3166,9005.721,600908
3024,Borgomanero,NOAA833058,CORSO ROMA,CORSO ROMA 176,45.693009991987,8.466959962839,6420,45.6906946,8.5307821,village,Gattico-Veruno,3166,7911.533,476956
3024,Borgomanero,NOAA83203A,"""SANTA CRISTINA""",VIA CHIESA 2,45.688360005472,8.497969987103,6420,45.6906946,8.5307821,village,Gattico-Veruno,3166,5458.903,371081
