from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
91041,Lodè,NUAA85403C,ONANI' - VIA CAVOUR,VIA CAVOUR 16,40.591720016949,9.540749988305,16506,40.627969,9.677337,village,Torpè,91094,18443.311,1265894
91041,Lodè,NUAA84103A,LODE' - INFANZIA,VIA LUCA BANDIS,40.589587874917,9.539507381015,16506,40.627969,9.677337,village,Torpè,91094,18693.672,1285925
91085,Siniscola,NUAA87902Q,SINISCOLA - SA SEDDA,VIA SARCIDANO,40.569199998766,9.692120199029,16506,40.627969,9.677337,village,Torpè,91094,10143.108,658209
91085,Siniscola,NUAA87801V,SCUOLA INFANZIA VIA GRAMSCI,VIA GRAMSCI,40.574298107867,9.691877443043,16506,40.627969,9.677337,village,Torpè,91094,9456.685,599710
91085,Siniscola,NUAA87901P,SINISCOLA - LA CALETTA,VIA FIRENZE,40.611422774655,9.747733076722,16506,40.627969,9.677337,village,Torpè,91094,7148.236,495037
91085,Siniscola,NUAA87903R,SINISCOLA - VIA VIVALDI,VIA VIVALDI,40.576085176205,9.696047590985,16506,40.627969,9.677337,village,Torpè,91094,9103.444,571705
91085,Siniscola,NU1A03600A,SANT'ANTONIO,VIA SANT'ANTONIO 39,40.572140016859,9.694009986564,16506,40.627969,9.677337,village,Torpè,91094,9724.45,621387
91073,Posada,NUAA84104B,POSADA - INFANZIA,VIA VITTORIO VENETO 1,40.628969990941,9.715179991776,16506,40.627969,9.677337,village,Torpè,91094,3531.243,249180
91094,Torpè,NUAA841018,TORPE' - INFANZIA,VIA NIGIA CARAI,40.629346026603,9.68344036831,16506,40.627969,9.677337,village,Torpè,91094,601.655,50812
91094,Torpè,NUAA841029,FRAZ. BRUNELLA-TORPE'-INFANZIA,VIA GIOTTO,40.687371768107,9.636644593659,16506,40.627969,9.677337,village,Torpè,91094,12557.786,920728
91041,Lodè,NUAA85403C,ONANI' - VIA CAVOUR,VIA CAVOUR 16,40.591720016949,9.540749988305,16507,40.6891211,9.6366209,village,Torpè,91094,26298.446,1944432
91041,Lodè,NUAA84103A,LODE' - INFANZIA,VIA LUCA BANDIS,40.589587874917,9.539507381015,16507,40.6891211,9.6366209,village,Torpè,91094,26548.807,1964463
91085,Siniscola,NUAA87902Q,SINISCOLA - SA SEDDA,VIA SARCIDANO,40.569199998766,9.692120199029,16507,40.6891211,9.6366209,village,Torpè,91094,22434.882,1409745
91085,Siniscola,NUAA87801V,SCUOLA INFANZIA VIA GRAMSCI,VIA GRAMSCI,40.574298107867,9.691877443043,16507,40.6891211,9.6366209,village,Torpè,91094,21748.459,1351246
91085,Siniscola,NUAA87901P,SINISCOLA - LA CALETTA,VIA FIRENZE,40.611422774655,9.747733076722,16507,40.6891211,9.6366209,village,Torpè,91094,18222.581,1204493
91085,Siniscola,NUAA87903R,SINISCOLA - VIA VIVALDI,VIA VIVALDI,40.576085176205,9.696047590985,16507,40.6891211,9.6366209,village,Torpè,91094,21395.218,1323241
91085,Siniscola,NU1A03600A,SANT'ANTONIO,VIA SANT'ANTONIO 39,40.572140016859,9.694009986564,16507,40.6891211,9.6366209,village,Torpè,91094,22016.224,1372923
91073,Posada,NUAA84104B,POSADA - INFANZIA,VIA VITTORIO VENETO 1,40.628969990941,9.715179991776,16507,40.6891211,9.6366209,village,Torpè,91094,14629.87,960581
91094,Torpè,NUAA841018,TORPE' - INFANZIA,VIA NIGIA CARAI,40.629346026603,9.68344036831,16507,40.6891211,9.6366209,village,Torpè,91094,13169.243,970421
91094,Torpè,NUAA841029,FRAZ. BRUNELLA-TORPE'-INFANZIA,VIA GIOTTO,40.687371768107,9.636644593659,16507,40.6891211,9.6366209,village,Torpè,91094,373.331,28641
91088,Talana,NUAA850057,TALANA - SC. INFANZIA GENZIANA,VIA GIUSEPPE VERDI,40.04287247536,9.495973916049,16457,40.0323613,9.6634049,village,Baunei,91006,29132.952,1512658
91099,Urzulei,NUAA86306A,URZULEI - VIA GRAZIA DELEDDA,VIA GRAZIA DELEDDA,40.090529374154,9.511786366549,16457,40.0323613,9.6634049,village,Baunei,91006,23457.059,1338759
91017,Dorgali,NUAA871036,DORGALI - CALA GONONE,VIA DELLE GROTTE,40.292731249,9.54463,16457,40.0323613,9.6634049,village,Baunei,91006,51412.722,3439469
91017,Dorgali,NUAA871014,DORGALI - VIA ENRICO FERMI,VIA ENRICO FERMI,40.292919415829,9.592330588126,16457,40.0323613,9.6634049,village,Baunei,91006,47752.762,2769361
91017,Dorgali,NUAA871025,DORGALI - VIA FRATELLI CERVI,VIA FRATELLI CERVI,40.293272587236,9.585994352672,16457,40.0323613,9.6634049,village,Baunei,91006,48186.742,2804082
91017,Dorgali,NUAA871047,DORGALI - VIA LAMARMORA,VIA LAMARMORA,40.296589979109,9.579676584949,16457,40.0323613,9.6634049,village,Baunei,91006,48883.968,2858651
91017,Dorgali,NU1A01200T,DON BASILIO MELONI,VIA GIOVANNI XXIII 15,40.292590009185,9.586969981709,16457,40.0323613,9.6634049,village,Baunei,91006,48013.88,2790252
91097,Triei,NUAA863037,TRIEI - VIALE EUROPA,VIALE EUROPA 4,40.033919992872,9.640469993297,16457,40.0323613,9.6634049,village,Baunei,91006,5776.323,351437
91042,Lotzorai,NUAA870018,LOTZORAI - VIA DANTE,VIA DANTE,39.970692099057,9.671001791949,16457,40.0323613,9.6634049,village,Baunei,91006,10887.049,653664
91006,Baunei,NUAA863015,BAUNEI - VIA L. RADICE,VIA LOMBARDO RADICE,40.033043901614,9.660971117946,16457,40.0323613,9.6634049,village,Baunei,91006,665.232,55336
91006,Baunei,NUAA863026,SANTA MARIA NAVARRESE,VIA PLAMMAS25,39.990040017287,9.688290008199,16457,40.0323613,9.6634049,village,Baunei,91006,9307.355,607914
91088,Talana,NUAA850057,TALANA - SC. INFANZIA GENZIANA,VIA GIUSEPPE VERDI,40.04287247536,9.495973916049,16458,39.9897097,9.6872671,village,Baunei,91006,26334.121,1276150
91099,Urzulei,NUAA86306A,URZULEI - VIA GRAZIA DELEDDA,VIA GRAZIA DELEDDA,40.090529374154,9.511786366549,16458,39.9897097,9.6872671,village,Baunei,91006,28325.965,1428310
91017,Dorgali,NUAA871036,DORGALI - CALA GONONE,VIA DELLE GROTTE,40.292731249,9.54463,16458,39.9897097,9.6872671,village,Baunei,91006,60518.59,4030757
91017,Dorgali,NUAA871014,DORGALI - VIA ENRICO FERMI,VIA ENRICO FERMI,40.292919415829,9.592330588126,16458,39.9897097,9.6872671,village,Baunei,91006,56858.63,3360649
91017,Dorgali,NUAA871025,DORGALI - VIA FRATELLI CERVI,VIA FRATELLI CERVI,40.293272587236,9.585994352672,16458,39.9897097,9.6872671,village,Baunei,91006,57292.61,3395370
91017,Dorgali,NUAA871047,DORGALI - VIA LAMARMORA,VIA LAMARMORA,40.296589979109,9.579676584949,16458,39.9897097,9.6872671,village,Baunei,91006,57989.836,3449939
91017,Dorgali,NU1A01200T,DON BASILIO MELONI,VIA GIOVANNI XXIII 15,40.292590009185,9.586969981709,16458,39.9897097,9.6872671,village,Baunei,91006,57119.748,3381540
91097,Triei,NUAA863037,TRIEI - VIALE EUROPA,VIALE EUROPA 4,40.033919992872,9.640469993297,16458,39.9897097,9.6872671,village,Baunei,91006,9419.737,788200
91042,Lotzorai,NUAA870018,LOTZORAI - VIA DANTE,VIA DANTE,39.970692099057,9.671001791949,16458,39.9897097,9.6872671,village,Baunei,91006,4811.243,270844
91006,Baunei,NUAA863015,BAUNEI - VIA L. RADICE,VIA LOMBARDO RADICE,40.033043901614,9.660971117946,16458,39.9897097,9.6872671,village,Baunei,91006,9366.569,614262
91006,Baunei,NUAA863026,SANTA MARIA NAVARRESE,VIA PLAMMAS25,39.990040017287,9.688290008199,16458,39.9897097,9.6872671,village,Baunei,91006,134.701,10776
91083,Silanus,NUAA82403L,SILANUS - VIA STAZIONE,VIA STAZIONE,40.285723136674,8.891302151765,16526,40.228855,8.896427,village,Dualchi,91018,10622.146,775219
91083,Silanus,NU1A03300V,SACRO CUORE,V.LE DELLE RIMEMBRANZE 1,40.287589994393,8.891460024236,16526,40.228855,8.896427,village,Dualchi,91018,10699.9,781442
91011,Borore,NUAA872054,BORORE - VIA DON MILANI,VIA DON MILANI,40.21222698718,8.803276835612,16526,40.228855,8.896427,village,Dualchi,91018,8859.562,510296
