from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
28056,Montagnana,PDAA87803D,MONTAGNANA - AI CADUTI,VIA CHIESA N. 20,45.223330005642,11.432920038436,7970,45.2176222,11.5161831,village,Borgo Veneto,28107,8013.413,549530
28056,Montagnana,PDAA87801B,C. COLLODI,VIALE SPALATO N. 1/A,45.2308199905,11.46365999778,7970,45.2176222,11.5161831,village,Borgo Veneto,28107,4931.519,345555
28056,Montagnana,PD1A04400T,"SCUOLA MATERNA NON STATALE ""REGINA TURATO""",VIA FRASSENARA1,45.226189994824,11.481779996064,7970,45.2176222,11.5161831,village,Borgo Veneto,28107,3295.203,223780
28056,Montagnana,PD1A042006,"SCUOLA MATERNA NON STATALE ""PROSDOCIMI BARICOLO""",VIA SCALIGERA17,45.232220019788,11.465039994319,7970,45.2176222,11.5161831,village,Borgo Veneto,28107,4781.392,354560
28062,Piacenza d'Adige,PDAA831016,PIACENZA D'ADIGE - CARDUCCI,VIA GALVAN 227/1,45.129109995965,11.549959989055,7970,45.2176222,11.5161831,village,Borgo Veneto,28107,15266.67,782456
28052,Megliadino San Vitale,PDAA87201C,MEGLIADINO SAN VITALE,VIA ROMA 48,45.194469981452,11.524359980377,7970,45.2176222,11.5161831,village,Borgo Veneto,28107,2833.581,173619
28059,Ospedaletto Euganeo,PD1A05900G,"""SACRO CUORE""",VIALE REGINA MARGHERITA 8,45.221169989193,11.60759999026,7970,45.2176222,11.5161831,village,Borgo Veneto,28107,8125.137,536904
28067,Ponso,PD1A12200T,"SCUOLA MATERNA NON STATALE ""SANTA MARTA""",VIA VITTORIO1,45.192639779526,11.586834055944,7970,45.2176222,11.5161831,village,Borgo Veneto,28107,8469.019,600959
28107,Borgo Veneto,PDAA87202D,SALETTO,VIA MARCONI 31,45.219800009029,11.512130029272,7970,45.2176222,11.5161831,village,Borgo Veneto,28107,423.231,28691
28107,Borgo Veneto,PDAA87203E,SANTA MARGHERITA D'ADIGE,VIA ROMA 88,45.225449998502,11.561900010128,7970,45.2176222,11.5161831,village,Borgo Veneto,28107,4391.94,294367
28056,Montagnana,PDAA87803D,MONTAGNANA - AI CADUTI,VIA CHIESA N. 20,45.223330005642,11.432920038436,7971,45.2153678,11.5566292,village,Borgo Veneto,28107,11547.209,812400
28056,Montagnana,PDAA87801B,C. COLLODI,VIALE SPALATO N. 1/A,45.2308199905,11.46365999778,7971,45.2153678,11.5566292,village,Borgo Veneto,28107,8465.315,608425
28056,Montagnana,PD1A04400T,"SCUOLA MATERNA NON STATALE ""REGINA TURATO""",VIA FRASSENARA1,45.226189994824,11.481779996064,7971,45.2153678,11.5566292,village,Borgo Veneto,28107,6828.999,486650
28056,Montagnana,PD1A042006,"SCUOLA MATERNA NON STATALE ""PROSDOCIMI BARICOLO""",VIA SCALIGERA17,45.232220019788,11.465039994319,7971,45.2153678,11.5566292,village,Borgo Veneto,28107,8315.188,617430
28062,Piacenza d'Adige,PDAA831016,PIACENZA D'ADIGE - CARDUCCI,VIA GALVAN 227/1,45.129109995965,11.549959989055,7971,45.2153678,11.5566292,village,Borgo Veneto,28107,12910.552,604395
28052,Megliadino San Vitale,PDAA87201C,MEGLIADINO SAN VITALE,VIA ROMA 48,45.194469981452,11.524359980377,7971,45.2153678,11.5566292,village,Borgo Veneto,28107,3949.356,259640
28059,Ospedaletto Euganeo,PD1A05900G,"""SACRO CUORE""",VIALE REGINA MARGHERITA 8,45.221169989193,11.60759999026,7971,45.2153678,11.5566292,village,Borgo Veneto,28107,4669.112,317177
28067,Ponso,PD1A12200T,"SCUOLA MATERNA NON STATALE ""SANTA MARTA""",VIA VITTORIO1,45.192639779526,11.586834055944,7971,45.2153678,11.5566292,village,Borgo Veneto,28107,4675.986,320618
28107,Borgo Veneto,PDAA87202D,SALETTO,VIA MARCONI 31,45.219800009029,11.512130029272,7971,45.2153678,11.5566292,village,Borgo Veneto,28107,4103.812,308512
28107,Borgo Veneto,PDAA87203E,SANTA MARGHERITA D'ADIGE,VIA ROMA 88,45.225449998502,11.561900010128,7971,45.2153678,11.5566292,village,Borgo Veneto,28107,2451.02,183478
28056,Montagnana,PDAA87803D,MONTAGNANA - AI CADUTI,VIA CHIESA N. 20,45.223330005642,11.432920038436,7972,45.2270539,11.533658,village,Borgo Veneto,28107,9135.194,632826
28056,Montagnana,PDAA87801B,C. COLLODI,VIALE SPALATO N. 1/A,45.2308199905,11.46365999778,7972,45.2270539,11.533658,village,Borgo Veneto,28107,6053.301,428851
28056,Montagnana,PD1A04400T,"SCUOLA MATERNA NON STATALE ""REGINA TURATO""",VIA FRASSENARA1,45.226189994824,11.481779996064,7972,45.2270539,11.533658,village,Borgo Veneto,28107,4416.984,307076
28056,Montagnana,PD1A042006,"SCUOLA MATERNA NON STATALE ""PROSDOCIMI BARICOLO""",VIA SCALIGERA17,45.232220019788,11.465039994319,7972,45.2270539,11.533658,village,Borgo Veneto,28107,5903.174,437856
28062,Piacenza d'Adige,PDAA831016,PIACENZA D'ADIGE - CARDUCCI,VIA GALVAN 227/1,45.129109995965,11.549959989055,7972,45.2270539,11.533658,village,Borgo Veneto,28107,14573.279,726036
28052,Megliadino San Vitale,PDAA87201C,MEGLIADINO SAN VITALE,VIA ROMA 48,45.194469981452,11.524359980377,7972,45.2270539,11.533658,village,Borgo Veneto,28107,3893.363,270490
28059,Ospedaletto Euganeo,PD1A05900G,"""SACRO CUORE""",VIALE REGINA MARGHERITA 8,45.221169989193,11.60759999026,7972,45.2270539,11.533658,village,Borgo Veneto,28107,5984.085,380094
28067,Ponso,PD1A12200T,"SCUOLA MATERNA NON STATALE ""SANTA MARTA""",VIA VITTORIO1,45.192639779526,11.586834055944,7972,45.2270539,11.533658,village,Borgo Veneto,28107,7527.846,468745
28107,Borgo Veneto,PDAA87202D,SALETTO,VIA MARCONI 31,45.219800009029,11.512130029272,7972,45.2270539,11.533658,village,Borgo Veneto,28107,2391.218,177780
28107,Borgo Veneto,PDAA87203E,SANTA MARGHERITA D'ADIGE,VIA ROMA 88,45.225449998502,11.561900010128,7972,45.2270539,11.533658,village,Borgo Veneto,28107,2250.889,137557
28056,Montagnana,PDAA87803D,MONTAGNANA - AI CADUTI,VIA CHIESA N. 20,45.223330005642,11.432920038436,7973,45.2346033,11.5708391,village,Borgo Veneto,28107,12800.012,910705
28056,Montagnana,PDAA87801B,C. COLLODI,VIALE SPALATO N. 1/A,45.2308199905,11.46365999778,7973,45.2346033,11.5708391,village,Borgo Veneto,28107,9718.118,706730
28056,Montagnana,PD1A04400T,"SCUOLA MATERNA NON STATALE ""REGINA TURATO""",VIA FRASSENARA1,45.226189994824,11.481779996064,7973,45.2346033,11.5708391,village,Borgo Veneto,28107,8081.802,584955
28056,Montagnana,PD1A042006,"SCUOLA MATERNA NON STATALE ""PROSDOCIMI BARICOLO""",VIA SCALIGERA17,45.232220019788,11.465039994319,7973,45.2346033,11.5708391,village,Borgo Veneto,28107,9567.991,715735
28062,Piacenza d'Adige,PDAA831016,PIACENZA D'ADIGE - CARDUCCI,VIA GALVAN 227/1,45.129109995965,11.549959989055,7973,45.2346033,11.5708391,village,Borgo Veneto,28107,16075.203,859308
28052,Megliadino San Vitale,PDAA87201C,MEGLIADINO SAN VITALE,VIA ROMA 48,45.194469981452,11.524359980377,7973,45.2346033,11.5708391,village,Borgo Veneto,28107,7077.82,511657
28059,Ospedaletto Euganeo,PD1A05900G,"""SACRO CUORE""",VIALE REGINA MARGHERITA 8,45.221169989193,11.60759999026,7973,45.2346033,11.5708391,village,Borgo Veneto,28107,3789.359,272953
28067,Ponso,PD1A12200T,"SCUOLA MATERNA NON STATALE ""SANTA MARTA""",VIA VITTORIO1,45.192639779526,11.586834055944,7973,45.2346033,11.5708391,village,Borgo Veneto,28107,5333.12,361604
28107,Borgo Veneto,PDAA87202D,SALETTO,VIA MARCONI 31,45.219800009029,11.512130029272,7973,45.2346033,11.5708391,village,Borgo Veneto,28107,6092.814,458307
28107,Borgo Veneto,PDAA87203E,SANTA MARGHERITA D'ADIGE,VIA ROMA 88,45.225449998502,11.561900010128,7973,45.2346033,11.5708391,village,Borgo Veneto,28107,2130.364,146646
28034,Conselve,PDAA894019,"SCUOLA INFANZIA ""IL GIRASOLE""",VIA L.TRAVERSO 3,45.236219989712,11.873589964525,17595,45.1848407,11.8834864,village,Bagnoli di Sopra,28008,6863.885,499827
