from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
82045,Lercara Friddi,PAAA816018,PAOLO BORSELLINO = LERCARA F.,PIAZZA INDIPENDENZA N. 1,37.748960004071,13.599145004339,11023,37.8250916,13.5713017,village,Vicari,82078,11442.908,827835
82045,Lercara Friddi,PAAA816029,GIULIO SARTORIO = LERCARA F.,CORSO GIULIO SARTORIO N. 58,37.746849985675,13.602769967915,11023,37.8250916,13.5713017,village,Vicari,82078,11796.316,851639
82045,Lercara Friddi,PA1A234005,SAN GIUSEPPE,VIA A. DIAZ 16,37.748049980843,13.604060026633,11023,37.8250916,13.5713017,village,Vicari,82078,11848.627,881889
82014,Caccamo,PAAA8AF018,ROSARIO LIVATINO = CACCAMO,FRAZIONE SAN GIOVANNI LI GRECI,37.930210877941,13.661910211945,11023,37.8250916,13.5713017,village,Vicari,82078,21535.602,2023311
82014,Caccamo,PAAA8AF029,S.MATERNA DI VIA ROMA,VIA ROMA,37.933517974662,13.668392614197,11023,37.8250916,13.5713017,village,Vicari,82078,21454.569,1976286
82014,Caccamo,PAAA8AF03A,VIA GIOVANNI XXIII,VIA GIOVANNI XXIII,37.933927129659,13.666130031304,11023,37.8250916,13.5713017,village,Vicari,82078,21820.855,2010699
82016,Campofelice di Fitalia,PAAA817058,"INFANZIA ""VITTORINO DA FELTRE""",CORSO VITTORIO EMANUELE,37.826404660496,13.484987840933,11023,37.8250916,13.5713017,village,Vicari,82078,9440.154,1528483
82030,Ciminna,PAAA812022,CIMINNA,P.ZZA DE GASPERI,37.899529998144,13.557433156912,11023,37.8250916,13.5713017,village,Vicari,82078,15330.058,1524104
82030,Ciminna,PA1A23100N,SAN GIUSEPPE,VIA COLLEGIO 21,37.897629988332,13.562719977257,11023,37.8250916,13.5713017,village,Vicari,82078,15934.93,1596687
82062,Roccapalumba,PAAA82804N,S.MATERNA UMBERTO= ROCCAPALUMBA,VIA UMBERTO I 140,37.807602661805,13.63685858794,11023,37.8250916,13.5713017,village,Vicari,82078,12487.016,838903
82060,Prizzi,PAAA882017,S.MATERNA DI PRIZZI,VIA LIBERTA',37.719816655469,13.436315359975,11023,37.8250916,13.5713017,village,Vicari,82078,23563.028,2238471
82078,Vicari,PAAA81604B,VICARI,VIA RUGGERO SETTIMO,37.82309235961,13.570127554293,11023,37.8250916,13.5713017,village,Vicari,82078,264.254,23580
82025,Castronovo di Sicilia,PAAA81603A,CASTRONOVO S.,VIA MAZZINI,37.680235216687,13.607230942272,10888,37.746946,13.604854,village,Lercara Friddi,82045,12403.366,788004
82025,Castronovo di Sicilia,PA1A17900T,ROSARIA PICONE,VIA MAZZINI 2,37.680570002497,13.607090000812,10888,37.746946,13.604854,village,Lercara Friddi,82045,12364.312,785661
82078,Vicari,PAAA81604B,VICARI,VIA RUGGERO SETTIMO,37.82309235961,13.570127554293,10888,37.746946,13.604854,village,Lercara Friddi,82045,11760.054,846805
82062,Roccapalumba,PAAA82804N,S.MATERNA UMBERTO= ROCCAPALUMBA,VIA UMBERTO I 140,37.807602661805,13.63685858794,10888,37.746946,13.604854,village,Lercara Friddi,82045,12363.021,760165
82060,Prizzi,PAAA882017,S.MATERNA DI PRIZZI,VIA LIBERTA',37.719816655469,13.436315359975,10888,37.746946,13.604854,village,Lercara Friddi,82045,21904.195,1313443
82045,Lercara Friddi,PAAA816018,PAOLO BORSELLINO = LERCARA F.,PIAZZA INDIPENDENZA N. 1,37.748960004071,13.599145004339,10888,37.746946,13.604854,village,Lercara Friddi,82045,684.774,51813
82045,Lercara Friddi,PAAA816029,GIULIO SARTORIO = LERCARA F.,CORSO GIULIO SARTORIO N. 58,37.746849985675,13.602769967915,10888,37.746946,13.604854,village,Lercara Friddi,82045,280.969,27276
82045,Lercara Friddi,PA1A234005,SAN GIUSEPPE,VIA A. DIAZ 16,37.748049980843,13.604060026633,10888,37.746946,13.604854,village,Lercara Friddi,82045,159.197,19104
82014,Caccamo,PAAA8AF018,ROSARIO LIVATINO = CACCAMO,FRAZIONE SAN GIOVANNI LI GRECI,37.930210877941,13.661910211945,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,19660.748,1778928
82014,Caccamo,PAAA8AF029,S.MATERNA DI VIA ROMA,VIA ROMA,37.933517974662,13.668392614197,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,19725.698,1784975
82014,Caccamo,PAAA8AF03A,VIA GIOVANNI XXIII,VIA GIOVANNI XXIII,37.933927129659,13.666130031304,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,19819.543,1759816
82030,Ciminna,PAAA812022,CIMINNA,P.ZZA DE GASPERI,37.899529998144,13.557433156912,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,7664.489,551049
82030,Ciminna,PA1A23100N,SAN GIUSEPPE,VIA COLLEGIO 21,37.897629988332,13.562719977257,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,8269.361,623632
82011,Bolognetta,PAAA839011,CAMILLO ROMANO,VIA LUIGI STURZO,37.96422043712,13.459030310104,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,16322.871,1057754
82011,Bolognetta,PA1A227002,S. ANTONIO DI PADOVA,VIA BOSCO 15,37.965229995533,13.458569968798,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,16335.604,1055074
82008,Baucina,PAAA812011,BAUCINA,VIA TEN. BONAVIRI,37.924181415858,13.537773877216,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,6200.702,424888
82023,Casteldaccia,PAAA103014,ORAZIO COSTANTINO =CASTELDACCIA,VIA ORAZIO COSTANTINO,38.05537006528,13.533617240442,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,21830.116,1615933
82023,Casteldaccia,PAAA84201R,VIA TRAPANI,VIA TRAPANI,38.051440017219,13.529549983601,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,21170.321,1574062
82023,Casteldaccia,PA1AET5003,DIALUOGO LIRUM LARUM 3,VIA REDIPUGLIA 36,38.054939996477,13.534189990505,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,21881.159,1622884
82077,Ventimiglia di Sicilia,PAAA812033,E. RESTIVO VENTIMIGLIA,VIA DELL'ORTO,37.921909329495,13.568931201133,11022,37.9233414,13.5692549,village,Ventimiglia di Sicilia,82077,226.922,23498
