from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
34027,Parma,PRAA83501Q,"SC.INF.""AGAZZI"" BAGANZOLA",VIA MOLINO 1,44.77653999104,10.400250037387,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,30138.628,1828722
34027,Parma,PRAA80801B,SCUOLA INFANZIA BRUNO MUNARI,VIA DELLO SPORT N. 1,44.773740016284,10.313059971814,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,25263.469,1650572
34027,Parma,PRAA83401X,"SC.INFANZIA ""CARLO COLLODI""",VIA CASABURI N.2,44.784059983112,10.332559966637,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,24027.889,1595125
34027,Parma,PRAA832018,H.C.ANDERSEN (CORCAGNANO),VIA C.MORA,44.79853,10.34022,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,23578.196,1522151
34027,Parma,PRAA82701R,"SC.MATERNA ""SAN PAOLO""",VIA PACIAUDI 1,44.807006707652,10.326413311565,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,21987.113,1430094
34027,Parma,PRAA81603C,SC.MATERNA DI LAGRIMONE,VIA DEL PIZZARELLO N. 7,44.822090563916,10.283401570593,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,17365.653,1147906
34027,Parma,PRAA826011,"SCUOLA MATERNA ""I DELFINI""",VIA MATTEI 1,44.814890006005,10.333269997655,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,22987.531,1518360
34027,Parma,PRAA82102V,"SC.INFANZIA ""SERGIO NERI""",VIA PINI 16,44.806628387024,10.293053398191,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,19341.933,1291490
34027,Parma,PRAA82901C,"SC. MATERNA ""ZANGUIDI""",VIA TORRENTE PESSOLA 6/A,44.779010012177,10.320729999952,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,24282.235,1601750
34027,Parma,PRAA82801L,SCUOLA MATERNA DI BENECETO,STRADA COMUNALE PRINCIPALE,44.79853,10.34022,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,23578.196,1522151
34027,Parma,PRAA020013,SC.MATERNA DI VIGOLANTE,VIA ROMA,44.795195579245,10.260538368101,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,20632.31,1499008
34027,Parma,PR1AMF5002,ASILO PINK PANTHER,VIA CADUTI DI MONTELUNGO 1/A,44.787890009949,10.33395002146,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,24000.684,1580188
34027,Parma,PR1A00300T,"SCUOLA MATERNA ""SAN GIUSEPPE""",PIAZZALE RAFFAELE DAGNINO N. 1,44.799940001592,10.31941001784,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,21644.665,1453545
34027,Parma,PR1A2V500V,ALADINO,VIA LAGAZZI 22/A,44.776409987722,10.40233000666,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,30255.666,1842767
34027,Parma,PR1A01600X,"""MILLECOLORI""",VIA FRATELLI BANDIERA N. 2/B,44.792960013632,10.308340038316,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,21710.696,1420462
34027,Parma,PR1A002002,"SCUOLA MATERNA ""SANTA MARIA""",STRADA FARNESE N. 17,44.804949990849,10.323499967495,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,22416.287,1472178
34027,Parma,PR1ADZ500U,CASA DEI BAMBINI SAN DONATO,VIA SAN DONATO 72/A,44.800970011764,10.39468001127,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,30262.458,2004370
34027,Parma,PR1A007005,"SCUOLA MATERNA ""CORPUS DOMINI""",P.LE ROLLA 1,44.795080006493,10.342729981217,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,24243.488,1570059
34027,Parma,PR1A06800L,LA COCCINELLA,VIA PELICELLI 16/A,44.7792400116,10.316429999804,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,24512.553,1629386
34027,Parma,PR1A05000B,SCUOLA DELL'INFANZIA S. MARIA ASSUNTA,STR. CAVA IN VIGATTO 61/1A LOCALITA' CORCAGNANO,44.722240010613,10.297870035422,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,31506.053,2179323
34027,Parma,PR1A006009,"SCUOLA MATERNA ""DOMENICO MARIA VILLA""",VIA DOMENICO MARIA VILLA 6,44.790279983911,10.326779973845,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,23103.397,1498275
34027,Parma,PR1A035009,SCUOLA MATERNA SORELLE FERRARI,VIA IMPERIA 2,44.814130018844,10.331950015543,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,22680.422,1481508
34027,Parma,PR1A01800G,SCUOLA MATERNA MARIA AUSILIATRICE,P.LE SAN BENEDETTO 1,44.80327998046,10.336320004583,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,22962.963,1500077
34027,Parma,PR1A00900R,"SCUOLA MATERNA ""ALICE""",VIALE RUSTICI 44/A,44.787230018893,10.327130002122,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,23415.589,1519633
34027,Parma,PR1AGG500F,ORIGAMI,VIA GINA ROMANI 18 A,44.725310008379,10.303450036004,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,30624.533,2085882
34027,Parma,PR1A03400D,SCUOLA MATERNA MARIA MAZZARELLO,VIA TREVISO 7,44.809520014007,10.344100003291,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,23778.152,1595817
34027,Parma,PR1A008001,"SCUOLA MATERNA ""MARIO LODI""",VIA PICEDI BENETTINI 11,44.78479333897,10.333870697501,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,24097.504,1598163
34027,Parma,PR1A037001,L'AQUILONE,VIA PACIAUDI 1A,44.806969987604,10.326639996062,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,22005.441,1432293
34027,Parma,PR1A07000L,LA LOCOMOTIVA,VIA MALVISI 1/A,44.779680019608,10.314420019423,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,24707.621,1635232
34027,Parma,PR1A052003,SC.MATERNA ASILO INF.LODOVICO PAGANI,STRADA QUERCIOLI 161- LOCALITA' PANOCCHIA,44.68073001815,10.309279984939,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,36117.386,2454265
34027,Parma,PR1A036005,"SCUOLA MATERNA ""SAN GIOVANNI""- CENTRO IT.FEMM.",B.GO PIPA7,44.803970020639,10.332759958847,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,23388.001,1551081
34027,Parma,PR1A010001,"SCUOLA MATERNA ""FANTASIA""",VIA PEZZANI 2/A,44.793349981677,10.338589991601,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,24037.745,1582974
34027,Parma,PR1A03900L,SOLELUNA,VIA RIGUZZI 5/A,44.818550005936,10.330340019581,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,22584.854,1452996
34027,Parma,PR1AZ05009,TERRAMARE,VIA COMPOSTELA 4/A,44.787880748022,10.25989213964,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,21573.897,1611999
34027,Parma,PR1A03800R,ARCHIMEDE,VIA SAN LEONARDO 34/A,44.817660015457,10.331309973417,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,22790.958,1477728
34027,Parma,PR1A073004,"PRO.GES. SCRL - SCUOLA INFANZIA ""LO SCOIATTOLO""",STRADA BASSA NUOVA 116,44.745120007892,10.376230017457,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,30601.445,2007181
34027,Parma,PR1A07100C,SCUOLA DELL'INFANZIA ARCOBALENO,VIA MARTINELLA 184 A - LOCALITA' ALBERI,44.742050010125,10.332080018861,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,28590.19,1902691
34027,Parma,PR1A044004,SCUOLA MATERNA C.ALBERTO COULLIAUX,VIA ALDO CAPRA 13 - LOC. S. PROSPERO,44.780230394578,10.397391926904,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,29743.082,1793345
34027,Parma,PR1A028006,PRIMAVERA,VIA BATTIBUE - FRAZ. FOGNANO,44.820932312527,10.28023651131,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,17398.599,1165609
34027,Parma,PR1A043008,TARTARUGA,VIA NEWTON 13/a,44.791359992135,10.357650020326,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,25294.9,1635667
34027,Parma,PR1A079003,"SCUOLA INFANZIA ""I GIRASOLI""",VIA BUDELLUNGO 43/A,44.78090998008,10.357599980364,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,26156.857,1735313
34027,Parma,PR1A029002,ARLECCHINO,VIA ORZI 10/A,44.8104400117,10.311309998069,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,20757.689,1397462
34027,Parma,PR1A078007,PRO. GES. SCRL SC. INFANZIA IL GELSOMINO,VIA SANREMO 2/A,44.7896056548,10.300855369173,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,22152.88,1462607
34027,Parma,PR1A001006,"SCUOLA MATERNA ""CASA FAMIGLIA""",VIA COCCONCELLI N. 10,44.802510018834,10.316269989273,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,21336.803,1416601
34027,Parma,PR1A030006,MAGO MERLINO,VIA MANTEGNA 4/A,44.811180008022,10.319089996777,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,21121.493,1424090
34027,Parma,PR1A4M500Q,ISTITUTO DE LA SALLE,VIA BERZIOLI 18/A,44.770870010727,10.320860003271,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,25159.022,1677482
34027,Parma,PR1A04700G,SCUOLA MATERNA MONUMENTO AI CADUTI ETS,VIA EMILIO LEPIDO 20,44.79145998824,10.361929987726,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,25554.08,1646437
34027,Parma,PR1A081003,"SCUOLA DELL'INFANZIA ""QUADRIFOGLIO""",VIA GRAMATICA 3/A,44.830619988418,10.340190013098,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,21494.62,1432833
34027,Parma,PR1A03300N,IL GIARDINO MAGICO,B.GO DEL CORREGGIO 15/A,44.801940007509,10.334220002561,14415,44.9601314,10.2598395,village,Sissa Trecasali,34049,22555.682,1548345
