from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
18077,Inverno e Monteleone,PVAA813025,INVERNO E MONTELEONE,VIA FORNI 1,45.195119212735,9.412804337755,4919,45.1808769,9.3473035,village,Corteolona e Genzone,18192,7786.597,566759
18053,Copiano,PVAA813014,COPIANO,VIA MAURO PONTI SNC,45.196221180472,9.326212575347,4919,45.1808769,9.3473035,village,Corteolona e Genzone,18192,3102.947,229616
18013,Belgioioso,PVAA814021,BELGIOIOSO,VIA PIETRO NENNI NSC,45.157316594849,9.315924135166,4919,45.1808769,9.3473035,village,Corteolona e Genzone,18192,6829.749,453073
18139,Santa Cristina e Bissone,PV1A03000B,SCUOLA DELL'INFANZIA A.LAVEZZI,VIA V. VENETO 170,45.157790018785,9.395490013713,4919,45.1808769,9.3473035,village,Corteolona e Genzone,18192,5601.128,363756
18071,Gerenzago,PV1A01300N,SCUOLA DELL'INFANZIA DI GERENZAGO,VIA DE GASPERI 20,45.207549983267,9.364410000557,4919,45.1808769,9.3473035,village,Corteolona e Genzone,18192,3982.52,308645
18192,Corteolona e Genzone,PV1A009002,SCUOLA DELL'INFANZIA S. B. CAPITANIO,VIA LOMBARDIA,45.153531281489,9.373716369164,4919,45.1808769,9.3473035,village,Corteolona e Genzone,18192,4427.316,354586
18077,Inverno e Monteleone,PVAA813025,INVERNO E MONTELEONE,VIA FORNI 1,45.195119212735,9.412804337755,4920,45.1572133,9.3694691,village,Corteolona e Genzone,18192,6734.881,416720
18053,Copiano,PVAA813014,COPIANO,VIA MAURO PONTI SNC,45.196221180472,9.326212575347,4920,45.1572133,9.3694691,village,Corteolona e Genzone,18192,6762.339,496153
18013,Belgioioso,PVAA814021,BELGIOIOSO,VIA PIETRO NENNI NSC,45.157316594849,9.315924135166,4920,45.1572133,9.3694691,village,Corteolona e Genzone,18192,4710.344,301750
18139,Santa Cristina e Bissone,PV1A03000B,SCUOLA DELL'INFANZIA A.LAVEZZI,VIA V. VENETO 170,45.157790018785,9.395490013713,4920,45.1572133,9.3694691,village,Corteolona e Genzone,18192,2204.024,155022
18071,Gerenzago,PV1A01300N,SCUOLA DELL'INFANZIA DI GERENZAGO,VIA DE GASPERI 20,45.207549983267,9.364410000557,4920,45.1572133,9.3694691,village,Corteolona e Genzone,18192,7568.597,490616
18192,Corteolona e Genzone,PV1A009002,SCUOLA DELL'INFANZIA S. B. CAPITANIO,VIA LOMBARDIA,45.153531281489,9.373716369164,4920,45.1572133,9.3694691,village,Corteolona e Genzone,18192,767.925,88049
18094,Montalto Pavese,PVAA82403L,MONTALTO PAVESE,VIA ROMA 30,44.979049998791,9.209410003018,16796,44.8803193,9.2251928,village,Colli Verdi,18193,13555.275,1120798
18184,Zavattarello,PVAA81003P,ZAVATTARELLO,VIA CHIESA 2,44.86632999725,9.264339967288,16796,44.8803193,9.2251928,village,Colli Verdi,18193,4955.348,425396
18171,Varzi,PVAA81002N,VARZI,VIA MAZZA 57,44.823188263651,9.199690711896,16796,44.8803193,9.2251928,village,Colli Verdi,18193,12161.355,1314034
18193,Colli Verdi,PVAA800067,SCUOLA INFANZIA DI COLLI VERDI,VIA MUNICIPIO N.8,44.927619982011,9.275759975089,16796,44.8803193,9.2251928,village,Colli Verdi,18193,10316.839,657962
18094,Montalto Pavese,PVAA82403L,MONTALTO PAVESE,VIA ROMA 30,44.979049998791,9.209410003018,16797,44.9274223,9.2760463,village,Colli Verdi,18193,12283.287,807685
18184,Zavattarello,PVAA81003P,ZAVATTARELLO,VIA CHIESA 2,44.86632999725,9.264339967288,16797,44.9274223,9.2760463,village,Colli Verdi,18193,12445.061,770814
18171,Varzi,PVAA81002N,VARZI,VIA MAZZA 57,44.823188263651,9.199690711896,16797,44.9274223,9.2760463,village,Colli Verdi,18193,23679.381,1618721
18193,Colli Verdi,PVAA800067,SCUOLA INFANZIA DI COLLI VERDI,VIA MUNICIPIO N.8,44.927619982011,9.275759975089,16797,44.9274223,9.2760463,village,Colli Verdi,18193,44.039,6249
18182,Voghera,PVAA827045,VIA FOSCOLO,VIA UGO FOSCOLO 1,44.987079987762,9.005230026788,5063,45.061259,9.016151,village,Cervesina,18047,12131.16,900443
18182,Voghera,PVAA827034,POMBIO VIA FURINI,VIA FURINI SNC,44.984251658492,9.004584264234,5063,45.061259,9.016151,village,Cervesina,18047,12681.573,951712
18182,Voghera,PVAA82606B,VOGHERA RIONE PONTEVECCHIO,RIONE PONTEVECCHIO 45,44.996320335091,9.023246234267,5063,45.061259,9.016151,village,Cervesina,18047,10026.524,914431
18182,Voghera,PVAA827012,RIONE VALLE,RIONE VALLE 37,44.97801998862,8.990950029805,5063,45.061259,9.016151,village,Cervesina,18047,13234.383,1073124
18182,Voghera,PVAA82607C,VOGHERA VIA CARLO MARX,VIA CARLO MARX 12,44.989974107346,9.007224301764,5063,45.061259,9.016151,village,Cervesina,18047,10951.717,982641
18182,Voghera,PVAA827023,VIA GOBETTI,VIA GOBETTI SNC,44.990434368787,9.01263891539,5063,45.061259,9.016151,village,Cervesina,18047,10412.56,928160
18182,Voghera,PVAA826027,PALLI VOGHERA VIA VENETO,VIA VENETO 15,44.994069992096,9.000480002258,5063,45.061259,9.016151,village,Cervesina,18047,11450.354,874358
18182,Voghera,PVAA826016,VOGHERA FRAZIONE TORREMENAPACE,STRADA TORREMENAPACE SNC,45.013270024224,9.002672331974,5063,45.061259,9.016151,village,Cervesina,18047,6891.886,589901
18182,Voghera,PV1AZV500P,SCUOLA DELL'INFANZIA IL MONDO DEI BAMBINI,VIA CAGNONI 32,44.995720011646,9.004489988556,5063,45.061259,9.016151,village,Cervesina,18047,10507.384,953172
18182,Voghera,PV1A046001,SCUOLA DELL'INFANZIA S. CATERINA,VIA PEZZANI 15,44.995299994478,9.010009974712,5063,45.061259,9.016151,village,Cervesina,18047,10369.596,942199
18182,Voghera,PV1AGC5004,SCUOLA DELL'INFANZIA ASILO CAIROLI,VIA FANTI D'ITALIA N. 3,44.985510015388,9.012650022755,5063,45.061259,9.016151,village,Cervesina,18047,10842.543,968739
18182,Voghera,PV1A04700R,SCUOLA DELL'INFANZIA MONUMENTO AI CADUTI PER LA PATRIA,VIA PIEMONTE 34,44.997770015615,8.981129959683,5063,45.061259,9.016151,village,Cervesina,18047,10384.47,852686
18182,Voghera,PV1A045005,SCUOLA DELL'INFANZIA SACRA FAMIGLIA,VIA EMILIA 242,44.995210014747,9.013700023766,5063,45.061259,9.016151,village,Cervesina,18047,10209.34,914792
18190,Zinasco,PVAA812018,ZINASCO FRAZIONE SAIRANO,VIA A. MORO SNC,45.135634239264,9.0498623367,5063,45.061259,9.016151,village,Cervesina,18047,21902.068,1612593
18190,Zinasco,PV1A04800L,SCUOLA DELL'INFANZIA SAN G. EVANGELISTA,VIA DIAZ 8,45.121700016373,9.0022700415,5063,45.061259,9.016151,village,Cervesina,18047,25338.129,1708797
18054,Corana,PVAA82608D,CORANA - FRAZIONE GHIAIE,CENTRO STORICO SNC,45.057542673304,8.975943814039,5063,45.061259,9.016151,village,Cervesina,18047,5204.317,392302
18047,Cervesina,PVAA82609E,CERVESINA,VIA GARIBALDI 6,45.062129998143,9.016820019585,5063,45.061259,9.016151,village,Cervesina,18047,359.445,37158
18032,Casatisma,PVAA82405P,CASATISMA,VIA DISPERSI IN RUSSIA 1,45.04524000224,9.128599990685,4803,45.0101856,9.162397,village,Corvino San Quirico,18057,7163.273,576928
18124,Robecco Pavese,PVAA82301P,ROBECCO PAVESE,PIAZZA SANNAZZARO SNC,45.04938307421,9.149170019268,4803,45.0101856,9.162397,village,Corvino San Quirico,18057,5009.399,534472
18037,Casteggio,PVAA82401E,CASTEGGIO,VIA CIRCONVALLAZIONE CANTU' 1,45.011514108322,9.124450068033,4803,45.0101856,9.162397,village,Corvino San Quirico,18057,4919.413,385982
18032,Casatisma,PVAA82405P,CASATISMA,VIA DISPERSI IN RUSSIA 1,45.04524000224,9.128599990685,4804,45.0239677,9.1506217,village,Corvino San Quirico,18057,5142.105,396394
18124,Robecco Pavese,PVAA82301P,ROBECCO PAVESE,PIAZZA SANNAZZARO SNC,45.04938307421,9.149170019268,4804,45.0239677,9.1506217,village,Corvino San Quirico,18057,2988.231,353938
18037,Casteggio,PVAA82401E,CASTEGGIO,VIA CIRCONVALLAZIONE CANTU' 1,45.011514108322,9.124450068033,4804,45.0239677,9.1506217,village,Corvino San Quirico,18057,2898.245,205448
