from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
54039,Perugia,PGAA869041,VIA ACACIA/MONTESSORI MANZONI,VIA DELL'ACACIA,43.0871,12.37015,12102,42.98229,12.4195878,village,Deruta,54017,18279.901,1001782
54039,Perugia,PGAA86505P,"""MAHATMA GANDHI"" S.MARTINO C.N.",VIA CLAUDIA,43.039125904222,12.397744118198,12102,42.98229,12.4195878,village,Deruta,54017,8834.018,441540
54039,Perugia,PGAA85601Q,"PONTE PATTOLI ""J. PIAGET""",VIA LEONE TOLSTOI,43.17592481064,12.429621295351,12102,42.98229,12.4195878,village,Deruta,54017,31039.382,1399860
54039,Perugia,PGAA854058,"RIPA-PIANELLO ""IL CASTELLO ROTO",Non Disponibile,43.11135,12.38393,12102,42.98229,12.4195878,village,Deruta,54017,18564.82,1019631
54039,Perugia,PGAA854025,"""G. AZZI VITELLESCHI"" CASAGLIA",VIA DEI LILLA',43.104754968309,12.433789344152,12102,42.98229,12.4195878,village,Deruta,54017,19250.541,1069223
54039,Perugia,PGAA86506Q,"""ADA BELATI"" S. MARIA ROSSA",VIALE DEI VIGNETI,43.025686596735,12.397304216526,12102,42.98229,12.4195878,village,Deruta,54017,9138.496,438546
54039,Perugia,PGAA86501E,MONTEBELLO,STR.TUDERTE 54/H1,43.076839979308,12.401070004516,12102,42.98229,12.4195878,village,Deruta,54017,13182.912,648850
54039,Perugia,PGAA85103P,"""LO SCOIATTOLO ROSSO""",STR. CENERENTE,43.147409429119,12.351803058598,12102,42.98229,12.4195878,village,Deruta,54017,25583.642,1331852
54039,Perugia,PGAA86504N,SANT'ENEA,VIA DELLA COROLLA,43.010456551932,12.358487501511,12102,42.98229,12.4195878,village,Deruta,54017,8170.053,602394
54039,Perugia,PGAA854036,PRETOLA,PRETOLA,43.11492,12.43813,12102,42.98229,12.4195878,village,Deruta,54017,19070.597,1050942
54039,Perugia,PGAA86403R,DON MILANI (EX SAN SISTO SUD),VIA ALBINONI,43.081384779369,12.347715534918,12102,42.98229,12.4195878,village,Deruta,54017,18718.938,1046798
54039,Perugia,PGAA867038,"MUGNANO ""FRATELLI GRIMM""",VIA DELLA COSTANZA 48,43.05530748477,12.219261677795,12102,42.98229,12.4195878,village,Deruta,54017,23015.296,1638404
54039,Perugia,PGAA854047,COLLESTRADA,STRADA OSPEDALONE- SAN FRANCESCO,43.085436874974,12.477005865207,12102,42.98229,12.4195878,village,Deruta,54017,17564.73,800657
54039,Perugia,PGAA00204G,"VILLAGGIO KENNEDY ""MONTESSORI""",VIA COTANI1,43.099339174041,12.364072258184,12102,42.98229,12.4195878,village,Deruta,54017,19734.855,926730
54039,Perugia,PGAA85102N,"PONTE D'ODDI ""ALFA BETA GAMMA""",STR. PONTE D'ODDI,43.13026581082,12.368653778498,12102,42.98229,12.4195878,village,Deruta,54017,22864.07,1140522
54039,Perugia,PGAA00208Q,IL PICCOLO PRINCIPE V CORTONESE,VIA MAGNINI8,43.103321482197,12.367787348177,12102,42.98229,12.4195878,village,Deruta,54017,19527.836,931721
54039,Perugia,PGAA859017,"""GABELLI""",VIA MONTEMORCINO,43.108835295156,12.373232358612,12102,42.98229,12.4195878,village,Deruta,54017,19938.919,994757
54039,Perugia,PGAA85104Q,"COLLE UMBERTO ""MARIO PETRI""",VIA OSTERIA DEL COLLE,43.176937977533,12.322270030547,12102,42.98229,12.4195878,village,Deruta,54017,30469.561,1682527
54039,Perugia,PGAA859039,"V SICILIA ""IL GIARDINO DI BIBI""",VIA SICILIA,43.103251202987,12.375464970626,12102,42.98229,12.4195878,village,Deruta,54017,18802.317,878431
54039,Perugia,PGAA854014,"""ARCOBALENO"" PONTE VALLECEPPI",VIA ISONZO,43.111669678141,12.447822388275,12102,42.98229,12.4195878,village,Deruta,54017,18745.157,1033014
