from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
41023,Macerata Feltria,PSAA81101P,MACERATA FELTRIA - N.BERETTONI,VIA DELLA GIOVENTU' 5,43.804039770539,12.44022906363,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,8718.312,567630
41064,Tavoleto,PSAA80502C,TAVOLETO-CAP.GO,VIA VITTORIO EMANUELE N.25,43.843770893813,12.594233760088,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,16618.236,1407202
41067,Urbino,PSAA837031,"URBINO VOLPONI - ""L.VALERIO""",VIA VALERIO,43.724832455564,12.637946463042,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,24034.083,1684069
41067,Urbino,PSAA836057,URBINO PASCOLI - CAVALLINO,VIA MARI30,43.765720019008,12.606789987817,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,19913.547,1439682
41067,Urbino,PSAA836046,URBINO PASCOLI - TRASANNI,VIA CRISTO RE,43.755763214276,12.665713943252,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,23587.741,1890255
41067,Urbino,PSAA836035,URBINO PASCOLI-CAP.GO VIA ODDI,VIA ODDI,43.726944262691,12.630156963701,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,23715.429,1704209
41067,Urbino,PSAA837042,URBINO VOLPONI-VILLA DEL POPOLO,VIA DELL'ANNUNZIATA 20,43.72801000426,12.622170025773,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,23836.01,1726076
41067,Urbino,PSAA80505G,CA' MAZZASETTE,VIA PRIMO NOVEMBRE 43,43.750465,12.632516293,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,23120.841,1704356
41067,Urbino,PSAA83701V,URBINO VOLPONI - CANAVACCIO,VIA S. MARIA POMONTE,43.702362997128,12.696845667828,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,33985.978,2409595
41067,Urbino,PS1A01600B,SCUOLA COMUNALE DELL'INFANZIA LA COCCINELLA,VIA DON NELLO LIGI N.2,43.765849980417,12.562700003648,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,12489.1,915389
41047,Piandimeleto,PSAA815045,PIANDIMELETO CAP.GO,VIALE EVANGELISTI 6,43.724740014283,12.413219992264,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,13774.151,907281
41031,Monte Cerignone,PSAA80304V,MERCATINO-MONTECERIGNONE CAP.GO,VIA DELLE MONACHE,43.840606973946,12.412358238045,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,16103.712,1131029
41026,Mercatino Conca,PSAA80301Q,MERCATINO CONCA,VIA BELLINI2,43.869880001931,12.491279985984,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,17090.984,1343918
41071,Sassocorvaro Auditore,PSAA80903R,SASSOCORVARO-GIUSEPPE TOMMASOLI,VIA LEONARDO DA VINCI,43.782198436781,12.485773715433,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,2700.843,226171
41071,Sassocorvaro Auditore,PSAA80901P,SASSOCORVARO CAP.GO,VIA BUDI,43.796285,12.534257567,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,7862.805,572030
41071,Sassocorvaro Auditore,PSAA815034,PIANDIMELETO - LUNANO CAP.GO,VIA KENNEDY,43.815189990595,12.591294992059,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,12528.56,898428
41071,Sassocorvaro Auditore,PSAA80902Q,SASSOCORVARO - CAPRAZZINO,VIA MILITE IGNOTO7,43.765269994626,12.457149965901,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,6215.968,423318
41071,Sassocorvaro Auditore,PSAA80503D,AUDITORE - CASININA,VIA GRAMSCI 7,43.816850005564,12.587540025165,15179,43.78156,12.498749,village,Sassocorvaro Auditore,41071,12239.179,872120
41023,Macerata Feltria,PSAA81101P,MACERATA FELTRIA - N.BERETTONI,VIA DELLA GIOVENTU' 5,43.804039770539,12.44022906363,15180,43.8160117,12.5894349,village,Sassocorvaro Auditore,41071,16990.197,1047398
41064,Tavoleto,PSAA80502C,TAVOLETO-CAP.GO,VIA VITTORIO EMANUELE N.25,43.843770893813,12.594233760088,15180,43.8160117,12.5894349,village,Sassocorvaro Auditore,41071,4334.453,536312
41067,Urbino,PSAA837031,"URBINO VOLPONI - ""L.VALERIO""",VIA VALERIO,43.724832455564,12.637946463042,15180,43.8160117,12.5894349,village,Sassocorvaro Auditore,41071,14277.989,1154888
41067,Urbino,PSAA836057,URBINO PASCOLI - CAVALLINO,VIA MARI30,43.765720019008,12.606789987817,15180,43.8160117,12.5894349,village,Sassocorvaro Auditore,41071,8479.203,727293
41067,Urbino,PSAA836046,URBINO PASCOLI - TRASANNI,VIA CRISTO RE,43.755763214276,12.665713943252,15180,43.8160117,12.5894349,village,Sassocorvaro Auditore,41071,11548.754,1062689
