from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
47024,San Marcello Piteglio,PTAA816011,ROLANDO PAPINI,VIALE VILLA VITTORIA,44.057320368206,10.791165088049,2723,44.1444997,10.6644636,village,Abetone Cutigliano,47023,20765.769,1187921
47024,San Marcello Piteglio,PTAA816077,CAMPO TIZZORO,VIA L. ORLANDO,44.038383634905,10.866459356304,2723,44.1444997,10.6644636,village,Abetone Cutigliano,47023,28232.111,1585479
47024,San Marcello Piteglio,PTAA816022,MARESCA,VIA DELLA VITTORIA 121/A,44.052610017384,10.850220020325,2723,44.1444997,10.6644636,village,Abetone Cutigliano,47023,26994.943,1676739
47024,San Marcello Piteglio,PTAA81201N,DIRE FARE... GIOCARE,VIA ALDO MORO 2,44.081575655032,10.775856360482,2723,44.1444997,10.6644636,village,Abetone Cutigliano,47023,17984.049,1028901
47023,Abetone Cutigliano,PTAA816044,BEATRICE DI PIAN DEGLI ONTANI,VIA FORESTALE 18/A,44.101939990233,10.722519965247,2723,44.1444997,10.6644636,village,Abetone Cutigliano,47023,10998.375,760698
47023,Abetone Cutigliano,PTAA816066,GIORGIO BRACCESI,VIA SOLFORINO 3,44.098450017208,10.757709960806,2723,44.1444997,10.6644636,village,Abetone Cutigliano,47023,14175.523,828572
47023,Abetone Cutigliano,PTAA816033,NORMA COSSETTO,VIA BRENNERO 241/A,44.143235978957,10.666385184852,2723,44.1444997,10.6644636,village,Abetone Cutigliano,47023,256.164,15576
47024,San Marcello Piteglio,PTAA816011,ROLANDO PAPINI,VIALE VILLA VITTORIA,44.057320368206,10.791165088049,2724,44.1000536,10.7557252,village,Abetone Cutigliano,47023,8909.185,549893
47024,San Marcello Piteglio,PTAA816077,CAMPO TIZZORO,VIA L. ORLANDO,44.038383634905,10.866459356304,2724,44.1000536,10.7557252,village,Abetone Cutigliano,47023,16375.528,947451
47024,San Marcello Piteglio,PTAA816022,MARESCA,VIA DELLA VITTORIA 121/A,44.052610017384,10.850220020325,2724,44.1000536,10.7557252,village,Abetone Cutigliano,47023,15138.36,1038711
47024,San Marcello Piteglio,PTAA81201N,DIRE FARE... GIOCARE,VIA ALDO MORO 2,44.081575655032,10.775856360482,2724,44.1000536,10.7557252,village,Abetone Cutigliano,47023,6127.465,390873
47023,Abetone Cutigliano,PTAA816044,BEATRICE DI PIAN DEGLI ONTANI,VIA FORESTALE 18/A,44.101939990233,10.722519965247,2724,44.1000536,10.7557252,village,Abetone Cutigliano,47023,4923.038,369313
47023,Abetone Cutigliano,PTAA816066,GIORGIO BRACCESI,VIA SOLFORINO 3,44.098450017208,10.757709960806,2724,44.1000536,10.7557252,village,Abetone Cutigliano,47023,341.11,40934
47023,Abetone Cutigliano,PTAA816033,NORMA COSSETTO,VIA BRENNERO 241/A,44.143235978957,10.666385184852,2724,44.1000536,10.7557252,village,Abetone Cutigliano,47023,13578.252,772062
47014,Pistoia,PTAA811063,VALDIBRANA,VIA MOLINUCCIO 2,43.969919986078,10.913310018793,2741,44.0282307,10.7657375,village,San Marcello Piteglio,47024,23052.804,1542766
47014,Pistoia,PTAA80902V,BADIA,VIA DI BADIA,43.907434909055,10.965974647382,2741,44.0282307,10.7657375,village,San Marcello Piteglio,47024,33075.921,2029267
47014,Pistoia,PTAA80903X,SCUOLA DELL'INFANZIA GIANNI ROD,VIA SAN SEBASTIANO,43.884987334776,10.960350589659,2741,44.0282307,10.7657375,village,San Marcello Piteglio,47024,33894.235,2133551
