from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
93033,Pordenone,PNAA83101L,PORDENONE-TORRE,VIALE DELLA LIBERTA' 104,45.965430017545,12.677359996679,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,7722.534,563302
93033,Pordenone,PNAA83002T,PORDENONE-VALLENONCELLO,VIA VALLE 83,45.925855230581,12.635444895873,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,12269.265,913835
93033,Pordenone,PNAA83003V,PN-VILLANOVA VIA ADA NEGRI,VIA ADA NEGRI,45.940872234645,12.666219298508,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,9676.461,841220
93033,Pordenone,PNAA83001R,PORDENONE-VIA MANTEGNA,VIA MANTEGNA 1,45.95338307245,12.673015008148,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,8333.765,639573
93033,Pordenone,PNAA833029,PORDENONE-VIA CAPPUCCINI,VIA CAPPUCCINI - P.TTA S.GOTTARDO 1,45.954371570259,12.649207542036,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,8077.103,624404
93033,Pordenone,PNAA83202D,PORDENONE-VIA BEATA DOMICILLA,VIA BEATA DOMICILLA,45.960701474187,12.668824989601,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,7706.303,602813
93033,Pordenone,PNAA83201C,"PORDENONE""VITTORIO EMANUELE II""",VIA MARTELLI 15,45.957789996619,12.663049992483,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,7969.236,619364
93033,Pordenone,PNAA833018,PORDENONE-VIA FIAMME GIALLE,VIA FIAMME GIALLE 3,45.96921000442,12.644260028677,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,5815.558,449263
93033,Pordenone,PN1A03000A,"SCUOLA INFANZIA PARITARIA ""SANTA MARIA GORETTI""",VIA MEDUNA 32,45.949790014862,12.676409991773,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,8743.447,686239
93033,Pordenone,PN1A029006,"SCUOLA INFANZIA PARITARIA ""SAN GIORGIO""",LARGO SAN GIORGIO 7/A,45.961389982124,12.658210030132,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,6722.64,531952
93033,Pordenone,PN1A032002,"SCUOLA INFANZIA PARITARIA ""SACRO CUORE""",PIAZZALE SACRO CUORE 4,45.973449990141,12.655139990456,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,5656.588,436190
93033,Pordenone,PN1A031006,"SCUOLA INFANZIA PARITARIA ""GIUSEPPE LOZER""",VIA VITTORIO VENETO 5,45.968980004997,12.681560000722,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,8053.562,608622
93033,Pordenone,PN1A03300T,"SCUOLA INFANZIA PARITARIA ""SANTA LUCIA""",VIA ASILO DI RORAI 3,45.964619990422,12.636390008329,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,6772.525,546905
93004,Aviano,PNAA80801G,"AVIANO ""ARCOBALENO""",VIA GIROLAMO DA PORCIA 5,46.068409996139,12.592749964722,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,7117.271,476056
93004,Aviano,PN1A00100A,"SCUOLA INFANZIA PARITARIA ""FERRANTE APORTI""",VIA PORDENONE N.2,46.060809998801,12.597250040899,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,6142.522,409539
93004,Aviano,PN1A002006,"SCUOLA INFANZIA PARITARIA ""MARIA IMMACOLATA""",VIA DELLA CHIESA 4,46.094949993349,12.594319979006,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,10586.024,711135
93032,Porcia,PNAA82201T,"PORCIA - PALSE ""MARIELE VENTRE""",VIA S. MARTINO 4,45.945729988602,12.604729967473,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,8281.176,660659
93032,Porcia,PNAA82202V,PORCIA - RORAIPICCOLO,VIA VITTORINO DA FELTRE 3,45.961820015666,12.625739962154,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,6591.819,516231
93032,Porcia,PNAA82203X,"PORCIA-S.ANTONIO ""BRUNO MUNARI""",VIA G. CARDUCCI 29,45.974030017841,12.612139988976,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,4389.744,362381
93032,Porcia,PN1A02700E,"SCUOLA INFANZIA PARITARIA ""MONUMENTO AI CADUTI""",CALLE DEL CARBON 2,45.959403429161,12.614479797247,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,6594.308,566834
93032,Porcia,PN1A3V5008,"SCUOLA INFANZIA PARITARIA ""MELARANCIA UN POSTO PER GIOCARE""",VIA CORRER 59,45.957889992724,12.621980008028,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,6918.637,585935
93022,Fontanafredda,PNAA81101B,"FONTANAFREDDA ""G.RODARI""",VIA ANELLO DEL SOLE 18,45.97981339232,12.573052275149,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,5827.255,455432
93022,Fontanafredda,PN1A01900G,"SCUOLA INFANZIA PARITARIA ""ANTO ZILLI""",VIALE EUROPA UNITA 10,45.977346512602,12.574952410086,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,5821.335,447620
93022,Fontanafredda,PN1A02000Q,"SCUOLA INFANZIA PARITARIA ""GIOVANNI GIOL""",VIA PAOLO VERONESE 1,45.993079988283,12.543929988772,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,7637.64,530156
93040,San Quirino,PN1A04200L,"SCUOLA INFANZIA PARITARIA ""SAN QUIRINO""",VIA GIUSEPPE VERDI 2,46.034680002385,12.674520040245,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,5625.409,386460
93036,Roveredo in Piano,PNAA82301N,ROVEREDO IN PIANO-CAP,VIA DON COJAZZI 2,46.006630005318,12.617510022883,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,758.79,72906
93036,Roveredo in Piano,PN1A036009,"SCUOLA INFANZIA PARITARIA ""SACRO CUORE""",VIA GARIBALDI 8,46.010420008567,12.619090011632,18040,46.0110584,12.6202908,village,Roveredo in Piano,93036,610.769,48860
93049,Vito d'Asio,PNAA813024,"VITO D'ASIO-CASIACCO ""MARIN""",PIAZZA VITTORIA 1,46.219929995118,12.953909995479,9317,46.1831041,12.9454483,village,Pinzano al Tagliamento,93030,4998.616,299926
93042,Sequals,PNAA813057,"CAVASSO NUOVO ""S.ANGELI CUSTODI",VIA RINASCITA 6,46.164730007837,12.832569960892,9317,46.1831041,12.9454483,village,Pinzano al Tagliamento,93030,11255.797,688020
93042,Sequals,PNAA813046,"SEQUALS-LESTANS ""MONUMENTO CAD.",VIA FRIULI 6,46.163179984392,12.889010008839,9317,46.1831041,12.9454483,village,Pinzano al Tagliamento,93030,6296.931,387324
93042,Sequals,PNAA813035,"SEQUALS-CAP. ""ALICE PELLARIN""",VIA ODORICO 15,46.161690017284,12.828749992339,9317,46.1831041,12.9454483,village,Pinzano al Tagliamento,93030,11348.923,706673
93044,Spilimbergo,PNAA826015,SPILIMBERGO - VIA CORRIDONI,VIA CORRIDONI 1,46.112845327959,12.901114592935,9317,46.1831041,12.9454483,village,Pinzano al Tagliamento,93030,10257.186,635322
93044,Spilimbergo,PN1A05100B,"SCUOLA INFANZIA PARITARIA ""DELLA DIVINA VOLONTA'""",VIA SAN PIO X N.1,46.111939985357,12.890399979842,9317,46.1831041,12.9454483,village,Pinzano al Tagliamento,93030,11430.806,710491
93044,Spilimbergo,PN1A05000G,"SCUOLA INFANZIA PARITARIA ""MARIA ASSUNTA""",VIA NAZIONALE 6,46.083930011878,12.869849984008,9317,46.1831041,12.9454483,village,Pinzano al Tagliamento,93030,14480.613,925484
93047,Travesio,PN1A052007,"SCUOLA INFANZIA PARITARIA ""SAN ANTONIO""",VIA ROMA 89,46.193220012911,12.870119965109,9317,46.1831041,12.9454483,village,Pinzano al Tagliamento,93030,10441.441,641142
93030,Pinzano al Tagliamento,PNAA813013,"PINZANO T.-VALERIANO ""TRIESTE""",VIA ROMA31,46.167761272675,12.923309131555,9317,46.1831041,12.9454483,village,Pinzano al Tagliamento,93030,3202.108,198124
93049,Vito d'Asio,PNAA813024,"VITO D'ASIO-CASIACCO ""MARIN""",PIAZZA VITTORIA 1,46.219929995118,12.953909995479,9318,46.1650579,12.8978405,village,Pinzano al Tagliamento,93030,10518.1,631869
93042,Sequals,PNAA813057,"CAVASSO NUOVO ""S.ANGELI CUSTODI",VIA RINASCITA 6,46.164730007837,12.832569960892,9318,46.1650579,12.8978405,village,Pinzano al Tagliamento,93030,5856.831,364856
93042,Sequals,PNAA813046,"SEQUALS-LESTANS ""MONUMENTO CAD.",VIA FRIULI 6,46.163179984392,12.889010008839,9318,46.1650579,12.8978405,village,Pinzano al Tagliamento,93030,897.966,64160
93042,Sequals,PNAA813035,"SEQUALS-CAP. ""ALICE PELLARIN""",VIA ODORICO 15,46.161690017284,12.828749992339,9318,46.1650579,12.8978405,village,Pinzano al Tagliamento,93030,5949.958,383509
93044,Spilimbergo,PNAA826015,SPILIMBERGO - VIA CORRIDONI,VIA CORRIDONI 1,46.112845327959,12.901114592935,9318,46.1650579,12.8978405,village,Pinzano al Tagliamento,93030,6283.963,507715
93044,Spilimbergo,PN1A05100B,"SCUOLA INFANZIA PARITARIA ""DELLA DIVINA VOLONTA'""",VIA SAN PIO X N.1,46.111939985357,12.890399979842,9318,46.1650579,12.8978405,village,Pinzano al Tagliamento,93030,7109.472,437060
93044,Spilimbergo,PN1A05000G,"SCUOLA INFANZIA PARITARIA ""MARIA ASSUNTA""",VIA NAZIONALE 6,46.083930011878,12.869849984008,9318,46.1650579,12.8978405,village,Pinzano al Tagliamento,93030,11081.239,718940
93047,Travesio,PN1A052007,"SCUOLA INFANZIA PARITARIA ""SAN ANTONIO""",VIA ROMA 89,46.193220012911,12.870119965109,9318,46.1650579,12.8978405,village,Pinzano al Tagliamento,93030,5042.476,317978
93030,Pinzano al Tagliamento,PNAA813013,"PINZANO T.-VALERIANO ""TRIESTE""",VIA ROMA31,46.167761272675,12.923309131555,9318,46.1650579,12.8978405,village,Pinzano al Tagliamento,93030,2501.29,156849
93049,Vito d'Asio,PNAA813024,"VITO D'ASIO-CASIACCO ""MARIN""",PIAZZA VITTORIA 1,46.219929995118,12.953909995479,9319,46.168289,12.9207289,village,Pinzano al Tagliamento,93030,8272.9,496957
93042,Sequals,PNAA813057,"CAVASSO NUOVO ""S.ANGELI CUSTODI",VIA RINASCITA 6,46.164730007837,12.832569960892,9319,46.168289,12.9207289,village,Pinzano al Tagliamento,93030,8078.524,497959
