from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
76063,Potenza,PZAA88801G,INF. VIA IONIO - IC MILANI PZ,VIA IONIO,40.6342632447,15.79011306006,11762,40.516615,15.924571,village,Anzi,76004,23968.746,1729270
76063,Potenza,PZAA89601E,VIA DOMENICO SAVIO-IC SAVIO PZ,VIA DOMENICO SAVIO,40.648185001057,15.796250033097,11762,40.516615,15.924571,village,Anzi,76004,25174.171,1812578
76063,Potenza,PZAA88804P,INF. ROSSELLINO - IC MILANI PZ,CONTRADA ROSSELLINO,40.623024726326,15.79966424973,11762,40.516615,15.924571,village,Anzi,76004,21054.358,1515977
76063,Potenza,PZAA880011,RIONE CASTELLO - IC LA VISTA PZ,VIA ROMA,40.642531617767,15.800797267099,11762,40.516615,15.924571,village,Anzi,76004,24624.043,1759022
76063,Potenza,PZAA87901R,PIAZZA ADRIATICO-SINISGALLI PZ,PIAZZA ADRIATICO,40.642121602634,15.788684383319,11762,40.516615,15.924571,village,Anzi,76004,24714.237,1787300
76063,Potenza,PZAA88805Q,INF. VIA TIRRENO - IC MILANI PZ,VIA TIRRENO 25,40.632080012295,15.791689984403,11762,40.516615,15.924571,village,Anzi,76004,23583.789,1703027
76063,Potenza,PZAA88304G,C.DA GIULIANO - BUSCIOLANO PZ,C.DA GIULIANO,40.682851646433,15.778428423803,11762,40.516615,15.924571,village,Anzi,76004,30756.493,2273783
76063,Potenza,PZAA87902T,MALVACCARO - IC SINISGALLI PZ,VIA ALIANELLO,40.655277434599,15.785841345378,11762,40.516615,15.924571,village,Anzi,76004,26485.693,1976969
76063,Potenza,PZAA88201L,RIONE LUCANIA - IC LEOPARDI PZ,VIA LACAVA - RIONE LUCANIA,40.63751231585,15.81409699855,11762,40.516615,15.924571,village,Anzi,76004,23611.683,1727321
76063,Potenza,PZAA886043,VIA DELLE ACACIE,VIA DELLA ACACIE,40.630616026921,15.801199443364,11762,40.516615,15.924571,village,Anzi,76004,23459.758,1740947
76063,Potenza,PZAA88302D,SAN NICOLA - IC BUSCIOLANO PZ,CONTRADA SAN NICOLA,40.73144722478,15.802691586004,11762,40.516615,15.924571,village,Anzi,76004,38374.787,2471394
76063,Potenza,PZAA88303E,VIA CALABRIA - IC BUSCIOLANO PZ,VIA CALABRIA,40.646985151782,15.801074627219,11762,40.516615,15.924571,village,Anzi,76004,25909.259,1873958
76063,Potenza,PZAA88301C,AVIGLIANO SCALO - IC BUSCIOLANO,AVIGLIANO SCALO,40.65954,15.792803263,11762,40.516615,15.924571,village,Anzi,76004,26688.261,1983277
76063,Potenza,PZAA88601X,VIA IV NOVEMBRE - IC TOR-BO. PZ,VIA IV NOVEMBRE,40.65954,15.792803263,11762,40.516615,15.924571,village,Anzi,76004,26688.261,1983277
76063,Potenza,PZ1A01500B,SANTA MARIA DELLA SPERANZA SCUOLA MATERNA PARITARIA SOC.,BUCALETTO,40.632680858843,15.834308859305,11762,40.516615,15.924571,village,Anzi,76004,24671.714,1741617
76063,Potenza,PZ1AH5500F,Scuola dell'infanzia paritaria l'isola che non c'è,Cda Scavoni snc,40.63723,15.79927,11762,40.516615,15.924571,village,Anzi,76004,24492.025,1825961
76063,Potenza,PZ1A01400G,"SCUOLA DELL'INFANZIA PARITARIA ""S. MADDALENA DI CANOSSA""POTENZA",VIA CICCOTTI 28,40.645920001271,15.804159993215,11762,40.516615,15.924571,village,Anzi,76004,25633.945,1840676
76063,Potenza,PZ1A017003,"SCUOLA MATERNA PARITARIA ""SACRO CUORE""POTENZA",VIALE MARCONI 59,40.636029984167,15.807470006779,11762,40.516615,15.924571,village,Anzi,76004,23841.173,1768254
76063,Potenza,PZ1A016007,IST.SUORE DISCEPOLE GESU' EUC.S.M.A.DE GASPERI,VIA PETRARCA 21,40.636319998017,15.805089965372,11762,40.516615,15.924571,village,Anzi,76004,24084.348,1802430
76063,Potenza,PZ1A046003,"SCUOLA MATERNA NON STATALE ""BERTAZZONI""POTENZA",VIA M. DEL LAVORO 13,40.644600019159,15.829309977512,11762,40.516615,15.924571,village,Anzi,76004,24628.71,1682318
76062,Pignola,PZAA85902L,PIGNOLA-CAPOLUOGO,VIA RISORGIMENTO 1,40.574709992192,15.784309970115,11762,40.516615,15.924571,village,Anzi,76004,22126.82,1429414
76062,Pignola,PZAA85903N,PIGNOLA-FRAZ. PANTANO,C/DA PANTANO,40.563068263459,15.762549938587,11762,40.516615,15.924571,village,Anzi,76004,24724.491,1724429
