from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
100001,Cantagallo,POAA80703E,CANTAGALLO - MIGLIANA,FRAZ. MIGLIANA 13 -USELLA,43.995480013078,11.102789980873,699,44.063610600000004,11.15206289563806,village,Vernio,100007,14650.054,1205627
100001,Cantagallo,POAA811036,IL CASTAGNO,VIA VERDI S.N.C.,44.027448935824,11.106165252293,699,44.063610600000004,11.15206289563806,village,Vernio,100007,10340.771,600806
100001,Cantagallo,POAA80704G,CANTAGALLO-FRAZ. CARMIGNANELLO,FRAZ. CARMIGNANELLO 1 - USELLA,43.997257743937,11.139819905363,699,44.063610600000004,11.15206289563806,village,Vernio,100007,11190.567,693639
100007,Vernio,POAA811058,PICCOLO SOLE,VIA DELL'APPENNINO 45,44.092013340015,11.161279549027,699,44.063610600000004,11.15206289563806,village,Vernio,100007,5354.087,405867
100007,Vernio,POAA811014,IL BOSCHETTO,VIA DELLA PIEVE 39,44.032480332657,11.143716259714,699,44.063610600000004,11.15206289563806,village,Vernio,100007,7046.875,492873
100007,Vernio,POAA811047,L'ORTO MAGICO,VIA DI POGGIOLE 32/A,44.047150003746,11.151729985677,699,44.063610600000004,11.15206289563806,village,Vernio,100007,4473.644,252134
100001,Cantagallo,POAA80703E,CANTAGALLO - MIGLIANA,FRAZ. MIGLIANA 13 -USELLA,43.995480013078,11.102789980873,700,44.0425357,11.14971774725511,village,Vernio,100007,10022.209,949147
100001,Cantagallo,POAA811036,IL CASTAGNO,VIA VERDI S.N.C.,44.027448935824,11.106165252293,700,44.0425357,11.14971774725511,village,Vernio,100007,5712.926,344326
100001,Cantagallo,POAA80704G,CANTAGALLO-FRAZ. CARMIGNANELLO,FRAZ. CARMIGNANELLO 1 - USELLA,43.997257743937,11.139819905363,700,44.0425357,11.14971774725511,village,Vernio,100007,6151.672,414392
100007,Vernio,POAA811058,PICCOLO SOLE,VIA DELL'APPENNINO 45,44.092013340015,11.161279549027,700,44.0425357,11.14971774725511,village,Vernio,100007,10368.357,683757
