from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
39012,Lugo,RAAA81403C,FONDO STILIANO,VIA PIER GOBETTI 4,44.414239979542,11.901340015187,14661,44.447386,11.8260915,town,Massa Lombarda,39013,8983.054,612243
39012,Lugo,RAAA815016,"""LA FILASTROCCA""",VIALE ORSINI 14,44.414690003923,11.913079960231,14661,44.447386,11.8260915,town,Massa Lombarda,39013,9270.161,663828
39012,Lugo,RAAA815027,A.M. FORBICINI,VIA SAN POTITO 36,44.431629997879,11.938260035561,14661,44.447386,11.8260915,town,Massa Lombarda,39013,11670.691,772771
39012,Lugo,RAAA81401A,VOLTANA,VIA QUARTO DEI MILLE 16,44.541280001654,11.937650000647,14661,44.447386,11.8260915,town,Massa Lombarda,39013,19149.291,1363905
39012,Lugo,RA1A04300X,VINCENZO CAPUCCI,VIALE GHERARDI 6,44.417209981204,11.915840037128,14661,44.447386,11.8260915,town,Massa Lombarda,39013,9806.461,653711
39012,Lugo,RA1A04900V,MOSIGNOR TOMMASO EMALDI,VIA FRATELLI MALERBI 19,44.416560006522,11.905080020384,14661,44.447386,11.8260915,town,Massa Lombarda,39013,8769.891,603796
39012,Lugo,RA1A05100V,DON GIUSEPPE GALASSI,VIA DEI BARTOLOTTI 11,44.475489982625,11.895579971324,14661,44.447386,11.8260915,town,Massa Lombarda,39013,9385.973,614438
39012,Lugo,RA1A050003,SACRO CUORE,VIA FRATELLI MALERBI 19,44.416560006522,11.905080020384,14661,44.447386,11.8260915,town,Massa Lombarda,39013,8769.891,603796
39012,Lugo,RA1A013004,DON EVARISTO VENTURINI,VIA BASTIA 272,44.537359995086,11.881369963233,14661,44.447386,11.8260915,town,Massa Lombarda,39013,15571.21,837470
39012,Lugo,RA1A035001,SAN GIUSEPPE,VIA EMALDI 13,44.419589980701,11.908420041161,14661,44.447386,11.8260915,town,Massa Lombarda,39013,8671.818,607334
39012,Lugo,RA1A05900D,BARTOLOMEO FABBRI,VIA VILLA105,44.415950013518,11.873370023385,14661,44.447386,11.8260915,town,Massa Lombarda,39013,8414.656,532097
39008,Conselice,RAAA808024,"""MARIA FONTANA""",LARGO LAVEZZOLI 1,44.524025,11.825517008,14661,44.447386,11.8260915,town,Massa Lombarda,39013,13533.202,1087219
39008,Conselice,RAAA808013,"""REGINA MARGHERITA""",PIAZZA GRAMSCI 2,44.514449990594,11.830860027965,14661,44.447386,11.8260915,town,Massa Lombarda,39013,10409.816,601182
39017,Sant'Agata sul Santerno,RA1A03100N,ASILO AZZAROLI,VIA GIUSEPPE MAZZINI 31,44.441269982812,11.863049972739,14661,44.447386,11.8260915,town,Massa Lombarda,39013,4148.943,245603
39013,Massa Lombarda,RAAA81402B,"""G.RIGHINI RICCI""- S.BERNARDINO",VIA STRADONE 15,44.497279997215,11.776939999208,14661,44.447386,11.8260915,town,Massa Lombarda,39013,9955.391,717043
39013,Massa Lombarda,RA1A027002,S. FRANCESCO DI SALES,VIA G.BATTISTA BASSI 15,44.44526002018,11.828719960446,14661,44.447386,11.8260915,town,Massa Lombarda,39013,718.301,84235
39013,Massa Lombarda,RA1A069004,"""PUERIS SACRUM""",VIA S.ANTONIO4,44.440629982595,11.827350022191,14661,44.447386,11.8260915,town,Massa Lombarda,39013,1108.219,132985
39013,Massa Lombarda,RA1A026006,SAN GIACOMO,VIA MAMELI 31,44.451320010448,11.805200004859,14661,44.447386,11.8260915,town,Massa Lombarda,39013,1889.711,136808
39004,Brisighella,RAAA807017,"MARZENO ""CADUTI DI CEFALONIA""",VIA ETTORE BENDANDI 18,44.22361,11.77577,1850,44.2676369,11.6950885,village,Riolo Terme,39015,14981.349,1138162
39004,Brisighella,RAAA807039,"""CICOGNANI""",VIA F.LLI CICOGNANI 58,44.22189998637,11.768460027766,1850,44.2676369,11.6950885,village,Riolo Terme,39015,14898.237,1093193
39004,Brisighella,RAAA807028,"""S.MARTINO IN GATTARA""",VIALE STAZIONE 11,44.2032999984,11.730350028598,1850,44.2676369,11.6950885,village,Riolo Terme,39015,17143.074,1367055
39004,Brisighella,RA1A1S5006,LA FARFALLA,VIA A. SAFFI N.2,44.206480008646,11.73747003625,1850,44.2676369,11.6950885,village,Riolo Terme,39015,18273.941,1293928
39006,Castel Bolognese,RAAA81801N,CAPOLUOGO,VIA GRAMSCI 7O,44.316218719607,11.795613370657,1850,44.2676369,11.6950885,village,Riolo Terme,39015,11432.609,764354
39006,Castel Bolognese,RA1A00300D,SAN GIUSEPPE,PIAZZALE CAPPUCCINI 1,44.318130018338,11.794669987538,1850,44.2676369,11.6950885,village,Riolo Terme,39015,11333.697,756693
39010,Faenza,RAAA822019,GIARDINO DEI SOGNI,VIA LAGHI N.71,44.294064807663,11.876902834281,1850,44.2676369,11.6950885,village,Riolo Terme,39015,19420.663,1264758
39010,Faenza,RAAA81702V,"""G.RODARI""",VIA CORLETO 51,44.257137867592,11.956838668777,1850,44.2676369,11.6950885,village,Riolo Terme,39015,26957.581,1694047
39010,Faenza,RAAA80902X,ARCOBALENO,VIA CA' DEL PINO 7,44.259280005591,11.868569958894,1850,44.2676369,11.6950885,village,Riolo Terme,39015,22752.672,1449380
39010,Faenza,RAAA80901V,"""IL PANDA""",VIA DONATINI 19,44.28456708228,11.860498541313,1850,44.2676369,11.6950885,village,Riolo Terme,39015,19808.68,1285148
39010,Faenza,RAAA823015,STELLA POLARE,VIA RAVEGNANA 73/A,44.297898165966,11.891530202763,1850,44.2676369,11.6950885,village,Riolo Terme,39015,20986.527,1323012
39010,Faenza,RAAA82202A,"""IL GIRASOLE""",VIA CALAMELLI 5,44.295305,11.893634577,1850,44.2676369,11.6950885,village,Riolo Terme,39015,21238.819,1357631
39010,Faenza,RAAA81701T,"""CHARLOT""",VIA RICCIONE 4,44.280860011597,11.899509994266,1850,44.2676369,11.6950885,village,Riolo Terme,39015,21769.372,1387369
39010,Faenza,RA1A041008,"""BEATA MARGHERITA DA FAENZA""",VIA BONDIOLO N.38,44.282400018667,11.880830001031,1850,44.2676369,11.6950885,village,Riolo Terme,39015,20336.492,1337108
39010,Faenza,RA1A02900N,"""ADELAIDE BERTI""",VIALE DONATI 6,44.28967225839,11.871728803144,1850,44.2676369,11.6950885,village,Riolo Terme,39015,18957.957,1208127
39010,Faenza,RA1A033009,"""SACRO CUORE""",VIA GIOVANNI PAOLO II 58,44.301689949367,11.89470671622,1850,44.2676369,11.6950885,village,Riolo Terme,39015,21612.183,1364935
