from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
80028,Cittanova,RCAA84701V,CITTANOVA FRAZ. SAN PIETRO,C.DA SAN PIETRO,38.412028891529,16.012034474596,11607,38.3084453,16.0318619,village,Molochio,80051,16397.239,1249824
80028,Cittanova,RCAA847031,CITTANOVA SCOPELLITI,VIA S. COSMA,38.351381854872,16.080675846307,11607,38.3084453,16.0318619,village,Molochio,80051,12835.339,847003
80028,Cittanova,RCAA847042,CITTANOVA S. ANTONIO,PROLUNG.TO CORSO ITALIA,38.352983669942,16.081934759644,11607,38.3084453,16.0318619,village,Molochio,80051,13013.916,860570
80028,Cittanova,RCAA84702X,CITTANOVA FALCONE E BORSELLINO,VIA GIOVANNI ALESSIO,38.349792009023,16.078664423527,11607,38.3084453,16.0318619,village,Molochio,80051,12583.44,875028
80028,Cittanova,RC1A16800A,SCUOLA INFANZIA PARITARIA PADRE VINCENZO IDA',VIA PIEMONTE 4,38.357309987004,16.080359963738,11607,38.3084453,16.0318619,village,Molochio,80051,13072.214,873741
80026,Ciminà,RCAA81512X,SCUOLA DELL'INFANZIA CIMINA',RIONE CACIA,38.244702143015,16.138977118961,11607,38.3084453,16.0318619,village,Molochio,80051,25687.364,1829437
80093,Taurianova,RCAA86403P,TAURIANOVA ZACCHERIA,VIA DELLA FIERA,38.352609455662,16.01516644884,11607,38.3084453,16.0318619,village,Molochio,80051,8138.265,601355
80093,Taurianova,RCAA86401L,TAURIANOVA CANORO V.DE GASPERI,PIAZZA ALDO MORO,38.355619963597,16.012464981961,11607,38.3084453,16.0318619,village,Molochio,80051,8677.684,663168
80093,Taurianova,RCAA874017,"SCUOLA MATERNA ST. ""S.MARTINO""",VIA GIOVANNI XXIII,38.361435607694,15.975194863079,11607,38.3084453,16.0318619,village,Molochio,80051,11095.034,815572
80093,Taurianova,RCAA86402N,TAURIANOVA S.GIOVANNI DE'ROSSI,PIAZZA ALDO MORO,38.355619963597,16.012464981961,11607,38.3084453,16.0318619,village,Molochio,80051,8677.684,663168
80093,Taurianova,RCAA874039,"SCUOLA MATERNA ST.""IATRINOLI""",VIA 8 SETTEMBRE,38.355042631241,16.012976277799,11607,38.3084453,16.0318619,village,Molochio,80051,8574.189,650748
80093,Taurianova,RCAA874028,"SCUOLA MATERNA ST. ""GIOVINAZZO""",VIA CORRADO ALVARO 1,38.354540019461,16.012460010132,11607,38.3084453,16.0318619,village,Molochio,80051,8345.137,666282
80093,Taurianova,RC1A19100B,"SCUOLA MATERNA ""INFANZIA 2000"" COOPERATIVA SOCIALE",VIA S.ANNA FONDO FALCONE 14/A,38.359222690008,16.021858622756,11607,38.3084453,16.0318619,village,Molochio,80051,9402.655,689200
80095,Varapodio,RCAA832026,VARAPODIO VIA OGNISSANTI,VIA OGNISSANTI,38.318847947849,15.986183914791,11607,38.3084453,16.0318619,village,Molochio,80051,8592.009,642688
80051,Molochio,RCAA832015,MOLOCHIO C.DA MICELI VPROV.LE,VIA PROVINCIALE,38.322511383551,16.021615399495,11607,38.3084453,16.0318619,village,Molochio,80051,2173.718,184823
80028,Cittanova,RCAA84701V,CITTANOVA FRAZ. SAN PIETRO,C.DA SAN PIETRO,38.412028891529,16.012034474596,11608,38.2814678,16.051178,village,Molochio,80051,26480.612,1977984
80028,Cittanova,RCAA847031,CITTANOVA SCOPELLITI,VIA S. COSMA,38.351381854872,16.080675846307,11608,38.2814678,16.051178,village,Molochio,80051,22918.712,1575163
80028,Cittanova,RCAA847042,CITTANOVA S. ANTONIO,PROLUNG.TO CORSO ITALIA,38.352983669942,16.081934759644,11608,38.2814678,16.051178,village,Molochio,80051,23097.29,1588730
80028,Cittanova,RCAA84702X,CITTANOVA FALCONE E BORSELLINO,VIA GIOVANNI ALESSIO,38.349792009023,16.078664423527,11608,38.2814678,16.051178,village,Molochio,80051,22666.813,1603188
80028,Cittanova,RC1A16800A,SCUOLA INFANZIA PARITARIA PADRE VINCENZO IDA',VIA PIEMONTE 4,38.357309987004,16.080359963738,11608,38.2814678,16.051178,village,Molochio,80051,23155.587,1601901
80026,Ciminà,RCAA81512X,SCUOLA DELL'INFANZIA CIMINA',RIONE CACIA,38.244702143015,16.138977118961,11608,38.2814678,16.051178,village,Molochio,80051,16070.122,1140749
80093,Taurianova,RCAA86403P,TAURIANOVA ZACCHERIA,VIA DELLA FIERA,38.352609455662,16.01516644884,11608,38.2814678,16.051178,village,Molochio,80051,18221.638,1329515
80093,Taurianova,RCAA86401L,TAURIANOVA CANORO V.DE GASPERI,PIAZZA ALDO MORO,38.355619963597,16.012464981961,11608,38.2814678,16.051178,village,Molochio,80051,18761.057,1391328
80093,Taurianova,RCAA874017,"SCUOLA MATERNA ST. ""S.MARTINO""",VIA GIOVANNI XXIII,38.361435607694,15.975194863079,11608,38.2814678,16.051178,village,Molochio,80051,21178.407,1543732
80093,Taurianova,RCAA86402N,TAURIANOVA S.GIOVANNI DE'ROSSI,PIAZZA ALDO MORO,38.355619963597,16.012464981961,11608,38.2814678,16.051178,village,Molochio,80051,18761.057,1391328
80093,Taurianova,RCAA874039,"SCUOLA MATERNA ST.""IATRINOLI""",VIA 8 SETTEMBRE,38.355042631241,16.012976277799,11608,38.2814678,16.051178,village,Molochio,80051,18657.563,1378908
80093,Taurianova,RCAA874028,"SCUOLA MATERNA ST. ""GIOVINAZZO""",VIA CORRADO ALVARO 1,38.354540019461,16.012460010132,11608,38.2814678,16.051178,village,Molochio,80051,18428.51,1394442
80093,Taurianova,RC1A19100B,"SCUOLA MATERNA ""INFANZIA 2000"" COOPERATIVA SOCIALE",VIA S.ANNA FONDO FALCONE 14/A,38.359222690008,16.021858622756,11608,38.2814678,16.051178,village,Molochio,80051,19486.028,1417360
80095,Varapodio,RCAA832026,VARAPODIO VIA OGNISSANTI,VIA OGNISSANTI,38.318847947849,15.986183914791,11608,38.2814678,16.051178,village,Molochio,80051,16884.769,1272542
80051,Molochio,RCAA832015,MOLOCHIO C.DA MICELI VPROV.LE,VIA PROVINCIALE,38.322511383551,16.021615399495,11608,38.2814678,16.051178,village,Molochio,80051,12257.091,912983
80063,Reggio di Calabria,RCAA875068,FRAZ CANNAVO',VIA VALLONE MANTI,38.104464334113,15.693442007424,11662,38.216069,15.659192,village,Campo Calabro,80018,17672.455,1192343
80063,Reggio di Calabria,RCAA875046,FRAZ.MOSORROFA VIA PROVINCIALE,VIA SCALEA,38.097048208244,15.722432108331,11662,38.216069,15.659192,village,Campo Calabro,80018,22039.682,1561578
80063,Reggio di Calabria,RCAA806158,CONDERA,RIONE CONDERA,38.10534,15.640221106,11662,38.216069,15.659192,village,Campo Calabro,80018,15126.025,982601
80063,Reggio di Calabria,RCAA85701D,SAN GIOVANNELLO,VALLONE MARIANNAZZO,38.110006990248,15.671302477611,11662,38.216069,15.659192,village,Campo Calabro,80018,14452.788,960344
80063,Reggio di Calabria,RCAA87105X,TRAPEZI CROCE VALANIDI,VIA TRAPEZI -,38.060310344119,15.66181615956,11662,38.216069,15.659192,village,Campo Calabro,80018,19535.435,1207747
80063,Reggio di Calabria,RCAA804077,INFANZIA GALLICO MARINA,RIONE COMI,38.165971674701,15.647062930216,11662,38.216069,15.659192,village,Campo Calabro,80018,7248.0,603203
80063,Reggio di Calabria,RCAA868021,CATONA MARINA VIA BARACCAMENTO,VIA BARACCAMENTO 11/A,38.183200004596,15.641459960324,11662,38.216069,15.659192,village,Campo Calabro,80018,5025.981,500546
80063,Reggio di Calabria,RCAA86901Q,SCUOLA MATERNA RAVAGNESE,VIA II TRAV SCAGLIOLA N.7,38.074725,15.694628302,11662,38.216069,15.659192,village,Campo Calabro,80018,21423.859,1524720
80063,Reggio di Calabria,RCAA80707P,MALARA DI TRUNCA,VIA S.ANNA AL SOCCORSO,38.104141339364,15.664880574938,11662,38.216069,15.659192,village,Campo Calabro,80018,14937.736,952439
80063,Reggio di Calabria,RCAA80710V,SANTA VENERE,VIA R. VALANIDI - SANTA VENERE 54 -56,38.058733681324,15.752646031645,11662,38.216069,15.659192,village,Campo Calabro,80018,32068.81,2179565
80063,Reggio di Calabria,RCAA875024,CATAFORIO VIA BORELLI,VIA BORELLI,38.087888986914,15.717327381802,11662,38.216069,15.659192,village,Campo Calabro,80018,22663.086,1724830
80063,Reggio di Calabria,RCAA80706N,FRAZ.OLIVETO,VIA PROVINCIALE 172 - OLIVETO,38.130081913563,15.654662529274,11662,38.216069,15.659192,village,Campo Calabro,80018,11235.479,790751
80063,Reggio di Calabria,RCAA809036,PLESSO RC DE AMICIS,Non Disponibile,38.10534,15.640221106,11662,38.216069,15.659192,village,Campo Calabro,80018,15126.025,982601
80063,Reggio di Calabria,RCAA875079,S SPERATO VIA COMUNALE,VIA COMUNALE,38.147983741859,15.660514819439,11662,38.216069,15.659192,village,Campo Calabro,80018,9109.423,667163
80063,Reggio di Calabria,RCAA868054,LOC.VILLA S.GIUSEPPE,VIA DEI MONTI,38.186941695081,15.691067346646,11662,38.216069,15.659192,village,Campo Calabro,80018,8246.688,911724
80063,Reggio di Calabria,RCAA86801X,"SCUOLA MATERNA ""CATONA CENTRO""",VIA FIGURELLA,38.18867296368,15.646861519075,11662,38.216069,15.659192,village,Campo Calabro,80018,4628.471,439785
80063,Reggio di Calabria,RCAA806125,SPIRITO SANTO,VIA MURO ROTTO,38.103235,15.661651684,11662,38.216069,15.659192,village,Campo Calabro,80018,14976.169,964517
80063,Reggio di Calabria,RCAA87001X,TRAVERSA SOCCORSO,VIA S. ANNA 9,38.103040008854,15.649220010102,11662,38.216069,15.659192,village,Campo Calabro,80018,15535.54,1036257
80063,Reggio di Calabria,RCAA80709R,TERRETI,VIA REGGIO CAMPI 65 - TERRETI,38.119507422117,15.713415732355,11662,38.216069,15.659192,village,Campo Calabro,80018,20101.407,1326242
80063,Reggio di Calabria,RCAA80708Q,SCUOLA INFANZIA ARANGEA,VIA ARANGEA TRAV. GENOESE,38.089021284815,15.670576215271,11662,38.216069,15.659192,village,Campo Calabro,80018,17833.501,1126019
80063,Reggio di Calabria,RCAA804044,LOC.PIETRA DELLA ZITA,VIA A GARIBALDI TRAV ITRIA1 GALLICO,38.170560010788,15.662830041564,11662,38.216069,15.659192,village,Campo Calabro,80018,7742.936,614728
80063,Reggio di Calabria,RCAA809047,VICO GRAZIELLA,Non Disponibile,38.08826,15.649901982,11662,38.216069,15.659192,village,Campo Calabro,80018,17613.04,1148589
80063,Reggio di Calabria,RCAA871061,POLO LUME,VIA SOTTOLUME PELLARO,38.022156283942,15.648056818682,11662,38.216069,15.659192,village,Campo Calabro,80018,24528.561,1470877
80063,Reggio di Calabria,RCAA87301B,PRINCIPE DI PIEMONTE,VIA POSSIDONEA 65,38.106119981085,15.645810000433,11662,38.216069,15.659192,village,Campo Calabro,80018,14943.476,965211
80063,Reggio di Calabria,RCAA804099,GALLICO SUPERIORE V.S.DOMENICA,VIA S.DOMENICA DI GALLICO,38.181073125618,15.673414016641,11662,38.216069,15.659192,village,Campo Calabro,80018,9321.862,783635
80063,Reggio di Calabria,RCAA804088,GALLICO PASSO CARACCIOLO,PIAZZA POSTA,38.198922651989,15.683235001113,11662,38.216069,15.659192,village,Campo Calabro,80018,4091.996,497404
80063,Reggio di Calabria,RCAA86903T,LOC. SARACINELLO,VIA LAGANI 1,38.060774435306,15.666633932537,11662,38.216069,15.659192,village,Campo Calabro,80018,19833.079,1296138
80063,Reggio di Calabria,RCAA80702D,SCUOLA DELL'INFANZIA,VIA BARACCONE 18,38.087409980636,15.680029958338,11662,38.216069,15.659192,village,Campo Calabro,80018,19685.906,1275784
80063,Reggio di Calabria,RCAA867025,CARDUCCI,VIA MICELI,38.119457607064,15.654266596604,11662,38.216069,15.659192,village,Campo Calabro,80018,12843.503,818792
80063,Reggio di Calabria,RCAA805062,"""SANTA CATERINA""",VIA MONTELLO N. 7,38.125790002814,15.65575001559,11662,38.216069,15.659192,village,Campo Calabro,80018,11995.127,755360
80063,Reggio di Calabria,RCAA867014,TREMULINI MELISSARI,VIA MELISSARI,38.119429982323,15.662944999367,11662,38.216069,15.659192,village,Campo Calabro,80018,12804.44,823139
80063,Reggio di Calabria,RCAA868032,SALICE VIA CARCARA,VIA CARCARA,38.18415,15.668681663,11662,38.216069,15.659192,village,Campo Calabro,80018,7560.518,689507
80063,Reggio di Calabria,RCAA84203T,RIONE S.GIORGIO EXTRA,VIA PIO UNDICESIMO 164,38.098180013755,15.650500010536,11662,38.216069,15.659192,village,Campo Calabro,80018,16014.499,1066918
80063,Reggio di Calabria,RCAA84202R,RIONE MODENA CENTRO,VIA MODENA PIAZZETTA,38.094670108694,15.646229472662,11662,38.216069,15.659192,village,Campo Calabro,80018,16717.191,1080949
80063,Reggio di Calabria,RCAA87103T,PELLARO C.DA PANTANELLO SS 106,VIA FOSSE DI COMI,38.035390177893,15.664080034785,11662,38.216069,15.659192,village,Campo Calabro,80018,22812.401,1436122
80063,Reggio di Calabria,RCAA80410B,LOC.SAMBATELLO,VIA PRETE MAIO,38.178449486845,15.69096565333,11662,38.216069,15.659192,village,Campo Calabro,80018,12052.122,924255
