from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
57059,Rieti,RIAA828012,G. RODARI,VIA RENZO DE FELICE,42.414068369614,12.89385726393,15959,42.516434,12.854977,village,Rivodutri,57060,18401.175,1098554
57059,Rieti,RIAA81602R,"SCUOLA MATERNA ""DE JULIIS""",VIALE DE JULIIS,42.415520014435,12.860485009318,15959,42.516434,12.854977,village,Rivodutri,57060,14852.801,870146
57059,Rieti,RIAA810073,BELMONTE - CAPOLUOGO,VIA COLLE CATINO,42.345319245828,12.853326546321,15959,42.516434,12.854977,village,Rivodutri,57060,23044.031,1402327
57059,Rieti,RIAA81601Q,VIA FASSINI,VIA FASSINI,42.416703035859,12.852188951036,15959,42.516434,12.854977,village,Rivodutri,57060,15702.707,904028
57059,Rieti,RIAA82104A,PIAZZA TEVERE,VIA ISONZO 87,42.409107397501,12.880637661033,15959,42.516434,12.854977,village,Rivodutri,57060,16843.111,1013947
57059,Rieti,RIAA828034,DON BOSCO,VIA AMELOTTI,42.409481912473,12.896467784949,15959,42.516434,12.854977,village,Rivodutri,57060,18392.636,1109124
57059,Rieti,RIAA822057,SCUOLA INFANZIA E. MARAINI,VIALE MARAINI N.11,42.406679998341,12.856779998567,15959,42.516434,12.854977,village,Rivodutri,57060,15371.252,883777
57059,Rieti,RIAA821039,"""DI MARZIO LORENZO""",PIAZZA XI GIUGNO,42.392468520619,12.793371472777,15959,42.516434,12.854977,village,Rivodutri,57060,22330.454,1368566
57059,Rieti,RIAA821017,BORGO S.ANTONIO,VIA DELLA CAVATELLA,42.39872,12.86418,15959,42.516434,12.854977,village,Rivodutri,57060,17204.488,975810
57059,Rieti,RIAA828023,FRAZ. VAZIA,VIA F. M. MALFATTI,42.43440868679,12.913309703261,15959,42.516434,12.854977,village,Rivodutri,57060,15879.359,1074140
57059,Rieti,RIAA82901T,BORGO S.LUCIA,Non Disponibile,42.39458,12.847634343,15959,42.516434,12.854977,village,Rivodutri,57060,18133.957,1086156
57059,Rieti,RIAA822013,SCUOLA DELL'INFANZIA SACCHETTI,PIAZZA MAZZINI 7,42.404900017383,12.862959975779,15959,42.516434,12.854977,village,Rivodutri,57060,16129.509,935633
57059,Rieti,RIAA822024,SCUOLA INFANZIA QUATTROSTRADE,VIA LAMA,42.434194314425,12.858570197503,15959,42.516434,12.854977,village,Rivodutri,57060,12636.205,825825
57059,Rieti,RIAA822046,SCUOLA INFANZIA A.C. MARINI,VIA DEI MILLE 1,42.407319998558,12.851130009094,15959,42.516434,12.854977,village,Rivodutri,57060,15746.33,940078
57059,Rieti,RIAA822035,SCUOLA INFANZIA MARCONI,VIALE EMILIO MARAINI 1,42.405360016229,12.856989965242,15959,42.516434,12.854977,village,Rivodutri,57060,15518.28,892599
57059,Rieti,RI1A9U5005,E. MARAINI,V.LE E. MARAINI 11,42.406679998341,12.856779998567,15959,42.516434,12.854977,village,Rivodutri,57060,15371.252,883777
57059,Rieti,RI1A011006,"SCUOLA MATERNA ""DIVINO AMORE""",VIA DELLE MOLINA N.22,42.406009990911,12.850909984135,15959,42.516434,12.854977,village,Rivodutri,57060,15907.183,942520
57059,Rieti,RI1A018001,BAMBIN GESU,VIA GARIBALDI,42.403941338105,12.866190998802,15959,42.516434,12.854977,village,Rivodutri,57060,16541.58,987555
57059,Rieti,RI1A025004,"""SANTA LUCIA""",PIAZZA BEATA COLOMBA 11,42.402959983984,12.856180021938,15959,42.516434,12.854977,village,Rivodutri,57060,16402.637,969932
57022,Colli sul Velino,RIAA806015,COLLI SUL VELINO,VIA DANTE ALIGHIERI,42.498729253542,12.781251589757,15959,42.516434,12.854977,village,Rivodutri,57060,10236.63,562023
57051,Poggio Bustone,RIAA806048,"""PADRE DON MINOZZI""",LOCALITA' BORGO SAN PIETRO,42.495987950677,12.882517568041,15959,42.516434,12.854977,village,Rivodutri,57060,4422.185,291620
57033,Leonessa,RIAA806026,LEONESSA,VIALE ALDO MORO 8,42.573724408078,12.964137568896,15959,42.516434,12.854977,village,Rivodutri,57060,21601.934,1277978
57060,Rivodutri,RIAA806037,FRAZ. VILLAGGIO S. MARIA,VILLAGGIO S. MARIA,42.495398108372,12.844957208768,15959,42.516434,12.854977,village,Rivodutri,57060,3876.35,240703
57069,Torricella in Sabina,RIAA81001R,"""GLI ANGELI DI S. GIULIANO""",VIA S. MARIA,42.263841640571,12.86841563307,888,42.3441469,12.853992636236969,village,Rieti,57059,12278.425,775809
57025,Contigliano,RIAA82301V,CONTIGLIANO,VIA DELLA REPUBBLICA23,42.414570009529,12.76876004076,888,42.3441469,12.853992636236969,village,Rieti,57059,13401.788,736482
57043,Monte San Giovanni in Sabina,RIAA823031,Non Disponibile,Non Disponibile,42.32132,12.751401095,888,42.3441469,12.853992636236969,village,Rieti,57059,28198.868,2170583
57016,Cittaducale,RIAA82002C,FRAZ. S. RUFINA,VIA 20 SETTEMBRE,42.407829832923,12.930827326253,888,42.3441469,12.853992636236969,village,Rieti,57059,13773.835,841847
57016,Cittaducale,RIAA82001B,FRAZ. GROTTI,VIA 8 MARZO,42.38653,12.94525,888,42.3441469,12.853992636236969,village,Rieti,57059,15089.437,772749
57016,Cittaducale,RIAA82003D,CITTADUCALE,VIA CAVALIERI DI VITTORIO VENETO N.2,42.387160012679,12.94817995883,888,42.3441469,12.853992636236969,village,Rieti,57059,15497.887,810764
57016,Cittaducale,RI1A01900R,"SCUOLA MATERNA ""SANTA CHIARA""",VIA DON G.MINOZZI23,42.408715481496,12.931457738382,888,42.3441469,12.853992636236969,village,Rieti,57059,13723.827,835846
