from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
65002,Agropoli,SAAA8A4027,BIVIO MATTINE,VIA MATTINE,40.387365874188,15.02706100712,13398,40.424407,15.080854,town,Capaccio Paestum,65025,7996.287,891338
65002,Agropoli,SAAA099039,AGROPOLI - CENTRO,CORSO EUROPA,40.350616439519,14.991610188118,13398,40.424407,15.080854,town,Capaccio Paestum,65025,16446.711,1431881
65002,Agropoli,SAAA8A406B,S.MARCO - VIA G.VERGA,VIA VERGA SNC,40.357150116781,14.999442657785,13398,40.424407,15.080854,town,Capaccio Paestum,65025,14952.349,1230767
65002,Agropoli,SAAA8A4016,MADONNA DEL CARMINE,VIA CANNETIELLO,40.329927125154,15.015151342339,13398,40.424407,15.080854,town,Capaccio Paestum,65025,18633.061,1489041
65002,Agropoli,SAAA8A4038,S.MARCO VIA G. SELVI,VIA P. G. SELVI,40.355893392393,15.001533675515,13398,40.424407,15.080854,town,Capaccio Paestum,65025,15017.636,1220243
65002,Agropoli,SAAA099017,A. MOZZILLO,PIAZZA GORGA,40.349892767,15.001,13398,40.424407,15.080854,town,Capaccio Paestum,65025,15737.229,1301512
65002,Agropoli,SAAA099028,A.CAFARELLI,VIA ISCALONGA,40.337320384783,14.985937674389,13398,40.424407,15.080854,town,Capaccio Paestum,65025,18358.612,1546446
65002,Agropoli,SA1A025006,"SCUOLA DELL'INFANZIA ""BABYLANDIA"" COOP. SOCIALE",VIA MASCAGNI 7,40.345789990549,14.993219997265,13398,40.424407,15.080854,town,Capaccio Paestum,65025,16586.658,1452510
65002,Agropoli,SA1AET500Q,BABY DISNEY,Via Toscanini n. 10,40.346249989395,14.992999972307,13398,40.424407,15.080854,town,Capaccio Paestum,65025,16526.485,1444162
65002,Agropoli,SA1ATF500D,Il Tempo di Gea,Via Madonna del Carmine 99-103,40.334505506782,15.014928541212,13398,40.424407,15.080854,town,Capaccio Paestum,65025,18001.965,1406568
