from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
52030,San Quirico d'Orcia,SIAA81104G,SCUOLA INFANZ-S.QUIRICO D'ORCIA,VIA DANTE ALIGHIERI N.125,43.056510008432,11.608510013487,2854,43.0610689,11.4900203,village,Montalcino,52037,14552.705,976758
52019,Murlo,SIAA80801L,FRAZ. CASCIANO,Non Disponibile,43.15072,11.355686878,2854,43.0610689,11.4900203,village,Montalcino,52037,27691.898,2891878
52007,Castiglione d'Orcia,SIAA81503T,INFANZIA VIVO D'ORCIA - C.BARDI,VIA IV NOVEMBRE 9,42.976165,11.627288526,2854,43.0610689,11.4900203,village,Montalcino,52037,26082.825,2096121
52007,Castiglione d'Orcia,SIAA81502R,INFANZIA CASTIGLIONE D'ORCIA,VIA DELLA BUCA,43.004223251801,11.615400848305,2854,43.0610689,11.4900203,village,Montalcino,52037,23520.797,1577778
52002,Asciano,SIAA814021,"""F.LLI BANDIERA""-ASCIANO",VIA SAN FRANCESCO N. 1,43.231969980165,11.561300033499,2854,43.0610689,11.4900203,village,Montalcino,52037,28164.295,1955945
52002,Asciano,SIAA814043,"""FABRIZIO GUERRINI""-ARBIA",VIA TOSCANA,43.293210800141,11.410202870731,2854,43.0610689,11.4900203,village,Montalcino,52037,32543.43,3014565
52021,Pienza,SIAA821035,ANNA PICCOLOMINI,VIA DELLA MADONNINA N. 7,43.078170019704,11.675949968247,2854,43.0610689,11.4900203,village,Montalcino,52037,23171.905,1433797
52036,Trequanda,SIAA80403B,SCUOLA INFANZIA PETROIO,VIA SALIMBENI2,43.142169999491,11.688600020338,2854,43.0610689,11.4900203,village,Montalcino,52037,29748.841,1865284
52036,Trequanda,SIAA80404C,SCUOLA INFANZIA TREQUANDA,VIA TAVERNE,43.188220247566,11.666517841625,2854,43.0610689,11.4900203,village,Montalcino,52037,29768.498,1870319
52003,Buonconvento,SIAA81105L,SCUOLA INFANZIA DI BUONCONVENTO,VIA FRATELLI ROSSELLI,43.135355239576,11.480075003373,2854,43.0610689,11.4900203,village,Montalcino,52037,10445.657,863946
52037,Montalcino,SIAA81102D,SCUOLA INFANZIA DI TORRENIERI,VIA PALMIRO TOGLIATTI,43.088435867254,11.54638080887,2854,43.0610689,11.4900203,village,Montalcino,52037,10242.388,734730
52037,Montalcino,SIAA81103E,SCUOLA INFANZIA DI MONTALCINO,VIA LAPINI N 2,43.060669988888,11.490400029109,2854,43.0610689,11.4900203,village,Montalcino,52037,60.738,7289
52037,Montalcino,SIAA81107P,SCUOLA INFANZIA DI MONTISI,VIA UMBERTO I N. 1,43.155410011837,11.649449994624,2854,43.0610689,11.4900203,village,Montalcino,52037,24417.469,1566231
52030,San Quirico d'Orcia,SIAA81104G,SCUOLA INFANZ-S.QUIRICO D'ORCIA,VIA DANTE ALIGHIERI N.125,43.056510008432,11.608510013487,2855,43.1525692,11.5900075,village,Montalcino,52037,16805.271,1053070
52019,Murlo,SIAA80801L,FRAZ. CASCIANO,Non Disponibile,43.15072,11.355686878,2855,43.1525692,11.5900075,village,Montalcino,52037,34101.864,3052327
52007,Castiglione d'Orcia,SIAA81503T,INFANZIA VIVO D'ORCIA - C.BARDI,VIA IV NOVEMBRE 9,42.976165,11.627288526,2855,43.1525692,11.5900075,village,Montalcino,52037,34116.285,2707460
52007,Castiglione d'Orcia,SIAA81502R,INFANZIA CASTIGLIONE D'ORCIA,VIA DELLA BUCA,43.004223251801,11.615400848305,2855,43.1525692,11.5900075,village,Montalcino,52037,26131.934,1660585
52002,Asciano,SIAA814021,"""F.LLI BANDIERA""-ASCIANO",VIA SAN FRANCESCO N. 1,43.231969980165,11.561300033499,2855,43.1525692,11.5900075,village,Montalcino,52037,12955.7,795916
52002,Asciano,SIAA814043,"""FABRIZIO GUERRINI""-ARBIA",VIA TOSCANA,43.293210800141,11.410202870731,2855,43.1525692,11.5900075,village,Montalcino,52037,30511.688,1845776
52021,Pienza,SIAA821035,ANNA PICCOLOMINI,VIA DELLA MADONNINA N. 7,43.078170019704,11.675949968247,2855,43.1525692,11.5900075,village,Montalcino,52037,18191.837,1132518
52036,Trequanda,SIAA80403B,SCUOLA INFANZIA PETROIO,VIA SALIMBENI2,43.142169999491,11.688600020338,2855,43.1525692,11.5900075,village,Montalcino,52037,12173.29,739521
52036,Trequanda,SIAA80404C,SCUOLA INFANZIA TREQUANDA,VIA TAVERNE,43.188220247566,11.666517841625,2855,43.1525692,11.5900075,village,Montalcino,52037,12192.947,744556
52003,Buonconvento,SIAA81105L,SCUOLA INFANZIA DI BUONCONVENTO,VIA FRATELLI ROSSELLI,43.135355239576,11.480075003373,2855,43.1525692,11.5900075,village,Montalcino,52037,17019.195,1046653
52037,Montalcino,SIAA81102D,SCUOLA INFANZIA DI TORRENIERI,VIA PALMIRO TOGLIATTI,43.088435867254,11.54638080887,2855,43.1525692,11.5900075,village,Montalcino,52037,9431.559,608844
52037,Montalcino,SIAA81103E,SCUOLA INFANZIA DI MONTALCINO,VIA LAPINI N 2,43.060669988888,11.490400029109,2855,43.1525692,11.5900075,village,Montalcino,52037,18680.898,1184471
52037,Montalcino,SIAA81107P,SCUOLA INFANZIA DI MONTISI,VIA UMBERTO I N. 1,43.155410011837,11.649449994624,2855,43.1525692,11.5900075,village,Montalcino,52037,6841.918,440468
52030,San Quirico d'Orcia,SIAA81104G,SCUOLA INFANZ-S.QUIRICO D'ORCIA,VIA DANTE ALIGHIERI N.125,43.056510008432,11.608510013487,2856,43.1570068,11.6520963,village,Montalcino,52037,19632.461,1243272
52019,Murlo,SIAA80801L,FRAZ. CASCIANO,Non Disponibile,43.15072,11.355686878,2856,43.1570068,11.6520963,village,Montalcino,52037,36211.379,3726275
52007,Castiglione d'Orcia,SIAA81503T,INFANZIA VIVO D'ORCIA - C.BARDI,VIA IV NOVEMBRE 9,42.976165,11.627288526,2856,43.1570068,11.6520963,village,Montalcino,52037,36804.197,2889948
52007,Castiglione d'Orcia,SIAA81502R,INFANZIA CASTIGLIONE D'ORCIA,VIA DELLA BUCA,43.004223251801,11.615400848305,2856,43.1570068,11.6520963,village,Montalcino,52037,28819.846,1843073
52002,Asciano,SIAA814021,"""F.LLI BANDIERA""-ASCIANO",VIA SAN FRANCESCO N. 1,43.231969980165,11.561300033499,2856,43.1570068,11.6520963,village,Montalcino,52037,18755.571,1170328
52002,Asciano,SIAA814043,"""FABRIZIO GUERRINI""-ARBIA",VIA TOSCANA,43.293210800141,11.410202870731,2856,43.1570068,11.6520963,village,Montalcino,52037,36311.56,2220188
52021,Pienza,SIAA821035,ANNA PICCOLOMINI,VIA DELLA MADONNINA N. 7,43.078170019704,11.675949968247,2856,43.1570068,11.6520963,village,Montalcino,52037,12370.932,814572
52036,Trequanda,SIAA80403B,SCUOLA INFANZIA PETROIO,VIA SALIMBENI2,43.142169999491,11.688600020338,2856,43.1570068,11.6520963,village,Montalcino,52037,6352.385,421575
52036,Trequanda,SIAA80404C,SCUOLA INFANZIA TREQUANDA,VIA TAVERNE,43.188220247566,11.666517841625,2856,43.1570068,11.6520963,village,Montalcino,52037,5208.587,351917
52003,Buonconvento,SIAA81105L,SCUOLA INFANZIA DI BUONCONVENTO,VIA FRATELLI ROSSELLI,43.135355239576,11.480075003373,2856,43.1570068,11.6520963,village,Montalcino,52037,19128.71,1720601
52037,Montalcino,SIAA81102D,SCUOLA INFANZIA DI TORRENIERI,VIA PALMIRO TOGLIATTI,43.088435867254,11.54638080887,2856,43.1570068,11.6520963,village,Montalcino,52037,15331.638,994160
52037,Montalcino,SIAA81103E,SCUOLA INFANZIA DI MONTALCINO,VIA LAPINI N 2,43.060669988888,11.490400029109,2856,43.1570068,11.6520963,village,Montalcino,52037,24580.977,1569787
52037,Montalcino,SIAA81107P,SCUOLA INFANZIA DI MONTISI,VIA UMBERTO I N. 1,43.155410011837,11.649449994624,2856,43.1570068,11.6520963,village,Montalcino,52037,364.436,43732
52030,San Quirico d'Orcia,SIAA81104G,SCUOLA INFANZ-S.QUIRICO D'ORCIA,VIA DANTE ALIGHIERI N.125,43.056510008432,11.608510013487,2857,42.9939571,11.4604941,village,Montalcino,52037,23483.21,1476163
52019,Murlo,SIAA80801L,FRAZ. CASCIANO,Non Disponibile,43.15072,11.355686878,2857,42.9939571,11.4604941,village,Montalcino,52037,37949.963,3583958
52007,Castiglione d'Orcia,SIAA81503T,INFANZIA VIVO D'ORCIA - C.BARDI,VIA IV NOVEMBRE 9,42.976165,11.627288526,2857,42.9939571,11.4604941,village,Montalcino,52037,25288.389,2486940
52007,Castiglione d'Orcia,SIAA81502R,INFANZIA CASTIGLIONE D'ORCIA,VIA DELLA BUCA,43.004223251801,11.615400848305,2857,42.9939571,11.4604941,village,Montalcino,52037,23846.973,1981683
52002,Asciano,SIAA814021,"""F.LLI BANDIERA""-ASCIANO",VIA SAN FRANCESCO N. 1,43.231969980165,11.561300033499,2857,42.9939571,11.4604941,village,Montalcino,52037,40194.608,2478857
52002,Asciano,SIAA814043,"""FABRIZIO GUERRINI""-ARBIA",VIA TOSCANA,43.293210800141,11.410202870731,2857,42.9939571,11.4604941,village,Montalcino,52037,42801.495,3706645
52021,Pienza,SIAA821035,ANNA PICCOLOMINI,VIA DELLA MADONNINA N. 7,43.078170019704,11.675949968247,2857,42.9939571,11.4604941,village,Montalcino,52037,32102.41,1933202
52036,Trequanda,SIAA80403B,SCUOLA INFANZIA PETROIO,VIA SALIMBENI2,43.142169999491,11.688600020338,2857,42.9939571,11.4604941,village,Montalcino,52037,38679.346,2364689
52036,Trequanda,SIAA80404C,SCUOLA INFANZIA TREQUANDA,VIA TAVERNE,43.188220247566,11.666517841625,2857,42.9939571,11.4604941,village,Montalcino,52037,38699.003,2369724
52003,Buonconvento,SIAA81105L,SCUOLA INFANZIA DI BUONCONVENTO,VIA FRATELLI ROSSELLI,43.135355239576,11.480075003373,2857,42.9939571,11.4604941,village,Montalcino,52037,20703.722,1556026
52037,Montalcino,SIAA81102D,SCUOLA INFANZIA DI TORRENIERI,VIA PALMIRO TOGLIATTI,43.088435867254,11.54638080887,2857,42.9939571,11.4604941,village,Montalcino,52037,19172.893,1234135
52037,Montalcino,SIAA81103E,SCUOLA INFANZIA DI MONTALCINO,VIA LAPINI N 2,43.060669988888,11.490400029109,2857,42.9939571,11.4604941,village,Montalcino,52037,10318.803,699369
52037,Montalcino,SIAA81107P,SCUOLA INFANZIA DI MONTISI,VIA UMBERTO I N. 1,43.155410011837,11.649449994624,2857,42.9939571,11.4604941,village,Montalcino,52037,33347.974,2065636
52030,San Quirico d'Orcia,SIAA81104G,SCUOLA INFANZ-S.QUIRICO D'ORCIA,VIA DANTE ALIGHIERI N.125,43.056510008432,11.608510013487,2858,42.9650959,11.4263325,village,Montalcino,52037,29651.309,1818213
52019,Murlo,SIAA80801L,FRAZ. CASCIANO,Non Disponibile,43.15072,11.355686878,2858,42.9650959,11.4263325,village,Montalcino,52037,44118.062,3926008
52007,Castiglione d'Orcia,SIAA81503T,INFANZIA VIVO D'ORCIA - C.BARDI,VIA IV NOVEMBRE 9,42.976165,11.627288526,2858,42.9650959,11.4263325,village,Montalcino,52037,31456.488,2828990
52007,Castiglione d'Orcia,SIAA81502R,INFANZIA CASTIGLIONE D'ORCIA,VIA DELLA BUCA,43.004223251801,11.615400848305,2858,42.9650959,11.4263325,village,Montalcino,52037,30015.071,2323733
52002,Asciano,SIAA814021,"""F.LLI BANDIERA""-ASCIANO",VIA SAN FRANCESCO N. 1,43.231969980165,11.561300033499,2858,42.9650959,11.4263325,village,Montalcino,52037,46362.707,2820907
52002,Asciano,SIAA814043,"""FABRIZIO GUERRINI""-ARBIA",VIA TOSCANA,43.293210800141,11.410202870731,2858,42.9650959,11.4263325,village,Montalcino,52037,48969.593,4048695
52021,Pienza,SIAA821035,ANNA PICCOLOMINI,VIA DELLA MADONNINA N. 7,43.078170019704,11.675949968247,2858,42.9650959,11.4263325,village,Montalcino,52037,38270.509,2275252
52036,Trequanda,SIAA80403B,SCUOLA INFANZIA PETROIO,VIA SALIMBENI2,43.142169999491,11.688600020338,2858,42.9650959,11.4263325,village,Montalcino,52037,44847.445,2706739
52036,Trequanda,SIAA80404C,SCUOLA INFANZIA TREQUANDA,VIA TAVERNE,43.188220247566,11.666517841625,2858,42.9650959,11.4263325,village,Montalcino,52037,44867.102,2711774
52003,Buonconvento,SIAA81105L,SCUOLA INFANZIA DI BUONCONVENTO,VIA FRATELLI ROSSELLI,43.135355239576,11.480075003373,2858,42.9650959,11.4263325,village,Montalcino,52037,26871.82,1898076
52037,Montalcino,SIAA81102D,SCUOLA INFANZIA DI TORRENIERI,VIA PALMIRO TOGLIATTI,43.088435867254,11.54638080887,2858,42.9650959,11.4263325,village,Montalcino,52037,25340.992,1576185
52037,Montalcino,SIAA81103E,SCUOLA INFANZIA DI MONTALCINO,VIA LAPINI N 2,43.060669988888,11.490400029109,2858,42.9650959,11.4263325,village,Montalcino,52037,16486.901,1041419
52037,Montalcino,SIAA81107P,SCUOLA INFANZIA DI MONTISI,VIA UMBERTO I N. 1,43.155410011837,11.649449994624,2858,42.9650959,11.4263325,village,Montalcino,52037,39516.073,2407686
52030,San Quirico d'Orcia,SIAA81104G,SCUOLA INFANZ-S.QUIRICO D'ORCIA,VIA DANTE ALIGHIERI N.125,43.056510008432,11.608510013487,2859,43.0856511,11.5486003,village,Montalcino,52037,8085.721,530156
52019,Murlo,SIAA80801L,FRAZ. CASCIANO,Non Disponibile,43.15072,11.355686878,2859,43.0856511,11.5486003,village,Montalcino,52037,27002.031,2797359
52007,Castiglione d'Orcia,SIAA81503T,INFANZIA VIVO D'ORCIA - C.BARDI,VIA IV NOVEMBRE 9,42.976165,11.627288526,2859,43.0856511,11.5486003,village,Montalcino,52037,25396.735,2184546
52007,Castiglione d'Orcia,SIAA81502R,INFANZIA CASTIGLIONE D'ORCIA,VIA DELLA BUCA,43.004223251801,11.615400848305,2859,43.0856511,11.5486003,village,Montalcino,52037,17412.384,1137671
52002,Asciano,SIAA814021,"""F.LLI BANDIERA""-ASCIANO",VIA SAN FRANCESCO N. 1,43.231969980165,11.561300033499,2859,43.0856511,11.5486003,village,Montalcino,52037,21806.993,1341055
52002,Asciano,SIAA814043,"""FABRIZIO GUERRINI""-ARBIA",VIA TOSCANA,43.293210800141,11.410202870731,2859,43.0856511,11.5486003,village,Montalcino,52037,39362.982,2390915
52021,Pienza,SIAA821035,ANNA PICCOLOMINI,VIA DELLA MADONNINA N. 7,43.078170019704,11.675949968247,2859,43.0856511,11.5486003,village,Montalcino,52037,16677.191,979466
52036,Trequanda,SIAA80403B,SCUOLA INFANZIA PETROIO,VIA SALIMBENI2,43.142169999491,11.688600020338,2859,43.0856511,11.5486003,village,Montalcino,52037,20291.731,1226887
52036,Trequanda,SIAA80404C,SCUOLA INFANZIA TREQUANDA,VIA TAVERNE,43.188220247566,11.666517841625,2859,43.0856511,11.5486003,village,Montalcino,52037,20311.388,1231922
52003,Buonconvento,SIAA81105L,SCUOLA INFANZIA DI BUONCONVENTO,VIA FRATELLI ROSSELLI,43.135355239576,11.480075003373,2859,43.0856511,11.5486003,village,Montalcino,52037,9755.79,769427
52037,Montalcino,SIAA81102D,SCUOLA INFANZIA DI TORRENIERI,VIA PALMIRO TOGLIATTI,43.088435867254,11.54638080887,2859,43.0856511,11.5486003,village,Montalcino,52037,644.71,79466
52037,Montalcino,SIAA81103E,SCUOLA INFANZIA DI MONTALCINO,VIA LAPINI N 2,43.060669988888,11.490400029109,2859,43.0856511,11.5486003,village,Montalcino,52037,9606.618,640273
52037,Montalcino,SIAA81107P,SCUOLA INFANZIA DI MONTISI,VIA UMBERTO I N. 1,43.155410011837,11.649449994624,2859,43.0856511,11.5486003,village,Montalcino,52037,14960.359,927834
52030,San Quirico d'Orcia,SIAA81104G,SCUOLA INFANZ-S.QUIRICO D'ORCIA,VIA DANTE ALIGHIERI N.125,43.056510008432,11.608510013487,2860,43.0074602,11.397648,village,Montalcino,52037,25996.877,1712787
52019,Murlo,SIAA80801L,FRAZ. CASCIANO,Non Disponibile,43.15072,11.355686878,2860,43.0074602,11.397648,village,Montalcino,52037,40463.63,3820582
52007,Castiglione d'Orcia,SIAA81503T,INFANZIA VIVO D'ORCIA - C.BARDI,VIA IV NOVEMBRE 9,42.976165,11.627288526,2860,43.0074602,11.397648,village,Montalcino,52037,37315.485,2839562
52007,Castiglione d'Orcia,SIAA81502R,INFANZIA CASTIGLIONE D'ORCIA,VIA DELLA BUCA,43.004223251801,11.615400848305,2860,43.0074602,11.397648,village,Montalcino,52037,34964.969,2313807
52002,Asciano,SIAA814021,"""F.LLI BANDIERA""-ASCIANO",VIA SAN FRANCESCO N. 1,43.231969980165,11.561300033499,2860,43.0074602,11.397648,village,Montalcino,52037,42708.275,2715481
52002,Asciano,SIAA814043,"""FABRIZIO GUERRINI""-ARBIA",VIA TOSCANA,43.293210800141,11.410202870731,2860,43.0074602,11.397648,village,Montalcino,52037,45315.161,3943269
52021,Pienza,SIAA821035,ANNA PICCOLOMINI,VIA DELLA MADONNINA N. 7,43.078170019704,11.675949968247,2860,43.0074602,11.397648,village,Montalcino,52037,34616.077,2169826
52036,Trequanda,SIAA80403B,SCUOLA INFANZIA PETROIO,VIA SALIMBENI2,43.142169999491,11.688600020338,2860,43.0074602,11.397648,village,Montalcino,52037,41193.013,2601313
52036,Trequanda,SIAA80404C,SCUOLA INFANZIA TREQUANDA,VIA TAVERNE,43.188220247566,11.666517841625,2860,43.0074602,11.397648,village,Montalcino,52037,41212.67,2606348
52003,Buonconvento,SIAA81105L,SCUOLA INFANZIA DI BUONCONVENTO,VIA FRATELLI ROSSELLI,43.135355239576,11.480075003373,2860,43.0074602,11.397648,village,Montalcino,52037,23217.389,1792650
52037,Montalcino,SIAA81102D,SCUOLA INFANZIA DI TORRENIERI,VIA PALMIRO TOGLIATTI,43.088435867254,11.54638080887,2860,43.0074602,11.397648,village,Montalcino,52037,21686.56,1470759
52037,Montalcino,SIAA81103E,SCUOLA INFANZIA DI MONTALCINO,VIA LAPINI N 2,43.060669988888,11.490400029109,2860,43.0074602,11.397648,village,Montalcino,52037,12832.469,935993
52037,Montalcino,SIAA81107P,SCUOLA INFANZIA DI MONTISI,VIA UMBERTO I N. 1,43.155410011837,11.649449994624,2860,43.0074602,11.397648,village,Montalcino,52037,35861.641,2302260
52030,San Quirico d'Orcia,SIAA81104G,SCUOLA INFANZ-S.QUIRICO D'ORCIA,VIA DANTE ALIGHIERI N.125,43.056510008432,11.608510013487,2861,42.9952027,11.5165108,village,Montalcino,52037,22297.334,1461555
52019,Murlo,SIAA80801L,FRAZ. CASCIANO,Non Disponibile,43.15072,11.355686878,2861,42.9952027,11.5165108,village,Montalcino,52037,38758.351,3459200
52007,Castiglione d'Orcia,SIAA81503T,INFANZIA VIVO D'ORCIA - C.BARDI,VIA IV NOVEMBRE 9,42.976165,11.627288526,2861,42.9952027,11.5165108,village,Montalcino,52037,16815.405,1513258
52007,Castiglione d'Orcia,SIAA81502R,INFANZIA CASTIGLIONE D'ORCIA,VIA DELLA BUCA,43.004223251801,11.615400848305,2861,42.9952027,11.5165108,village,Montalcino,52037,15373.989,1008001
52002,Asciano,SIAA814021,"""F.LLI BANDIERA""-ASCIANO",VIA SAN FRANCESCO N. 1,43.231969980165,11.561300033499,2861,42.9952027,11.5165108,village,Montalcino,52037,39008.732,2464249
52002,Asciano,SIAA814043,"""FABRIZIO GUERRINI""-ARBIA",VIA TOSCANA,43.293210800141,11.410202870731,2861,42.9952027,11.5165108,village,Montalcino,52037,43609.883,3581887
52021,Pienza,SIAA821035,ANNA PICCOLOMINI,VIA DELLA MADONNINA N. 7,43.078170019704,11.675949968247,2861,42.9952027,11.5165108,village,Montalcino,52037,30916.534,1918594
52036,Trequanda,SIAA80403B,SCUOLA INFANZIA PETROIO,VIA SALIMBENI2,43.142169999491,11.688600020338,2861,42.9952027,11.5165108,village,Montalcino,52037,37493.47,2350081
52036,Trequanda,SIAA80404C,SCUOLA INFANZIA TREQUANDA,VIA TAVERNE,43.188220247566,11.666517841625,2861,42.9952027,11.5165108,village,Montalcino,52037,37513.127,2355116
52003,Buonconvento,SIAA81105L,SCUOLA INFANZIA DI BUONCONVENTO,VIA FRATELLI ROSSELLI,43.135355239576,11.480075003373,2861,42.9952027,11.5165108,village,Montalcino,52037,21512.11,1431268
52037,Montalcino,SIAA81102D,SCUOLA INFANZIA DI TORRENIERI,VIA PALMIRO TOGLIATTI,43.088435867254,11.54638080887,2861,42.9952027,11.5165108,village,Montalcino,52037,17987.017,1219527
52037,Montalcino,SIAA81103E,SCUOLA INFANZIA DI MONTALCINO,VIA LAPINI N 2,43.060669988888,11.490400029109,2861,42.9952027,11.5165108,village,Montalcino,52037,9982.178,668677
52037,Montalcino,SIAA81107P,SCUOLA INFANZIA DI MONTISI,VIA UMBERTO I N. 1,43.155410011837,11.649449994624,2861,42.9952027,11.5165108,village,Montalcino,52037,32162.098,2051028
52030,San Quirico d'Orcia,SIAA81104G,SCUOLA INFANZ-S.QUIRICO D'ORCIA,VIA DANTE ALIGHIERI N.125,43.056510008432,11.608510013487,2862,42.9763588,11.5468742,village,Montalcino,52037,19414.3,1332858
52019,Murlo,SIAA80801L,FRAZ. CASCIANO,Non Disponibile,43.15072,11.355686878,2862,42.9763588,11.5468742,village,Montalcino,52037,42624.527,3671763
52007,Castiglione d'Orcia,SIAA81503T,INFANZIA VIVO D'ORCIA - C.BARDI,VIA IV NOVEMBRE 9,42.976165,11.627288526,2862,42.9763588,11.5468742,village,Montalcino,52037,12302.323,1223067
52007,Castiglione d'Orcia,SIAA81502R,INFANZIA CASTIGLIONE D'ORCIA,VIA DELLA BUCA,43.004223251801,11.615400848305,2862,42.9763588,11.5468742,village,Montalcino,52037,10860.907,717810
52002,Asciano,SIAA814021,"""F.LLI BANDIERA""-ASCIANO",VIA SAN FRANCESCO N. 1,43.231969980165,11.561300033499,2862,42.9763588,11.5468742,village,Montalcino,52037,42874.908,2676812
52002,Asciano,SIAA814043,"""FABRIZIO GUERRINI""-ARBIA",VIA TOSCANA,43.293210800141,11.410202870731,2862,42.9763588,11.5468742,village,Montalcino,52037,47476.058,3794450
52021,Pienza,SIAA821035,ANNA PICCOLOMINI,VIA DELLA MADONNINA N. 7,43.078170019704,11.675949968247,2862,42.9763588,11.5468742,village,Montalcino,52037,29173.239,1922262
