from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
14040,Mazzo di Valtellina,SOAA82403T,MAZZO DI VALT. SC. INFANZIA,VIA I MAGGIO 7,46.257080014915,10.255960016631,5145,46.2447793,10.2464531,village,Tovo di Sant'Agata,14068,1831.166,159894
14019,Chiesa in Valmalenco,SOAA82004G,CHIESA IN VALMALENCO-CURLO,VIA CURLO 9,46.29588,9.775104413,5209,46.2645945,9.863925,village,Caspoggio,14013,-1.0,-1
14044,Montagna in Valtellina,SO1A017006,"SCUOLA DELL'INFANZIA PARITARIA ""ELISA PAINI CREDARO""",VIA ROMA 19,46.178669992918,9.901339965827,5209,46.2645945,9.863925,village,Caspoggio,14013,18594.778,1317935
14036,Lanzada,SO1A01000B,"SCUOLA DELL'INFANZIA PARITARIA ""VIZZOLA""",VIA S. GIOVANNI 694,46.269199995449,9.871610025815,5209,46.2645945,9.863925,village,Caspoggio,14013,4700.518,355212
14067,Torre di Santa Maria,SO1A012003,"SCUOLA DELL'INFANZIA PARITARIA ""DON GIOVANNI MITTA""",VIA CORTILE VECCHIO 1,46.234469998737,9.852120005457,5209,46.2645945,9.863925,village,Caspoggio,14013,5249.556,391032
14013,Caspoggio,SO1A00800B,"SCUOLA DELL'INFANZIA PARITARIA ""DON GATTI""",PIAZZA MILANO 25,46.264309993137,9.86378996161,5209,46.2645945,9.863925,village,Caspoggio,14013,135.233,24342
14035,Madesimo,SOAA806038,MADESIMO,VIA G. CARDUCCI 18,46.437399981747,9.360059960447,5136,46.4028756,9.3532536,village,Campodolcino,14012,6991.95,569547
14050,Piuro,SOAA80501A,INF. PIUROBORGONUOVO,VIA SARLONE 12,46.329410013896,9.438869966864,5136,46.4028756,9.3532536,village,Campodolcino,14012,16740.386,1222426
14012,Campodolcino,SOAA80605A,"""A. SCARAMELLINI"" CAMPODOLCINO",V.LE DEI MERCATI D'ARTI E MESTIERI,46.402018249192,9.352545989738,5136,46.4028756,9.3532536,village,Campodolcino,14012,377.114,73426
14035,Madesimo,SOAA806038,MADESIMO,VIA G. CARDUCCI 18,46.437399981747,9.360059960447,5137,46.4046143,9.3664275,village,Campodolcino,14012,9757.163,891087
14050,Piuro,SOAA80501A,INF. PIUROBORGONUOVO,VIA SARLONE 12,46.329410013896,9.438869966864,5137,46.4046143,9.3664275,village,Campodolcino,14012,19505.599,1543966
14012,Campodolcino,SOAA80605A,"""A. SCARAMELLINI"" CAMPODOLCINO",V.LE DEI MERCATI D'ARTI E MESTIERI,46.402018249192,9.352545989738,5137,46.4046143,9.3664275,village,Campodolcino,14012,3483.019,408808
14035,Madesimo,SOAA806038,MADESIMO,VIA G. CARDUCCI 18,46.437399981747,9.360059960447,5138,46.4056276,9.3549115,suburb,Campodolcino,14012,6667.192,544930
14050,Piuro,SOAA80501A,INF. PIUROBORGONUOVO,VIA SARLONE 12,46.329410013896,9.438869966864,5138,46.4056276,9.3549115,suburb,Campodolcino,14012,16923.586,1231186
14012,Campodolcino,SOAA80605A,"""A. SCARAMELLINI"" CAMPODOLCINO",V.LE DEI MERCATI D'ARTI E MESTIERI,46.402018249192,9.352545989738,5138,46.4056276,9.3549115,suburb,Campodolcino,14012,901.006,96028
14063,Talamona,SOAA814026,SCUOLA INFANZIA DI TALAMONA,VIA GAVAZZENI 64/C,46.13648001856,9.61165996716,5095,46.1587741,9.6708477,village,Forcola,14029,5747.259,449796
14063,Talamona,SO1A003008,FONDAZIONE SCUOLA DELL'INFANZIA DI TALAMONA,VIA GAVAZZENI 64/A,46.13648001856,9.61165996716,5095,46.1587741,9.6708477,village,Forcola,14029,5747.259,449796
14010,Buglio in Monte,SOAA815022,BUGLIO IN MONTE CAP.,VIA FIUME 35,46.182169982317,9.672890021313,5095,46.1587741,9.6708477,village,Forcola,14029,6494.838,792053
14010,Buglio in Monte,SOAA815033,BUGLIO IN MONTE VILLAPINTA,VIA SAN CRISTOFORO,46.175904779254,9.676520508303,5095,46.1587741,9.6708477,village,Forcola,14029,3998.105,351111
14023,Colorina,SOAA801024,COLORINA,VIA BOCCHETTI 44,46.150719991955,9.732200032907,5095,46.1587741,9.6708477,village,Forcola,14029,5357.144,382674
14064,Tartano,SOAA814015,SCUOLA MATERNA DI TARTANO,VIA MARCONI 1,46.133460018846,9.667319995196,5095,46.1587741,9.6708477,village,Forcola,14029,12888.724,909256
14005,Ardenno,SOAA815011,ARDENNO CAP.,VIA VISCONTI VENOSTA 5,46.172169994643,9.652449996049,5095,46.1587741,9.6708477,village,Forcola,14029,3432.455,301549
14029,Forcola,SOAA815044,FORCOLA - SIRTA,VIA ASILO 3,46.158629993982,9.66356004107,5095,46.1587741,9.6708477,village,Forcola,14029,703.051,46856
14063,Talamona,SOAA814026,SCUOLA INFANZIA DI TALAMONA,VIA GAVAZZENI 64/C,46.13648001856,9.61165996716,5096,46.1578823,9.6875966,village,Forcola,14029,7067.696,533895
14063,Talamona,SO1A003008,FONDAZIONE SCUOLA DELL'INFANZIA DI TALAMONA,VIA GAVAZZENI 64/A,46.13648001856,9.61165996716,5096,46.1578823,9.6875966,village,Forcola,14029,7067.696,533895
14010,Buglio in Monte,SOAA815022,BUGLIO IN MONTE CAP.,VIA FIUME 35,46.182169982317,9.672890021313,5096,46.1578823,9.6875966,village,Forcola,14029,5486.003,739173
14010,Buglio in Monte,SOAA815033,BUGLIO IN MONTE VILLAPINTA,VIA SAN CRISTOFORO,46.175904779254,9.676520508303,5096,46.1578823,9.6875966,village,Forcola,14029,2989.27,298231
14023,Colorina,SOAA801024,COLORINA,VIA BOCCHETTI 44,46.150719991955,9.732200032907,5096,46.1578823,9.6875966,village,Forcola,14029,4141.011,317282
14064,Tartano,SOAA814015,SCUOLA MATERNA DI TARTANO,VIA MARCONI 1,46.133460018846,9.667319995196,5096,46.1578823,9.6875966,village,Forcola,14029,14209.161,993355
14005,Ardenno,SOAA815011,ARDENNO CAP.,VIA VISCONTI VENOSTA 5,46.172169994643,9.652449996049,5096,46.1578823,9.6875966,village,Forcola,14029,4660.613,367862
14029,Forcola,SOAA815044,FORCOLA - SIRTA,VIA ASILO 3,46.158629993982,9.66356004107,5096,46.1578823,9.6875966,village,Forcola,14029,2023.488,130955
14063,Talamona,SOAA814026,SCUOLA INFANZIA DI TALAMONA,VIA GAVAZZENI 64/C,46.13648001856,9.61165996716,5097,46.1582537,9.6618076,village,Forcola,14029,4975.886,433191
14063,Talamona,SO1A003008,FONDAZIONE SCUOLA DELL'INFANZIA DI TALAMONA,VIA GAVAZZENI 64/A,46.13648001856,9.61165996716,5097,46.1582537,9.6618076,village,Forcola,14029,4975.886,433191
14010,Buglio in Monte,SOAA815022,BUGLIO IN MONTE CAP.,VIA FIUME 35,46.182169982317,9.672890021313,5097,46.1582537,9.6618076,village,Forcola,14029,6183.718,792231
14010,Buglio in Monte,SOAA815033,BUGLIO IN MONTE VILLAPINTA,VIA SAN CRISTOFORO,46.175904779254,9.676520508303,5097,46.1582537,9.6618076,village,Forcola,14029,3686.985,351289
14023,Colorina,SOAA801024,COLORINA,VIA BOCCHETTI 44,46.150719991955,9.732200032907,5097,46.1582537,9.6618076,village,Forcola,14029,6209.732,447475
14064,Tartano,SOAA814015,SCUOLA MATERNA DI TARTANO,VIA MARCONI 1,46.133460018846,9.667319995196,5097,46.1582537,9.6618076,village,Forcola,14029,12117.351,892651
14005,Ardenno,SOAA815011,ARDENNO CAP.,VIA VISCONTI VENOSTA 5,46.172169994643,9.652449996049,5097,46.1582537,9.6618076,village,Forcola,14029,3121.335,301727
14029,Forcola,SOAA815044,FORCOLA - SIRTA,VIA ASILO 3,46.158629993982,9.66356004107,5097,46.1582537,9.6618076,village,Forcola,14029,190.12,22814
14049,Piateda,SOAA80402G,PIATEDA CAPOLUOGO,VIA RAGAZZI DEL 99 3,46.159929985255,9.941790024723,5094,46.152995,9.90605,village,Faedo Valtellino,14028,6381.29,648408
14061,Sondrio,SOAA82001C,SCUOLA INFANZIA TRIANGIA,FRAZIONE TRIANGIA,46.174782234943,9.831670005727,5094,46.152995,9.90605,village,Faedo Valtellino,14028,12145.944,1223608
14061,Sondrio,SOAA82003E,SCUOLA INFANZIA B.MUNARI,VIA DON LUCCHINETTI,46.170371827302,9.858985793379,5094,46.152995,9.90605,village,Faedo Valtellino,14028,6777.111,723599
14061,Sondrio,SOAA82103A,SONDRIO C - VANONI,VIA VANONI,46.16245236812,9.868412459485,5094,46.152995,9.90605,village,Faedo Valtellino,14028,5185.101,602240
14061,Sondrio,SOAA82104B,SONDRIO D - GIANOLI,VIA GIANOLI,46.164489760164,9.862793517285,5094,46.152995,9.90605,village,Faedo Valtellino,14028,6038.235,708126
14061,Sondrio,SOAA82002D,SCUOLA INFANZIA PONCHIERA,FRAZIONE PONCHIERA,46.180508349854,9.87168476515,5094,46.152995,9.90605,village,Faedo Valtellino,14028,8707.798,879705
14061,Sondrio,SOAA819029,SONDRIO C. MELAZZINI,VIA TOTI,46.169656872702,9.880927992507,5094,46.152995,9.90605,village,Faedo Valtellino,14028,6286.781,629949
14061,Sondrio,SOAA81903A,G. SEGANTINI - SONDRIO,VIA COLOMBARO,46.170393679251,9.875013627465,5094,46.152995,9.90605,village,Faedo Valtellino,14028,6990.145,696041
14061,Sondrio,SO1ANH500I,NUOVO ANGELO CUSTODE,VIA SAN GIOVANNI BOSCO 14,46.172160020178,9.879509969558,5094,46.152995,9.90605,village,Faedo Valtellino,14028,6519.389,678453
14061,Sondrio,SO1A00100L,"SCUOLA DELL'INFANZIA PARITARIA ""PIETRO IMBASCIATI""",VIA CARDUCCI 18,46.168850006614,9.875750015432,5094,46.152995,9.90605,village,Faedo Valtellino,14028,6940.145,681493
14002,Albosaggia,SOAA821029,DON MERONI-ALBOSAGGIA,VIA COLTRA,46.156574672665,9.852391948394,5094,46.152995,9.90605,village,Faedo Valtellino,14028,4749.829,569978
14044,Montagna in Valtellina,SO1A017006,"SCUOLA DELL'INFANZIA PARITARIA ""ELISA PAINI CREDARO""",VIA ROMA 19,46.178669992918,9.901339965827,5094,46.152995,9.90605,village,Faedo Valtellino,14028,6505.629,853076
14003,Andalo Valtellino,SOAA81306E,INFANZIA ANDALO VALTELLINO,VIA ROMA 76,46.132879991146,9.470939966604,18363,46.15342,9.4613327,village,Dubino,14027,3232.538,230225
14039,Mantello,SOAA81202E,MANTELLO CAP.,VIA ROMA 9,46.152320013452,9.486350011773,18363,46.15342,9.4613327,village,Dubino,14027,2213.032,163292
14048,Piantedo,SOAA81304C,PIANTEDO CAP.,VIA EUROPA 42/B,46.136324014206,9.430084544827,18363,46.15342,9.4613327,village,Dubino,14027,5417.333,361689
14026,Delebio,SOAA813019,DELEBIO - CAP,VIA ROMA N. 19,46.13745998877,9.463159967895,18363,46.15342,9.4613327,village,Dubino,14027,3052.078,244553
14046,Novate Mezzola,SOAA81601R,NOVATE MEZZOLA CAP.,VIA ROMA 40,46.220193882424,9.44747673295,18363,46.15342,9.4613327,village,Dubino,14027,11754.394,846412
14075,Verceia,SOAA81604X,VERCEIA CAP.,PIAZZA EUROPA 1,46.197919997479,9.451764980076,18363,46.15342,9.4613327,village,Dubino,14027,8160.4,557864
14027,Dubino,SOAA81302A,DUBINO CAP.,VIA SPINERA 2,46.152769627907,9.453988449559,18363,46.15342,9.4613327,village,Dubino,14027,727.945,87354
14027,Dubino,SOAA81303B,DUBINO NUOVA OLONIO,VIA DON GUANELLA 8,46.167290008705,9.430589987631,18363,46.15342,9.4613327,village,Dubino,14027,4323.837,289909
14003,Andalo Valtellino,SOAA81306E,INFANZIA ANDALO VALTELLINO,VIA ROMA 76,46.132879991146,9.470939966604,18364,46.165961,9.4290745,village,Dubino,14027,6898.642,461388
14039,Mantello,SOAA81202E,MANTELLO CAP.,VIA ROMA 9,46.152320013452,9.486350011773,18364,46.165961,9.4290745,village,Dubino,14027,6166.194,406689
14048,Piantedo,SOAA81304C,PIANTEDO CAP.,VIA EUROPA 42/B,46.136324014206,9.430084544827,18364,46.165961,9.4290745,village,Dubino,14027,4725.243,343749
14026,Delebio,SOAA813019,DELEBIO - CAP,VIA ROMA N. 19,46.13745998877,9.463159967895,18364,46.165961,9.4290745,village,Dubino,14027,6718.182,475716
14046,Novate Mezzola,SOAA81601R,NOVATE MEZZOLA CAP.,VIA ROMA 40,46.220193882424,9.44747673295,18364,46.165961,9.4290745,village,Dubino,14027,7690.715,591522
14075,Verceia,SOAA81604X,VERCEIA CAP.,PIAZZA EUROPA 1,46.197919997479,9.451764980076,18364,46.165961,9.4290745,village,Dubino,14027,4096.721,302974
14027,Dubino,SOAA81302A,DUBINO CAP.,VIA SPINERA 2,46.152769627907,9.453988449559,18364,46.165961,9.4290745,village,Dubino,14027,3648.882,271303
