from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
73028,Torricella,TAAA806029,BRUNO MUNARI,VIA PER MARUGGIO 66,40.35436270236,17.504244817882,12643,40.3222604,17.5723658,village,Maruggio,73014,7428.389,489766
73028,Torricella,TA1A02200Q,PARROCCHIALE S. MARCO EVANGELISTA,VIA LE GRAZIE 167,40.351239987813,17.500289984746,12643,40.3222604,17.5723658,village,Maruggio,73014,8072.777,550980
73026,Sava,TAAA857037,IRIS MALAGNINO,VIA CROCE,40.400559586376,17.565572006819,12643,40.3222604,17.5723658,village,Maruggio,73014,11102.69,818526
73026,Sava,TAAA85301T,VIA FRATELLI BANDIERA,VIA FRATELLI BANDIERA,40.40270310055,17.565308326044,12643,40.3222604,17.5723658,village,Maruggio,73014,11318.298,846062
73026,Sava,TAAA85302V,GIGANTE,CORSO UMBERTO,40.404431247555,17.566342450946,12643,40.3222604,17.5723658,village,Maruggio,73014,11542.521,875547
73026,Sava,TAAA857026,BONSEGNA,PIAZZA RISORGIMENTO 7,40.400470006466,17.556310015524,12643,40.3222604,17.5723658,village,Maruggio,73014,10652.397,796043
73026,Sava,TAAA857015,CORSO ITALIA,CORSO ITALIA,40.397721696801,17.541172527483,12643,40.3222604,17.5723658,village,Maruggio,73014,11523.58,831394
73012,Manduria,TAAA84801A,POVERELLA,VIA MESCHINELLA,40.407053578249,17.623350743669,12643,40.3222604,17.5723658,village,Maruggio,73014,12103.676,733899
73012,Manduria,TAAA84802B,G.L. MARUGJ,PIAZZALE I MAGGIO,40.397970372858,17.628846251833,12643,40.3222604,17.5723658,village,Maruggio,73014,10251.638,706968
73012,Manduria,TAAA84601P,EX ISTITUTO SACRA FAMIGLIA,VIA P. MAGGI N. 51,40.401320015267,17.633659978227,12643,40.3222604,17.5723658,village,Maruggio,73014,11123.883,781862
73012,Manduria,TAAA84701E,PAOLO BORSELLINO,VIA CARDUCCI 5,40.391360009271,17.632170011118,12643,40.3222604,17.5723658,village,Maruggio,73014,9443.071,622958
73012,Manduria,TAAA84702G,DON BOSCO,VIA DEL MACELLO,40.395620189107,17.631724262551,12643,40.3222604,17.5723658,village,Maruggio,73014,10184.659,713811
73012,Manduria,TAAA84803C,L.RADICE,VIA IMPERIALI,40.398916524577,17.636893002191,12643,40.3222604,17.5723658,village,Maruggio,73014,10467.535,704552
73012,Manduria,TA1A011009,BELISARIO ARNO',VIA SANTA LUCIA 4,40.397890014759,17.638920041564,12643,40.3222604,17.5723658,village,Maruggio,73014,10629.014,713318
73012,Manduria,TA1A03100E,BUON PASTORE,VIA DUCA CASTROMEDIANO S.N.C.,40.376516268,17.655845,12643,40.3222604,17.5723658,village,Maruggio,73014,11413.002,1083762
73014,Maruggio,TAAA806018,COLLODI,VIA RISORGIMENTO,40.315969090214,17.570238853939,12643,40.3222604,17.5723658,village,Maruggio,73014,1491.069,167101
73028,Torricella,TAAA806029,BRUNO MUNARI,VIA PER MARUGGIO 66,40.35436270236,17.504244817882,12644,40.2981968,17.5638698,village,Maruggio,73014,10430.869,708367
73028,Torricella,TA1A02200Q,PARROCCHIALE S. MARCO EVANGELISTA,VIA LE GRAZIE 167,40.351239987813,17.500289984746,12644,40.2981968,17.5638698,village,Maruggio,73014,11075.257,769581
73026,Sava,TAAA857037,IRIS MALAGNINO,VIA CROCE,40.400559586376,17.565572006819,12644,40.2981968,17.5638698,village,Maruggio,73014,14105.17,1037127
73026,Sava,TAAA85301T,VIA FRATELLI BANDIERA,VIA FRATELLI BANDIERA,40.40270310055,17.565308326044,12644,40.2981968,17.5638698,village,Maruggio,73014,14320.778,1064663
73026,Sava,TAAA85302V,GIGANTE,CORSO UMBERTO,40.404431247555,17.566342450946,12644,40.2981968,17.5638698,village,Maruggio,73014,14545.001,1094148
73026,Sava,TAAA857026,BONSEGNA,PIAZZA RISORGIMENTO 7,40.400470006466,17.556310015524,12644,40.2981968,17.5638698,village,Maruggio,73014,13654.877,1014644
73026,Sava,TAAA857015,CORSO ITALIA,CORSO ITALIA,40.397721696801,17.541172527483,12644,40.2981968,17.5638698,village,Maruggio,73014,14526.06,1049995
73012,Manduria,TAAA84801A,POVERELLA,VIA MESCHINELLA,40.407053578249,17.623350743669,12644,40.2981968,17.5638698,village,Maruggio,73014,15553.18,1000897
73012,Manduria,TAAA84802B,G.L. MARUGJ,PIAZZALE I MAGGIO,40.397970372858,17.628846251833,12644,40.2981968,17.5638698,village,Maruggio,73014,13701.142,973966
73012,Manduria,TAAA84601P,EX ISTITUTO SACRA FAMIGLIA,VIA P. MAGGI N. 51,40.401320015267,17.633659978227,12644,40.2981968,17.5638698,village,Maruggio,73014,14573.387,1048860
73012,Manduria,TAAA84701E,PAOLO BORSELLINO,VIA CARDUCCI 5,40.391360009271,17.632170011118,12644,40.2981968,17.5638698,village,Maruggio,73014,12892.575,889956
73012,Manduria,TAAA84702G,DON BOSCO,VIA DEL MACELLO,40.395620189107,17.631724262551,12644,40.2981968,17.5638698,village,Maruggio,73014,13634.163,980809
73012,Manduria,TAAA84803C,L.RADICE,VIA IMPERIALI,40.398916524577,17.636893002191,12644,40.2981968,17.5638698,village,Maruggio,73014,13917.039,971550
73012,Manduria,TA1A011009,BELISARIO ARNO',VIA SANTA LUCIA 4,40.397890014759,17.638920041564,12644,40.2981968,17.5638698,village,Maruggio,73014,14078.518,980316
