from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
67030,Mosciano Sant'Angelo,TEAA825058,MOSCIANO S.A. STAZIONE,STAZIONE,42.745824723787,13.888011208073,17960,42.8039627,13.9432708,village,Tortoreto,67044,11747.791,933238
67030,Mosciano Sant'Angelo,TEAA825036,SELVA PIANA,CONTRADA SELVA PIANA,42.70793062652,13.879142367733,17960,42.8039627,13.9432708,village,Tortoreto,67044,15900.832,1114035
67030,Mosciano Sant'Angelo,TEAA825014,MOSCIANO S.ANGELO-CAPOLUOGO,VIA DELLA STAZIONE,42.745824723787,13.888011208073,17960,42.8039627,13.9432708,village,Tortoreto,67044,11747.791,933238
67030,Mosciano Sant'Angelo,TEAA825047,SCUOLA MATERNA MONTONE,MONTONE,42.76775,13.91972,17960,42.8039627,13.9432708,village,Tortoreto,67044,7017.403,637801
67039,Sant'Omero,TEAA826065,SANT'OMERO POGGIO MORELLO,POGGIO MORELLO,42.782900080411,13.872217860446,17960,42.8039627,13.9432708,village,Tortoreto,67044,8726.205,709030
67039,Sant'Omero,TEAA826054,SANT'OMERO GARRUFO,GARRUFO,42.798680147346,13.765387598963,17960,42.8039627,13.9432708,village,Tortoreto,67044,18499.763,1230837
67039,Sant'Omero,TEAA826043,SANT'OMERO CAPOLUOGO,SANT'OMERO,42.773182615567,13.800222549262,17960,42.8039627,13.9432708,village,Tortoreto,67044,14941.879,1033398
67025,Giulianova,TEAA841023,COLLERANESCO INFANZIA,VIA NAZIONALE PER TERAMO,42.716516965334,13.925500004568,17960,42.8039627,13.9432708,village,Tortoreto,67044,12167.034,835064
67025,Giulianova,TEAA841012,BIVIO BELLOCCHIO INFANZIA,VIA NAZIONALE PER TERAMO,42.716516965334,13.925500004568,17960,42.8039627,13.9432708,village,Tortoreto,67044,12167.034,835064
67025,Giulianova,TEAA84402E,SCUOLA INFANZIA DON MILANI,VIA IPPOLITO NIEVO 51,42.756019994969,13.961019969527,17960,42.8039627,13.9432708,village,Tortoreto,67044,6117.032,392660
67025,Giulianova,TEAA84403G,"SCUOLA INFANZIA ""ANNUNZIATA""",VIA MATTARELLA,42.742112243423,13.974906187891,17960,42.8039627,13.9432708,village,Tortoreto,67044,8247.135,527272
67025,Giulianova,TEAA841034,GIULIANOVA - V GOBELLI INFANZIA,VIA GOBELLI,42.752203278545,13.952266602238,17960,42.8039627,13.9432708,village,Tortoreto,67044,7153.336,463203
67025,Giulianova,TE1A006008,SCUOLA INFANZIA BAMBIN GESU,VIA GALILEI 57,42.753140014947,13.963920024207,17960,42.8039627,13.9432708,village,Tortoreto,67044,6407.916,402687
67001,Alba Adriatica,TEAA82202N,VILLA FIORE,VIA DELLE REGIONI,42.822056641917,13.934469114824,17960,42.8039627,13.9432708,village,Tortoreto,67044,2323.849,179416
67001,Alba Adriatica,TEAA82205R,SCUOLA INFANZIA VIA DEI LUDI,VIA DEI LUDI 35,42.831699989192,13.927120032686,17960,42.8039627,13.9432708,village,Tortoreto,67044,4050.56,327780
67044,Tortoreto,TEAA82802L,SCUOLA MATERNA GIOVANNI XXIII,VIA GIOVANNI XXIII,42.808246116394,13.935049899575,17960,42.8039627,13.9432708,village,Tortoreto,67044,1318.401,101698
67044,Tortoreto,TEAA82803N,SCUOLA DELL'INFANZIA TORTORETO,VIA XX SETTEMBRE,42.80367800925,13.913762916947,17960,42.8039627,13.9432708,village,Tortoreto,67044,3581.875,282289
67044,Tortoreto,TE1A02400T,SCUOLA INFANZIA BAMBIN GESU,VIA NAZIONALE 50,42.802920012177,13.935890017979,17960,42.8039627,13.9432708,village,Tortoreto,67044,687.575,53997
67030,Mosciano Sant'Angelo,TEAA825058,MOSCIANO S.A. STAZIONE,STAZIONE,42.745824723787,13.888011208073,17961,42.8039836,13.912405,town,Tortoreto,67044,10425.831,771819
67030,Mosciano Sant'Angelo,TEAA825036,SELVA PIANA,CONTRADA SELVA PIANA,42.70793062652,13.879142367733,17961,42.8039836,13.912405,town,Tortoreto,67044,15117.682,1202896
67030,Mosciano Sant'Angelo,TEAA825014,MOSCIANO S.ANGELO-CAPOLUOGO,VIA DELLA STAZIONE,42.745824723787,13.888011208073,17961,42.8039836,13.912405,town,Tortoreto,67044,10425.831,771819
67030,Mosciano Sant'Angelo,TEAA825047,SCUOLA MATERNA MONTONE,MONTONE,42.76775,13.91972,17961,42.8039836,13.912405,town,Tortoreto,67044,6947.04,540373
67039,Sant'Omero,TEAA826065,SANT'OMERO POGGIO MORELLO,POGGIO MORELLO,42.782900080411,13.872217860446,17961,42.8039836,13.912405,town,Tortoreto,67044,6574.748,482636
67039,Sant'Omero,TEAA826054,SANT'OMERO GARRUFO,GARRUFO,42.798680147346,13.765387598963,17961,42.8039836,13.912405,town,Tortoreto,67044,15165.358,934160
67039,Sant'Omero,TEAA826043,SANT'OMERO CAPOLUOGO,SANT'OMERO,42.773182615567,13.800222549262,17961,42.8039836,13.912405,town,Tortoreto,67044,12814.432,799569
67025,Giulianova,TEAA841023,COLLERANESCO INFANZIA,VIA NAZIONALE PER TERAMO,42.716516965334,13.925500004568,17961,42.8039836,13.912405,town,Tortoreto,67044,14316.831,1006746
67025,Giulianova,TEAA841012,BIVIO BELLOCCHIO INFANZIA,VIA NAZIONALE PER TERAMO,42.716516965334,13.925500004568,17961,42.8039836,13.912405,town,Tortoreto,67044,14316.831,1006746
67025,Giulianova,TEAA84402E,SCUOLA INFANZIA DON MILANI,VIA IPPOLITO NIEVO 51,42.756019994969,13.961019969527,17961,42.8039836,13.912405,town,Tortoreto,67044,8266.829,564342
67025,Giulianova,TEAA84403G,"SCUOLA INFANZIA ""ANNUNZIATA""",VIA MATTARELLA,42.742112243423,13.974906187891,17961,42.8039836,13.912405,town,Tortoreto,67044,10396.932,698954
67025,Giulianova,TEAA841034,GIULIANOVA - V GOBELLI INFANZIA,VIA GOBELLI,42.752203278545,13.952266602238,17961,42.8039836,13.912405,town,Tortoreto,67044,9303.133,634885
67025,Giulianova,TE1A006008,SCUOLA INFANZIA BAMBIN GESU,VIA GALILEI 57,42.753140014947,13.963920024207,17961,42.8039836,13.912405,town,Tortoreto,67044,8557.713,574369
67001,Alba Adriatica,TEAA82202N,VILLA FIORE,VIA DELLE REGIONI,42.822056641917,13.934469114824,17961,42.8039836,13.912405,town,Tortoreto,67044,5341.752,394125
