from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
55004,Amelia,TRAA015038,"AMELIA - FORNOLE ""G.RODARI""",VIA AMERINA,42.563066552006,12.393313494539,12286,42.4929518,12.3556482,village,Penna in Teverina,55026,12897.91,869357
55004,Amelia,TRAA015016,"AMELIA ""A. CIATTI""",VIA DEL MATTATOIO 5,42.553081542072,12.414885934092,12286,42.4929518,12.3556482,village,Penna in Teverina,55026,11996.007,778136
55004,Amelia,TRAA015027,AMELIA - SANT'ANGELO,VIA CAVOUR,42.557907334294,12.416256312494,12286,42.4929518,12.3556482,village,Penna in Teverina,55026,13015.466,889489
55004,Amelia,TR1A01400V,BEATA ROSA VENERINI,PIAZZA XXV GENNAIO,42.557885001,12.407463498,12286,42.4929518,12.3556482,village,Penna in Teverina,55026,13974.107,920173
55014,Giove,TR1A00600X,"Scuola dell'Infanzia Paritaria ""IL GIROTONDO""",VIA ROMA 10,42.509229985303,12.325200034457,12286,42.4929518,12.3556482,village,Penna in Teverina,55026,6716.078,442296
55026,Penna in Teverina,TR1A005004,NOSTRA SIGNORA DELLA NEVE,BORGO GARIBALDI 113,42.491600579838,12.354731688387,12286,42.4929518,12.3556482,village,Penna in Teverina,55026,222.132,26216
55020,Montegabbione,TRAA815059,INFANZIA MONTEGABBIONE,VIA PERUGIA 1,42.920439500349,12.091410144633,12259,42.9184935,12.0511448,village,Monteleone d'Orvieto,55021,4890.613,332752
55011,Fabro,TRAA815026,"INFANZIA FABRO ""COLLODI""",VIA GIOVANNI XXIII 30,42.873532332079,12.044769272378,12259,42.9184935,12.0511448,village,Monteleone d'Orvieto,55021,7031.027,543619
55021,Monteleone d'Orvieto,TRAA815037,INFANZIA MONTELEONE D'ORVIETO,VIA S. PERTINI 61,42.921810016465,12.056600019362,12259,42.9184935,12.0511448,village,Monteleone d'Orvieto,55021,676.143,49927
55020,Montegabbione,TRAA815059,INFANZIA MONTEGABBIONE,VIA PERUGIA 1,42.920439500349,12.091410144633,12260,42.8940718,12.0366092,village,Monteleone d'Orvieto,55021,8981.956,667871
55011,Fabro,TRAA815026,"INFANZIA FABRO ""COLLODI""",VIA GIOVANNI XXIII 30,42.873532332079,12.044769272378,12260,42.8940718,12.0366092,village,Monteleone d'Orvieto,55021,2772.245,181172
55021,Monteleone d'Orvieto,TRAA815037,INFANZIA MONTELEONE D'ORVIETO,VIA S. PERTINI 61,42.921810016465,12.056600019362,12260,42.8940718,12.0366092,village,Monteleone d'Orvieto,55021,4767.485,385046
55025,Parrano,TRAA81507B,INFANZIA PARRANO,VIA DELLA STAZIONE N. 6,42.865479980998,12.10797999618,12258,42.9210065,12.0923641,village,Montegabbione,55020,11762.538,932461
55030,San Venanzo,TRAA81508C,INFANZIA SAN VENANZO,VIALE GORIZIA 4,42.869515860761,12.266868810057,12258,42.9210065,12.0923641,village,Montegabbione,55020,26591.488,1713583
55021,Monteleone d'Orvieto,TRAA815037,INFANZIA MONTELEONE D'ORVIETO,VIA S. PERTINI 61,42.921810016465,12.056600019362,12258,42.9210065,12.0923641,village,Montegabbione,55020,5044.688,369370
55013,Ficulle,TRAA815015,FICULLE INFANZIA,BORGO GARIBALDI 51,42.838206697932,12.065616563146,12258,42.9210065,12.0923641,village,Montegabbione,55020,14158.525,1075326
55011,Fabro,TRAA815026,"INFANZIA FABRO ""COLLODI""",VIA GIOVANNI XXIII 30,42.873532332079,12.044769272378,12258,42.9210065,12.0923641,village,Montegabbione,55020,8955.537,625283
55020,Montegabbione,TRAA815059,INFANZIA MONTEGABBIONE,VIA PERUGIA 1,42.920439500349,12.091410144633,12258,42.9210065,12.0923641,village,Montegabbione,55020,460.516,67203
55018,Montecchio,TRAA82204B,MONTECCHIO (I.C.ORVIETO-MONT),VIA CESARE BATTISTI19,42.661619983922,12.288640016824,12287,42.654834,12.426165,village,Avigliano Umbro,55033,20592.185,1655085
55001,Acquasparta,TRAA814019,"ACQUASPARTA""D.RICCI""(I.C.ACQUAS",VIA CARLO QUAGLIA 11,42.68992001316,12.541790005072,12287,42.654834,12.426165,village,Avigliano Umbro,55033,13680.262,877083
55017,Montecastrilli,TRAA816011,MONTECASTRILLI (I.C.M.CASTRILLI,VIALE VERDI 6,42.649469996174,12.485000012668,12287,42.654834,12.426165,village,Avigliano Umbro,55033,6275.778,521950
55017,Montecastrilli,TRAA816044,QUADRELLI (I.C. M.CASTRILLI),VIA SETTEVALLI 3,42.650828952439,12.515927724304,12287,42.654834,12.426165,village,Avigliano Umbro,55033,10323.196,685972
55004,Amelia,TRAA015038,"AMELIA - FORNOLE ""G.RODARI""",VIA AMERINA,42.563066552006,12.393313494539,12287,42.654834,12.426165,village,Avigliano Umbro,55033,16590.002,1078076
55004,Amelia,TRAA015016,"AMELIA ""A. CIATTI""",VIA DEL MATTATOIO 5,42.553081542072,12.414885934092,12287,42.654834,12.426165,village,Avigliano Umbro,55033,16566.558,1132837
55004,Amelia,TRAA015027,AMELIA - SANT'ANGELO,VIA CAVOUR,42.557907334294,12.416256312494,12287,42.654834,12.426165,village,Avigliano Umbro,55033,16661.894,1173226
55004,Amelia,TR1A01400V,BEATA ROSA VENERINI,PIAZZA XXV GENNAIO,42.557885001,12.407463498,12287,42.654834,12.426165,village,Avigliano Umbro,55033,14614.218,963235
55015,Guardea,TRAA810034,GUARDEA (I.C.ATTIGLIANO-GUARD),VIA DEL GIUOCO N. 14,42.625472827134,12.296494387264,12287,42.654834,12.426165,village,Avigliano Umbro,55033,26235.761,1927643
55033,Avigliano Umbro,TRAA816033,AVIGLIANO-SISMANO(I.C.M.CASTRIL,STRADA FABBRERIA 2,42.683820006522,12.443541652956,12287,42.654834,12.426165,village,Avigliano Umbro,55033,4525.501,300002
55002,Allerona,TRAA81703V,"ALLERONA SC.""RODARI""(I.C.ALLER",VIA G. LEOPARDI N. 1,42.785497055996,12.033601214652,12277,42.7546738,12.0013028,village,Castel Viscardo,55010,7174.282,546456
55009,Castel Giorgio,TRAA81704X,CASTEL GIORGIO (I.C. ALLERONA),VIA DANTE ALIGHIERI 18,42.706593865245,11.977772672372,12277,42.7546738,12.0013028,village,Castel Viscardo,55010,6138.633,385331
55009,Castel Giorgio,TR1A01600E,SCUOLA DELL'INFANZIA SANTA LUCIA FILIPPINI,PIAZZA GIORGIO DELLA ROVERE 1,42.70454999651,11.979270005589,12277,42.7546738,12.0013028,village,Castel Viscardo,55010,6217.62,385268
55023,Orvieto,TRAA823047,"INFANZIA ""C.COLLODI""",VIA TEVERE 36,42.728050003167,12.099730024161,12277,42.7546738,12.0013028,village,Castel Viscardo,55010,11509.081,722933
55023,Orvieto,TRAA822018,ORVIETO SCALO (I.C.ORV.-MONT),VIA MONTE TERMINILLO,42.721077247551,12.129235476207,12277,42.7546738,12.0013028,village,Castel Viscardo,55010,14506.043,901707
55023,Orvieto,TRAA822029,CICONIA (I.C.ORVIETO-MONT.),VIA DEI GINEPRI,42.731705530357,12.138575818153,12277,42.7546738,12.0013028,village,Castel Viscardo,55010,15634.863,1036337
55023,Orvieto,TRAA823058,"INFANZIA ""REGINA MARGHERITA""",VIA CESARE NEBBIA 31,42.717690012752,12.114280002245,12277,42.7546738,12.0013028,village,Castel Viscardo,55010,13559.149,886731
55023,Orvieto,TRAA823069,INFANZIA CANONICA,FRAZ. CANONICA,42.700985816048,12.056446996068,12277,42.7546738,12.0013028,village,Castel Viscardo,55010,14383.291,1297662
55023,Orvieto,TR1A00900B,SANTA MARIA DELLA STELLA,VIA TEVERE 6,42.724769996817,12.097389964432,12277,42.7546738,12.0013028,village,Castel Viscardo,55010,11186.436,672569
55023,Orvieto,TR1A018006,SAN LODOVICO,PIAZZA RANIERI 5,42.71725997921,12.107050024023,12277,42.7546738,12.0013028,village,Castel Viscardo,55010,12465.633,777794
55010,Castel Viscardo,TRAA81701R,CASTEL VISCARDO (I.C.ALLERONA),VIA DEL BOSCHETTO 1,42.758334284244,12.005289270723,12277,42.7546738,12.0013028,village,Castel Viscardo,55010,556.691,42281
55002,Allerona,TRAA81703V,"ALLERONA SC.""RODARI""(I.C.ALLER",VIA G. LEOPARDI N. 1,42.785497055996,12.033601214652,12278,42.7704376,12.0170826,village,Castel Viscardo,55010,4126.368,349078
55009,Castel Giorgio,TRAA81704X,CASTEL GIORGIO (I.C. ALLERONA),VIA DANTE ALIGHIERI 18,42.706593865245,11.977772672372,12278,42.7704376,12.0170826,village,Castel Viscardo,55010,9496.183,616508
55009,Castel Giorgio,TR1A01600E,SCUOLA DELL'INFANZIA SANTA LUCIA FILIPPINI,PIAZZA GIORGIO DELLA ROVERE 1,42.70454999651,11.979270005589,12278,42.7704376,12.0170826,village,Castel Viscardo,55010,9575.17,616445
55023,Orvieto,TRAA823047,"INFANZIA ""C.COLLODI""",VIA TEVERE 36,42.728050003167,12.099730024161,12278,42.7704376,12.0170826,village,Castel Viscardo,55010,9593.942,704407
55023,Orvieto,TRAA822018,ORVIETO SCALO (I.C.ORV.-MONT),VIA MONTE TERMINILLO,42.721077247551,12.129235476207,12278,42.7704376,12.0170826,village,Castel Viscardo,55010,12590.905,883181
55023,Orvieto,TRAA822029,CICONIA (I.C.ORVIETO-MONT.),VIA DEI GINEPRI,42.731705530357,12.138575818153,12278,42.7704376,12.0170826,village,Castel Viscardo,55010,13719.725,1017811
55023,Orvieto,TRAA823058,"INFANZIA ""REGINA MARGHERITA""",VIA CESARE NEBBIA 31,42.717690012752,12.114280002245,12278,42.7704376,12.0170826,village,Castel Viscardo,55010,11644.011,868205
55023,Orvieto,TRAA823069,INFANZIA CANONICA,FRAZ. CANONICA,42.700985816048,12.056446996068,12278,42.7704376,12.0170826,village,Castel Viscardo,55010,14838.692,1211100
55023,Orvieto,TR1A00900B,SANTA MARIA DELLA STELLA,VIA TEVERE 6,42.724769996817,12.097389964432,12278,42.7704376,12.0170826,village,Castel Viscardo,55010,9271.297,654043
55023,Orvieto,TR1A018006,SAN LODOVICO,PIAZZA RANIERI 5,42.71725997921,12.107050024023,12278,42.7704376,12.0170826,village,Castel Viscardo,55010,10550.495,759268
55010,Castel Viscardo,TRAA81701R,CASTEL VISCARDO (I.C.ALLERONA),VIA DEL BOSCHETTO 1,42.758334284244,12.005289270723,12278,42.7704376,12.0170826,village,Castel Viscardo,55010,3096.807,224410
55002,Allerona,TRAA81703V,"ALLERONA SC.""RODARI""(I.C.ALLER",VIA G. LEOPARDI N. 1,42.785497055996,12.033601214652,12279,42.7824186,12.0363338,village,Castel Viscardo,55010,529.425,36554
55009,Castel Giorgio,TRAA81704X,CASTEL GIORGIO (I.C. ALLERONA),VIA DANTE ALIGHIERI 18,42.706593865245,11.977772672372,12279,42.7824186,12.0363338,village,Castel Viscardo,55010,12866.326,900263
55009,Castel Giorgio,TR1A01600E,SCUOLA DELL'INFANZIA SANTA LUCIA FILIPPINI,PIAZZA GIORGIO DELLA ROVERE 1,42.70454999651,11.979270005589,12279,42.7824186,12.0363338,village,Castel Viscardo,55010,12945.313,900200
55023,Orvieto,TRAA823047,"INFANZIA ""C.COLLODI""",VIA TEVERE 36,42.728050003167,12.099730024161,12279,42.7824186,12.0363338,village,Castel Viscardo,55010,9312.972,591752
55023,Orvieto,TRAA822018,ORVIETO SCALO (I.C.ORV.-MONT),VIA MONTE TERMINILLO,42.721077247551,12.129235476207,12279,42.7824186,12.0363338,village,Castel Viscardo,55010,12309.935,770526
55023,Orvieto,TRAA822029,CICONIA (I.C.ORVIETO-MONT.),VIA DEI GINEPRI,42.731705530357,12.138575818153,12279,42.7824186,12.0363338,village,Castel Viscardo,55010,13438.755,905156
55023,Orvieto,TRAA823058,"INFANZIA ""REGINA MARGHERITA""",VIA CESARE NEBBIA 31,42.717690012752,12.114280002245,12279,42.7824186,12.0363338,village,Castel Viscardo,55010,11363.041,755550
55023,Orvieto,TRAA823069,INFANZIA CANONICA,FRAZ. CANONICA,42.700985816048,12.056446996068,12279,42.7824186,12.0363338,village,Castel Viscardo,55010,14557.722,1098445
55023,Orvieto,TR1A00900B,SANTA MARIA DELLA STELLA,VIA TEVERE 6,42.724769996817,12.097389964432,12279,42.7824186,12.0363338,village,Castel Viscardo,55010,8990.328,541388
55023,Orvieto,TR1A018006,SAN LODOVICO,PIAZZA RANIERI 5,42.71725997921,12.107050024023,12279,42.7824186,12.0363338,village,Castel Viscardo,55010,10269.525,646613
55010,Castel Viscardo,TRAA81701R,CASTEL VISCARDO (I.C.ALLERONA),VIA DEL BOSCHETTO 1,42.758334284244,12.005289270723,12279,42.7824186,12.0363338,village,Castel Viscardo,55010,6466.951,508165
55023,Orvieto,TRAA823047,"INFANZIA ""C.COLLODI""",VIA TEVERE 36,42.728050003167,12.099730024161,12246,42.7078943,11.9793909,village,Castel Giorgio,55009,15716.092,994504
55023,Orvieto,TRAA822018,ORVIETO SCALO (I.C.ORV.-MONT),VIA MONTE TERMINILLO,42.721077247551,12.129235476207,12246,42.7078943,11.9793909,village,Castel Giorgio,55009,18713.055,1173278
55023,Orvieto,TRAA822029,CICONIA (I.C.ORVIETO-MONT.),VIA DEI GINEPRI,42.731705530357,12.138575818153,12246,42.7078943,11.9793909,village,Castel Giorgio,55009,19841.875,1307908
55023,Orvieto,TRAA823058,"INFANZIA ""REGINA MARGHERITA""",VIA CESARE NEBBIA 31,42.717690012752,12.114280002245,12246,42.7078943,11.9793909,village,Castel Giorgio,55009,17766.16,1158302
55023,Orvieto,TRAA823069,INFANZIA CANONICA,FRAZ. CANONICA,42.700985816048,12.056446996068,12246,42.7078943,11.9793909,village,Castel Giorgio,55009,8541.875,939481
55023,Orvieto,TR1A00900B,SANTA MARIA DELLA STELLA,VIA TEVERE 6,42.724769996817,12.097389964432,12246,42.7078943,11.9793909,village,Castel Giorgio,55009,15393.447,944140
55023,Orvieto,TR1A018006,SAN LODOVICO,PIAZZA RANIERI 5,42.71725997921,12.107050024023,12246,42.7078943,11.9793909,village,Castel Giorgio,55009,16672.645,1049365
