from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
81011,Marsala,TPAA84503T,SCUOLA INFANZIA ELSA MORANTE,CONTRADA COZZARO,37.781198019678,12.459885786187,10446,38.0174321,12.515992,city,Trapani,81021,32002.091,2218321
81011,Marsala,TPAA81705Q,"SCUOLA INFANZIA ""CAPUANA""",VIA TRAPANI C/DA RANNA S.N.C.,37.805951892691,12.460868087465,10446,38.0174321,12.515992,city,Trapani,81021,28427.517,1961053
81011,Marsala,TPAA821028,"INFANZIA ""GIOVANNI PAOLO II""",C/DA FONTANELLE,37.81406055456,12.494844267363,10446,38.0174321,12.515992,city,Trapani,81021,27244.078,1823708
81011,Marsala,TPAA81703N,"SCUOLA INFANZIA ""CIAVOLO""",C/DA CIAVOLO S.N.C.,37.77495272605,12.556179814069,10446,38.0174321,12.515992,city,Trapani,81021,34816.35,2333061
81011,Marsala,TPAA81701G,"SCUOLA INFANZIA""MAESTRO G.CAIMI",C/DA AMABILINA N.520/A,37.79912975648,12.470113417383,10446,38.0174321,12.515992,city,Trapani,81021,29512.119,2037970
81011,Marsala,TPAA049069,SC.DELL'INFANZIA C/DA STRASATTI,VIA RE S.N.C.,37.82419,12.577618857,10446,38.0174321,12.515992,city,Trapani,81021,30620.104,2212166
81011,Marsala,TPAA81704P,"SCUOLA INFANZIA ""G.COSENTINO""",VIALE REGIONE SICILIANA S.N.C.,37.790847504993,12.454614987718,10446,38.0174321,12.515992,city,Trapani,81021,30719.032,2108350
81011,Marsala,TPAA84504V,"SCUOLA INFANZIA ""PESTALOZZI""",PIAZZA CAPRERA S.N.C.,37.791838275425,12.448272369993,10446,38.0174321,12.515992,city,Trapani,81021,30463.14,2098539
81011,Marsala,TPAA83902D,"SCUOLA INFANZIA ""GARIBALDI I""",VIA CAMMARERI SCURTI S.N.C.,37.79912530462,12.433649605823,10446,38.0174321,12.515992,city,Trapani,81021,30214.332,2117640
81011,Marsala,TPAA099015,SCUOLA INFANZIA RIONE MATTEOTTI,VIA VERDI 27/1,37.793129993506,12.437470011617,10446,38.0174321,12.515992,city,Trapani,81021,30705.129,2119612
81011,Marsala,TPAA099026,SCUOLA INFANZIA G. PIAZZA,VIA VERDI 27/2,37.793129993506,12.437470011617,10446,38.0174321,12.515992,city,Trapani,81021,30705.129,2119612
81011,Marsala,TPAA82003D,CASAZZE,C.DA CASAZZE,37.826736208705,12.531683900649,10446,38.0174321,12.515992,city,Trapani,81021,27456.918,1833556
81011,Marsala,TPAA04913N,SC. DELL'INFANZIA MONTESSORI,VIA NAZIONALE CUORE DI GESU' S.N.C.,37.753356073388,12.479004944116,10446,38.0174321,12.515992,city,Trapani,81021,35333.398,2456590
81011,Marsala,TPAA82001B,PAOLINI,FRAZIONE PAOLINI,37.813181538163,12.529775582328,10446,38.0174321,12.515992,city,Trapani,81021,27583.4,1823969
81011,Marsala,TPAA81702L,"SCUOLA INFANZIA ""CARDILLA""",C/DA CARDILLA S.N.C.,37.796181986013,12.498699770922,10446,38.0174321,12.515992,city,Trapani,81021,29167.205,1889594
81011,Marsala,TPAA81605X,"SCUOLA INFANZIA ""PIANO OLIVERI""",C/DA FORNARA N.92,37.728791291741,12.529096415728,10446,38.0174321,12.515992,city,Trapani,81021,40391.278,2723194
81011,Marsala,TPAA83901C,"SCUOLA INFANZIA ""VILLA ROSARIO""",VIA G. BOVIO N.2,37.800700144942,12.435321716582,10446,38.0174321,12.515992,city,Trapani,81021,30444.031,2145204
81011,Marsala,TPAA82002C,SS. FILIPPO E GIACOMO,CONTRADA SS. FILIPPO E GIACOMO,37.837685975283,12.518227027158,10446,38.0174321,12.515992,city,Trapani,81021,23914.31,1511816
81011,Marsala,TPAA82006L,"SCU. INF.""SAN MICHELE RIFUGIO""",C/DA SAN MICHELE RIFUGIO,37.842285778502,12.497533624749,10446,38.0174321,12.515992,city,Trapani,81021,23335.485,1541785
81011,Marsala,TPAA81601Q,SCUOLA INFANZIAS.PADRE PERRIERE,C/DA SANTO PADRE DELLE PERRIERE N.120,37.82419,12.577618857,10446,38.0174321,12.515992,city,Trapani,81021,30620.104,2212166
81011,Marsala,TPAA81603T,"SCUOLA INFANZIA ""TERRENOVE""",VIA NAZIONALE N.305,37.741546901538,12.492508367233,10446,38.0174321,12.515992,city,Trapani,81021,37628.73,2522460
81011,Marsala,TPAA821017,"INFANZIA ""FRANCESCO STRUPPA""",C/DA DAMMUSELLO,37.811300854113,12.464322295252,10446,38.0174321,12.515992,city,Trapani,81021,27518.152,1888421
81011,Marsala,TPAA82104A,"INFANZIA ""LUIGI STURZO""",VIA TRAPANI 230,37.805158837074,12.450542731399,10446,38.0174321,12.515992,city,Trapani,81021,28840.084,1999998
81011,Marsala,TPAA82106C,"PLESSO ""G.PPE E SALV. ASTA""",VIA G. FALCONE 8,37.807409990489,12.443199964447,10446,38.0174321,12.515992,city,Trapani,81021,28497.269,1977329
81011,Marsala,TPAA82105B,"INFANZIA ""MOZIA""",C/DA SPAGNOLA 270,37.845677776302,12.480166418914,10446,38.0174321,12.515992,city,Trapani,81021,22797.913,1526847
81011,Marsala,TPAA04909C,SC. INFANZIA TERRENOVE BAMBINA,CONTRADA TERRENOVE 174,37.747555303794,12.496390840881,10446,38.0174321,12.515992,city,Trapani,81021,36803.13,2451620
81011,Marsala,TPAA82007N,"SCUOLA INFANZIA ""BIRGI""",C/DA BIRGI NOVI N.126,37.90000109616,12.475073282394,10446,38.0174321,12.515992,city,Trapani,81021,20283.569,1367521
81011,Marsala,TPAA84505X,"SC. INFAN ""GIUDICE R. LIVATINO""",VIA D. ALIGHIERI S.N.C.,37.796314857866,12.448784692164,10446,38.0174321,12.515992,city,Trapani,81021,29625.782,2042221
81011,Marsala,TPAA84501Q,"SCUOLA INFANZIA ""SIRTORI""",VIA SIRTORI N.20,37.795446083735,12.446231044989,10446,38.0174321,12.515992,city,Trapani,81021,29701.833,2049746
81011,Marsala,TPAA845061,"SCUOLA INFANZIA ""SAN LEONARDO""",C/DA CUTUSIO N.46,37.863983022303,12.491551021177,10446,38.0174321,12.515992,city,Trapani,81021,20397.204,1370182
81011,Marsala,TP1A05000R,SCUOLA MATERNA REGIONALE CARDILLA,CONTRADA CARDILLA,37.796181986013,12.498699770922,10446,38.0174321,12.515992,city,Trapani,81021,29167.205,1889594
81011,Marsala,TP1A047001,SCUOLA MATERNA REGIONALE VILLA GAIA,VIA CAVOUR,37.79558000285,12.438315033185,10446,38.0174321,12.515992,city,Trapani,81021,30509.342,2107557
81011,Marsala,TP1ATC5005,scuola dell'infanzia Fantasylandia Società Cooperativa,Via g. Oberdan 36,37.795110008584,12.454500027213,10446,38.0174321,12.515992,city,Trapani,81021,30168.477,2096318
81011,Marsala,TP1A7Q500B,"""PICCOLE MARMOTTE""",VIA MAZARA 183/A,37.784269986574,12.453810028943,10446,38.0174321,12.515992,city,Trapani,81021,31244.321,2152224
81011,Marsala,TP1A07200N,"""GIARDINO D'INFANZIA GUIDO BACCELLI""",VIALE WHITAKER,37.806197367532,12.434318987102,10446,38.0174321,12.515992,city,Trapani,81021,29796.859,2080056
81011,Marsala,TP1A01900R,SCUOLA MATERNA PARITARIA SS. FILIPPO E GIACOMO,CONTRADA CONCA5B,37.82419,12.577618857,10446,38.0174321,12.515992,city,Trapani,81021,30620.104,2212166
81011,Marsala,TP1A03000G,SCUOLA MATERNA PARITARIA S.CHIARA,CONTRADA STRASATTI 915,37.727256097079,12.51436787437,10446,38.0174321,12.515992,city,Trapani,81021,40167.722,2702196
81011,Marsala,TP1A04900L,SCUOLA MATERNA REGIONALE SS.FILIPPO E GIACOMO,CONTRADA SS.FILIPPO E GIACOMO,37.837685975283,12.518227027158,10446,38.0174321,12.515992,city,Trapani,81021,23914.31,1511816
81011,Marsala,TP1A046027,SCUOLA MATERNA PARITARIA GIARDINO DEI SOGNI,VIA DELLO SBARCO 55,37.794800003895,12.438539961557,10446,38.0174321,12.515992,city,Trapani,81021,30400.83,2124059
81008,Erice,TPAA83102V,SCUOLA INFANZIA FRATELLINI ASTA,VIA CESARO N.17,38.028022476684,12.538856025907,10446,38.0174321,12.515992,city,Trapani,81021,2796.861,192411
81008,Erice,TPAA83101T,"SCUOLA INFANZIA ""SAN GIULIANO""",VIA ACCARDI S.N.C.,38.034362873623,12.540171436953,10446,38.0174321,12.515992,city,Trapani,81021,3294.454,218654
81008,Erice,TPAA835015,"SCUOLA INFANZIA ""WALT DISNEY""",VIA R.SANZIO N.24,38.016239995144,12.561889976525,10446,38.0174321,12.515992,city,Trapani,81021,4525.467,334687
81008,Erice,TPAA835037,SCUOLA INFANZIA CARLA ACCARDI,PIAZZA BADALUCCO N.7,37.990659756955,12.631735601431,10446,38.0174321,12.515992,city,Trapani,81021,11395.82,730333
81008,Erice,TPAA84702C,"SCUOLA INFANZIA ""GEM. ASTA""",VIA SALVATORE CARUSO S.N.C.,38.026846126184,12.546926128814,10446,38.0174321,12.515992,city,Trapani,81021,3814.513,266980
81008,Erice,TPAA84701B,"SCUOLA INFANZIA ""A. GULOTTA""",VIA CASERTA N.23/25,38.023060014482,12.546900032343,10446,38.0174321,12.515992,city,Trapani,81021,3421.153,232072
81008,Erice,TP1A01000A,SCUOLA MATERNA PARITARIA INCORONATA,VIA ARGENTERIA 103,38.038711298552,12.587110388482,10446,38.0174321,12.515992,city,Trapani,81021,8928.74,1227484
81008,Erice,TP1A070002,SCUOLA MATERNA COMUNALE - ERICE,Via Poma,38.020669998611,12.547660019504,10446,38.0174321,12.515992,city,Trapani,81021,3247.668,221393
81008,Erice,TP1A09500A,"SCUOLA DELL'INFANZIA Associazione ""HAPPY GARDEN""",VIA Vecchia MARTOGNA 39,38.035149987803,12.546889974059,10446,38.0174321,12.515992,city,Trapani,81021,3938.193,279301
81025,Misiliscemi,TPAA82603C,SCUOLA INFANZIA CORALLO VECCHIO,VIA SAVERIO SAFINA N.10,37.911999933028,12.536055758305,10446,38.0174321,12.515992,city,Trapani,81021,15430.407,1051178
81025,Misiliscemi,TPAA82605E,"SCUOLA INFANZIA ""LOCOGRANDE""",VIA LOCOGRANDE S.N.C.,37.925356009014,12.512494159396,10446,38.0174321,12.515992,city,Trapani,81021,13291.141,814004
81025,Misiliscemi,TPAA82606G,"SCUOLA INFANZIA ""MARAUSA""",VIA ENRICO RINALDI 146,37.938030007266,12.509439965947,10446,38.0174321,12.515992,city,Trapani,81021,11310.85,688004
81025,Misiliscemi,TPAA82602B,"SCUOLA INFANZIA ""GUARRATO""",VIA GUARRATO 10,37.933040008849,12.550199987623,10446,38.0174321,12.515992,city,Trapani,81021,12264.656,943024
81025,Misiliscemi,TPAA82609P,"SCUOLA INFANZIA""PIETRETAGLIATE""",VIA PIETRETAGLIATE 79,37.954419980736,12.523159967979,10446,38.0174321,12.515992,city,Trapani,81021,9795.553,622518
