from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
26004,Borso del Grappa,TVAA86501B,LORENZO PEROSI S.EULALIA,VIA ASOLANA N. 30,45.81634999058,11.818910032426,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,4299.963,355369
26004,Borso del Grappa,TV1A02400P,SCUOLA MATERNA SAN PIO X,PIAZZA MARCONI 17,45.820997529211,11.799291743138,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,5443.602,433024
26011,Castelcucco,TV1A02500E,SCUOLA MATERNA MONSIGNOR MURIAGO,VIALE PAPA GIOVANNI XXIII3,45.833050010648,11.884379988482,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,2283.916,182111
26077,San Zenone degli Ezzelini,TV1A17800X,SCUOLA MATERNA SANTA CECILIA,VIA SAN DANIELE 8,45.801399147471,11.812089108435,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,6035.617,561235
26077,San Zenone degli Ezzelini,TV1A16500T,SCUOLA MATERNA SACRI CUORI,VIA C.EGER2-LIEDOLO,45.790389979161,11.818060023625,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,8152.101,586058
26077,San Zenone degli Ezzelini,TV1A164002,SCUOLA MATERNA SAN GIUSEPPE,VIA ROMA18,45.779230019906,11.836250010802,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,8025.346,588158
26077,San Zenone degli Ezzelini,TV1A16600N,SC. INF. PARITARIA CAV. ANGELO CARRON,VIA RISORGIMENTO100-CA'RAINATI,45.755299979707,11.848049970273,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,10549.185,742535
26029,Fonte,TV1A064005,SCUOLA MATERNA MARIA IMMACOLATA,VIA CASTELLANA 36,45.782129990767,11.871700012997,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,5603.672,404615
26029,Fonte,TV1A063009,SCUOLA MATERNA MARIA BAMBINA,VIA SAN PIETRO 3,45.800399983209,11.866380019051,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,3540.611,246572
26061,Possagno,TV1A13000V,SCUOLA REGINA DELLA PACE - SOCAL E CUNIAL,VIA SOFRATTA 24,45.853266246993,11.875256934272,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,4208.627,288760
26003,Asolo,TV1A006005,SCUOLA MATERNA BRANDOLINI FALIER,VIA CA' GIUSTINIANI33,45.773487726636,11.894114327202,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,8934.512,647204
26003,Asolo,TV1A007001,SCUOLA DELL'INFANZIA BERNARDI TORRETTO,VIA VALLORGANA 11,45.808669987977,11.889480041289,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,5075.188,359808
26003,Asolo,TV1A005009,ASILO INFANTILE DE AMICIS,PIAZZETTA S. PIO X193,45.801670009178,11.913380032365,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,7210.762,604487
26096,Pieve del Grappa,TV1A05300P,SCUOLA MATERNA UMBERTO I,VIA MONTE PERTICA2,45.830772495528,11.83600799548,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,2016.35,169956
26096,Pieve del Grappa,TV1A112009,SCUOLA MATERNA CATERINA BASSO,PIAZZA FIETTA18-FIETTA,45.843219983318,11.852140003746,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,2004.551,194879
26096,Pieve del Grappa,TV1A113005,SCUOLA INFANZIA FILIPPIN,VIA SAN GIACOMO 4,45.82837001692,11.859699977496,8346,45.8281156,11.8577234,village,Pieve del Grappa,26096,158.436,12073
26004,Borso del Grappa,TVAA86501B,LORENZO PEROSI S.EULALIA,VIA ASOLANA N. 30,45.81634999058,11.818910032426,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,2614.995,220973
26004,Borso del Grappa,TV1A02400P,SCUOLA MATERNA SAN PIO X,PIAZZA MARCONI 17,45.820997529211,11.799291743138,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,3758.635,298628
26011,Castelcucco,TV1A02500E,SCUOLA MATERNA MONSIGNOR MURIAGO,VIALE PAPA GIOVANNI XXIII3,45.833050010648,11.884379988482,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,3955.471,315548
26077,San Zenone degli Ezzelini,TV1A17800X,SCUOLA MATERNA SANTA CECILIA,VIA SAN DANIELE 8,45.801399147471,11.812089108435,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,4350.65,426839
26077,San Zenone degli Ezzelini,TV1A16500T,SCUOLA MATERNA SACRI CUORI,VIA C.EGER2-LIEDOLO,45.790389979161,11.818060023625,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,6322.119,476326
26077,San Zenone degli Ezzelini,TV1A164002,SCUOLA MATERNA SAN GIUSEPPE,VIA ROMA18,45.779230019906,11.836250010802,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,6929.921,521832
26077,San Zenone degli Ezzelini,TV1A16600N,SC. INF. PARITARIA CAV. ANGELO CARRON,VIA RISORGIMENTO100-CA'RAINATI,45.755299979707,11.848049970273,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,9390.053,700172
26029,Fonte,TV1A064005,SCUOLA MATERNA MARIA IMMACOLATA,VIA CASTELLANA 36,45.782129990767,11.871700012997,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,6542.012,521358
26029,Fonte,TV1A063009,SCUOLA MATERNA MARIA BAMBINA,VIA SAN PIETRO 3,45.800399983209,11.866380019051,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,4478.951,363315
26061,Possagno,TV1A13000V,SCUOLA REGINA DELLA PACE - SOCAL E CUNIAL,VIA SOFRATTA 24,45.853266246993,11.875256934272,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,4653.519,361414
26003,Asolo,TV1A006005,SCUOLA MATERNA BRANDOLINI FALIER,VIA CA' GIUSTINIANI33,45.773487726636,11.894114327202,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,9872.852,763947
26003,Asolo,TV1A007001,SCUOLA DELL'INFANZIA BERNARDI TORRETTO,VIA VALLORGANA 11,45.808669987977,11.889480041289,8347,45.8287801,11.8401026,village,Pieve del Grappa,26096,6746.743,493245
