from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
30075,Pocenia,UDAA82203X,SCUOLA INFANZIA POCENIA/TORSA,VIALE VENEZIA 118,45.873340017103,13.115010006872,9604,45.8744266,13.0413307,village,Rivignano Teor,30188,6590.421,464310
30075,Pocenia,UDAA82202V,SCUOLA INFANZIA POCENIA,VIA PREVIELIS 2,45.835829994565,13.101229990414,9604,45.8744266,13.0413307,village,Rivignano Teor,30188,8131.193,758214
30010,Bertiolo,UDAA849041,BERTIOLO,VIA GIORVANNI XXIII 2,45.942809984993,13.051980022831,9604,45.8744266,13.0413307,village,Rivignano Teor,30188,8914.295,590640
30010,Bertiolo,UD1A065009,SCUOLA INFANZIA PARITARIA SACRO CUORE,VIA DIAZ 1,45.941080002087,13.052860038845,9604,45.8744266,13.0413307,village,Rivignano Teor,30188,8642.947,589406
30130,Varmo,UD1A066005,SCUOLA INFANZIA PARITARIA G. BINI,VIA ZUTTIONI 2,45.887889995187,12.992470019028,9604,45.8744266,13.0413307,village,Rivignano Teor,30188,4433.785,285551
30069,Palazzolo dello Stella,UD1A03000A,SCUOLA INFANZIA PARITARIA CASA DEL FANCIULLO,PIAZZA LIBERTA'2,45.804779988623,13.077950008715,9604,45.8744266,13.0413307,village,Rivignano Teor,30188,9407.583,629443
30114,Talmassons,UD1A01800Q,SCUOLA INFANZIA PARITARIA UGO CAPARINI,VIA TOMADINI 12,45.930616194286,13.115581099898,9604,45.8744266,13.0413307,village,Rivignano Teor,30188,10868.362,654691
30097,Ronchis,UD1A045004,SCUOLA INFANZIA PARITARIA MONUMENTO AI CADUTI,CORSO ITALIA 23,45.806130019858,12.996270038651,9604,45.8744266,13.0413307,village,Rivignano Teor,30188,10085.193,639250
30188,Rivignano Teor,UDAA82201T,SC.INF.PRINC.MAFALDA DI SAVOIA,VIA ROMA 20 - TEOR,45.853769991479,13.05858001721,9604,45.8744266,13.0413307,village,Rivignano Teor,30188,2740.543,164431
30188,Rivignano Teor,UDAA822041,"SCUOLA INFANZIA ""DUCA D'AOSTA""",VIA UDINE 3 - RIVIGNANO,45.878319999146,13.040899985023,9604,45.8744266,13.0413307,village,Rivignano Teor,30188,469.7,28182
30075,Pocenia,UDAA82203X,SCUOLA INFANZIA POCENIA/TORSA,VIALE VENEZIA 118,45.873340017103,13.115010006872,9605,45.855115,13.055128,village,Rivignano Teor,30188,6513.489,593437
30075,Pocenia,UDAA82202V,SCUOLA INFANZIA POCENIA,VIA PREVIELIS 2,45.835829994565,13.101229990414,9605,45.855115,13.055128,village,Rivignano Teor,30188,8054.262,887341
30010,Bertiolo,UDAA849041,BERTIOLO,VIA GIORVANNI XXIII 2,45.942809984993,13.051980022831,9605,45.855115,13.055128,village,Rivignano Teor,30188,11522.791,752601
30010,Bertiolo,UD1A065009,SCUOLA INFANZIA PARITARIA SACRO CUORE,VIA DIAZ 1,45.941080002087,13.052860038845,9605,45.855115,13.055128,village,Rivignano Teor,30188,11251.444,751367
30130,Varmo,UD1A066005,SCUOLA INFANZIA PARITARIA G. BINI,VIA ZUTTIONI 2,45.887889995187,12.992470019028,9605,45.855115,13.055128,village,Rivignano Teor,30188,7042.282,447512
30069,Palazzolo dello Stella,UD1A03000A,SCUOLA INFANZIA PARITARIA CASA DEL FANCIULLO,PIAZZA LIBERTA'2,45.804779988623,13.077950008715,9605,45.855115,13.055128,village,Rivignano Teor,30188,7011.529,491133
30114,Talmassons,UD1A01800Q,SCUOLA INFANZIA PARITARIA UGO CAPARINI,VIA TOMADINI 12,45.930616194286,13.115581099898,9605,45.855115,13.055128,village,Rivignano Teor,30188,13476.859,816652
30097,Ronchis,UD1A045004,SCUOLA INFANZIA PARITARIA MONUMENTO AI CADUTI,CORSO ITALIA 23,45.806130019858,12.996270038651,9605,45.855115,13.055128,village,Rivignano Teor,30188,9092.359,545741
30188,Rivignano Teor,UDAA82201T,SC.INF.PRINC.MAFALDA DI SAVOIA,VIA ROMA 20 - TEOR,45.853769991479,13.05858001721,9605,45.855115,13.055128,village,Rivignano Teor,30188,344.489,26121
30188,Rivignano Teor,UDAA822041,"SCUOLA INFANZIA ""DUCA D'AOSTA""",VIA UDINE 3 - RIVIGNANO,45.878319999146,13.040899985023,9605,45.855115,13.055128,village,Rivignano Teor,30188,3078.196,190143
30075,Pocenia,UDAA82203X,SCUOLA INFANZIA POCENIA/TORSA,VIALE VENEZIA 118,45.873340017103,13.115010006872,9606,45.8602045,13.0148424,village,Rivignano Teor,30188,9825.441,742525
30075,Pocenia,UDAA82202V,SCUOLA INFANZIA POCENIA,VIA PREVIELIS 2,45.835829994565,13.101229990414,9606,45.8602045,13.0148424,village,Rivignano Teor,30188,11366.213,1036429
30010,Bertiolo,UDAA849041,BERTIOLO,VIA GIORVANNI XXIII 2,45.942809984993,13.051980022831,9606,45.8602045,13.0148424,village,Rivignano Teor,30188,12340.011,880298
30010,Bertiolo,UD1A065009,SCUOLA INFANZIA PARITARIA SACRO CUORE,VIA DIAZ 1,45.941080002087,13.052860038845,9606,45.8602045,13.0148424,village,Rivignano Teor,30188,12068.663,879064
