from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
12120,Sesto Calende,VAAA87902X,"SC.INF.ST. ""MONTESSORI""-ORIANO-",VIA MOLINO 8,45.735820017632,8.649140041624,5240,45.797781,8.6435373,village,Cadrezzate con Osmate,12143,8824.794,690181
12120,Sesto Calende,VAAA879031,"SC.MAT.STAT. G.RODARI""",VIA CERIANI,45.72339778548,8.650385553526,5240,45.797781,8.6435373,village,Cadrezzate con Osmate,12143,10747.265,889728
12120,Sesto Calende,VAAA87901V,"SC.INF.""BASSETTI"" SESTO CALENDE",VIA DE PINEDO,45.726696303564,8.638998870459,5240,45.797781,8.6435373,village,Cadrezzate con Osmate,12143,10295.647,838767
12120,Sesto Calende,VA1A152009,"SC.MAT.NON STAT.""SC.MAT.B.V.DI FATIMA""",VIA INDIPENDENZA15,45.727839984804,8.63576998405,5240,45.797781,8.6435373,village,Cadrezzate con Osmate,12143,9676.061,773329
12054,Comabbio,VAAA83301D,SC. MATERNA STAT. - COMABBIO -,VIA ROMA 16,45.772310882412,8.676073696451,5240,45.797781,8.6435373,village,Cadrezzate con Osmate,12143,4747.534,372531
12128,Travedona-Monate,VA1A161004,"SC.MAT.NON STAT.""GIUD.E GIUS.LEVA""",L.GO MADRE CLELIA 22,45.80513,8.674173502,5240,45.797781,8.6435373,village,Cadrezzate con Osmate,12143,3101.408,201349
12003,Angera,VA1A00200B,"SC.MAT.NON STAT.""VEDANI CITTA'DI ANGERA""",VIA MORO 3,45.772830017737,8.577799987317,5240,45.797781,8.6435373,village,Cadrezzate con Osmate,12143,7193.794,505162
12084,Ispra,VA1A08400X,"SC.MAT.NON STAT.""B.SAGRAMOSO""",VIA ROMA28,45.813910018566,8.612350024568,5240,45.797781,8.6435373,village,Cadrezzate con Osmate,12143,3295.951,236502
12143,Cadrezzate con Osmate,VA1A032007,"SC.MAT.NON STAT.""SC.MAT. S.MARGHERITA""",PIAZZA DAVI'206,45.798229992296,8.645340022,5240,45.797781,8.6435373,village,Cadrezzate con Osmate,12143,290.266,25798
12120,Sesto Calende,VAAA87902X,"SC.INF.ST. ""MONTESSORI""-ORIANO-",VIA MOLINO 8,45.735820017632,8.649140041624,5241,45.788874,8.659929,village,Cadrezzate con Osmate,12143,6927.385,589878
12120,Sesto Calende,VAAA879031,"SC.MAT.STAT. G.RODARI""",VIA CERIANI,45.72339778548,8.650385553526,5241,45.788874,8.659929,village,Cadrezzate con Osmate,12143,9636.036,693261
12120,Sesto Calende,VAAA87901V,"SC.INF.""BASSETTI"" SESTO CALENDE",VIA DE PINEDO,45.726696303564,8.638998870459,5241,45.788874,8.659929,village,Cadrezzate con Osmate,12143,8398.238,738464
12120,Sesto Calende,VA1A152009,"SC.MAT.NON STAT.""SC.MAT.B.V.DI FATIMA""",VIA INDIPENDENZA15,45.727839984804,8.63576998405,5241,45.788874,8.659929,village,Cadrezzate con Osmate,12143,7778.652,673026
12054,Comabbio,VAAA83301D,SC. MATERNA STAT. - COMABBIO -,VIA ROMA 16,45.772310882412,8.676073696451,5241,45.788874,8.659929,village,Cadrezzate con Osmate,12143,2738.887,232697
12128,Travedona-Monate,VA1A161004,"SC.MAT.NON STAT.""GIUD.E GIUS.LEVA""",L.GO MADRE CLELIA 22,45.80513,8.674173502,5241,45.788874,8.659929,village,Cadrezzate con Osmate,12143,5011.174,330042
12003,Angera,VA1A00200B,"SC.MAT.NON STAT.""VEDANI CITTA'DI ANGERA""",VIA MORO 3,45.772830017737,8.577799987317,5241,45.788874,8.659929,village,Cadrezzate con Osmate,12143,9162.128,637369
12084,Ispra,VA1A08400X,"SC.MAT.NON STAT.""B.SAGRAMOSO""",VIA ROMA28,45.813910018566,8.612350024568,5241,45.788874,8.659929,village,Cadrezzate con Osmate,12143,5264.285,368709
12143,Cadrezzate con Osmate,VA1A032007,"SC.MAT.NON STAT.""SC.MAT. S.MARGHERITA""",PIAZZA DAVI'206,45.798229992296,8.645340022,5241,45.788874,8.659929,village,Cadrezzate con Osmate,12143,2200.032,154491
12001,Agra,VAAA821028,SCUOLA MATERNA - AGRA -,PIAZZA PASQUINELLI 1,46.033769979157,8.772990037116,5305,46.0435479,8.7383317,village,Maccagno con Pino e Veddasca,12142,6783.811,644134
12065,Dumenza,VAAA821039,A. MARCHESI - DUMENZA -,VIA XX SETTEMBRE 4,46.020070009874,8.790170004959,5305,46.0435479,8.7383317,village,Maccagno con Pino e Veddasca,12142,6922.233,505043
12092,Luino,VA1A097002,"SC.MAT.NON STAT.""IST.PARR.MARIA AUSILIATRICE""",VIA SBARRA3/A,46.004056808288,8.74494685763,5305,46.0435479,8.7383317,village,Maccagno con Pino e Veddasca,12142,4923.728,291690
12092,Luino,VA1A10000L,"SC.MAT.NON STAT.""SCUOLA MATERNA""",VIA PASCOLI N. 8,45.992116391866,8.748736502905,5305,46.0435479,8.7383317,village,Maccagno con Pino e Veddasca,12142,6943.233,426704
12092,Luino,VA1A09900N,"SC.MAT.NON STAT.""AS.INF.ROGGIOLO-BONGA""",VIA DELLE MOTTE 6,46.015349992558,8.764140004648,5305,46.0435479,8.7383317,village,Maccagno con Pino e Veddasca,12142,8089.053,507716
