from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
27021,Martellago,VEAA837017,SUSAN ISAACS,VIA GUARDI 2,45.523380011098,12.152169976454,8697,45.5713541,12.108383,town,Scorzè,27037,7562.353,472789
27021,Martellago,VE1A11000N,VIRTUS ET LABOR,PIAZZA VITTORIA N.47,45.546499982265,12.155159968955,8697,45.5713541,12.108383,town,Scorzè,27037,4887.096,341034
27021,Martellago,VE1A10900D,ADAMO VOLPATO,PIAZZA IV NOVEMBRE N.49,45.518800803812,12.176577102143,8697,45.5713541,12.108383,town,Scorzè,27037,9335.697,623464
27026,Noale,VEAA866017,ITALO CALVINO,VIA LA FONDA N. 36,45.552089022827,12.067160037,8697,45.5713541,12.108383,town,Scorzè,27037,4852.584,327387
27026,Noale,VE1A156003,SC.MAT.ISTITUTO GRADENIGO,VIA BRIANA CENTRO 24,45.533555647736,12.048579772378,8697,45.5713541,12.108383,town,Scorzè,27037,7595.412,472267
27026,Noale,VE1A15700V,SC.MATSAN GIUSEPPE,VIA LA FONDA26,45.55346999576,12.068940024855,8697,45.5713541,12.108383,town,Scorzè,27037,4641.021,300634
27026,Noale,VE1A15900E,SC.MAT.MADONNA DEL CARMINE,PIAZZA DON ANTONIO BORDIGNON 5,45.55319,12.072487553,8697,45.5713541,12.108383,town,Scorzè,27037,4330.917,258587
27042,Venezia,VEAA840013,""" P.L.PENZO""",VIA BUONO DA MALAMOCCO,45.369304117488,12.337757739042,8697,45.5713541,12.108383,town,Scorzè,27037,40412.237,7827363
27042,Venezia,VEAA840035,"SCUOLA INFANZIA ""SAN PIETRO""",VIA DEI BOTTA 323,45.320705453785,12.318795788264,8697,45.5713541,12.108383,town,Scorzè,27037,47405.176,9274592
27042,Venezia,VEAA87302B,RODARI,VIA BUOZZI N. 4,45.501939982875,12.271410009019,8697,45.5713541,12.108383,town,Scorzè,27037,17226.958,1091356
27042,Venezia,VEAA87202G,G. CESARE,VIA P. KOLBE N. 7,45.484420003129,12.244750024865,8697,45.5713541,12.108383,town,Scorzè,27037,16168.924,1141583
27042,Venezia,VEAA810028,ARCOBALENO,P.LE S. BENEDETTO N. 1,45.486789986252,12.293590033564,8697,45.5713541,12.108383,town,Scorzè,27037,19983.988,1311961
27042,Venezia,VEAA87201E,C. BATTISTI,VIA DANTE 67,45.485609981923,12.236359991243,8697,45.5713541,12.108383,town,Scorzè,27037,15750.699,1097911
27042,Venezia,VEAA875012,MARGOTTI,VIA DE NICOLA 2,45.508929987209,12.25733997871,8697,45.5713541,12.108383,town,Scorzè,27037,16677.007,1104667
27042,Venezia,VEAA810017,GIRASOLE,VIA SABBADINO N. 14,45.48179001337,12.287209980324,8697,45.5713541,12.108383,town,Scorzè,27037,19716.789,1310311
27042,Venezia,VEAA83902X,MARIA PASCOLATO,SESTIERE CASTELLO 4019,45.434180007053,12.348369961767,8697,45.5713541,12.108383,town,Scorzè,27037,29424.859,4831451
27042,Venezia,VEAA874016,8 MARZO,VIALE S. MARCO 182,45.481309981775,12.261249968904,8697,45.5713541,12.108383,town,Scorzè,27037,17210.645,1135260
27042,Venezia,VEAA81402G,UGO FOSCOLO M. LETIZIA,F.TA VENIER N. 8,45.456689985216,12.351999996394,8697,45.5713541,12.108383,town,Scorzè,27037,-1.0,-1
27042,Venezia,VEAA840024,ZENDRINI INFANZIA,SESTIERE ZENNARI 713,45.275570007635,12.301510010055,8697,45.5713541,12.108383,town,Scorzè,27037,52814.535,9795734
27042,Venezia,VEAA84401A,ANGOLO AZZURRO,VIA DEL RIGO 31,45.50300000026,12.251929963125,8697,45.5713541,12.108383,town,Scorzè,27037,15539.25,1030889
27042,Venezia,VEAA84101V,A.DIAZ,SESTIERE CASTELLO 4968/A,45.435549987217,12.343330007206,8697,45.5713541,12.108383,town,Scorzè,27037,29167.683,4646285
27042,Venezia,VEAA84201P,NICCOLO TOMMASEO,SESTIERE CASTELLO 6819/B,45.438630001358,12.341069994653,8697,45.5713541,12.108383,town,Scorzè,27037,-1.0,-1
27042,Venezia,VEAA87101P,"PARCO FERROVIARIO ""G.RODARI""",VIA PARCO FERROVIARIO N. 84,45.479690011348,12.20891998718,8697,45.5713541,12.108383,town,Scorzè,27037,16405.461,1059988
27042,Venezia,VEAA83401Q,ELENA CORNARO,VIA MONTE FADALTO N.23,45.506552441318,12.283956259821,8697,45.5713541,12.108383,town,Scorzè,27037,18410.607,1177258
27042,Venezia,VEAA875023,IL QUADRIFOGLIO,VIA S. MARIA GORETTI 1,45.504750015915,12.26626000007,8697,45.5713541,12.108383,town,Scorzè,27037,16852.0,1118372
27042,Venezia,VEAA84701T,BRUNO MUNARI,VIA IVANCICH N. 20,45.486210000462,12.198170028719,8697,45.5713541,12.108383,town,Scorzè,27037,14935.977,926647
27042,Venezia,VEAA87001V,GIOVANNI PAOLO I,PIAZZALE SIRTORI N. 6,45.4802500063,12.222439997002,8697,45.5713541,12.108383,town,Scorzè,27037,17391.058,1119752
27042,Venezia,VEAA84702V,STEPAN ZAVREL,VIA PERLAN N. 33,45.488950002701,12.211790034646,8697,45.5713541,12.108383,town,Scorzè,27037,14921.257,1049131
27042,Venezia,VEAA87002X,"""C.COLLODI""",P.LE MART.GIUL. DALM.DELLE FOIBE 1,45.469760012566,12.225260004506,8697,45.5713541,12.108383,town,Scorzè,27037,18287.558,1200751
27042,Venezia,VEAA83901V,BRUNO MUNARI,SESTRIERE DORSODURO 627,45.43016000438,12.329740008493,8697,45.5713541,12.108383,town,Scorzè,27037,27749.811,3625417
27042,Venezia,VEAA87301A,IL PICCOLO PRINCIPE,VIA SFORZA 7,45.493089992317,12.260710006701,8697,45.5713541,12.108383,town,Scorzè,27037,16029.284,1049342
27042,Venezia,VEAA846023,SCUOLA INFANZIA,VIA PIRAGHETTO10,45.489720006236,12.228789959209,8697,45.5713541,12.108383,town,Scorzè,27037,15519.459,1089349
27042,Venezia,VEAA846012,ARCHIMEDE PITAGORICO,VIA MONTEVERDI N. 2,45.49199734229,12.227027009721,8697,45.5713541,12.108383,town,Scorzè,27037,15492.006,1076266
27042,Venezia,VEAA845016,MARY POPPINS,VIA VOLPI 10,45.494159984167,12.218149971318,8697,45.5713541,12.108383,town,Scorzè,27037,14593.267,1060525
27042,Venezia,VE1A170009,SC.MAT.SAN MARCO,VIA MANTOVANI15,45.493209979261,12.250019978848,8697,45.5713541,12.108383,town,Scorzè,27037,15853.45,1044325
27042,Venezia,VE1A028002,DARIO E FEDERICA STEFANI,VIA DELLA RINASCITA 141,45.463939996187,12.22052003826,8697,45.5713541,12.108383,town,Scorzè,27037,18887.488,1218358
27042,Venezia,VE1A12500B,SAN GIROLAMO,CANNAREGIO 3022/B,45.446339028949,12.325409578148,8697,45.5713541,12.108383,town,Scorzè,27037,23228.773,1498197
27042,Venezia,VE1A12400G,COMPARETTI,CANNAREGIO 1178,45.444999996314,12.325739996659,8697,45.5713541,12.108383,town,Scorzè,27037,23423.957,1513811
