from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
2002,Alagna Valsesia,VCAA81205T,INFANZIA ALAGNA,F.NE CENTRO 1,45.855659984916,7.93669998084,6999,45.8512107,7.9371767,village,Alagna Valsesia,2002,539.077,59836
2002,Alagna Valsesia,VCAA81205T,INFANZIA ALAGNA,F.NE CENTRO 1,45.855659984916,7.93669998084,7000,45.8325126,7.954363,village,Alagna Valsesia,2002,3245.904,288345
2021,Buronzo,VCAA802079,SCUOLA INFANZIA BURONZO,P.ZZA CADUTI N. 2,45.481560013947,8.267920021092,6984,45.4978594,8.3261393,village,San Giacomo Vercellese,2035,5098.252,317165
2006,Arborio,VCAA802013,"SC. INF. ""DON FRANCESE"" ARBORIO",C.SO UMBERTO I,45.495057496305,8.389482517245,6984,45.4978594,8.3261393,village,San Giacomo Vercellese,2035,5171.208,325125
2122,Rovasenda,VCAA802057,SCUOLA INFANZIA ROVASENDA,VIA GATTINARA,45.541817467877,8.31570678063,6984,45.4978594,8.3261393,village,San Giacomo Vercellese,2035,5406.421,334535
2158,Vercelli,VCAA808012,VITTORIO MANDELLI,VIA CAPPELLINA 2,45.326714227712,8.427830238238,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,8211.913,573019
2158,Vercelli,VCAA81102V,VERCELLI ALCIATI,VIA PASTRENGO N.100,45.320508402251,8.428974069515,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,7207.302,477772
2158,Vercelli,VCAA811041,"VERCELLI ""KORCZAK""",VIA STARA N.3,45.322360012365,8.42693000493,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,7430.42,499038
2158,Vercelli,VCAA81103X,"VERCELLI ""ANDERSEN""",VIA N. PALLI N.46,45.312139999732,8.415489964381,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,7247.646,480999
2158,Vercelli,VCAA81101T,"VERCELLI ""TERESIO CASTELLI""",C/SO ADDA N.8,45.313945380767,8.427994635726,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,6662.689,434206
2158,Vercelli,VCAA80902V,SCUOLA DELL'INFANZIA CONCORDIA,VIA DONIZETTI,45.319299273065,8.402377502081,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,8741.57,495802
2158,Vercelli,VCAA80903X,"SCUOLA DELL'INFANZIA ""T. MORA""",VIA PIETRO MICCA,45.326034672512,8.416179733759,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,8381.183,571686
2158,Vercelli,VCAA80901T,"SCUOLA DELL'INFANZIA ""ISOLA""",VIA ANADONE,45.336315001052,8.419779990064,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,9641.013,672473
2158,Vercelli,VCAA808023,"VERCELLI ""FURNO""- CAPPUCCINI",VIA DEL VEZZOLANO,45.304945015956,8.44595503921,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,7731.469,524192
2158,Vercelli,VCAA810012,"VERCELLI ""C. COLLODI""",VIA DERNA 16,45.319989987332,8.419760041134,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,7470.411,498824
2158,Vercelli,VC1A01400V,FANTASILANDIA,VIA CHICCO 22,45.323009987046,8.411479978082,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,8291.341,567159
2158,Vercelli,VC1A013003,REGINA PACIS,VIC.LO R. PACIS 2,45.324480005225,8.404760038669,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,8831.802,607738
2158,Vercelli,VC1A01100B,GIACOMO BACCHI,C.SO AVOGADRO DI QUAREGNA 16/A,45.314810013079,8.421949980977,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,6673.831,435096
2158,Vercelli,VC1A01600E,FONDAZIONE FILIPPI LASALLE - SCUOLE CRISTIANE,VIA FROVA 5,45.328070016265,8.4233400358,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,8868.268,686829
2158,Vercelli,VC1A01500P,S.GIOVANNA ANTIDA,VIA SAN CRISTOFORO 6,45.322920007316,8.423849990789,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,8031.651,579228
2158,Vercelli,VC1A012007,MEME CIOCCA,C.SO ITALIA 106,45.330299979695,8.423849990789,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,9287.896,644222
2142,Stroppiana,VCAA809063,STROPPIANA,VIA CROCETTA S.N.C.,45.232130808014,8.458828875874,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,6956.593,456365
2093,Pezzana,VCAA809052,PEZZANA,VIA MATTEOTTI 77,45.262069988652,8.48532001883,6996,45.2615784,8.4085008,village,Asigliano Vercellese,2007,6334.722,429378
