from_pro_com,from_comune,from_id_school,from_name,from_address,latitude_school,longitude_school,to,latitude_to,longitude_to,to_kind,to_comune,to_pro_com,distance,travel_time
23091,Verona,VRAA87702A,CONTRADA POLESE,SALITA S. LUCIA,45.4222643782,10.960739185607,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,16346.137,1108022
23091,Verona,VRAA88802R,MIZZOLE - AGAZZI,VIA NICOLINI 4,45.477460006009,11.059570038253,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,19809.975,1551492
23091,Verona,VRAA88801Q,MONTE D'ORO,VIA DEI CEDRI,45.459021958798,11.061294830643,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,17738.202,1429619
23091,Verona,VRAA88401C,LA MAGNOLIA,VIA S. EUPREPIO 4,45.443199982607,10.944360024735,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,13090.322,954673
23091,Verona,VRAA88301L,GOLOSINE,VIA BISENZIO 11,45.415390001338,10.959049980603,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,15924.096,1115068
23091,Verona,VRAA88903N,"INFANZIA ""LE COCCINELLE""",VIA TIMAVO 11,45.437510011456,11.003369964195,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,13195.596,1054252
23091,Verona,VRAA88901G,PRETO DANILO,VIA PORTO S.PANCRAZIO 85,45.43201001614,11.020439961469,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,15346.129,1281826
23091,Verona,VRAA877019,"""LA MONGOLFIERA""",VIA MANTOVANA 144,45.406870006307,10.928329970189,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,17898.124,1256421
23091,Verona,VRAA88201R,"""MANIN D."" - GENOVESA",VIA GIOVE 1,45.388985459687,10.973913277544,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,18296.606,1329746
23091,Verona,VRAA89201B,IL GABBIANO,LUNGADIGE CATENA,45.451505228997,10.980727522532,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,11439.698,761498
23091,Verona,VRAA87501N,AQUILONE,VIA ANGELO EMO,45.450410871693,10.968884989479,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,10181.901,676364
23091,Verona,VRAA87601D,"""ARCOBALENO""",VIA ELEONORA DUSE 15,45.459140015514,10.972079984365,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,9323.051,634370
23091,Verona,VRAA885018,BERNINI BURI,VIA SOLFERINO 27,45.428919985624,11.048239968274,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,16760.579,1358647
23091,Verona,VRAA83902G,"""G. RODARI""",VIA BASSONA 169,45.451679995959,10.899550035083,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,11927.703,1002839
23091,Verona,VRAA88902L,"""SOLELUNA""",VIA G.B. DOMASCHI 72,45.432800010514,11.012410014408,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,14550.657,1182359
23091,Verona,VRAA851015,APORTI FERRANTE,VIA VOLTURNO20,45.416500016775,10.986480010201,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,14791.708,1056120
23091,Verona,VRAA878015,PASCOLI,VIA PIRANDELLO 20,45.439090000204,10.968049965318,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,11962.397,813109
23091,Verona,VRAA878026,SANSOVINO,VIA CAMUZZONI 47,45.43800999198,10.974400011345,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,11638.638,781330
23091,Verona,VR1A188006,SCUOLA MATERNA ANGELI CUSTODI,VIA PALAZZINA220/A,45.402639995051,11.015599999118,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,17412.349,1233436
23091,Verona,VR1A15600P,SCUOLA MATERNA MONSIGNOR ALDRIGHETTI,VIA VITTORIO DELLA VITTORIA12,45.383359983276,10.996130011508,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,18719.778,1321679
23091,Verona,VR1A04200X,SCUOLA DELL'INFANZIA MADONNA DI CAMPAGNA,VIA DOLOMITI 13,45.429830008852,11.051609996265,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,16724.767,1356843
23091,Verona,VR1A01900V,SCUOLA MATERNA SAN PIO X,VIA BIONDELLA 9,45.449640008365,11.01402001037,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,14131.292,1111986
23091,Verona,VR1A017007,SCUOLA MATERNA CETTI BIANCA,VIA DELLA CHIESA 2/A,45.475609994249,11.038789959177,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,18379.526,1501265
23091,Verona,VR1A16300T,SCUOLA MATERNA PRINA,VIA LUIGI PRINA 12,45.420677266141,10.96487082426,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,15983.99,1079682
23091,Verona,VR1A14400C,"SCUOLA MATERNA""F.GRESNER""",VIA ANTONIO PROVOLO18,45.438820019103,10.983070000533,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,12151.423,872631
23091,Verona,VR1A23500E,SCUOLA MATERNA A.PROVOLO-CENTRO INFANZIA,VIA PUGLIE 22 - CHIEVO,45.4561200158,10.948439999925,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,12404.606,912597
23091,Verona,VR1A01600B,SCUOLA MATERNA CAMPOSTRINI,VIA S.MARIA IN ORGANO 2,45.443818326113,11.005701900646,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,12439.86,945426
23091,Verona,VR1A22000R,SCUOLA MATERNA E.VIANINI,VIA BRIGATA AOSTA8,45.438309980295,10.945369960249,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,13520.336,924413
23091,Verona,VR1A14300L,SCUOLA DELL'INFANZIA SCUOLE APORTIANE,PIAZZA BROILO 4,45.44760002077,10.998859997373,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,11725.781,842597
23091,Verona,VR1A03000N,SCUOLA MATERNA ANGELICA,VIA A.BERARDI 74,45.458010009238,10.947699961694,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,11882.29,846835
23091,Verona,VR1A141001,SCUOLA MATERNA MATER GRATIAE,VIA DON GIUSEPPE BALDO 7,45.452009991488,10.993289971255,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,11518.62,822821
23091,Verona,VR1A16500D,SCUOLA MATERNA BENTEGODI,VIA DON GASPARE BERTONI 8,45.433880018738,10.993709988423,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,13754.797,1048730
23091,Verona,VR1A112001,SCUOLA MATERNA VILLA COZZA,VIA PONCHIELLI 1,45.449258904893,11.020039325313,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,14151.508,1123603
23091,Verona,VR1A14700X,SCUOLA MATERNA COLOMBARE,VIA CASTEL S.FELICE 6,45.454100019044,11.005320013969,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,12579.853,918512
23091,Verona,VR1A16400N,SCUOLA MATERNA PICONO DELLA VALLE,VIA GASPARE DEL CARRETTO 7,45.419729983164,10.972279976575,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,15416.145,1131355
23091,Verona,VR1A145008,SCUOLA MATERNA di CESIOLO,VIA CESIOLO 46,45.455769987523,10.986450002988,8768,45.5296706,10.9400217,town,Negrar di Valpolicella,23052,10551.018,724407
